ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-423-5p:MIMAT0004748:Homo:sapiens:miR-423-5p	477	86108	86108.0	23224.0
hsa-miR-320a:MIMAT0000510:Homo:sapiens:miR-320a	561	85810	83694.21666666665	21866.133333333324
hsa-miR-486-5p:MIMAT0002177:Homo:sapiens:miR-486-5p	353	54330	54330.0	12103.0
hsa-let-7b-5p:MIMAT0000063:Homo:sapiens:let-7b-5p	330	48450	48350.5	11367.0
hsa-miR-92a-3p:MIMAT0000092:Homo:sapiens:miR-92a-3p	259	38213	38211.5	9506.5
hsa-let-7a-5p:MIMAT0000062:Homo:sapiens:let-7a-5p	208	32441	32164.5	7470.0
hsa-miR-423-3p:MIMAT0001340:Homo:sapiens:miR-423-3p	283	18727	18727.0	5670.0
hsa-miR-221-3p:MIMAT0000278:Homo:sapiens:miR-221-3p	153	18095	18095.0	4625.0
hsa-miR-24-3p:MIMAT0000080:Homo:sapiens:miR-24-3p	185	17068	17068.0	3677.0
hsa-miR-23a-3p:MIMAT0000078:Homo:sapiens:miR-23a-3p	77	15906	15896.5	2817.0
hsa-miR-103a-3p:MIMAT0000101:Homo:sapiens:miR-103a-3p	168	16026	15761.0	4285.0
hsa-miR-451a:MIMAT0001631:Homo:sapiens:miR-451a	121	15565	15565.0	3814.0
hsa-miR-146a-5p:MIMAT0000449:Homo:sapiens:miR-146a-5p	190	14552	14552.0	4146.0
hsa-miR-484:MIMAT0002174:Homo:sapiens:miR-484	242	13896	13896.0	3566.0
hsa-miR-191-5p:MIMAT0000440:Homo:sapiens:miR-191-5p	159	13612	13612.0	3711.0
hsa-miR-744-5p:MIMAT0004945:Homo:sapiens:miR-744-5p	144	12251	12251.0	3455.0
hsa-let-7i-5p:MIMAT0000415:Homo:sapiens:let-7i-5p	142	11727	11727.0	3438.0
hsa-miR-93-5p:MIMAT0000093:Homo:sapiens:miR-93-5p	131	10593	10593.0	2533.0
hsa-miR-185-5p:MIMAT0000455:Homo:sapiens:miR-185-5p	78	9734	9734.0	1940.0
hsa-miR-22-3p:MIMAT0000077:Homo:sapiens:miR-22-3p	105	9719	9719.0	2355.0
hsa-let-7d-5p:MIMAT0000065:Homo:sapiens:let-7d-5p	126	9556	9544.0	2493.5
hsa-miR-26a-5p:MIMAT0000082:Homo:sapiens:miR-26a-5p	97	7901	7887.5	1905.5
hsa-miR-151a-5p:MIMAT0004697:Homo:sapiens:miR-151a-5p	40	7773	7772.5	1941.5
hsa-let-7g-5p:MIMAT0000414:Homo:sapiens:let-7g-5p	112	7648	7648.0	1910.0
hsa-miR-1307-3p:MIMAT0005951:Homo:sapiens:miR-1307-3p	143	7001	7001.0	2000.0
hsa-miR-223-3p:MIMAT0000280:Homo:sapiens:miR-223-3p	100	6985	6985.0	1774.0
hsa-miR-25-3p:MIMAT0000081:Homo:sapiens:miR-25-3p	78	6682	6682.0	1826.0
hsa-let-7f-5p:MIMAT0000067:Homo:sapiens:let-7f-5p	66	6614	6613.0	1517.5
hsa-miR-584-5p:MIMAT0003249:Homo:sapiens:miR-584-5p	75	6372	6372.0	1716.0
hsa-miR-21-5p:MIMAT0000076:Homo:sapiens:miR-21-5p	76	5775	5775.0	1486.0
hsa-miR-140-3p:MIMAT0004597:Homo:sapiens:miR-140-3p	115	5712	5712.0	1784.0
hsa-miR-30d-5p:MIMAT0000245:Homo:sapiens:miR-30d-5p	113	5512	5512.0	1461.0
hsa-miR-151a-3p:MIMAT0000757:Homo:sapiens:miR-151a-3p	100	5471	5471.0	1526.0
hsa-miR-151b:MIMAT0010214:Homo:sapiens:miR-151b|hsa-miR-151a-5p:MIMAT0004697:Homo:sapiens:miR-151a-5p	26	5167	4996.333333333334	1076.5
hsa-miR-378a-3p:MIMAT0000732:Homo:sapiens:miR-378a-3p	89	4866	4802.833333333333	1296.0
hsa-miR-4433b-5p:MIMAT0030413:Homo:sapiens:miR-4433b-5p	110	4778	4778.0	1329.0
hsa-miR-181a-5p:MIMAT0000256:Homo:sapiens:miR-181a-5p	114	4199	4199.0	1469.0
hsa-miR-652-3p:MIMAT0003322:Homo:sapiens:miR-652-3p	82	4141	4141.0	1082.0
hsa-miR-134-5p:MIMAT0000447:Homo:sapiens:miR-134-5p	101	3895	3895.0	1104.0
hsa-miR-199b-3p:MIMAT0004563:Homo:sapiens:miR-199b-3p|hsa-miR-199a-3p:MIMAT0000232:Homo:sapiens:miR-199a-3p	71	3871	3871.0	1034.0
hsa-miR-222-3p:MIMAT0000279:Homo:sapiens:miR-222-3p	121	3563	3563.0	984.0
hsa-miR-199a-5p:MIMAT0000231:Homo:sapiens:miR-199a-5p	47	3538	3538.0	976.0
hsa-miR-409-3p:MIMAT0001639:Homo:sapiens:miR-409-3p	92	3417	3417.0	958.0
hsa-miR-382-5p:MIMAT0000737:Homo:sapiens:miR-382-5p	61	3394	3394.0	919.0
hsa-miR-126-3p:MIMAT0000445:Homo:sapiens:miR-126-3p	72	3266	3266.0	805.0
hsa-miR-328-3p:MIMAT0000752:Homo:sapiens:miR-328-3p	74	2203	2203.0	773.0
hsa-miR-16-5p:MIMAT0000069:Homo:sapiens:miR-16-5p	45	2156	2156.0	566.0
hsa-miR-148b-3p:MIMAT0000759:Homo:sapiens:miR-148b-3p	48	2145	2145.0	547.0
hsa-miR-125b-5p:MIMAT0000423:Homo:sapiens:miR-125b-5p	57	2092	2092.0	894.0
hsa-miR-425-5p:MIMAT0003393:Homo:sapiens:miR-425-5p	63	2019	2019.0	565.0
hsa-miR-122-5p:MIMAT0000421:Homo:sapiens:miR-122-5p	40	2015	2015.0	551.0
hsa-miR-186-5p:MIMAT0000456:Homo:sapiens:miR-186-5p	52	1974	1974.0	584.0
hsa-miR-28-3p:MIMAT0004502:Homo:sapiens:miR-28-3p	50	1946	1946.0	541.0
hsa-let-7e-5p:MIMAT0000066:Homo:sapiens:let-7e-5p	69	2150	1899.8333333333333	551.6666666666667
hsa-miR-320b:MIMAT0005792:Homo:sapiens:miR-320b	130	3892	1777.25	555.6666666666666
hsa-miR-4286:MIMAT0016916:Homo:sapiens:miR-4286	22	1757	1757.0	382.0
hsa-miR-125a-5p:MIMAT0000443:Homo:sapiens:miR-125a-5p	44	1643	1643.0	553.0
hsa-miR-101-3p:MIMAT0000099:Homo:sapiens:miR-101-3p	46	1578	1578.0	442.0
hsa-miR-106b-3p:MIMAT0004672:Homo:sapiens:miR-106b-3p	72	1540	1540.0	507.0
hsa-miR-148a-3p:MIMAT0000243:Homo:sapiens:miR-148a-3p	36	1515	1515.0	407.0
hsa-miR-152-3p:MIMAT0000438:Homo:sapiens:miR-152-3p	48	1505	1505.0	414.0
hsa-miR-29a-3p:MIMAT0000086:Homo:sapiens:miR-29a-3p	42	1502	1502.0	429.0
hsa-miR-330-3p:MIMAT0000751:Homo:sapiens:miR-330-3p	66	1485	1485.0	470.0
hsa-miR-26b-5p:MIMAT0000083:Homo:sapiens:miR-26b-5p	31	1485	1485.0	392.0
hsa-miR-30e-5p:MIMAT0000692:Homo:sapiens:miR-30e-5p	55	1354	1354.0	406.0
hsa-let-7c-5p:MIMAT0000064:Homo:sapiens:let-7c-5p	74	1476	1351.5	455.0
hsa-miR-127-3p:MIMAT0000446:Homo:sapiens:miR-127-3p	77	1345	1345.0	440.0
hsa-miR-19b-3p:MIMAT0000074:Homo:sapiens:miR-19b-3p	41	1332	1332.0	344.0
hsa-miR-345-5p:MIMAT0000772:Homo:sapiens:miR-345-5p	86	1327	1327.0	408.0
hsa-miR-99b-5p:MIMAT0000689:Homo:sapiens:miR-99b-5p	52	1322	1322.0	417.0
hsa-let-7d-3p:MIMAT0004484:Homo:sapiens:let-7d-3p	28	1310	1310.0	405.0
hsa-miR-320c:MIMAT0005793:Homo:sapiens:miR-320c	87	2528	1259.2166666666667	428.6333333333333
hsa-miR-432-5p:MIMAT0002814:Homo:sapiens:miR-432-5p	33	1206	1206.0	371.0
