ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-223-3p:MIMAT0000280:Homo:sapiens:miR-223-3p	438	65121	65121.0	24882.0
hsa-miR-24-3p:MIMAT0000080:Homo:sapiens:miR-24-3p	254	37592	37592.0	10386.0
hsa-miR-451a:MIMAT0001631:Homo:sapiens:miR-451a	289	34863	34863.0	12848.0
hsa-let-7a-5p:MIMAT0000062:Homo:sapiens:let-7a-5p	213	34028	33709.0	12020.0
hsa-let-7b-5p:MIMAT0000063:Homo:sapiens:let-7b-5p	310	33415	33310.5	17766.0
hsa-miR-320a:MIMAT0000510:Homo:sapiens:miR-320a	464	32313	31778.149999999998	19736.066666666666
hsa-miR-221-3p:MIMAT0000278:Homo:sapiens:miR-221-3p	267	29989	29989.0	10429.0
hsa-miR-92a-3p:MIMAT0000092:Homo:sapiens:miR-92a-3p	299	28744	28742.5	12650.5
hsa-miR-423-5p:MIMAT0004748:Homo:sapiens:miR-423-5p	217	22804	22804.0	9541.0
hsa-miR-16-5p:MIMAT0000069:Homo:sapiens:miR-16-5p	243	22405	22401.5	9922.0
hsa-miR-21-5p:MIMAT0000076:Homo:sapiens:miR-21-5p	170	20662	20662.0	7559.0
hsa-miR-126-3p:MIMAT0000445:Homo:sapiens:miR-126-3p	209	19080	19080.0	9788.0
hsa-miR-26a-5p:MIMAT0000082:Homo:sapiens:miR-26a-5p	252	16083	16068.5	9504.5
hsa-miR-23a-3p:MIMAT0000078:Homo:sapiens:miR-23a-3p	178	14872	14801.5	7893.5
hsa-let-7i-5p:MIMAT0000415:Homo:sapiens:let-7i-5p	133	14034	14033.5	6330.5
hsa-let-7d-5p:MIMAT0000065:Homo:sapiens:let-7d-5p	150	13824	13805.5	5416.5
hsa-miR-103a-3p:MIMAT0000101:Homo:sapiens:miR-103a-3p	210	14149	13611.0	5195.0
hsa-miR-146a-5p:MIMAT0000449:Homo:sapiens:miR-146a-5p	149	12499	12499.0	6367.0
hsa-miR-30d-5p:MIMAT0000245:Homo:sapiens:miR-30d-5p	211	12312	12303.0	6118.0
