ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-223-3p:MIMAT0000280:Homo:sapiens:miR-223-3p	478	68204	68204.0	27060.0
hsa-miR-24-3p:MIMAT0000080:Homo:sapiens:miR-24-3p	254	38150	38150.0	11104.0
hsa-miR-451a:MIMAT0001631:Homo:sapiens:miR-451a	319	35934	35934.0	13922.0
hsa-miR-221-3p:MIMAT0000278:Homo:sapiens:miR-221-3p	304	33515	33515.0	11943.0
hsa-miR-320a:MIMAT0000510:Homo:sapiens:miR-320a	476	33765	33197.41666666666	20497.666666666657
hsa-let-7a-5p:MIMAT0000062:Homo:sapiens:let-7a-5p	246	33462	33124.5	12240.0
hsa-let-7b-5p:MIMAT0000063:Homo:sapiens:let-7b-5p	332	31761	31669.5	17542.5
hsa-miR-92a-3p:MIMAT0000092:Homo:sapiens:miR-92a-3p	327	27767	27766.0	13670.0
hsa-miR-16-5p:MIMAT0000069:Homo:sapiens:miR-16-5p	266	23440	23432.0	10836.5
hsa-miR-423-5p:MIMAT0004748:Homo:sapiens:miR-423-5p	226	22418	22418.0	9919.0
hsa-miR-21-5p:MIMAT0000076:Homo:sapiens:miR-21-5p	191	21018	21018.0	8055.0
hsa-miR-126-3p:MIMAT0000445:Homo:sapiens:miR-126-3p	218	18390	18390.0	9962.0
hsa-miR-26a-5p:MIMAT0000082:Homo:sapiens:miR-26a-5p	247	15927	15925.5	10002.5
hsa-miR-23a-3p:MIMAT0000078:Homo:sapiens:miR-23a-3p	194	15759	15689.833333333334	8488.333333333332
hsa-miR-103a-3p:MIMAT0000101:Homo:sapiens:miR-103a-3p	211	14080	13438.5	5549.0
hsa-let-7i-5p:MIMAT0000415:Homo:sapiens:let-7i-5p	139	13433	13432.0	6608.0
hsa-miR-146a-5p:MIMAT0000449:Homo:sapiens:miR-146a-5p	166	13419	13419.0	7054.0
hsa-let-7d-5p:MIMAT0000065:Homo:sapiens:let-7d-5p	150	13351	13330.0	5409.0
hsa-miR-22-3p:MIMAT0000077:Homo:sapiens:miR-22-3p	97	12643	12643.0	5015.0
hsa-miR-17-5p:MIMAT0000070:Homo:sapiens:miR-17-5p	183	13992	12469.0	6376.5
hsa-miR-30d-5p:MIMAT0000245:Homo:sapiens:miR-30d-5p	206	12394	12379.0	6555.5
hsa-miR-486-5p:MIMAT0002177:Homo:sapiens:miR-486-5p	198	11531	11531.0	6601.0
hsa-let-7g-5p:MIMAT0000414:Homo:sapiens:let-7g-5p	137	11216	11215.0	4386.0
hsa-miR-93-5p:MIMAT0000093:Homo:sapiens:miR-93-5p	141	9794	9794.0	4957.0
hsa-let-7f-5p:MIMAT0000067:Homo:sapiens:let-7f-5p	113	9568	9564.5	3730.0
hsa-miR-19b-3p:MIMAT0000074:Homo:sapiens:miR-19b-3p	94	9279	9276.5	3320.0
hsa-miR-26b-5p:MIMAT0000083:Homo:sapiens:miR-26b-5p	115	8416	8416.0	5337.0
hsa-miR-27a-3p:MIMAT0000084:Homo:sapiens:miR-27a-3p	191	7303	7283.0	4055.0
hsa-miR-25-3p:MIMAT0000081:Homo:sapiens:miR-25-3p	117	7211	7210.0	4466.0
hsa-miR-484:MIMAT0002174:Homo:sapiens:miR-484	177	6903	6903.0	4833.0
hsa-miR-191-5p:MIMAT0000440:Homo:sapiens:miR-191-5p	158	6778	6778.0	3972.0
hsa-miR-122-5p:MIMAT0000421:Homo:sapiens:miR-122-5p	96	6725	6725.0	3921.0
hsa-miR-222-3p:MIMAT0000279:Homo:sapiens:miR-222-3p	182	6718	6718.0	4129.0
