ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-223-3p:MIMAT0000280:Homo:sapiens:miR-223-3p	443	65352	65352.0	25451.0
hsa-miR-24-3p:MIMAT0000080:Homo:sapiens:miR-24-3p	258	40759	40759.0	11195.0
hsa-let-7a-5p:MIMAT0000062:Homo:sapiens:let-7a-5p	218	37730	37368.0	12889.0
hsa-let-7b-5p:MIMAT0000063:Homo:sapiens:let-7b-5p	321	36301	36203.0	18941.0
hsa-miR-320a:MIMAT0000510:Homo:sapiens:miR-320a	440	35747	35095.583333333336	21087.749999999985
hsa-miR-451a:MIMAT0001631:Homo:sapiens:miR-451a	283	33889	33889.0	12855.0
hsa-miR-221-3p:MIMAT0000278:Homo:sapiens:miR-221-3p	303	33034	33034.0	11662.0
hsa-miR-92a-3p:MIMAT0000092:Homo:sapiens:miR-92a-3p	298	29784	29783.0	13038.0
hsa-miR-16-5p:MIMAT0000069:Homo:sapiens:miR-16-5p	238	23628	23621.0	10338.0
hsa-miR-423-5p:MIMAT0004748:Homo:sapiens:miR-423-5p	221	22759	22759.0	9820.0
hsa-miR-21-5p:MIMAT0000076:Homo:sapiens:miR-21-5p	174	22485	22485.0	8251.0
hsa-miR-126-3p:MIMAT0000445:Homo:sapiens:miR-126-3p	212	20588	20588.0	10335.0
hsa-miR-26a-5p:MIMAT0000082:Homo:sapiens:miR-26a-5p	236	17357	17335.5	10134.0
hsa-let-7d-5p:MIMAT0000065:Homo:sapiens:let-7d-5p	145	14909	14888.5	5644.0
hsa-let-7i-5p:MIMAT0000415:Homo:sapiens:let-7i-5p	152	14546	14544.0	6744.0
hsa-miR-23a-3p:MIMAT0000078:Homo:sapiens:miR-23a-3p	181	14554	14481.5	7905.5
hsa-miR-103a-3p:MIMAT0000101:Homo:sapiens:miR-103a-3p	200	14191	13456.0	5369.5
hsa-miR-22-3p:MIMAT0000077:Homo:sapiens:miR-22-3p	110	12276	12276.0	4843.0
hsa-let-7g-5p:MIMAT0000414:Homo:sapiens:let-7g-5p	122	12131	12129.0	4440.0
hsa-miR-146a-5p:MIMAT0000449:Homo:sapiens:miR-146a-5p	145	12053	12052.5	6180.5
hsa-miR-30d-5p:MIMAT0000245:Homo:sapiens:miR-30d-5p	200	12021	12018.5	6229.5
hsa-miR-17-5p:MIMAT0000070:Homo:sapiens:miR-17-5p	189	13833	12016.5	5971.0
