ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-223-3p:MIMAT0000280:Homo:sapiens:miR-223-3p	323	25763	25763.0	14205.0
hsa-miR-24-3p:MIMAT0000080:Homo:sapiens:miR-24-3p	171	16713	16713.0	6502.0
hsa-miR-320a:MIMAT0000510:Homo:sapiens:miR-320a	328	16326	16077.333333333334	12374.000000000002
hsa-miR-221-3p:MIMAT0000278:Homo:sapiens:miR-221-3p	212	14894	14894.0	7388.0
hsa-let-7b-5p:MIMAT0000063:Homo:sapiens:let-7b-5p	250	13917	13870.5	9696.5
hsa-let-7a-5p:MIMAT0000062:Homo:sapiens:let-7a-5p	177	13929	13784.0	6723.5
hsa-miR-451a:MIMAT0001631:Homo:sapiens:miR-451a	179	12255	12255.0	6783.0
hsa-miR-92a-3p:MIMAT0000092:Homo:sapiens:miR-92a-3p	210	10311	10311.0	6824.0
hsa-miR-423-5p:MIMAT0004748:Homo:sapiens:miR-423-5p	165	9645	9645.0	5801.0
hsa-miR-16-5p:MIMAT0000069:Homo:sapiens:miR-16-5p	177	9118	9115.5	5699.5
hsa-miR-21-5p:MIMAT0000076:Homo:sapiens:miR-21-5p	122	8794	8794.0	4631.0
hsa-miR-126-3p:MIMAT0000445:Homo:sapiens:miR-126-3p	136	6862	6862.0	5014.0
hsa-miR-486-5p:MIMAT0002177:Homo:sapiens:miR-486-5p	158	6272	6272.0	4361.0
hsa-miR-26a-5p:MIMAT0000082:Homo:sapiens:miR-26a-5p	173	6233	6228.5	4991.0
hsa-let-7i-5p:MIMAT0000415:Homo:sapiens:let-7i-5p	82	5544	5543.5	3669.5
hsa-let-7d-5p:MIMAT0000065:Homo:sapiens:let-7d-5p	108	5523	5514.0	3020.0
hsa-miR-146a-5p:MIMAT0000449:Homo:sapiens:miR-146a-5p	109	5427	5427.0	3779.0
hsa-miR-103a-3p:MIMAT0000101:Homo:sapiens:miR-103a-3p	135	5651	5409.0	3154.5
hsa-miR-30d-5p:MIMAT0000245:Homo:sapiens:miR-30d-5p	135	5286	5283.0	3535.0
hsa-miR-22-3p:MIMAT0000077:Homo:sapiens:miR-22-3p	79	5207	5207.0	2979.0
hsa-miR-17-5p:MIMAT0000070:Homo:sapiens:miR-17-5p	138	5968	5184.5	3443.0
hsa-miR-23a-3p:MIMAT0000078:Homo:sapiens:miR-23a-3p	124	5013	4989.0	3812.5
hsa-let-7g-5p:MIMAT0000414:Homo:sapiens:let-7g-5p	81	4503	4502.0	2391.0
hsa-miR-93-5p:MIMAT0000093:Homo:sapiens:miR-93-5p	89	4322	4322.0	2775.0
hsa-let-7f-5p:MIMAT0000067:Homo:sapiens:let-7f-5p	77	4044	4040.0	2149.5
hsa-miR-19b-3p:MIMAT0000074:Homo:sapiens:miR-19b-3p	64	3876	3875.0	1915.0
