ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-151a-3p:MIMAT0000757:Homo:sapiens:miR-151a-3p	593	207757	207757.0	0.0
hsa-miR-423-5p:MIMAT0004748:Homo:sapiens:miR-423-5p	464	139147	139147.0	0.0
hsa-miR-122-5p:MIMAT0000421:Homo:sapiens:miR-122-5p	372	112622	112622.0	0.0
hsa-miR-486-5p:MIMAT0002177:Homo:sapiens:miR-486-5p	559	101189	101189.0	0.0
hsa-let-7b-5p:MIMAT0000063:Homo:sapiens:let-7b-5p	464	92034	91961.2	0.0
hsa-miR-148a-3p:MIMAT0000243:Homo:sapiens:miR-148a-3p	162	88638	88638.0	0.0
hsa-let-7i-5p:MIMAT0000415:Homo:sapiens:let-7i-5p	243	80002	79997.5	0.0
hsa-let-7a-5p:MIMAT0000062:Homo:sapiens:let-7a-5p	279	56868	53694.16666666667	0.0
hsa-miR-320a:MIMAT0000510:Homo:sapiens:miR-320a	563	48894	46459.06666666667	0.0
hsa-miR-30d-5p:MIMAT0000245:Homo:sapiens:miR-30d-5p	374	30671	30660.0	0.0
hsa-miR-92a-3p:MIMAT0000092:Homo:sapiens:miR-92a-3p	278	29703	29700.0	0.0
hsa-miR-423-3p:MIMAT0001340:Homo:sapiens:miR-423-3p	355	29041	29041.0	0.0
hsa-let-7f-5p:MIMAT0000067:Homo:sapiens:let-7f-5p	237	28586	28584.5	0.0
hsa-miR-126-3p:MIMAT0000445:Homo:sapiens:miR-126-3p	335	20857	20857.0	0.0
hsa-miR-26a-5p:MIMAT0000082:Homo:sapiens:miR-26a-5p	135	17694	17694.0	0.0
hsa-miR-744-5p:MIMAT0004945:Homo:sapiens:miR-744-5p	181	17615	17615.0	0.0
hsa-miR-128-3p:MIMAT0000424:Homo:sapiens:miR-128-3p	265	15153	15153.0	0.0
hsa-miR-409-3p:MIMAT0001639:Homo:sapiens:miR-409-3p	269	14628	14628.0	0.0
hsa-miR-451a:MIMAT0001631:Homo:sapiens:miR-451a	100	14590	14590.0	0.0
hsa-miR-21-5p:MIMAT0000076:Homo:sapiens:miR-21-5p	192	12665	12665.0	0.0
hsa-miR-1307-3p:MIMAT0005951:Homo:sapiens:miR-1307-3p	286	11333	11333.0	0.0
hsa-let-7g-5p:MIMAT0000414:Homo:sapiens:let-7g-5p	131	7375	7370.5	0.0
hsa-miR-24-3p:MIMAT0000080:Homo:sapiens:miR-24-3p	134	7167	7167.0	0.0
hsa-miR-99a-5p:MIMAT0000097:Homo:sapiens:miR-99a-5p	119	6644	6634.5	0.0
hsa-miR-432-5p:MIMAT0002814:Homo:sapiens:miR-432-5p	157	5695	5695.0	0.0
hsa-miR-584-5p:MIMAT0003249:Homo:sapiens:miR-584-5p	132	5497	5497.0	0.0
hsa-let-7d-3p:MIMAT0004484:Homo:sapiens:let-7d-3p	141	4842	4841.5	0.0
hsa-miR-222-3p:MIMAT0000279:Homo:sapiens:miR-222-3p	190	4609	4609.0	0.0
hsa-miR-146a-5p:MIMAT0000449:Homo:sapiens:miR-146a-5p	135	4559	4558.5	0.0
hsa-let-7e-5p:MIMAT0000066:Homo:sapiens:let-7e-5p	119	4683	4422.0	0.0
hsa-miR-99b-5p:MIMAT0000689:Homo:sapiens:miR-99b-5p	135	4418	4418.0	0.0
hsa-let-7c-5p:MIMAT0000064:Homo:sapiens:let-7c-5p	110	7257	4416.95	0.0
hsa-let-7d-5p:MIMAT0000065:Homo:sapiens:let-7d-5p	120	4340	4193.0	0.0
hsa-miR-25-3p:MIMAT0000081:Homo:sapiens:miR-25-3p	112	4171	4171.0	0.0
hsa-miR-625-3p:MIMAT0004808:Homo:sapiens:miR-625-3p	170	4045	4045.0	0.0
hsa-miR-543:MIMAT0004954:Homo:sapiens:miR-543	127	3791	3791.0	0.0
hsa-miR-134-5p:MIMAT0000447:Homo:sapiens:miR-134-5p	109	3694	3694.0	0.0
hsa-miR-10a-5p:MIMAT0000253:Homo:sapiens:miR-10a-5p	116	3346	3346.0	0.0
hsa-miR-378a-3p:MIMAT0000732:Homo:sapiens:miR-378a-3p	88	3096	3083.833333333334	0.0
hsa-miR-146b-5p:MIMAT0002809:Homo:sapiens:miR-146b-5p	117	3048	3047.5	0.0
hsa-miR-140-3p:MIMAT0004597:Homo:sapiens:miR-140-3p	133	2889	2889.0	0.0
hsa-miR-4446-3p:MIMAT0018965:Homo:sapiens:miR-4446-3p	109	2886	2886.0	0.0
hsa-miR-370-3p:MIMAT0000722:Homo:sapiens:miR-370-3p	66	2806	2806.0	0.0
hsa-miR-185-5p:MIMAT0000455:Homo:sapiens:miR-185-5p	83	2739	2739.0	0.0
hsa-miR-28-3p:MIMAT0004502:Homo:sapiens:miR-28-3p	140	2509	2509.0	0.0
hsa-miR-320b:MIMAT0005792:Homo:sapiens:miR-320b	163	4930	2503.166666666667	0.0
hsa-miR-143-3p:MIMAT0000435:Homo:sapiens:miR-143-3p	54	2433	2433.0	0.0
hsa-miR-106b-3p:MIMAT0004672:Homo:sapiens:miR-106b-3p	84	2432	2432.0	0.0
hsa-miR-382-5p:MIMAT0000737:Homo:sapiens:miR-382-5p	86	2277	2277.0	0.0
hsa-miR-191-5p:MIMAT0000440:Homo:sapiens:miR-191-5p	79	2212	2212.0	0.0
hsa-miR-485-5p:MIMAT0002175:Homo:sapiens:miR-485-5p	88	2195	2195.0	0.0
hsa-miR-941:MIMAT0004984:Homo:sapiens:miR-941	52	2138	2138.0	0.0
hsa-miR-328-3p:MIMAT0000752:Homo:sapiens:miR-328-3p	61	2122	2122.0	0.0
hsa-miR-10b-5p:MIMAT0000254:Homo:sapiens:miR-10b-5p	88	2093	2093.0	0.0
hsa-miR-125a-5p:MIMAT0000443:Homo:sapiens:miR-125a-5p	68	1868	1868.0	0.0
hsa-miR-223-5p:MIMAT0004570:Homo:sapiens:miR-223-5p	94	1838	1838.0	0.0
hsa-miR-22-3p:MIMAT0000077:Homo:sapiens:miR-22-3p	52	1834	1834.0	0.0
hsa-miR-30e-3p:MIMAT0000693:Homo:sapiens:miR-30e-3p	52	1834	1833.5	0.0
hsa-miR-671-3p:MIMAT0004819:Homo:sapiens:miR-671-3p	92	1755	1755.0	0.0
hsa-miR-375:MIMAT0000728:Homo:sapiens:miR-375	86	1686	1686.0	0.0
hsa-miR-130b-5p:MIMAT0004680:Homo:sapiens:miR-130b-5p	53	1580	1580.0	0.0
hsa-miR-139-3p:MIMAT0004552:Homo:sapiens:miR-139-3p	68	1469	1469.0	0.0
hsa-miR-330-3p:MIMAT0000751:Homo:sapiens:miR-330-3p	93	1397	1397.0	0.0
hsa-miR-493-3p:MIMAT0003161:Homo:sapiens:miR-493-3p	41	1380	1380.0	0.0
hsa-miR-221-3p:MIMAT0000278:Homo:sapiens:miR-221-3p	74	1314	1314.0	0.0
