ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-151a-3p:MIMAT0000757:Homo:sapiens:miR-151a-3p	671	280483	280483.0	0.0
hsa-miR-423-5p:MIMAT0004748:Homo:sapiens:miR-423-5p	472	211460	211460.0	0.0
hsa-miR-122-5p:MIMAT0000421:Homo:sapiens:miR-122-5p	435	192154	192154.0	0.0
hsa-miR-486-5p:MIMAT0002177:Homo:sapiens:miR-486-5p	566	109057	109057.0	0.0
hsa-miR-148a-3p:MIMAT0000243:Homo:sapiens:miR-148a-3p	170	107973	107973.0	0.0
hsa-let-7i-5p:MIMAT0000415:Homo:sapiens:let-7i-5p	238	90234	90226.5	0.0
hsa-let-7b-5p:MIMAT0000063:Homo:sapiens:let-7b-5p	457	87840	87715.2	0.0
hsa-let-7a-5p:MIMAT0000062:Homo:sapiens:let-7a-5p	217	38742	36543.0	0.0
hsa-miR-320a:MIMAT0000510:Homo:sapiens:miR-320a	477	37885	35904.23333333335	0.0
hsa-miR-30d-5p:MIMAT0000245:Homo:sapiens:miR-30d-5p	365	34912	34897.0	0.0
hsa-miR-92a-3p:MIMAT0000092:Homo:sapiens:miR-92a-3p	281	31442	31439.0	0.0
hsa-miR-423-3p:MIMAT0001340:Homo:sapiens:miR-423-3p	323	26795	26795.0	0.0
hsa-miR-409-3p:MIMAT0001639:Homo:sapiens:miR-409-3p	311	24039	24039.0	0.0
hsa-let-7f-5p:MIMAT0000067:Homo:sapiens:let-7f-5p	181	17701	17701.0	0.0
hsa-miR-744-5p:MIMAT0004945:Homo:sapiens:miR-744-5p	154	16837	16837.0	0.0
hsa-miR-21-5p:MIMAT0000076:Homo:sapiens:miR-21-5p	174	14339	14339.0	0.0
hsa-miR-126-3p:MIMAT0000445:Homo:sapiens:miR-126-3p	253	12568	12568.0	0.0
hsa-miR-128-3p:MIMAT0000424:Homo:sapiens:miR-128-3p	218	12412	12412.0	0.0
hsa-miR-1307-3p:MIMAT0005951:Homo:sapiens:miR-1307-3p	261	12117	12117.0	0.0
hsa-miR-451a:MIMAT0001631:Homo:sapiens:miR-451a	80	10248	10248.0	0.0
hsa-miR-222-3p:MIMAT0000279:Homo:sapiens:miR-222-3p	211	8137	8137.0	0.0
hsa-miR-26a-5p:MIMAT0000082:Homo:sapiens:miR-26a-5p	90	7741	7741.0	0.0
hsa-miR-432-5p:MIMAT0002814:Homo:sapiens:miR-432-5p	180	7473	7473.0	0.0
hsa-miR-24-3p:MIMAT0000080:Homo:sapiens:miR-24-3p	102	5077	5077.0	0.0
hsa-miR-584-5p:MIMAT0003249:Homo:sapiens:miR-584-5p	138	4949	4949.0	0.0
hsa-miR-99b-5p:MIMAT0000689:Homo:sapiens:miR-99b-5p	131	4633	4633.0	0.0
hsa-let-7g-5p:MIMAT0000414:Homo:sapiens:let-7g-5p	106	4469	4462.0	0.0
hsa-miR-25-3p:MIMAT0000081:Homo:sapiens:miR-25-3p	114	4358	4358.0	0.0
hsa-miR-485-5p:MIMAT0002175:Homo:sapiens:miR-485-5p	115	4312	4312.0	0.0
hsa-miR-625-3p:MIMAT0004808:Homo:sapiens:miR-625-3p	136	4181	4181.0	0.0
hsa-let-7d-3p:MIMAT0004484:Homo:sapiens:let-7d-3p	101	3876	3876.0	0.0
hsa-miR-99a-5p:MIMAT0000097:Homo:sapiens:miR-99a-5p	82	3741	3735.0	0.0
hsa-miR-140-3p:MIMAT0004597:Homo:sapiens:miR-140-3p	120	3646	3646.0	0.0
hsa-miR-4446-3p:MIMAT0018965:Homo:sapiens:miR-4446-3p	94	3616	3616.0	0.0
hsa-miR-10a-5p:MIMAT0000253:Homo:sapiens:miR-10a-5p	108	3494	3494.0	0.0
hsa-let-7e-5p:MIMAT0000066:Homo:sapiens:let-7e-5p	95	3755	3483.5	0.0
hsa-miR-134-5p:MIMAT0000447:Homo:sapiens:miR-134-5p	103	3406	3406.0	0.0
hsa-miR-543:MIMAT0004954:Homo:sapiens:miR-543	111	3367	3367.0	0.0
hsa-miR-941:MIMAT0004984:Homo:sapiens:miR-941	64	3212	3212.0	0.0
hsa-let-7c-5p:MIMAT0000064:Homo:sapiens:let-7c-5p	101	5136	3170.366666666667	0.0
hsa-miR-28-3p:MIMAT0004502:Homo:sapiens:miR-28-3p	111	3076	3076.0	0.0
hsa-miR-106b-3p:MIMAT0004672:Homo:sapiens:miR-106b-3p	79	2643	2643.0	0.0
hsa-miR-370-3p:MIMAT0000722:Homo:sapiens:miR-370-3p	60	2620	2620.0	0.0
hsa-miR-671-3p:MIMAT0004819:Homo:sapiens:miR-671-3p	115	2581	2581.0	0.0
hsa-miR-4433b-3p:MIMAT0030414:Homo:sapiens:miR-4433b-3p	73	2501	2501.0	0.0
hsa-miR-146a-5p:MIMAT0000449:Homo:sapiens:miR-146a-5p	91	2469	2468.5	0.0
hsa-miR-127-3p:MIMAT0000446:Homo:sapiens:miR-127-3p	131	2380	2380.0	0.0
hsa-miR-223-5p:MIMAT0004570:Homo:sapiens:miR-223-5p	113	2276	2276.0	0.0
hsa-miR-382-5p:MIMAT0000737:Homo:sapiens:miR-382-5p	74	2209	2209.0	0.0
hsa-miR-146b-5p:MIMAT0002809:Homo:sapiens:miR-146b-5p	76	2169	2169.0	0.0
hsa-let-7d-5p:MIMAT0000065:Homo:sapiens:let-7d-5p	98	2246	2152.0	0.0
hsa-miR-378a-3p:MIMAT0000732:Homo:sapiens:miR-378a-3p	78	1997	1974.8333333333333	0.0
hsa-miR-139-3p:MIMAT0004552:Homo:sapiens:miR-139-3p	70	1965	1965.0	0.0
hsa-miR-143-3p:MIMAT0000435:Homo:sapiens:miR-143-3p	50	1958	1958.0	0.0
hsa-miR-375:MIMAT0000728:Homo:sapiens:miR-375	86	1950	1950.0	0.0
hsa-miR-328-3p:MIMAT0000752:Homo:sapiens:miR-328-3p	48	1842	1842.0	0.0
hsa-miR-320b:MIMAT0005792:Homo:sapiens:miR-320b	140	3820	1839.7333333333327	0.0
hsa-miR-10b-5p:MIMAT0000254:Homo:sapiens:miR-10b-5p	76	1836	1836.0	0.0
hsa-miR-191-5p:MIMAT0000440:Homo:sapiens:miR-191-5p	63	1739	1739.0	0.0
hsa-miR-3615:MIMAT0017994:Homo:sapiens:miR-3615	61	1558	1558.0	0.0
hsa-miR-30e-3p:MIMAT0000693:Homo:sapiens:miR-30e-3p	53	1537	1536.5	0.0
hsa-miR-361-3p:MIMAT0004682:Homo:sapiens:miR-361-3p	65	1511	1511.0	0.0
hsa-miR-654-5p:MIMAT0003330:Homo:sapiens:miR-654-5p	63	1457	1457.0	0.0
hsa-miR-6842-3p:MIMAT0027587:Homo:sapiens:miR-6842-3p	45	1408	1408.0	0.0
hsa-miR-221-3p:MIMAT0000278:Homo:sapiens:miR-221-3p	57	1403	1403.0	0.0
hsa-miR-125a-5p:MIMAT0000443:Homo:sapiens:miR-125a-5p	54	1396	1396.0	0.0
hsa-miR-148b-3p:MIMAT0000759:Homo:sapiens:miR-148b-3p	63	1388	1388.0	0.0
hsa-miR-185-5p:MIMAT0000455:Homo:sapiens:miR-185-5p	43	1384	1384.0	0.0
hsa-miR-22-3p:MIMAT0000077:Homo:sapiens:miR-22-3p	53	1372	1372.0	0.0
hsa-miR-330-3p:MIMAT0000751:Homo:sapiens:miR-330-3p	67	1313	1313.0	0.0
hsa-miR-342-5p:MIMAT0004694:Homo:sapiens:miR-342-5p	80	1240	1240.0	0.0
hsa-miR-629-5p:MIMAT0004810:Homo:sapiens:miR-629-5p	54	1227	1227.0	0.0
hsa-miR-192-5p:MIMAT0000222:Homo:sapiens:miR-192-5p	71	1097	1095.5	0.0
hsa-miR-493-3p:MIMAT0003161:Homo:sapiens:miR-493-3p	33	1030	1030.0	0.0
hsa-miR-320c:MIMAT0005793:Homo:sapiens:miR-320c	93	2119	940.3000000000003	0.0
hsa-miR-130b-5p:MIMAT0004680:Homo:sapiens:miR-130b-5p	41	854	854.0	0.0
hsa-miR-381-3p:MIMAT0000736:Homo:sapiens:miR-381-3p	26	783	783.0	0.0
hsa-miR-27b-3p:MIMAT0000419:Homo:sapiens:miR-27b-3p	48	790	781.5	0.0
hsa-miR-101-3p:MIMAT0000099:Homo:sapiens:miR-101-3p	47	752	752.0	0.0
hsa-miR-224-5p:MIMAT0000281:Homo:sapiens:miR-224-5p	47	736	736.0	0.0
hsa-miR-532-5p:MIMAT0002888:Homo:sapiens:miR-532-5p	32	712	712.0	0.0
hsa-miR-7-5p:MIMAT0000252:Homo:sapiens:miR-7-5p	39	701	701.0	0.0
hsa-miR-379-5p:MIMAT0000733:Homo:sapiens:miR-379-5p	28	696	696.0	0.0
