ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-320a:MIMAT0000510:Homo:sapiens:miR-320a	541	239480	233811.95000000004	30520.116666666658
hsa-miR-24-3p:MIMAT0000080:Homo:sapiens:miR-24-3p	253	177228	177228.0	11097.0
hsa-let-7b-5p:MIMAT0000063:Homo:sapiens:let-7b-5p	380	175958	175698.5	20895.0
hsa-let-7a-5p:MIMAT0000062:Homo:sapiens:let-7a-5p	232	128884	127011.5	12311.5
hsa-miR-223-3p:MIMAT0000280:Homo:sapiens:miR-223-3p	284	109690	109690.0	12748.0
hsa-miR-221-3p:MIMAT0000278:Homo:sapiens:miR-221-3p	298	89655	89655.0	10401.0
hsa-miR-423-5p:MIMAT0004748:Homo:sapiens:miR-423-5p	258	88234	88234.0	9522.0
hsa-miR-21-5p:MIMAT0000076:Homo:sapiens:miR-21-5p	211	81619	81619.0	6886.0
hsa-miR-122-5p:MIMAT0000421:Homo:sapiens:miR-122-5p	147	61682	61682.0	6542.0
hsa-let-7i-5p:MIMAT0000415:Homo:sapiens:let-7i-5p	175	59464	59452.0	6570.5
hsa-let-7d-5p:MIMAT0000065:Homo:sapiens:let-7d-5p	198	54793	54710.0	5816.5
hsa-miR-92a-3p:MIMAT0000092:Homo:sapiens:miR-92a-3p	205	46936	46934.0	5831.0
hsa-let-7g-5p:MIMAT0000414:Homo:sapiens:let-7g-5p	145	41733	41721.0	4064.5
hsa-miR-26a-5p:MIMAT0000082:Homo:sapiens:miR-26a-5p	210	40787	40774.0	5674.0
hsa-miR-103a-3p:MIMAT0000101:Homo:sapiens:miR-103a-3p	188	40692	39132.5	4254.5
hsa-miR-25-3p:MIMAT0000081:Homo:sapiens:miR-25-3p	143	38426	38424.5	5069.5
hsa-miR-146a-5p:MIMAT0000449:Homo:sapiens:miR-146a-5p	142	37140	37140.0	3751.0
hsa-miR-451a:MIMAT0001631:Homo:sapiens:miR-451a	224	37005	37005.0	4625.0
hsa-let-7f-5p:MIMAT0000067:Homo:sapiens:let-7f-5p	120	35032	35018.5	3470.5
hsa-miR-93-5p:MIMAT0000093:Homo:sapiens:miR-93-5p	149	33162	33162.0	3843.0
hsa-miR-185-5p:MIMAT0000455:Homo:sapiens:miR-185-5p	108	32786	32786.0	3003.0
hsa-miR-26b-5p:MIMAT0000083:Homo:sapiens:miR-26b-5p	146	32530	32529.0	4483.0
hsa-miR-126-3p:MIMAT0000445:Homo:sapiens:miR-126-3p	209	30560	30560.0	4676.0
hsa-miR-16-5p:MIMAT0000069:Homo:sapiens:miR-16-5p	159	30311	30300.0	4289.0
hsa-miR-17-5p:MIMAT0000070:Homo:sapiens:miR-17-5p	175	30428	27874.166666666664	3536.8333333333335
hsa-miR-486-5p:MIMAT0002177:Homo:sapiens:miR-486-5p	150	27684	27684.0	4110.0
hsa-miR-30d-5p:MIMAT0000245:Homo:sapiens:miR-30d-5p	219	26696	26686.5	4297.0
hsa-miR-181a-5p:MIMAT0000256:Homo:sapiens:miR-181a-5p	269	25232	25232.0	3816.0
hsa-miR-222-3p:MIMAT0000279:Homo:sapiens:miR-222-3p	196	22532	22532.0	3737.0
hsa-miR-19b-3p:MIMAT0000074:Homo:sapiens:miR-19b-3p	86	19426	19422.5	2248.0
hsa-miR-382-5p:MIMAT0000737:Homo:sapiens:miR-382-5p	91	15969	15969.0	2032.0
hsa-miR-425-5p:MIMAT0003393:Homo:sapiens:miR-425-5p	173	15790	15790.0	2723.0
hsa-miR-30e-5p:MIMAT0000692:Homo:sapiens:miR-30e-5p	103	14592	14591.5	2159.5
hsa-miR-199b-3p:MIMAT0004563:Homo:sapiens:miR-199b-3p|hsa-miR-199a-3p:MIMAT0000232:Homo:sapiens:miR-199a-3p	89	14539	14539.0	1929.0
hsa-miR-23a-3p:MIMAT0000078:Homo:sapiens:miR-23a-3p	86	14830	14521.0	2222.0
hsa-miR-484:MIMAT0002174:Homo:sapiens:miR-484	133	13914	13914.0	2500.0
hsa-miR-1307-3p:MIMAT0005951:Homo:sapiens:miR-1307-3p	209	13202	13202.0	2930.0
hsa-miR-432-5p:MIMAT0002814:Homo:sapiens:miR-432-5p	132	11646	11646.0	2380.0
hsa-miR-142-3p:MIMAT0000434:Homo:sapiens:miR-142-3p	91	10302	10302.0	1499.0
hsa-miR-652-3p:MIMAT0003322:Homo:sapiens:miR-652-3p	61	9488	9488.0	1224.0
hsa-miR-20a-5p:MIMAT0000075:Homo:sapiens:miR-20a-5p	95	9221	9194.0	1472.5
hsa-let-7e-5p:MIMAT0000066:Homo:sapiens:let-7e-5p	94	10335	9032.0	1632.0
hsa-miR-22-3p:MIMAT0000077:Homo:sapiens:miR-22-3p	50	8762	8762.0	1246.0
hsa-miR-191-5p:MIMAT0000440:Homo:sapiens:miR-191-5p	95	8680	8680.0	1261.0
hsa-miR-186-5p:MIMAT0000456:Homo:sapiens:miR-186-5p	73	8274	8274.0	1411.0
hsa-miR-151a-3p:MIMAT0000757:Homo:sapiens:miR-151a-3p	75	8135	8135.0	1378.0
hsa-miR-126-5p:MIMAT0000444:Homo:sapiens:miR-126-5p	77	8033	8033.0	1486.0
hsa-miR-130a-3p:MIMAT0000425:Homo:sapiens:miR-130a-3p	82	7152	7152.0	1172.0
hsa-miR-140-3p:MIMAT0004597:Homo:sapiens:miR-140-3p	94	6572	6572.0	1223.0
hsa-miR-15b-5p:MIMAT0000417:Homo:sapiens:miR-15b-5p	54	6418	6418.0	1121.0
hsa-let-7d-3p:MIMAT0004484:Homo:sapiens:let-7d-3p	57	6186	6186.0	987.0
hsa-miR-4433b-5p:MIMAT0030413:Homo:sapiens:miR-4433b-5p	62	6141	6141.0	1008.0
hsa-miR-744-5p:MIMAT0004945:Homo:sapiens:miR-744-5p	73	6032	6032.0	1065.0
hsa-miR-98-5p:MIMAT0000096:Homo:sapiens:miR-98-5p	55	6023	6023.0	991.0
hsa-miR-15a-5p:MIMAT0000068:Homo:sapiens:miR-15a-5p	53	5907	5907.0	1023.0
hsa-miR-101-3p:MIMAT0000099:Homo:sapiens:miR-101-3p	62	5823	5823.0	776.0
hsa-miR-23b-3p:MIMAT0000418:Homo:sapiens:miR-23b-3p	71	5940	5634.0	1008.5
hsa-miR-19a-3p:MIMAT0000073:Homo:sapiens:miR-19a-3p	47	5610	5606.5	824.0
hsa-miR-18a-5p:MIMAT0000072:Homo:sapiens:miR-18a-5p	50	5152	5124.0	905.0
hsa-miR-134-5p:MIMAT0000447:Homo:sapiens:miR-134-5p	60	5094	5094.0	861.0
hsa-miR-106b-5p:MIMAT0000680:Homo:sapiens:miR-106b-5p	46	4607	4602.166666666666	809.8333333333334
hsa-miR-151b:MIMAT0010214:Homo:sapiens:miR-151b|hsa-miR-151a-5p:MIMAT0004697:Homo:sapiens:miR-151a-5p	21	4479	4306.0	731.0
hsa-miR-30c-5p:MIMAT0000244:Homo:sapiens:miR-30c-5p	66	4179	4173.0	761.5
hsa-miR-409-3p:MIMAT0001639:Homo:sapiens:miR-409-3p	62	3979	3979.0	812.0
hsa-miR-320b:MIMAT0005792:Homo:sapiens:miR-320b	129	9591	3924.7000000000003	853.8666666666669
