ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-92a-3p:MIMAT0000092:Homo:sapiens:miR-92a-3p	362	55496	55496.0	30715.0
hsa-miR-486-5p:MIMAT0002177:Homo:sapiens:miR-486-5p	275	33424	33424.0	21724.0
hsa-miR-21-5p:MIMAT0000076:Homo:sapiens:miR-21-5p	122	20332	20332.0	11616.0
hsa-miR-423-5p:MIMAT0004748:Homo:sapiens:miR-423-5p	188	19445	19445.0	12814.0
hsa-miR-30d-5p:MIMAT0000245:Homo:sapiens:miR-30d-5p	178	18636	18632.0	13188.5
hsa-miR-221-3p:MIMAT0000278:Homo:sapiens:miR-221-3p	183	18595	18595.0	9733.0
hsa-miR-320a:MIMAT0000510:Homo:sapiens:miR-320a	268	16467	16072.41666666667	11554.583333333336
hsa-miR-223-3p:MIMAT0000280:Homo:sapiens:miR-223-3p	166	15098	15098.0	10357.0
hsa-miR-23a-3p:MIMAT0000078:Homo:sapiens:miR-23a-3p	129	14709	14650.833333333334	7272.333333333333
hsa-miR-146a-5p:MIMAT0000449:Homo:sapiens:miR-146a-5p	126	14264	14264.0	9121.0
hsa-let-7b-5p:MIMAT0000063:Homo:sapiens:let-7b-5p	186	14115	14087.0	9718.0
hsa-miR-24-3p:MIMAT0000080:Homo:sapiens:miR-24-3p	111	11521	11521.0	5309.0
hsa-miR-103a-3p:MIMAT0000101:Homo:sapiens:miR-103a-3p	148	11351	11016.0	7030.5
hsa-miR-26a-5p:MIMAT0000082:Homo:sapiens:miR-26a-5p	168	10417	10403.5	7249.5
hsa-let-7i-5p:MIMAT0000415:Homo:sapiens:let-7i-5p	105	9520	9520.0	5601.0
hsa-miR-423-3p:MIMAT0001340:Homo:sapiens:miR-423-3p	165	9396	9396.0	7129.0
hsa-miR-451a:MIMAT0001631:Homo:sapiens:miR-451a	81	8903	8903.0	6309.0
hsa-miR-25-3p:MIMAT0000081:Homo:sapiens:miR-25-3p	93	8240	8240.0	5856.0
hsa-miR-191-5p:MIMAT0000440:Homo:sapiens:miR-191-5p	132	8025	8025.0	6041.0
hsa-miR-16-5p:MIMAT0000069:Homo:sapiens:miR-16-5p	98	7502	7502.0	3720.0
hsa-miR-30e-5p:MIMAT0000692:Homo:sapiens:miR-30e-5p	87	7458	7458.0	5486.0
hsa-miR-151b:MIMAT0010214:Homo:sapiens:miR-151b|hsa-miR-151a-5p:MIMAT0004697:Homo:sapiens:miR-151a-5p	41	7543	7364.0	5015.5
hsa-let-7a-5p:MIMAT0000062:Homo:sapiens:let-7a-5p	120	7219	7121.0	5355.0
hsa-miR-126-3p:MIMAT0000445:Homo:sapiens:miR-126-3p	114	6853	6853.0	4006.0
hsa-miR-199b-3p:MIMAT0004563:Homo:sapiens:miR-199b-3p|hsa-miR-199a-3p:MIMAT0000232:Homo:sapiens:miR-199a-3p	77	5841	5841.0	3718.0
hsa-miR-151a-3p:MIMAT0000757:Homo:sapiens:miR-151a-3p	114	5628	5628.0	4449.0
hsa-miR-652-3p:MIMAT0003322:Homo:sapiens:miR-652-3p	86	5512	5512.0	2874.0
hsa-let-7g-5p:MIMAT0000414:Homo:sapiens:let-7g-5p	54	5398	5398.0	2650.0
hsa-miR-484:MIMAT0002174:Homo:sapiens:miR-484	144	5287	5287.0	3808.0
hsa-miR-22-3p:MIMAT0000077:Homo:sapiens:miR-22-3p	57	5112	5112.0	2956.0
hsa-let-7f-5p:MIMAT0000067:Homo:sapiens:let-7f-5p	71	4793	4793.0	3362.0
hsa-miR-140-3p:MIMAT0004597:Homo:sapiens:miR-140-3p	127	4789	4789.0	3883.0
hsa-miR-93-5p:MIMAT0000093:Homo:sapiens:miR-93-5p	88	4763	4763.0	3001.0
hsa-let-7d-5p:MIMAT0000065:Homo:sapiens:let-7d-5p	77	4756	4752.5	3254.0
hsa-miR-584-5p:MIMAT0003249:Homo:sapiens:miR-584-5p	113	4178	4178.0	3140.0
hsa-miR-222-3p:MIMAT0000279:Homo:sapiens:miR-222-3p	131	3810	3810.0	2282.0
hsa-miR-425-5p:MIMAT0003393:Homo:sapiens:miR-425-5p	83	3516	3516.0	2355.0
hsa-miR-181a-5p:MIMAT0000256:Homo:sapiens:miR-181a-5p	86	3405	3405.0	2626.0
hsa-miR-122-5p:MIMAT0000421:Homo:sapiens:miR-122-5p	56	3350	3350.0	2311.0
hsa-miR-186-5p:MIMAT0000456:Homo:sapiens:miR-186-5p	100	3256	3256.0	2602.0
hsa-miR-744-5p:MIMAT0004945:Homo:sapiens:miR-744-5p	73	3192	3192.0	2507.0
hsa-miR-27b-3p:MIMAT0000419:Homo:sapiens:miR-27b-3p	77	2907	2902.0	2114.0
hsa-miR-4433b-5p:MIMAT0030413:Homo:sapiens:miR-4433b-5p	91	2624	2624.0	2071.0
hsa-miR-126-5p:MIMAT0000444:Homo:sapiens:miR-126-5p	50	2603	2603.0	1931.0
hsa-miR-26b-5p:MIMAT0000083:Homo:sapiens:miR-26b-5p	64	2340	2340.0	1795.0
hsa-miR-27a-3p:MIMAT0000084:Homo:sapiens:miR-27a-3p	103	2173	2168.0	1631.0
hsa-miR-101-3p:MIMAT0000099:Homo:sapiens:miR-101-3p	64	2148	2148.0	1710.0
hsa-miR-148b-3p:MIMAT0000759:Homo:sapiens:miR-148b-3p	43	2106	2106.0	1325.0
hsa-miR-185-5p:MIMAT0000455:Homo:sapiens:miR-185-5p	52	1879	1879.0	1316.0
hsa-miR-151a-5p:MIMAT0004697:Homo:sapiens:miR-151a-5p	41	1845	1840.0	1457.0
hsa-miR-29a-3p:MIMAT0000086:Homo:sapiens:miR-29a-3p	51	1822	1822.0	1311.0
hsa-miR-148a-3p:MIMAT0000243:Homo:sapiens:miR-148a-3p	39	1772	1772.0	1262.0
hsa-miR-409-3p:MIMAT0001639:Homo:sapiens:miR-409-3p	78	1684	1684.0	1356.0
hsa-miR-1307-3p:MIMAT0005951:Homo:sapiens:miR-1307-3p	61	1668	1668.0	1295.0
hsa-let-7d-3p:MIMAT0004484:Homo:sapiens:let-7d-3p	50	1615	1615.0	1206.0
hsa-miR-199a-5p:MIMAT0000231:Homo:sapiens:miR-199a-5p	33	1512	1512.0	1241.0
hsa-miR-23b-3p:MIMAT0000418:Homo:sapiens:miR-23b-3p	70	1548	1489.8333333333333	1135.3333333333335
hsa-miR-125a-5p:MIMAT0000443:Homo:sapiens:miR-125a-5p	51	1475	1475.0	1134.0
hsa-miR-28-3p:MIMAT0004502:Homo:sapiens:miR-28-3p	79	1435	1435.0	1184.0
hsa-miR-142-5p:MIMAT0000433:Homo:sapiens:miR-142-5p	42	1276	1276.0	1065.0
hsa-miR-328-3p:MIMAT0000752:Homo:sapiens:miR-328-3p	59	1271	1271.0	1006.0
hsa-miR-106b-3p:MIMAT0004672:Homo:sapiens:miR-106b-3p	60	1254	1254.0	1010.0
hsa-miR-378a-3p:MIMAT0000732:Homo:sapiens:miR-378a-3p	60	1126	1094.0	921.5
hsa-miR-382-5p:MIMAT0000737:Homo:sapiens:miR-382-5p	28	1035	1035.0	768.0
hsa-miR-98-5p:MIMAT0000096:Homo:sapiens:miR-98-5p	26	1022	1022.0	707.0
hsa-miR-17-5p:MIMAT0000070:Homo:sapiens:miR-17-5p	52	1153	1013.0	778.0
hsa-miR-128-3p:MIMAT0000424:Homo:sapiens:miR-128-3p	46	990	990.0	695.0
hsa-miR-106b-5p:MIMAT0000680:Homo:sapiens:miR-106b-5p	45	955	955.0	693.0
hsa-miR-134-5p:MIMAT0000447:Homo:sapiens:miR-134-5p	49	937	937.0	760.0
hsa-miR-19b-3p:MIMAT0000074:Homo:sapiens:miR-19b-3p	25	907	907.0	540.0
hsa-miR-152-3p:MIMAT0000438:Homo:sapiens:miR-152-3p	45	864	864.0	681.0
hsa-miR-4286:MIMAT0016916:Homo:sapiens:miR-4286	21	842	842.0	533.0
hsa-miR-361-5p:MIMAT0000703:Homo:sapiens:miR-361-5p	43	838	838.0	678.0
hsa-miR-30a-5p:MIMAT0000087:Homo:sapiens:miR-30a-5p	42	809	808.5	682.5
hsa-miR-432-5p:MIMAT0002814:Homo:sapiens:miR-432-5p	55	795	795.0	648.0
hsa-miR-130b-3p:MIMAT0000691:Homo:sapiens:miR-130b-3p	46	767	767.0	551.0
hsa-miR-15b-5p:MIMAT0000417:Homo:sapiens:miR-15b-5p	29	761	761.0	568.0
hsa-miR-330-3p:MIMAT0000751:Homo:sapiens:miR-330-3p	56	759	759.0	634.0
hsa-miR-143-3p:MIMAT0000435:Homo:sapiens:miR-143-3p	34	754	754.0	605.0
hsa-miR-224-5p:MIMAT0000281:Homo:sapiens:miR-224-5p	34	744	744.0	574.0
hsa-miR-99b-5p:MIMAT0000689:Homo:sapiens:miR-99b-5p	38	739	739.0	626.0
hsa-miR-28-5p:MIMAT0000085:Homo:sapiens:miR-28-5p	24	727	727.0	573.0
hsa-miR-29c-3p:MIMAT0000681:Homo:sapiens:miR-29c-3p	34	721	721.0	509.0
hsa-miR-3615:MIMAT0017994:Homo:sapiens:miR-3615	55	694	694.0	573.0
hsa-miR-130a-3p:MIMAT0000425:Homo:sapiens:miR-130a-3p	40	681	681.0	527.0
hsa-miR-146b-5p:MIMAT0002809:Homo:sapiens:miR-146b-5p	44	627	627.0	523.0
hsa-miR-150-5p:MIMAT0000451:Homo:sapiens:miR-150-5p	35	605	605.0	438.0
hsa-miR-127-3p:MIMAT0000446:Homo:sapiens:miR-127-3p	48	589	589.0	492.0
hsa-miR-1301-3p:MIMAT0005797:Homo:sapiens:miR-1301-3p	52	587	587.0	497.0
hsa-miR-181b-5p:MIMAT0000257:Homo:sapiens:miR-181b-5p	68	548	530.5	432.5
hsa-miR-1307-5p:MIMAT0022727:Homo:sapiens:miR-1307-5p	30	513	513.0	420.0
hsa-miR-107:MIMAT0000104:Homo:sapiens:miR-107	59	842	507.0	408.5
hsa-miR-339-3p:MIMAT0004702:Homo:sapiens:miR-339-3p	46	493	493.0	388.0
hsa-miR-30c-5p:MIMAT0000244:Homo:sapiens:miR-30c-5p	35	478	478.0	394.0
hsa-let-7e-5p:MIMAT0000066:Homo:sapiens:let-7e-5p	44	537	477.5	431.5
hsa-miR-142-3p:MIMAT0000434:Homo:sapiens:miR-142-3p	28	469	469.0	373.0
hsa-miR-374a-5p:MIMAT0000727:Homo:sapiens:miR-374a-5p	20	467	467.0	284.0
hsa-miR-335-5p:MIMAT0000765:Homo:sapiens:miR-335-5p	23	458	458.0	371.0
hsa-miR-326:MIMAT0000756:Homo:sapiens:miR-326	40	427	427.0	356.0
hsa-miR-339-5p:MIMAT0000764:Homo:sapiens:miR-339-5p	39	426	426.0	332.0
hsa-miR-485-3p:MIMAT0002176:Homo:sapiens:miR-485-3p	20	413	413.0	302.0
hsa-miR-125b-5p:MIMAT0000423:Homo:sapiens:miR-125b-5p	25	411	411.0	337.0
hsa-miR-370-3p:MIMAT0000722:Homo:sapiens:miR-370-3p	48	403	403.0	328.0
hsa-miR-20a-5p:MIMAT0000075:Homo:sapiens:miR-20a-5p	29	401	400.0	330.0
hsa-miR-345-5p:MIMAT0000772:Homo:sapiens:miR-345-5p	48	396	396.0	323.0
hsa-miR-181c-5p:MIMAT0000258:Homo:sapiens:miR-181c-5p	21	375	375.0	319.0
hsa-miR-15a-5p:MIMAT0000068:Homo:sapiens:miR-15a-5p	34	371	371.0	306.0
hsa-miR-324-5p:MIMAT0000761:Homo:sapiens:miR-324-5p	20	362	362.0	297.0
hsa-miR-324-3p:MIMAT0000762:Homo:sapiens:miR-324-3p	56	360	360.0	280.0
hsa-let-7c-5p:MIMAT0000064:Homo:sapiens:let-7c-5p	40	415	353.5	286.5
hsa-miR-361-3p:MIMAT0004682:Homo:sapiens:miR-361-3p	35	349	349.0	293.0
hsa-miR-99a-5p:MIMAT0000097:Homo:sapiens:miR-99a-5p	23	331	331.0	256.0
hsa-miR-532-5p:MIMAT0002888:Homo:sapiens:miR-532-5p	16	331	331.0	270.0
hsa-miR-342-3p:MIMAT0000753:Homo:sapiens:miR-342-3p	29	330	330.0	280.0
hsa-miR-320b:MIMAT0005792:Homo:sapiens:miR-320b	69	718	323.4166666666665	274.58333333333326
hsa-miR-543:MIMAT0004954:Homo:sapiens:miR-543	27	320	320.0	254.0
hsa-miR-433-3p:MIMAT0001627:Homo:sapiens:miR-433-3p	26	317	317.0	259.0
hsa-miR-340-5p:MIMAT0004692:Homo:sapiens:miR-340-5p	22	315	315.0	265.0
hsa-miR-185-3p:MIMAT0004611:Homo:sapiens:miR-185-3p	27	311	311.0	266.0
hsa-miR-625-3p:MIMAT0004808:Homo:sapiens:miR-625-3p	45	308	308.0	269.0
hsa-miR-654-3p:MIMAT0004814:Homo:sapiens:miR-654-3p	33	304	304.0	249.0
hsa-miR-425-3p:MIMAT0001343:Homo:sapiens:miR-425-3p	68	292	292.0	248.0
hsa-miR-10a-5p:MIMAT0000253:Homo:sapiens:miR-10a-5p	22	289	289.0	257.0
hsa-miR-92b-3p:MIMAT0003218:Homo:sapiens:miR-92b-3p	67	284	284.0	248.0
hsa-miR-505-3p:MIMAT0002876:Homo:sapiens:miR-505-3p	34	284	284.0	212.0
hsa-miR-323b-3p:MIMAT0015050:Homo:sapiens:miR-323b-3p	12	282	282.0	215.0
hsa-miR-769-5p:MIMAT0003886:Homo:sapiens:miR-769-5p	23	282	282.0	237.0
hsa-miR-363-3p:MIMAT0000707:Homo:sapiens:miR-363-3p	27	281	281.0	233.0
hsa-miR-629-5p:MIMAT0004810:Homo:sapiens:miR-629-5p	19	271	271.0	217.0
hsa-miR-197-3p:MIMAT0000227:Homo:sapiens:miR-197-3p	25	270	270.0	225.0
hsa-miR-19a-3p:MIMAT0000073:Homo:sapiens:miR-19a-3p	12	264	264.0	187.0
hsa-miR-139-5p:MIMAT0000250:Homo:sapiens:miR-139-5p	30	262	262.0	214.0
hsa-miR-30e-3p:MIMAT0000693:Homo:sapiens:miR-30e-3p	27	259	257.5	221.0
hsa-miR-1908-5p:MIMAT0007881:Homo:sapiens:miR-1908-5p	23	256	256.0	209.0
hsa-miR-331-3p:MIMAT0000760:Homo:sapiens:miR-331-3p	30	255	255.0	203.0
hsa-miR-4446-3p:MIMAT0018965:Homo:sapiens:miR-4446-3p	36	252	252.0	213.0
hsa-miR-494-3p:MIMAT0002816:Homo:sapiens:miR-494-3p	10	252	252.0	145.0
hsa-miR-155-5p:MIMAT0000646:Homo:sapiens:miR-155-5p	54	252	252.0	207.0
hsa-miR-223-5p:MIMAT0004570:Homo:sapiens:miR-223-5p	18	250	250.0	202.0
hsa-miR-18a-5p:MIMAT0000072:Homo:sapiens:miR-18a-5p	17	244	243.5	199.5
hsa-miR-381-3p:MIMAT0000736:Homo:sapiens:miR-381-3p	15	241	241.0	198.0
hsa-miR-22-5p:MIMAT0004495:Homo:sapiens:miR-22-5p	18	239	239.0	179.0
hsa-miR-181d-5p:MIMAT0002821:Homo:sapiens:miR-181d-5p	28	258	238.0	200.5
hsa-miR-376c-3p:MIMAT0000720:Homo:sapiens:miR-376c-3p	23	236	236.0	198.0
hsa-miR-145-5p:MIMAT0000437:Homo:sapiens:miR-145-5p	27	234	234.0	187.0
hsa-miR-487b-3p:MIMAT0003180:Homo:sapiens:miR-487b-3p	21	226	226.0	185.0
hsa-miR-375:MIMAT0000728:Homo:sapiens:miR-375	12	215	215.0	172.0
hsa-miR-133a-3p:MIMAT0000427:Homo:sapiens:miR-133a-3p	25	215	213.5	171.5
hsa-miR-4433b-3p:MIMAT0030414:Homo:sapiens:miR-4433b-3p	20	213	213.0	178.0
hsa-miR-30b-5p:MIMAT0000420:Homo:sapiens:miR-30b-5p	19	201	201.0	169.0
hsa-miR-376a-3p:MIMAT0000729:Homo:sapiens:miR-376a-3p	12	196	196.0	154.0
hsa-miR-323a-3p:MIMAT0000755:Homo:sapiens:miR-323a-3p	12	190	190.0	150.0
hsa-miR-660-5p:MIMAT0003338:Homo:sapiens:miR-660-5p	16	188	188.0	148.0
hsa-miR-21-3p:MIMAT0004494:Homo:sapiens:miR-21-3p	22	185	185.0	148.0
hsa-miR-151b:MIMAT0010214:Homo:sapiens:miR-151b	24	365	184.0	147.5
hsa-miR-369-3p:MIMAT0000721:Homo:sapiens:miR-369-3p	12	183	183.0	137.0
hsa-miR-192-5p:MIMAT0000222:Homo:sapiens:miR-192-5p	22	181	180.5	156.5
hsa-miR-1306-5p:MIMAT0022726:Homo:sapiens:miR-1306-5p	18	180	180.0	131.0
hsa-miR-379-5p:MIMAT0000733:Homo:sapiens:miR-379-5p	14	179	179.0	149.0
hsa-miR-493-5p:MIMAT0002813:Homo:sapiens:miR-493-5p	11	168	168.0	135.0
hsa-miR-877-5p:MIMAT0004949:Homo:sapiens:miR-877-5p	47	167	167.0	138.0
hsa-miR-374b-5p:MIMAT0004955:Homo:sapiens:miR-374b-5p	15	168	165.5	127.0
hsa-miR-320c:MIMAT0005793:Homo:sapiens:miR-320c	46	398	164.91666666666669	137.58333333333334
hsa-miR-486-3p:MIMAT0004762:Homo:sapiens:miR-486-3p	17	161	161.0	122.0
hsa-miR-766-3p:MIMAT0003888:Homo:sapiens:miR-766-3p	24	159	159.0	134.0
hsa-miR-329-3p:MIMAT0001629:Homo:sapiens:miR-329-3p	24	153	153.0	106.0
hsa-miR-17-3p:MIMAT0000071:Homo:sapiens:miR-17-3p	22	152	152.0	120.0
hsa-miR-574-3p:MIMAT0003239:Homo:sapiens:miR-574-3p	23	151	151.0	129.0
hsa-miR-106a-5p:MIMAT0000103:Homo:sapiens:miR-106a-5p	22	288	148.0	115.0
hsa-miR-210-3p:MIMAT0000267:Homo:sapiens:miR-210-3p	18	140	140.0	113.0
hsa-miR-10b-5p:MIMAT0000254:Homo:sapiens:miR-10b-5p	15	139	139.0	121.0
hsa-miR-654-5p:MIMAT0003330:Homo:sapiens:miR-654-5p	13	139	139.0	107.0
hsa-miR-628-3p:MIMAT0003297:Homo:sapiens:miR-628-3p	20	135	135.0	113.0
hsa-miR-1-3p:MIMAT0000416:Homo:sapiens:miR-1-3p	11	130	130.0	107.0
hsa-miR-1185-1-3p:MIMAT0022838:Homo:sapiens:miR-1185-1-3p	14	126	125.0	108.5
hsa-miR-485-5p:MIMAT0002175:Homo:sapiens:miR-485-5p	12	124	124.0	106.0
hsa-miR-338-3p:MIMAT0000763:Homo:sapiens:miR-338-3p	13	122	122.0	103.0
hsa-miR-6852-5p:MIMAT0027604:Homo:sapiens:miR-6852-5p	22	122	122.0	104.0
hsa-miR-23a-5p:MIMAT0004496:Homo:sapiens:miR-23a-5p	19	117	117.0	98.0
hsa-miR-503-5p:MIMAT0002874:Homo:sapiens:miR-503-5p	23	110	110.0	87.0
hsa-miR-664a-5p:MIMAT0005948:Homo:sapiens:miR-664a-5p	10	109	109.0	91.0
hsa-miR-193a-5p:MIMAT0004614:Homo:sapiens:miR-193a-5p	12	96	96.0	82.0
hsa-miR-483-5p:MIMAT0004761:Homo:sapiens:miR-483-5p	17	96	96.0	79.0
hsa-miR-181c-3p:MIMAT0004559:Homo:sapiens:miR-181c-3p	15	96	96.0	77.0
hsa-miR-130b-5p:MIMAT0004680:Homo:sapiens:miR-130b-5p	15	96	96.0	81.0
hsa-miR-941:MIMAT0004984:Homo:sapiens:miR-941	12	94	94.0	79.0
hsa-miR-502-3p:MIMAT0004775:Homo:sapiens:miR-502-3p	14	106	93.5	78.5
hsa-miR-154-5p:MIMAT0000452:Homo:sapiens:miR-154-5p	5	93	93.0	60.0
hsa-miR-671-3p:MIMAT0004819:Homo:sapiens:miR-671-3p	36	91	91.0	75.0
hsa-miR-2355-3p:MIMAT0017950:Homo:sapiens:miR-2355-3p	14	91	91.0	78.0
hsa-miR-1296-5p:MIMAT0005794:Homo:sapiens:miR-1296-5p	16	85	85.0	70.0
hsa-miR-93-3p:MIMAT0004509:Homo:sapiens:miR-93-3p	13	85	85.0	69.0
hsa-miR-100-5p:MIMAT0000098:Homo:sapiens:miR-100-5p	9	83	83.0	69.0
hsa-miR-889-3p:MIMAT0004921:Homo:sapiens:miR-889-3p	6	80	80.0	64.0
hsa-miR-7-5p:MIMAT0000252:Homo:sapiens:miR-7-5p	14	78	78.0	70.0
hsa-miR-421:MIMAT0003339:Homo:sapiens:miR-421	24	77	77.0	65.0
hsa-miR-495-3p:MIMAT0002817:Homo:sapiens:miR-495-3p	12	76	76.0	58.0
hsa-miR-493-3p:MIMAT0003161:Homo:sapiens:miR-493-3p	13	76	76.0	63.0
hsa-miR-500a-3p:MIMAT0002871:Homo:sapiens:miR-500a-3p	16	88	76.0	67.0
hsa-miR-182-5p:MIMAT0000259:Homo:sapiens:miR-182-5p	18	75	75.0	61.0
hsa-miR-139-3p:MIMAT0004552:Homo:sapiens:miR-139-3p	12	73	73.0	59.0
hsa-miR-454-3p:MIMAT0003885:Homo:sapiens:miR-454-3p	14	72	72.0	64.0
hsa-miR-491-5p:MIMAT0002807:Homo:sapiens:miR-491-5p	12	72	72.0	57.0
hsa-miR-2110:MIMAT0010133:Homo:sapiens:miR-2110	12	72	72.0	58.0
hsa-miR-589-5p:MIMAT0004799:Homo:sapiens:miR-589-5p	7	68	68.0	56.0
hsa-miR-99b-3p:MIMAT0004678:Homo:sapiens:miR-99b-3p	16	68	68.0	57.0
hsa-miR-874-3p:MIMAT0004911:Homo:sapiens:miR-874-3p	14	68	68.0	52.0
hsa-miR-181a-3p:MIMAT0000270:Homo:sapiens:miR-181a-3p	10	68	68.0	58.0
hsa-miR-320d:MIMAT0006764:Homo:sapiens:miR-320d	21	129	66.45	49.45
hsa-miR-16-2-3p:MIMAT0004518:Homo:sapiens:miR-16-2-3p	13	66	66.0	52.0
hsa-miR-132-3p:MIMAT0000426:Homo:sapiens:miR-132-3p	14	66	66.0	55.0
hsa-miR-431-5p:MIMAT0001625:Homo:sapiens:miR-431-5p	13	65	65.0	53.0
hsa-miR-136-3p:MIMAT0004606:Homo:sapiens:miR-136-3p	6	62	62.0	53.0
hsa-miR-144-5p:MIMAT0004600:Homo:sapiens:miR-144-5p	8	62	62.0	53.0
hsa-miR-196b-5p:MIMAT0001080:Homo:sapiens:miR-196b-5p	12	60	60.0	51.0
hsa-miR-758-3p:MIMAT0003879:Homo:sapiens:miR-758-3p	10	60	60.0	45.0
hsa-miR-301a-3p:MIMAT0000688:Homo:sapiens:miR-301a-3p	11	60	59.5	48.5
hsa-miR-424-3p:MIMAT0004749:Homo:sapiens:miR-424-3p	14	59	59.0	44.0
hsa-miR-483-3p:MIMAT0002173:Homo:sapiens:miR-483-3p	17	58	58.0	46.0
hsa-miR-501-3p:MIMAT0004774:Homo:sapiens:miR-501-3p	8	57	57.0	47.0
hsa-miR-1260b:MIMAT0015041:Homo:sapiens:miR-1260b	16	57	57.0	40.0
hsa-miR-3120-3p:MIMAT0014982:Homo:sapiens:miR-3120-3p	22	57	57.0	48.0
