ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-92a-3p:MIMAT0000092:Homo:sapiens:miR-92a-3p	385	83779	83778.0	36767.0
hsa-miR-486-5p:MIMAT0002177:Homo:sapiens:miR-486-5p	314	51590	51590.0	27460.0
hsa-miR-21-5p:MIMAT0000076:Homo:sapiens:miR-21-5p	161	29597	29597.0	14126.0
hsa-miR-30d-5p:MIMAT0000245:Homo:sapiens:miR-30d-5p	221	27811	27809.0	16750.0
hsa-miR-423-5p:MIMAT0004748:Homo:sapiens:miR-423-5p	204	26271	26271.0	14833.0
hsa-miR-221-3p:MIMAT0000278:Homo:sapiens:miR-221-3p	204	25924	25924.0	11543.0
hsa-miR-320a:MIMAT0000510:Homo:sapiens:miR-320a	309	24709	24089.666666666664	14790.916666666668
hsa-let-7b-5p:MIMAT0000063:Homo:sapiens:let-7b-5p	235	23298	23257.166666666668	13093.333333333334
hsa-miR-23a-3p:MIMAT0000078:Homo:sapiens:miR-23a-3p	149	22092	22010.0	8715.0
hsa-miR-223-3p:MIMAT0000280:Homo:sapiens:miR-223-3p	180	21217	21217.0	12514.0
hsa-miR-146a-5p:MIMAT0000449:Homo:sapiens:miR-146a-5p	145	19488	19486.5	10954.5
hsa-miR-24-3p:MIMAT0000080:Homo:sapiens:miR-24-3p	144	17228	17228.0	6419.0
hsa-let-7a-5p:MIMAT0000062:Homo:sapiens:let-7a-5p	139	16401	16243.5	9835.0
hsa-miR-103a-3p:MIMAT0000101:Homo:sapiens:miR-103a-3p	145	15557	15100.0	8258.0
hsa-let-7i-5p:MIMAT0000415:Homo:sapiens:let-7i-5p	108	14797	14796.5	7100.5
hsa-miR-26a-5p:MIMAT0000082:Homo:sapiens:miR-26a-5p	175	14461	14449.5	8455.5
hsa-miR-423-3p:MIMAT0001340:Homo:sapiens:miR-423-3p	199	13769	13769.0	9134.0
hsa-miR-25-3p:MIMAT0000081:Homo:sapiens:miR-25-3p	111	12753	12753.0	7446.0
hsa-miR-451a:MIMAT0001631:Homo:sapiens:miR-451a	112	11684	11684.0	7192.0
hsa-miR-151b:MIMAT0010214:Homo:sapiens:miR-151b|hsa-miR-151a-5p:MIMAT0004697:Homo:sapiens:miR-151a-5p	52	11809	11487.333333333334	6377.833333333333
hsa-miR-16-5p:MIMAT0000069:Homo:sapiens:miR-16-5p	128	11355	11354.5	4500.5
hsa-miR-191-5p:MIMAT0000440:Homo:sapiens:miR-191-5p	163	11307	11307.0	7258.0
hsa-miR-30e-5p:MIMAT0000692:Homo:sapiens:miR-30e-5p	114	10981	10981.0	6842.0
hsa-miR-126-3p:MIMAT0000445:Homo:sapiens:miR-126-3p	138	10710	10710.0	4966.0
hsa-miR-199b-3p:MIMAT0004563:Homo:sapiens:miR-199b-3p|hsa-miR-199a-3p:MIMAT0000232:Homo:sapiens:miR-199a-3p	91	8705	8705.0	4731.0
hsa-miR-151a-3p:MIMAT0000757:Homo:sapiens:miR-151a-3p	145	8539	8539.0	5758.0
hsa-miR-652-3p:MIMAT0003322:Homo:sapiens:miR-652-3p	103	8211	8211.0	3473.0
hsa-miR-22-3p:MIMAT0000077:Homo:sapiens:miR-22-3p	70	7984	7984.0	3776.0
hsa-let-7g-5p:MIMAT0000414:Homo:sapiens:let-7g-5p	67	7941	7940.5	3391.5
hsa-miR-484:MIMAT0002174:Homo:sapiens:miR-484	169	7932	7932.0	4915.0
hsa-let-7f-5p:MIMAT0000067:Homo:sapiens:let-7f-5p	77	7277	7277.0	4506.0
hsa-miR-140-3p:MIMAT0004597:Homo:sapiens:miR-140-3p	134	7238	7238.0	5126.0
hsa-let-7d-5p:MIMAT0000065:Homo:sapiens:let-7d-5p	88	7006	7004.5	4077.5
