ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-92a-3p:MIMAT0000092:Homo:sapiens:miR-92a-3p	327	49421	49419.0	27600.0
hsa-miR-486-5p:MIMAT0002177:Homo:sapiens:miR-486-5p	271	30342	30342.0	19956.0
hsa-miR-21-5p:MIMAT0000076:Homo:sapiens:miR-21-5p	129	18066	18066.0	10688.0
hsa-miR-30d-5p:MIMAT0000245:Homo:sapiens:miR-30d-5p	170	17455	17452.0	12458.0
hsa-miR-221-3p:MIMAT0000278:Homo:sapiens:miR-221-3p	183	16546	16546.0	8873.0
hsa-miR-423-5p:MIMAT0004748:Homo:sapiens:miR-423-5p	173	16127	16127.0	10865.0
hsa-let-7a-5p:MIMAT0000062:Homo:sapiens:let-7a-5p	133	15243	15118.0	9735.0
hsa-let-7b-5p:MIMAT0000063:Homo:sapiens:let-7b-5p	198	14455	14419.5	9854.5
hsa-miR-320a:MIMAT0000510:Homo:sapiens:miR-320a	243	14420	14037.750000000004	10184.25
hsa-miR-223-3p:MIMAT0000280:Homo:sapiens:miR-223-3p	142	13702	13702.0	9683.0
hsa-miR-23a-3p:MIMAT0000078:Homo:sapiens:miR-23a-3p	126	13728	13676.0	6871.5
hsa-miR-146a-5p:MIMAT0000449:Homo:sapiens:miR-146a-5p	119	12147	12147.0	8022.0
hsa-miR-24-3p:MIMAT0000080:Homo:sapiens:miR-24-3p	124	10656	10656.0	4967.0
hsa-miR-103a-3p:MIMAT0000101:Homo:sapiens:miR-103a-3p	125	10014	9698.0	6392.5
hsa-miR-26a-5p:MIMAT0000082:Homo:sapiens:miR-26a-5p	151	9691	9686.5	6685.5
hsa-let-7i-5p:MIMAT0000415:Homo:sapiens:let-7i-5p	99	8673	8673.0	5192.0
hsa-miR-423-3p:MIMAT0001340:Homo:sapiens:miR-423-3p	178	8376	8376.0	6522.0
hsa-miR-451a:MIMAT0001631:Homo:sapiens:miR-451a	88	7943	7943.0	5674.0
hsa-miR-25-3p:MIMAT0000081:Homo:sapiens:miR-25-3p	85	7593	7592.0	5390.0
hsa-miR-191-5p:MIMAT0000440:Homo:sapiens:miR-191-5p	130	7292	7292.0	5466.0
hsa-miR-16-5p:MIMAT0000069:Homo:sapiens:miR-16-5p	92	7050	7050.0	3466.0
hsa-miR-30e-5p:MIMAT0000692:Homo:sapiens:miR-30e-5p	86	6769	6769.0	4917.0
hsa-miR-151b:MIMAT0010214:Homo:sapiens:miR-151b|hsa-miR-151a-5p:MIMAT0004697:Homo:sapiens:miR-151a-5p	40	6861	6700.5	4546.5
hsa-miR-126-3p:MIMAT0000445:Homo:sapiens:miR-126-3p	94	6609	6609.0	3812.0
hsa-miR-199b-3p:MIMAT0004563:Homo:sapiens:miR-199b-3p|hsa-miR-199a-3p:MIMAT0000232:Homo:sapiens:miR-199a-3p	76	5276	5276.0	3465.0
hsa-miR-151a-3p:MIMAT0000757:Homo:sapiens:miR-151a-3p	125	5254	5254.0	4095.0
hsa-miR-22-3p:MIMAT0000077:Homo:sapiens:miR-22-3p	53	4971	4971.0	2851.0
hsa-let-7g-5p:MIMAT0000414:Homo:sapiens:let-7g-5p	68	4956	4956.0	2577.0
hsa-miR-652-3p:MIMAT0003322:Homo:sapiens:miR-652-3p	73	4944	4944.0	2577.0
hsa-miR-484:MIMAT0002174:Homo:sapiens:miR-484	129	4892	4892.0	3575.0
hsa-let-7f-5p:MIMAT0000067:Homo:sapiens:let-7f-5p	60	4830	4829.5	3118.5
hsa-let-7d-5p:MIMAT0000065:Homo:sapiens:let-7d-5p	68	4503	4501.5	3108.5
hsa-miR-93-5p:MIMAT0000093:Homo:sapiens:miR-93-5p	65	4460	4460.0	2866.0
hsa-miR-140-3p:MIMAT0004597:Homo:sapiens:miR-140-3p	114	4230	4230.0	3445.0
hsa-miR-584-5p:MIMAT0003249:Homo:sapiens:miR-584-5p	97	3927	3927.0	2959.0
hsa-miR-222-3p:MIMAT0000279:Homo:sapiens:miR-222-3p	101	3450	3450.0	2131.0
hsa-miR-122-5p:MIMAT0000421:Homo:sapiens:miR-122-5p	56	3176	3176.0	2145.0
hsa-miR-425-5p:MIMAT0003393:Homo:sapiens:miR-425-5p	76	3106	3106.0	2117.0
hsa-miR-181a-5p:MIMAT0000256:Homo:sapiens:miR-181a-5p	74	2996	2996.0	2341.0
hsa-miR-744-5p:MIMAT0004945:Homo:sapiens:miR-744-5p	79	2994	2994.0	2363.0
hsa-miR-186-5p:MIMAT0000456:Homo:sapiens:miR-186-5p	70	2989	2989.0	2323.0
hsa-miR-27b-3p:MIMAT0000419:Homo:sapiens:miR-27b-3p	71	2642	2638.0	1958.5
hsa-miR-126-5p:MIMAT0000444:Homo:sapiens:miR-126-5p	50	2476	2476.0	1833.0
hsa-miR-4433b-5p:MIMAT0030413:Homo:sapiens:miR-4433b-5p	86	2307	2307.0	1838.0
hsa-miR-26b-5p:MIMAT0000083:Homo:sapiens:miR-26b-5p	59	2058	2058.0	1595.0
hsa-miR-101-3p:MIMAT0000099:Homo:sapiens:miR-101-3p	61	1904	1904.0	1501.0
hsa-miR-148b-3p:MIMAT0000759:Homo:sapiens:miR-148b-3p	41	1890	1890.0	1227.0
hsa-miR-27a-3p:MIMAT0000084:Homo:sapiens:miR-27a-3p	105	1878	1874.0	1433.5
hsa-miR-185-5p:MIMAT0000455:Homo:sapiens:miR-185-5p	48	1712	1712.0	1198.0
hsa-miR-151a-5p:MIMAT0004697:Homo:sapiens:miR-151a-5p	34	1633	1628.0	1276.0
hsa-miR-148a-3p:MIMAT0000243:Homo:sapiens:miR-148a-3p	32	1626	1626.0	1139.0
hsa-miR-29a-3p:MIMAT0000086:Homo:sapiens:miR-29a-3p	51	1573	1573.0	1158.0
hsa-miR-409-3p:MIMAT0001639:Homo:sapiens:miR-409-3p	65	1535	1535.0	1217.0
hsa-let-7d-3p:MIMAT0004484:Homo:sapiens:let-7d-3p	47	1501	1501.0	1146.0
hsa-miR-125a-5p:MIMAT0000443:Homo:sapiens:miR-125a-5p	43	1429	1429.0	1105.0
hsa-miR-28-3p:MIMAT0004502:Homo:sapiens:miR-28-3p	84	1359	1359.0	1134.0
hsa-miR-1307-3p:MIMAT0005951:Homo:sapiens:miR-1307-3p	63	1346	1346.0	1060.0
hsa-miR-23b-3p:MIMAT0000418:Homo:sapiens:miR-23b-3p	64	1388	1336.0	1007.5
hsa-miR-199a-5p:MIMAT0000231:Homo:sapiens:miR-199a-5p	26	1325	1325.0	1080.0
hsa-miR-142-5p:MIMAT0000433:Homo:sapiens:miR-142-5p	51	1296	1296.0	1060.0
hsa-miR-106b-3p:MIMAT0004672:Homo:sapiens:miR-106b-3p	62	1182	1182.0	932.0
hsa-miR-378a-3p:MIMAT0000732:Homo:sapiens:miR-378a-3p	60	1130	1112.0	899.6666666666667
hsa-miR-328-3p:MIMAT0000752:Homo:sapiens:miR-328-3p	48	1077	1077.0	867.0
hsa-miR-17-5p:MIMAT0000070:Homo:sapiens:miR-17-5p	46	1123	1018.5	781.0
hsa-miR-98-5p:MIMAT0000096:Homo:sapiens:miR-98-5p	24	972	972.0	665.0
hsa-miR-382-5p:MIMAT0000737:Homo:sapiens:miR-382-5p	32	956	956.0	698.0
hsa-miR-134-5p:MIMAT0000447:Homo:sapiens:miR-134-5p	49	933	933.0	747.0
hsa-miR-152-3p:MIMAT0000438:Homo:sapiens:miR-152-3p	46	912	912.0	718.0
hsa-miR-128-3p:MIMAT0000424:Homo:sapiens:miR-128-3p	47	906	906.0	650.0
hsa-let-7e-5p:MIMAT0000066:Homo:sapiens:let-7e-5p	60	997	902.5	736.0
hsa-miR-432-5p:MIMAT0002814:Homo:sapiens:miR-432-5p	48	881	881.0	709.0
hsa-miR-106b-5p:MIMAT0000680:Homo:sapiens:miR-106b-5p	43	876	876.0	637.0
