ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-92a-3p:MIMAT0000092:Homo:sapiens:miR-92a-3p	102	10341	10341.0	4786.0
hsa-miR-486-5p:MIMAT0002177:Homo:sapiens:miR-486-5p	84	4843	4843.0	2784.0
hsa-miR-24-3p:MIMAT0000080:Homo:sapiens:miR-24-3p	64	4330	4330.0	1607.0
hsa-let-7a-5p:MIMAT0000062:Homo:sapiens:let-7a-5p	57	4291	4262.0	2495.0
hsa-miR-223-3p:MIMAT0000280:Homo:sapiens:miR-223-3p	62	3887	3887.0	2022.0
hsa-let-7b-5p:MIMAT0000063:Homo:sapiens:let-7b-5p	77	3537	3526.5	2253.5
hsa-miR-30d-5p:MIMAT0000245:Homo:sapiens:miR-30d-5p	57	2982	2981.5	1652.5
hsa-miR-16-5p:MIMAT0000069:Homo:sapiens:miR-16-5p	37	2842	2841.0	1382.0
hsa-miR-423-5p:MIMAT0004748:Homo:sapiens:miR-423-5p	63	2796	2796.0	1686.0
hsa-miR-320a:MIMAT0000510:Homo:sapiens:miR-320a	90	2533	2429.083333333333	1660.0833333333333
hsa-miR-126-3p:MIMAT0000445:Homo:sapiens:miR-126-3p	45	2330	2330.0	1218.0
hsa-miR-26a-5p:MIMAT0000082:Homo:sapiens:miR-26a-5p	38	2207	2207.0	1300.0
hsa-miR-21-5p:MIMAT0000076:Homo:sapiens:miR-21-5p	38	1987	1987.0	1068.0
hsa-miR-25-3p:MIMAT0000081:Homo:sapiens:miR-25-3p	32	1938	1938.0	1107.0
hsa-miR-151a-3p:MIMAT0000757:Homo:sapiens:miR-151a-3p	53	1507	1507.0	909.0
hsa-let-7i-5p:MIMAT0000415:Homo:sapiens:let-7i-5p	30	1414	1414.0	955.0
hsa-let-7f-5p:MIMAT0000067:Homo:sapiens:let-7f-5p	34	1350	1350.0	819.0
hsa-let-7d-5p:MIMAT0000065:Homo:sapiens:let-7d-5p	35	1323	1323.0	792.0
hsa-miR-451a:MIMAT0001631:Homo:sapiens:miR-451a	28	1317	1317.0	773.0
hsa-miR-146a-5p:MIMAT0000449:Homo:sapiens:miR-146a-5p	41	1254	1254.0	872.0
hsa-miR-22-3p:MIMAT0000077:Homo:sapiens:miR-22-3p	28	1233	1233.0	633.0
hsa-miR-103a-3p:MIMAT0000101:Homo:sapiens:miR-103a-3p	38	1132	1090.0	664.0
hsa-miR-221-3p:MIMAT0000278:Homo:sapiens:miR-221-3p	28	960	960.0	569.0
hsa-miR-122-5p:MIMAT0000421:Homo:sapiens:miR-122-5p	21	907	907.0	553.0
hsa-miR-140-3p:MIMAT0004597:Homo:sapiens:miR-140-3p	37	901	901.0	582.0
hsa-let-7g-5p:MIMAT0000414:Homo:sapiens:let-7g-5p	26	893	893.0	542.0
hsa-miR-423-3p:MIMAT0001340:Homo:sapiens:miR-423-3p	45	871	871.0	579.0
hsa-miR-30e-5p:MIMAT0000692:Homo:sapiens:miR-30e-5p	26	805	805.0	492.0
