ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-92a-3p:MIMAT0000092:Homo:sapiens:miR-92a-3p	61	3709	3709.0	2614.0
hsa-miR-486-5p:MIMAT0002177:Homo:sapiens:miR-486-5p	70	1792	1792.0	1510.0
hsa-miR-24-3p:MIMAT0000080:Homo:sapiens:miR-24-3p	31	1510	1510.0	885.0
hsa-let-7a-5p:MIMAT0000062:Homo:sapiens:let-7a-5p	41	1450	1440.0	1198.5
hsa-let-7b-5p:MIMAT0000063:Homo:sapiens:let-7b-5p	52	1212	1209.5	1059.5
hsa-miR-16-5p:MIMAT0000069:Homo:sapiens:miR-16-5p	29	1028	1028.0	737.0
hsa-miR-223-3p:MIMAT0000280:Homo:sapiens:miR-223-3p	34	947	947.0	776.0
hsa-miR-423-5p:MIMAT0004748:Homo:sapiens:miR-423-5p	34	913	913.0	764.0
hsa-miR-30d-5p:MIMAT0000245:Homo:sapiens:miR-30d-5p	32	789	789.0	676.0
hsa-miR-126-3p:MIMAT0000445:Homo:sapiens:miR-126-3p	30	782	782.0	648.0
hsa-miR-25-3p:MIMAT0000081:Homo:sapiens:miR-25-3p	26	737	737.0	617.0
hsa-miR-21-5p:MIMAT0000076:Homo:sapiens:miR-21-5p	24	687	687.0	536.0
hsa-miR-320a:MIMAT0000510:Homo:sapiens:miR-320a	51	699	670.25	597.0833333333335
hsa-miR-26a-5p:MIMAT0000082:Homo:sapiens:miR-26a-5p	22	597	597.0	515.0
hsa-miR-151a-3p:MIMAT0000757:Homo:sapiens:miR-151a-3p	37	485	485.0	420.0
hsa-let-7i-5p:MIMAT0000415:Homo:sapiens:let-7i-5p	23	481	481.0	421.0
hsa-let-7d-5p:MIMAT0000065:Homo:sapiens:let-7d-5p	19	449	449.0	383.0
hsa-let-7f-5p:MIMAT0000067:Homo:sapiens:let-7f-5p	17	434	434.0	345.0
hsa-miR-451a:MIMAT0001631:Homo:sapiens:miR-451a	19	412	412.0	347.0
hsa-miR-103a-3p:MIMAT0000101:Homo:sapiens:miR-103a-3p	24	374	363.5	301.0
hsa-miR-22-3p:MIMAT0000077:Homo:sapiens:miR-22-3p	14	343	343.0	286.0
hsa-miR-146a-5p:MIMAT0000449:Homo:sapiens:miR-146a-5p	21	335	335.0	299.0
hsa-miR-140-3p:MIMAT0004597:Homo:sapiens:miR-140-3p	26	306	306.0	273.0
hsa-miR-652-3p:MIMAT0003322:Homo:sapiens:miR-652-3p	20	304	304.0	250.0
hsa-miR-122-5p:MIMAT0000421:Homo:sapiens:miR-122-5p	25	301	301.0	268.0
hsa-let-7g-5p:MIMAT0000414:Homo:sapiens:let-7g-5p	14	286	286.0	238.0
hsa-miR-423-3p:MIMAT0001340:Homo:sapiens:miR-423-3p	25	282	282.0	257.0
hsa-miR-221-3p:MIMAT0000278:Homo:sapiens:miR-221-3p	19	281	281.0	238.0
hsa-miR-181a-5p:MIMAT0000256:Homo:sapiens:miR-181a-5p	19	254	254.0	204.0
hsa-miR-484:MIMAT0002174:Homo:sapiens:miR-484	24	254	254.0	223.0
hsa-miR-425-5p:MIMAT0003393:Homo:sapiens:miR-425-5p	20	229	229.0	192.0
hsa-miR-30e-5p:MIMAT0000692:Homo:sapiens:miR-30e-5p	23	228	228.0	203.0
hsa-miR-26b-5p:MIMAT0000083:Homo:sapiens:miR-26b-5p	16	220	220.0	189.0
hsa-miR-199b-3p:MIMAT0004563:Homo:sapiens:miR-199b-3p|hsa-miR-199a-3p:MIMAT0000232:Homo:sapiens:miR-199a-3p	18	214	214.0	188.0
hsa-miR-222-3p:MIMAT0000279:Homo:sapiens:miR-222-3p	24	208	208.0	181.0
hsa-miR-584-5p:MIMAT0003249:Homo:sapiens:miR-584-5p	19	188	188.0	163.0
hsa-miR-744-5p:MIMAT0004945:Homo:sapiens:miR-744-5p	15	176	176.0	156.0
hsa-miR-27b-3p:MIMAT0000419:Homo:sapiens:miR-27b-3p	12	175	175.0	151.0
hsa-miR-151b:MIMAT0010214:Homo:sapiens:miR-151b|hsa-miR-151a-5p:MIMAT0004697:Homo:sapiens:miR-151a-5p	5	176	172.5	157.5
hsa-miR-27a-3p:MIMAT0000084:Homo:sapiens:miR-27a-3p	14	170	170.0	131.0
hsa-miR-323a-3p:MIMAT0000755:Homo:sapiens:miR-323a-3p	7	167	167.0	86.0
hsa-miR-126-5p:MIMAT0000444:Homo:sapiens:miR-126-5p	16	156	156.0	136.0
hsa-miR-28-3p:MIMAT0004502:Homo:sapiens:miR-28-3p	23	152	152.0	135.0
hsa-miR-186-5p:MIMAT0000456:Homo:sapiens:miR-186-5p	14	148	148.0	134.0
hsa-miR-185-5p:MIMAT0000455:Homo:sapiens:miR-185-5p	9	148	148.0	123.0
hsa-miR-15b-5p:MIMAT0000417:Homo:sapiens:miR-15b-5p	10	138	138.0	114.0
hsa-miR-17-5p:MIMAT0000070:Homo:sapiens:miR-17-5p	15	123	121.0	103.0
hsa-miR-191-5p:MIMAT0000440:Homo:sapiens:miR-191-5p	10	115	115.0	100.0
hsa-miR-23a-3p:MIMAT0000078:Homo:sapiens:miR-23a-3p	12	115	113.0	95.0
hsa-miR-29a-3p:MIMAT0000086:Homo:sapiens:miR-29a-3p	13	110	110.0	95.0
hsa-miR-148b-3p:MIMAT0000759:Homo:sapiens:miR-148b-3p	10	110	110.0	90.0
hsa-miR-93-5p:MIMAT0000093:Homo:sapiens:miR-93-5p	13	102	102.0	94.0
hsa-let-7d-3p:MIMAT0004484:Homo:sapiens:let-7d-3p	7	93	93.0	86.0
hsa-miR-4433b-5p:MIMAT0030413:Homo:sapiens:miR-4433b-5p	17	93	93.0	81.0
hsa-miR-409-3p:MIMAT0001639:Homo:sapiens:miR-409-3p	17	91	91.0	81.0
hsa-miR-15a-5p:MIMAT0000068:Homo:sapiens:miR-15a-5p	13	89	89.0	77.0
hsa-miR-378a-3p:MIMAT0000732:Homo:sapiens:miR-378a-3p	12	89	88.5	78.5
hsa-let-7e-5p:MIMAT0000066:Homo:sapiens:let-7e-5p	11	92	85.5	78.0
hsa-miR-432-5p:MIMAT0002814:Homo:sapiens:miR-432-5p	15	83	83.0	73.0
hsa-miR-148a-3p:MIMAT0000243:Homo:sapiens:miR-148a-3p	9	82	82.0	74.0
hsa-miR-98-5p:MIMAT0000096:Homo:sapiens:miR-98-5p	8	75	75.0	67.0
hsa-miR-30c-5p:MIMAT0000244:Homo:sapiens:miR-30c-5p	10	74	74.0	65.0
hsa-miR-106b-3p:MIMAT0004672:Homo:sapiens:miR-106b-3p	16	74	74.0	65.0
hsa-miR-130a-3p:MIMAT0000425:Homo:sapiens:miR-130a-3p	11	73	73.0	65.0
hsa-miR-143-3p:MIMAT0000435:Homo:sapiens:miR-143-3p	9	71	71.0	60.0
hsa-miR-328-3p:MIMAT0000752:Homo:sapiens:miR-328-3p	12	71	71.0	62.0
hsa-miR-1307-3p:MIMAT0005951:Homo:sapiens:miR-1307-3p	14	66	66.0	61.0
hsa-miR-142-3p:MIMAT0000434:Homo:sapiens:miR-142-3p	13	60	60.0	50.0
hsa-miR-152-3p:MIMAT0000438:Homo:sapiens:miR-152-3p	9	57	57.0	44.0
hsa-miR-142-5p:MIMAT0000433:Homo:sapiens:miR-142-5p	10	53	53.0	48.0
hsa-miR-19b-3p:MIMAT0000074:Homo:sapiens:miR-19b-3p	3	53	53.0	49.0
hsa-miR-30a-5p:MIMAT0000087:Homo:sapiens:miR-30a-5p	14	49	49.0	45.0
hsa-miR-134-5p:MIMAT0000447:Homo:sapiens:miR-134-5p	8	46	46.0	43.0
hsa-miR-885-5p:MIMAT0004947:Homo:sapiens:miR-885-5p	8	46	46.0	40.0
hsa-miR-374a-5p:MIMAT0000727:Homo:sapiens:miR-374a-5p	6	45	45.0	38.0
