ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-92a-3p:MIMAT0000092:Homo:sapiens:miR-92a-3p	105	12510	12510.0	5780.0
hsa-miR-486-5p:MIMAT0002177:Homo:sapiens:miR-486-5p	85	5330	5330.0	3315.0
hsa-let-7a-5p:MIMAT0000062:Homo:sapiens:let-7a-5p	68	4574	4536.5	2662.0
hsa-miR-24-3p:MIMAT0000080:Homo:sapiens:miR-24-3p	63	4237	4237.0	1669.0
hsa-miR-223-3p:MIMAT0000280:Homo:sapiens:miR-223-3p	62	4007	4007.0	2100.0
hsa-let-7b-5p:MIMAT0000063:Homo:sapiens:let-7b-5p	82	3514	3500.5	2353.5
hsa-miR-423-5p:MIMAT0004748:Homo:sapiens:miR-423-5p	74	3219	3219.0	1973.0
hsa-miR-16-5p:MIMAT0000069:Homo:sapiens:miR-16-5p	47	3175	3174.5	1544.5
hsa-miR-30d-5p:MIMAT0000245:Homo:sapiens:miR-30d-5p	64	3170	3169.5	1914.5
hsa-miR-21-5p:MIMAT0000076:Homo:sapiens:miR-21-5p	40	2720	2720.0	1474.0
hsa-miR-26a-5p:MIMAT0000082:Homo:sapiens:miR-26a-5p	48	2442	2442.0	1503.0
hsa-miR-126-3p:MIMAT0000445:Homo:sapiens:miR-126-3p	53	2269	2269.0	1268.0
hsa-miR-320a:MIMAT0000510:Homo:sapiens:miR-320a	96	2249	2147.75	1499.333333333333
hsa-miR-25-3p:MIMAT0000081:Homo:sapiens:miR-25-3p	38	2114	2114.0	1319.0
hsa-miR-151a-3p:MIMAT0000757:Homo:sapiens:miR-151a-3p	59	1599	1599.0	1040.0
hsa-miR-146a-5p:MIMAT0000449:Homo:sapiens:miR-146a-5p	41	1524	1524.0	1068.0
hsa-let-7i-5p:MIMAT0000415:Homo:sapiens:let-7i-5p	33	1451	1451.0	1010.0
hsa-let-7f-5p:MIMAT0000067:Homo:sapiens:let-7f-5p	34	1438	1438.0	886.0
