ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-323a-3p:MIMAT0000755:Homo:sapiens:miR-323a-3p	14	405	404.5	113.5
hsa-miR-130b-3p:MIMAT0000691:Homo:sapiens:miR-130b-3p	3	69	69.0	38.0
hsa-miR-532-5p:MIMAT0002888:Homo:sapiens:miR-532-5p	6	48	48.0	36.0
hsa-miR-224-5p:MIMAT0000281:Homo:sapiens:miR-224-5p	5	27	27.0	26.0
hsa-miR-99b-5p:MIMAT0000689:Homo:sapiens:miR-99b-5p	5	20	20.0	19.0
hsa-miR-885-5p:MIMAT0004947:Homo:sapiens:miR-885-5p	2	18	18.0	16.0
hsa-miR-92a-3p:MIMAT0000092:Homo:sapiens:miR-92a-3p	4	17	17.0	17.0
hsa-miR-378a-3p:MIMAT0000732:Homo:sapiens:miR-378a-3p	3	15	15.0	15.0
hsa-miR-221-3p:MIMAT0000278:Homo:sapiens:miR-221-3p	7	14	14.0	14.0
hsa-miR-30a-5p:MIMAT0000087:Homo:sapiens:miR-30a-5p	3	13	13.0	13.0
hsa-miR-196b-5p:MIMAT0001080:Homo:sapiens:miR-196b-5p	3	13	13.0	13.0
hsa-miR-21-5p:MIMAT0000076:Homo:sapiens:miR-21-5p	5	13	13.0	13.0
hsa-miR-186-5p:MIMAT0000456:Homo:sapiens:miR-186-5p	3	12	12.0	12.0
hsa-miR-301b-3p:MIMAT0004958:Homo:sapiens:miR-301b-3p	2	12	12.0	9.0
hsa-miR-625-3p:MIMAT0004808:Homo:sapiens:miR-625-3p	5	11	11.0	11.0
hsa-miR-338-3p:MIMAT0000763:Homo:sapiens:miR-338-3p	3	11	11.0	9.0
hsa-miR-30d-5p:MIMAT0000245:Homo:sapiens:miR-30d-5p	6	11	11.0	11.0
hsa-miR-589-5p:MIMAT0004799:Homo:sapiens:miR-589-5p	5	11	11.0	11.0
hsa-miR-148a-3p:MIMAT0000243:Homo:sapiens:miR-148a-3p	5	11	11.0	9.0
hsa-miR-129-5p:MIMAT0000242:Homo:sapiens:miR-129-5p	5	11	11.0	11.0
hsa-miR-584-5p:MIMAT0003249:Homo:sapiens:miR-584-5p	5	11	11.0	11.0
hsa-miR-409-3p:MIMAT0001639:Homo:sapiens:miR-409-3p	4	11	11.0	11.0
hsa-miR-490-3p:MIMAT0002806:Homo:sapiens:miR-490-3p	1	10	10.0	9.0
hsa-miR-486-5p:MIMAT0002177:Homo:sapiens:miR-486-5p	6	10	10.0	10.0
hsa-miR-28-3p:MIMAT0004502:Homo:sapiens:miR-28-3p	5	9	9.0	9.0
hsa-miR-4433b-3p:MIMAT0030414:Homo:sapiens:miR-4433b-3p	1	9	9.0	8.0
hsa-miR-378c:MIMAT0016847:Homo:sapiens:miR-378c	2	8	8.0	8.0
hsa-miR-6852-5p:MIMAT0027604:Homo:sapiens:miR-6852-5p	2	8	8.0	8.0
hsa-miR-191-5p:MIMAT0000440:Homo:sapiens:miR-191-5p	3	8	8.0	8.0
hsa-miR-27b-3p:MIMAT0000419:Homo:sapiens:miR-27b-3p	3	8	8.0	8.0
hsa-let-7a-5p:MIMAT0000062:Homo:sapiens:let-7a-5p	4	8	8.0	8.0
hsa-miR-127-3p:MIMAT0000446:Homo:sapiens:miR-127-3p	2	8	8.0	8.0
hsa-miR-200a-3p:MIMAT0000682:Homo:sapiens:miR-200a-3p	5	7	7.0	7.0
hsa-miR-543:MIMAT0004954:Homo:sapiens:miR-543	3	7	7.0	7.0
hsa-miR-941:MIMAT0004984:Homo:sapiens:miR-941	5	7	7.0	7.0
hsa-miR-192-5p:MIMAT0000222:Homo:sapiens:miR-192-5p	2	7	7.0	7.0
hsa-miR-151a-3p:MIMAT0000757:Homo:sapiens:miR-151a-3p	2	7	7.0	7.0
hsa-miR-181a-5p:MIMAT0000256:Homo:sapiens:miR-181a-5p	4	7	7.0	7.0
hsa-let-7f-5p:MIMAT0000067:Homo:sapiens:let-7f-5p	3	6	6.0	6.0
hsa-miR-16-5p:MIMAT0000069:Homo:sapiens:miR-16-5p	2	6	6.0	6.0
hsa-miR-99a-5p:MIMAT0000097:Homo:sapiens:miR-99a-5p	3	6	6.0	6.0
hsa-miR-501-3p:MIMAT0004774:Homo:sapiens:miR-501-3p	2	6	6.0	6.0
hsa-miR-26a-5p:MIMAT0000082:Homo:sapiens:miR-26a-5p	3	6	6.0	6.0
