ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-223-3p:MIMAT0000280:Homo:sapiens:miR-223-3p	738	395617	395617.0	39980.0
hsa-miR-24-3p:MIMAT0000080:Homo:sapiens:miR-24-3p	432	356510	356510.0	18513.0
hsa-let-7a-5p:MIMAT0000062:Homo:sapiens:let-7a-5p	432	315718	312767.5	21239.666666666664
hsa-let-7b-5p:MIMAT0000063:Homo:sapiens:let-7b-5p	616	287939	287258.7	31831.2
hsa-miR-320a:MIMAT0000510:Homo:sapiens:miR-320a	868	271549	265761.3333333333	38606.83333333335
hsa-miR-221-3p:MIMAT0000278:Homo:sapiens:miR-221-3p	528	212160	212160.0	16987.0
hsa-miR-92a-3p:MIMAT0000092:Homo:sapiens:miR-92a-3p	502	189338	189327.5	19801.5
hsa-miR-423-5p:MIMAT0004748:Homo:sapiens:miR-423-5p	416	179333	179333.0	16733.0
hsa-miR-21-5p:MIMAT0000076:Homo:sapiens:miR-21-5p	366	172029	172029.0	12843.0
hsa-miR-451a:MIMAT0001631:Homo:sapiens:miR-451a	463	165230	165230.0	15556.0
hsa-miR-126-3p:MIMAT0000445:Homo:sapiens:miR-126-3p	453	148743	148743.0	16292.0
hsa-miR-16-5p:MIMAT0000069:Homo:sapiens:miR-16-5p	455	146599	146585.5	15734.0
hsa-let-7d-5p:MIMAT0000065:Homo:sapiens:let-7d-5p	336	123055	122911.5	9995.0
hsa-miR-26a-5p:MIMAT0000082:Homo:sapiens:miR-26a-5p	432	120302	120210.5	15148.0
hsa-let-7i-5p:MIMAT0000415:Homo:sapiens:let-7i-5p	293	110704	110686.5	11129.0
hsa-let-7g-5p:MIMAT0000414:Homo:sapiens:let-7g-5p	242	99218	99200.5	7538.0
hsa-miR-103a-3p:MIMAT0000101:Homo:sapiens:miR-103a-3p	389	99246	95580.0	8362.0
hsa-let-7f-5p:MIMAT0000067:Homo:sapiens:let-7f-5p	230	87751	87740.0	6895.5
hsa-miR-30d-5p:MIMAT0000245:Homo:sapiens:miR-30d-5p	426	83135	83077.5	11121.0
hsa-miR-26b-5p:MIMAT0000083:Homo:sapiens:miR-26b-5p	248	77008	77008.0	9238.0
hsa-miR-25-3p:MIMAT0000081:Homo:sapiens:miR-25-3p	250	74916	74913.5	8797.5
hsa-miR-122-5p:MIMAT0000421:Homo:sapiens:miR-122-5p	263	70675	70675.0	8523.0
hsa-miR-17-5p:MIMAT0000070:Homo:sapiens:miR-17-5p	341	81418	70333.0	8668.333333333332
hsa-miR-23a-3p:MIMAT0000078:Homo:sapiens:miR-23a-3p	269	64088	63533.0	8708.5
hsa-miR-146a-5p:MIMAT0000449:Homo:sapiens:miR-146a-5p	255	58504	58502.0	7580.0
hsa-miR-486-5p:MIMAT0002177:Homo:sapiens:miR-486-5p	341	58232	58232.0	7847.0
hsa-miR-93-5p:MIMAT0000093:Homo:sapiens:miR-93-5p	260	57028	57028.0	6758.0
hsa-miR-222-3p:MIMAT0000279:Homo:sapiens:miR-222-3p	394	57009	57009.0	8044.0
hsa-miR-19b-3p:MIMAT0000074:Homo:sapiens:miR-19b-3p	151	50517	50515.0	4321.0
hsa-miR-22-3p:MIMAT0000077:Homo:sapiens:miR-22-3p	143	47464	47464.0	5219.0
hsa-miR-185-5p:MIMAT0000455:Homo:sapiens:miR-185-5p	202	46581	46581.0	3873.0
hsa-miR-30e-5p:MIMAT0000692:Homo:sapiens:miR-30e-5p	218	42087	42087.0	5746.0
hsa-miR-199b-3p:MIMAT0004563:Homo:sapiens:miR-199b-3p|hsa-miR-199a-3p:MIMAT0000232:Homo:sapiens:miR-199a-3p	183	38515	38515.0	4719.0
hsa-miR-484:MIMAT0002174:Homo:sapiens:miR-484	276	37442	37442.0	7233.0
hsa-miR-425-5p:MIMAT0003393:Homo:sapiens:miR-425-5p	314	37309	37309.0	6182.0
hsa-miR-181a-5p:MIMAT0000256:Homo:sapiens:miR-181a-5p	340	37161	37161.0	5160.0
hsa-miR-142-3p:MIMAT0000434:Homo:sapiens:miR-142-3p	233	36342	36342.0	4645.0
hsa-miR-15b-5p:MIMAT0000417:Homo:sapiens:miR-15b-5p	172	33528	33528.0	4177.0
hsa-miR-27a-3p:MIMAT0000084:Homo:sapiens:miR-27a-3p	276	31737	31647.0	4806.5
hsa-miR-126-5p:MIMAT0000444:Homo:sapiens:miR-126-5p	181	29592	29592.0	5141.0
hsa-miR-652-3p:MIMAT0003322:Homo:sapiens:miR-652-3p	149	27815	27815.0	3307.0
hsa-miR-15a-5p:MIMAT0000068:Homo:sapiens:miR-15a-5p	215	27747	27747.0	4610.0
hsa-miR-191-5p:MIMAT0000440:Homo:sapiens:miR-191-5p	235	25866	25866.0	3725.0
hsa-miR-151a-3p:MIMAT0000757:Homo:sapiens:miR-151a-3p	207	25742	25742.0	3897.0
hsa-miR-20a-5p:MIMAT0000075:Homo:sapiens:miR-20a-5p	206	25043	24996.5	3885.333333333333
hsa-miR-744-5p:MIMAT0004945:Homo:sapiens:miR-744-5p	209	24912	24912.0	3988.0
hsa-miR-140-3p:MIMAT0004597:Homo:sapiens:miR-140-3p	234	24230	24230.0	4085.0
hsa-let-7d-3p:MIMAT0004484:Homo:sapiens:let-7d-3p	156	24032	24032.0	3513.0
hsa-miR-23b-3p:MIMAT0000418:Homo:sapiens:miR-23b-3p	224	23625	23070.0	3863.5
hsa-miR-186-5p:MIMAT0000456:Homo:sapiens:miR-186-5p	196	22777	22777.0	3669.0
hsa-miR-130a-3p:MIMAT0000425:Homo:sapiens:miR-130a-3p	240	22118	22118.0	4066.0
hsa-miR-4433b-5p:MIMAT0030413:Homo:sapiens:miR-4433b-5p	221	21969	21969.0	4263.0
hsa-miR-27b-3p:MIMAT0000419:Homo:sapiens:miR-27b-3p	180	21880	21790.5	3442.0
hsa-miR-151b:MIMAT0010214:Homo:sapiens:miR-151b|hsa-miR-151a-5p:MIMAT0004697:Homo:sapiens:miR-151a-5p	70	21046	20611.333333333332	2362.3333333333335
hsa-let-7e-5p:MIMAT0000066:Homo:sapiens:let-7e-5p	168	22321	20111.0	3377.0
hsa-miR-432-5p:MIMAT0002814:Homo:sapiens:miR-432-5p	198	15884	15884.0	3293.0
hsa-miR-19a-3p:MIMAT0000073:Homo:sapiens:miR-19a-3p	104	15885	15883.0	1662.0
hsa-miR-1307-3p:MIMAT0005951:Homo:sapiens:miR-1307-3p	203	15638	15638.0	3243.0
hsa-miR-142-5p:MIMAT0000433:Homo:sapiens:miR-142-5p	141	15367	15367.0	2821.0
hsa-miR-382-5p:MIMAT0000737:Homo:sapiens:miR-382-5p	115	14751	14751.0	2041.0
hsa-miR-30c-5p:MIMAT0000244:Homo:sapiens:miR-30c-5p	160	14078	14078.0	2477.0
