ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-223-3p:MIMAT0000280:Homo:sapiens:miR-223-3p	168	9731	9731.0	6456.0
hsa-miR-451a:MIMAT0001631:Homo:sapiens:miR-451a	125	9641	9641.0	6275.0
hsa-miR-24-3p:MIMAT0000080:Homo:sapiens:miR-24-3p	116	6334	6334.0	2914.0
hsa-miR-320a:MIMAT0000510:Homo:sapiens:miR-320a	198	5126	5019.5	4255.333333333333
hsa-let-7a-5p:MIMAT0000062:Homo:sapiens:let-7a-5p	99	4902	4859.0	3463.5
hsa-miR-92a-3p:MIMAT0000092:Homo:sapiens:miR-92a-3p	130	4743	4743.0	3341.0
hsa-let-7b-5p:MIMAT0000063:Homo:sapiens:let-7b-5p	152	4583	4570.0	3978.5
hsa-miR-221-3p:MIMAT0000278:Homo:sapiens:miR-221-3p	139	4107	4107.0	2808.0
hsa-miR-423-5p:MIMAT0004748:Homo:sapiens:miR-423-5p	90	3481	3481.0	2604.0
hsa-miR-21-5p:MIMAT0000076:Homo:sapiens:miR-21-5p	57	3057	3057.0	2091.0
hsa-miR-126-3p:MIMAT0000445:Homo:sapiens:miR-126-3p	74	2995	2995.0	2347.0
hsa-miR-26a-5p:MIMAT0000082:Homo:sapiens:miR-26a-5p	107	2753	2747.0	2281.5
hsa-miR-16-5p:MIMAT0000069:Homo:sapiens:miR-16-5p	79	2635	2634.0	1801.0
hsa-miR-103a-3p:MIMAT0000101:Homo:sapiens:miR-103a-3p	75	2419	2309.0	1375.0
hsa-let-7i-5p:MIMAT0000415:Homo:sapiens:let-7i-5p	69	2278	2277.5	1821.5
hsa-miR-23a-3p:MIMAT0000078:Homo:sapiens:miR-23a-3p	70	2205	2200.5	1803.5
hsa-let-7d-5p:MIMAT0000065:Homo:sapiens:let-7d-5p	60	2053	2050.5	1457.5
hsa-miR-22-3p:MIMAT0000077:Homo:sapiens:miR-22-3p	43	1668	1668.0	1105.0
hsa-miR-93-5p:MIMAT0000093:Homo:sapiens:miR-93-5p	46	1621	1621.0	990.0
hsa-miR-146a-5p:MIMAT0000449:Homo:sapiens:miR-146a-5p	66	1621	1621.0	1269.0
hsa-miR-486-5p:MIMAT0002177:Homo:sapiens:miR-486-5p	91	1551	1551.0	1369.0
hsa-let-7g-5p:MIMAT0000414:Homo:sapiens:let-7g-5p	48	1551	1550.5	1174.5
hsa-let-7f-5p:MIMAT0000067:Homo:sapiens:let-7f-5p	43	1442	1442.0	955.0
hsa-miR-191-5p:MIMAT0000440:Homo:sapiens:miR-191-5p	49	1386	1386.0	949.0
hsa-miR-30d-5p:MIMAT0000245:Homo:sapiens:miR-30d-5p	66	1331	1331.0	1014.0
hsa-miR-484:MIMAT0002174:Homo:sapiens:miR-484	85	1191	1191.0	1078.0
hsa-miR-25-3p:MIMAT0000081:Homo:sapiens:miR-25-3p	52	1183	1183.0	1001.0
hsa-miR-17-5p:MIMAT0000070:Homo:sapiens:miR-17-5p	62	1864	1109.5	835.5
