ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-451a:MIMAT0001631:Homo:sapiens:miR-451a	206	23141	23141.0	11644.0
hsa-miR-223-3p:MIMAT0000280:Homo:sapiens:miR-223-3p	246	22961	22961.0	11558.0
hsa-miR-24-3p:MIMAT0000080:Homo:sapiens:miR-24-3p	185	19308	19308.0	6090.0
hsa-miR-320a:MIMAT0000510:Homo:sapiens:miR-320a	324	18378	18144.7	11977.95
hsa-let-7b-5p:MIMAT0000063:Homo:sapiens:let-7b-5p	267	14068	14014.5	9903.5
hsa-let-7a-5p:MIMAT0000062:Homo:sapiens:let-7a-5p	168	13876	13711.5	7403.5
hsa-miR-221-3p:MIMAT0000278:Homo:sapiens:miR-221-3p	196	12185	12185.0	6550.0
hsa-miR-423-5p:MIMAT0004748:Homo:sapiens:miR-423-5p	185	11635	11635.0	6096.0
hsa-miR-92a-3p:MIMAT0000092:Homo:sapiens:miR-92a-3p	199	10207	10206.5	5712.5
hsa-miR-21-5p:MIMAT0000076:Homo:sapiens:miR-21-5p	106	7386	7386.0	4098.0
hsa-miR-126-3p:MIMAT0000445:Homo:sapiens:miR-126-3p	123	6883	6883.0	4299.0
hsa-miR-103a-3p:MIMAT0000101:Homo:sapiens:miR-103a-3p	131	6963	6719.5	2852.5
hsa-let-7i-5p:MIMAT0000415:Homo:sapiens:let-7i-5p	120	6403	6402.5	4162.5
hsa-let-7d-5p:MIMAT0000065:Homo:sapiens:let-7d-5p	108	6337	6331.0	3336.5
hsa-miR-26a-5p:MIMAT0000082:Homo:sapiens:miR-26a-5p	126	5995	5983.0	4156.0
hsa-miR-16-5p:MIMAT0000069:Homo:sapiens:miR-16-5p	93	5633	5632.0	2989.0
hsa-miR-146a-5p:MIMAT0000449:Homo:sapiens:miR-146a-5p	108	5359	5358.5	3176.5
hsa-miR-93-5p:MIMAT0000093:Homo:sapiens:miR-93-5p	83	4445	4445.0	2120.0
hsa-let-7f-5p:MIMAT0000067:Homo:sapiens:let-7f-5p	73	4366	4363.0	2183.0
hsa-miR-486-5p:MIMAT0002177:Homo:sapiens:miR-486-5p	154	4327	4327.0	3240.0
hsa-let-7g-5p:MIMAT0000414:Homo:sapiens:let-7g-5p	81	4263	4262.5	2594.5
hsa-miR-23a-3p:MIMAT0000078:Homo:sapiens:miR-23a-3p	83	4151	4146.5	2878.5
hsa-miR-22-3p:MIMAT0000077:Homo:sapiens:miR-22-3p	65	3715	3715.0	1980.0
hsa-miR-484:MIMAT0002174:Homo:sapiens:miR-484	156	3436	3436.0	2558.0
hsa-miR-17-5p:MIMAT0000070:Homo:sapiens:miR-17-5p	104	5674	3268.3333333333335	1850.8333333333333
hsa-miR-30d-5p:MIMAT0000245:Homo:sapiens:miR-30d-5p	105	3255	3254.5	1949.5
hsa-miR-191-5p:MIMAT0000440:Homo:sapiens:miR-191-5p	77	3185	3185.0	1792.0
hsa-miR-222-3p:MIMAT0000279:Homo:sapiens:miR-222-3p	140	2906	2906.0	1937.0
hsa-miR-19b-3p:MIMAT0000074:Homo:sapiens:miR-19b-3p	43	2857	2857.0	1476.0
hsa-miR-122-5p:MIMAT0000421:Homo:sapiens:miR-122-5p	57	2793	2793.0	1722.0
hsa-miR-199b-3p:MIMAT0004563:Homo:sapiens:miR-199b-3p|hsa-miR-199a-3p:MIMAT0000232:Homo:sapiens:miR-199a-3p	65	2753	2753.0	1820.0
hsa-miR-25-3p:MIMAT0000081:Homo:sapiens:miR-25-3p	65	2686	2685.5	1964.5
hsa-miR-425-5p:MIMAT0003393:Homo:sapiens:miR-425-5p	88	2669	2669.0	2001.0
