ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-451a:MIMAT0001631:Homo:sapiens:miR-451a	180	18539	18539.0	10657.0
hsa-miR-223-3p:MIMAT0000280:Homo:sapiens:miR-223-3p	217	17963	17963.0	10127.0
hsa-miR-24-3p:MIMAT0000080:Homo:sapiens:miR-24-3p	147	11151	11151.0	4522.0
hsa-miR-320a:MIMAT0000510:Homo:sapiens:miR-320a	257	8521	8391.316666666664	6580.816666666667
hsa-miR-92a-3p:MIMAT0000092:Homo:sapiens:miR-92a-3p	171	8186	8185.5	5037.5
hsa-let-7a-5p:MIMAT0000062:Homo:sapiens:let-7a-5p	133	8028	7944.5	5282.5
hsa-let-7b-5p:MIMAT0000063:Homo:sapiens:let-7b-5p	183	7735	7715.5	6344.5
hsa-miR-221-3p:MIMAT0000278:Homo:sapiens:miR-221-3p	158	6821	6821.0	4328.0
hsa-miR-423-5p:MIMAT0004748:Homo:sapiens:miR-423-5p	129	6072	6072.0	4055.0
hsa-miR-126-3p:MIMAT0000445:Homo:sapiens:miR-126-3p	101	5323	5323.0	3616.0
hsa-miR-21-5p:MIMAT0000076:Homo:sapiens:miR-21-5p	75	4905	4905.0	2981.0
hsa-miR-16-5p:MIMAT0000069:Homo:sapiens:miR-16-5p	97	4895	4892.5	2818.0
hsa-miR-26a-5p:MIMAT0000082:Homo:sapiens:miR-26a-5p	114	4372	4363.0	3327.5
hsa-miR-23a-3p:MIMAT0000078:Homo:sapiens:miR-23a-3p	91	4342	4336.0	3173.0
hsa-miR-103a-3p:MIMAT0000101:Homo:sapiens:miR-103a-3p	101	4438	4279.0	2128.5
hsa-let-7i-5p:MIMAT0000415:Homo:sapiens:let-7i-5p	99	3991	3991.0	2984.0
hsa-miR-146a-5p:MIMAT0000449:Homo:sapiens:miR-146a-5p	91	3469	3469.0	2401.0
hsa-let-7d-5p:MIMAT0000065:Homo:sapiens:let-7d-5p	88	3447	3445.0	2270.0
hsa-miR-22-3p:MIMAT0000077:Homo:sapiens:miR-22-3p	59	3370	3370.0	1871.0
hsa-miR-191-5p:MIMAT0000440:Homo:sapiens:miR-191-5p	65	2879	2879.0	1687.0
hsa-let-7g-5p:MIMAT0000414:Homo:sapiens:let-7g-5p	64	2664	2664.0	1829.0
hsa-miR-93-5p:MIMAT0000093:Homo:sapiens:miR-93-5p	57	2617	2617.0	1501.0
hsa-miR-484:MIMAT0002174:Homo:sapiens:miR-484	117	2443	2443.0	2062.0
hsa-let-7f-5p:MIMAT0000067:Homo:sapiens:let-7f-5p	64	2413	2412.5	1466.5
hsa-miR-30d-5p:MIMAT0000245:Homo:sapiens:miR-30d-5p	94	2387	2385.5	1607.0
hsa-miR-486-5p:MIMAT0002177:Homo:sapiens:miR-486-5p	108	2186	2186.0	1858.0
hsa-miR-25-3p:MIMAT0000081:Homo:sapiens:miR-25-3p	55	1967	1967.0	1557.0
