ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-451a:MIMAT0001631:Homo:sapiens:miR-451a	194	23915	23915.0	12337.0
hsa-miR-223-3p:MIMAT0000280:Homo:sapiens:miR-223-3p	193	23096	23096.0	12141.0
hsa-miR-24-3p:MIMAT0000080:Homo:sapiens:miR-24-3p	168	14571	14571.0	5293.0
hsa-miR-320a:MIMAT0000510:Homo:sapiens:miR-320a	261	12675	12450.250000000002	8830.666666666664
hsa-let-7a-5p:MIMAT0000062:Homo:sapiens:let-7a-5p	155	12069	11958.5	6970.0
hsa-let-7b-5p:MIMAT0000063:Homo:sapiens:let-7b-5p	228	11614	11576.5	8748.0
hsa-miR-92a-3p:MIMAT0000092:Homo:sapiens:miR-92a-3p	182	10387	10387.0	5869.0
hsa-miR-221-3p:MIMAT0000278:Homo:sapiens:miR-221-3p	166	10214	10214.0	5860.0
hsa-miR-423-5p:MIMAT0004748:Homo:sapiens:miR-423-5p	143	8362	8362.0	5033.0
hsa-miR-126-3p:MIMAT0000445:Homo:sapiens:miR-126-3p	120	7309	7309.0	4513.0
hsa-miR-21-5p:MIMAT0000076:Homo:sapiens:miR-21-5p	80	7096	7096.0	3893.0
hsa-miR-26a-5p:MIMAT0000082:Homo:sapiens:miR-26a-5p	114	6321	6320.5	4403.5
hsa-miR-16-5p:MIMAT0000069:Homo:sapiens:miR-16-5p	93	5822	5820.5	3056.0
hsa-let-7i-5p:MIMAT0000415:Homo:sapiens:let-7i-5p	103	5390	5389.5	3613.5
hsa-miR-103a-3p:MIMAT0000101:Homo:sapiens:miR-103a-3p	101	5525	5312.0	2433.5
hsa-let-7d-5p:MIMAT0000065:Homo:sapiens:let-7d-5p	92	5090	5084.0	2972.0
hsa-miR-23a-3p:MIMAT0000078:Homo:sapiens:miR-23a-3p	88	4699	4694.5	3236.0
hsa-let-7g-5p:MIMAT0000414:Homo:sapiens:let-7g-5p	86	3875	3874.5	2477.5
hsa-miR-22-3p:MIMAT0000077:Homo:sapiens:miR-22-3p	60	3818	3818.0	2044.0
hsa-miR-146a-5p:MIMAT0000449:Homo:sapiens:miR-146a-5p	81	3815	3814.5	2543.5
hsa-miR-93-5p:MIMAT0000093:Homo:sapiens:miR-93-5p	66	3734	3734.0	1902.0
hsa-let-7f-5p:MIMAT0000067:Homo:sapiens:let-7f-5p	64	3548	3547.0	1986.0
hsa-miR-191-5p:MIMAT0000440:Homo:sapiens:miR-191-5p	73	3262	3262.0	1789.0
