ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-92a-3p:MIMAT0000092:Homo:sapiens:miR-92a-3p	717	383755	383743.0	98017.0
hsa-miR-486-5p:MIMAT0002177:Homo:sapiens:miR-486-5p	615	295145	295145.0	75945.0
hsa-miR-423-5p:MIMAT0004748:Homo:sapiens:miR-423-5p	432	254401	254401.0	53627.0
hsa-miR-146a-5p:MIMAT0000449:Homo:sapiens:miR-146a-5p	374	162023	162019.0	32348.5
hsa-miR-24-3p:MIMAT0000080:Homo:sapiens:miR-24-3p	271	149714	149714.0	13400.0
hsa-miR-320a:MIMAT0000510:Homo:sapiens:miR-320a	561	95132	92459.86666666665	35226.70000000001
hsa-miR-23a-3p:MIMAT0000078:Homo:sapiens:miR-23a-3p	248	69978	69835.83333333334	12185.833333333334
hsa-let-7b-5p:MIMAT0000063:Homo:sapiens:let-7b-5p	345	67908	67560.66666666667	22147.833333333336
hsa-miR-30d-5p:MIMAT0000245:Homo:sapiens:miR-30d-5p	314	66028	66010.5	22528.0
hsa-miR-423-3p:MIMAT0001340:Homo:sapiens:miR-423-3p	318	63867	63867.0	24235.0
hsa-let-7i-5p:MIMAT0000415:Homo:sapiens:let-7i-5p	161	57483	57482.0	9930.0
hsa-miR-425-5p:MIMAT0003393:Homo:sapiens:miR-425-5p	252	50089	50089.0	9561.0
hsa-miR-26a-5p:MIMAT0000082:Homo:sapiens:miR-26a-5p	294	46703	46693.0	13516.5
hsa-miR-221-3p:MIMAT0000278:Homo:sapiens:miR-221-3p	203	42792	42792.0	7851.0
hsa-miR-151b:MIMAT0010214:Homo:sapiens:miR-151b|hsa-miR-151a-5p:MIMAT0004697:Homo:sapiens:miR-151a-5p	90	40290	39587.833333333336	12054.833333333334
hsa-miR-484:MIMAT0002174:Homo:sapiens:miR-484	249	39129	39129.0	11463.0
hsa-let-7a-5p:MIMAT0000062:Homo:sapiens:let-7a-5p	189	39091	38549.666666666664	13164.333333333332
hsa-miR-222-3p:MIMAT0000279:Homo:sapiens:miR-222-3p	287	32293	32293.0	8526.0
hsa-miR-584-5p:MIMAT0003249:Homo:sapiens:miR-584-5p	235	28737	28737.0	13660.0
hsa-miR-199b-3p:MIMAT0004563:Homo:sapiens:miR-199b-3p|hsa-miR-199a-3p:MIMAT0000232:Homo:sapiens:miR-199a-3p	109	24589	24589.0	5195.0
hsa-miR-22-3p:MIMAT0000077:Homo:sapiens:miR-22-3p	80	24315	24315.0	5323.0
hsa-miR-191-5p:MIMAT0000440:Homo:sapiens:miR-191-5p	235	23205	23205.0	10602.0
hsa-miR-16-5p:MIMAT0000069:Homo:sapiens:miR-16-5p	155	22696	22696.0	4233.0
hsa-miR-21-5p:MIMAT0000076:Homo:sapiens:miR-21-5p	101	21002	21002.0	8389.0
hsa-miR-652-3p:MIMAT0003322:Homo:sapiens:miR-652-3p	117	20745	20745.0	5875.0
hsa-miR-122-5p:MIMAT0000421:Homo:sapiens:miR-122-5p	142	20118	20118.0	6916.0
hsa-miR-140-3p:MIMAT0004597:Homo:sapiens:miR-140-3p	187	19250	19250.0	9756.0
hsa-miR-151a-3p:MIMAT0000757:Homo:sapiens:miR-151a-3p	194	19129	19129.0	11130.0
hsa-miR-126-3p:MIMAT0000445:Homo:sapiens:miR-126-3p	130	17626	17626.0	4918.0
hsa-let-7f-5p:MIMAT0000067:Homo:sapiens:let-7f-5p	86	17052	17047.0	5654.0
hsa-miR-25-3p:MIMAT0000081:Homo:sapiens:miR-25-3p	125	16851	16850.5	7518.5
hsa-miR-181a-5p:MIMAT0000256:Homo:sapiens:miR-181a-5p	150	15215	15215.0	7788.0
hsa-let-7d-3p:MIMAT0004484:Homo:sapiens:let-7d-3p	116	14643	14643.0	3183.0
hsa-miR-1307-3p:MIMAT0005951:Homo:sapiens:miR-1307-3p	155	12464	12464.0	6677.0
hsa-miR-186-5p:MIMAT0000456:Homo:sapiens:miR-186-5p	136	12381	12381.0	4592.0
hsa-miR-744-5p:MIMAT0004945:Homo:sapiens:miR-744-5p	107	11817	11817.0	6650.0
hsa-miR-93-5p:MIMAT0000093:Homo:sapiens:miR-93-5p	97	11600	11600.0	4106.0
hsa-miR-127-3p:MIMAT0000446:Homo:sapiens:miR-127-3p	140	9912	9912.0	5034.0
hsa-miR-451a:MIMAT0001631:Homo:sapiens:miR-451a	77	9608	9608.0	4817.0
hsa-miR-28-3p:MIMAT0004502:Homo:sapiens:miR-28-3p	156	9504	9504.0	5620.0
hsa-miR-103a-3p:MIMAT0000101:Homo:sapiens:miR-103a-3p	115	9620	9402.0	4271.5
hsa-miR-151a-5p:MIMAT0004697:Homo:sapiens:miR-151a-5p	69	9339	9321.0	4036.5
hsa-miR-125a-5p:MIMAT0000443:Homo:sapiens:miR-125a-5p	115	9306	9306.0	3690.0
hsa-miR-23b-3p:MIMAT0000418:Homo:sapiens:miR-23b-3p	127	9282	9135.833333333332	3295.3333333333335
hsa-miR-409-3p:MIMAT0001639:Homo:sapiens:miR-409-3p	151	8583	8583.0	3857.0
hsa-miR-99b-5p:MIMAT0000689:Homo:sapiens:miR-99b-5p	105	8415	8415.0	4706.0
hsa-miR-146b-5p:MIMAT0002809:Homo:sapiens:miR-146b-5p	118	7959	7958.0	3204.0
hsa-miR-4433b-5p:MIMAT0030413:Homo:sapiens:miR-4433b-5p	140	7287	7287.0	3816.0
hsa-miR-223-3p:MIMAT0000280:Homo:sapiens:miR-223-3p	123	6868	6868.0	2951.0
hsa-miR-432-5p:MIMAT0002814:Homo:sapiens:miR-432-5p	153	6759	6759.0	3605.0
hsa-let-7d-5p:MIMAT0000065:Homo:sapiens:let-7d-5p	68	6459	6454.5	2819.0
hsa-miR-1301-3p:MIMAT0005797:Homo:sapiens:miR-1301-3p	150	6377	6377.0	2845.0
hsa-miR-30e-5p:MIMAT0000692:Homo:sapiens:miR-30e-5p	84	6307	6307.0	3096.0
hsa-let-7g-5p:MIMAT0000414:Homo:sapiens:let-7g-5p	58	6171	6170.0	2183.0
hsa-miR-342-3p:MIMAT0000753:Homo:sapiens:miR-342-3p	105	6125	6125.0	2372.0
hsa-miR-328-3p:MIMAT0000752:Homo:sapiens:miR-328-3p	98	5821	5821.0	2307.0
hsa-miR-185-5p:MIMAT0000455:Homo:sapiens:miR-185-5p	71	5164	5164.0	2263.0
hsa-miR-378a-3p:MIMAT0000732:Homo:sapiens:miR-378a-3p	99	5055	5042.333333333332	3013.5
hsa-miR-128-3p:MIMAT0000424:Homo:sapiens:miR-128-3p	99	4975	4975.0	2021.0
hsa-miR-148a-3p:MIMAT0000243:Homo:sapiens:miR-148a-3p	60	4743	4743.0	2513.0
hsa-miR-142-5p:MIMAT0000433:Homo:sapiens:miR-142-5p	65	4680	4680.0	2605.0
hsa-miR-766-3p:MIMAT0003888:Homo:sapiens:miR-766-3p	75	4679	4679.0	2191.0
hsa-miR-199a-5p:MIMAT0000231:Homo:sapiens:miR-199a-5p	44	4670	4669.5	2366.5
hsa-miR-30c-5p:MIMAT0000244:Homo:sapiens:miR-30c-5p	65	4629	4629.0	1322.0
hsa-miR-142-3p:MIMAT0000434:Homo:sapiens:miR-142-3p	72	4564	4564.0	1731.0
hsa-miR-324-3p:MIMAT0000762:Homo:sapiens:miR-324-3p	111	4028	4028.0	2054.0
hsa-miR-330-3p:MIMAT0000751:Homo:sapiens:miR-330-3p	104	3966	3966.0	2203.0
hsa-miR-382-5p:MIMAT0000737:Homo:sapiens:miR-382-5p	58	3952	3952.0	1662.0
hsa-miR-98-5p:MIMAT0000096:Homo:sapiens:miR-98-5p	43	3872	3872.0	1238.0
hsa-miR-29a-3p:MIMAT0000086:Homo:sapiens:miR-29a-3p	77	3865	3865.0	1846.0
hsa-miR-99a-5p:MIMAT0000097:Homo:sapiens:miR-99a-5p	60	3783	3782.5	2079.5
hsa-miR-148b-3p:MIMAT0000759:Homo:sapiens:miR-148b-3p	45	3717	3717.0	1674.0
hsa-let-7e-5p:MIMAT0000066:Homo:sapiens:let-7e-5p	86	4191	3683.0	1789.5
hsa-miR-143-3p:MIMAT0000435:Homo:sapiens:miR-143-3p	62	3637	3637.0	2283.0
hsa-miR-10a-5p:MIMAT0000253:Homo:sapiens:miR-10a-5p	76	3594	3593.5	2255.5
hsa-miR-101-3p:MIMAT0000099:Homo:sapiens:miR-101-3p	66	3531	3531.0	2186.0
hsa-miR-224-5p:MIMAT0000281:Homo:sapiens:miR-224-5p	39	3415	3415.0	1820.0
hsa-miR-625-3p:MIMAT0004808:Homo:sapiens:miR-625-3p	142	3403	3403.0	1890.0
hsa-miR-93-3p:MIMAT0004509:Homo:sapiens:miR-93-3p	70	3379	3379.0	1359.0
hsa-miR-126-5p:MIMAT0000444:Homo:sapiens:miR-126-5p	49	3366	3366.0	1756.0
hsa-miR-4446-3p:MIMAT0018965:Homo:sapiens:miR-4446-3p	103	3338	3338.0	1931.0
hsa-miR-92b-3p:MIMAT0003218:Homo:sapiens:miR-92b-3p	200	3252	3251.5	2141.5
hsa-miR-345-5p:MIMAT0000772:Homo:sapiens:miR-345-5p	121	3240	3240.0	1780.0
hsa-miR-27b-3p:MIMAT0000419:Homo:sapiens:miR-27b-3p	72	3116	3112.0	1831.0
hsa-miR-134-5p:MIMAT0000447:Homo:sapiens:miR-134-5p	73	3056	3056.0	1652.0
hsa-miR-152-3p:MIMAT0000438:Homo:sapiens:miR-152-3p	62	3031	3031.0	1842.0
hsa-miR-877-5p:MIMAT0004949:Homo:sapiens:miR-877-5p	155	2859	2859.0	1676.0
hsa-miR-145-5p:MIMAT0000437:Homo:sapiens:miR-145-5p	67	2699	2699.0	896.0
hsa-miR-1908-5p:MIMAT0007881:Homo:sapiens:miR-1908-5p	69	2698	2698.0	1777.0
hsa-miR-433-3p:MIMAT0001627:Homo:sapiens:miR-433-3p	64	2650	2650.0	1544.0
hsa-miR-181b-5p:MIMAT0000257:Homo:sapiens:miR-181b-5p	95	2621	2535.5	1429.0
hsa-miR-363-3p:MIMAT0000707:Homo:sapiens:miR-363-3p	54	2437	2437.0	1102.0
hsa-miR-10b-5p:MIMAT0000254:Homo:sapiens:miR-10b-5p	47	2390	2390.0	1451.0
hsa-miR-320b:MIMAT0005792:Homo:sapiens:miR-320b	190	5028	2354.666666666667	1308.1666666666658
hsa-miR-28-5p:MIMAT0000085:Homo:sapiens:miR-28-5p	50	2291	2289.0	1291.6666666666667
hsa-miR-26b-5p:MIMAT0000083:Homo:sapiens:miR-26b-5p	65	2287	2285.5	1262.5
hsa-miR-103a-2-5p:MIMAT0009196:Homo:sapiens:miR-103a-2-5p	50	2249	2215.0	599.5
hsa-miR-370-3p:MIMAT0000722:Homo:sapiens:miR-370-3p	82	2120	2120.0	1296.0
hsa-miR-150-5p:MIMAT0000451:Homo:sapiens:miR-150-5p	36	2115	2115.0	1098.0
hsa-miR-1307-5p:MIMAT0022727:Homo:sapiens:miR-1307-5p	42	2083	2083.0	735.0
hsa-miR-4286:MIMAT0016916:Homo:sapiens:miR-4286	34	2061	2061.0	1027.0
hsa-miR-375:MIMAT0000728:Homo:sapiens:miR-375	30	2014	2014.0	1232.0
hsa-miR-125b-5p:MIMAT0000423:Homo:sapiens:miR-125b-5p	44	2011	2011.0	1029.0
hsa-miR-3615:MIMAT0017994:Homo:sapiens:miR-3615	72	1956	1956.0	1126.0
hsa-miR-326:MIMAT0000756:Homo:sapiens:miR-326	79	1900	1900.0	1105.0
hsa-miR-106b-3p:MIMAT0004672:Homo:sapiens:miR-106b-3p	73	1888	1888.0	1143.0
hsa-miR-1306-5p:MIMAT0022726:Homo:sapiens:miR-1306-5p	48	1842	1842.0	614.0
hsa-miR-192-5p:MIMAT0000222:Homo:sapiens:miR-192-5p	74	1775	1770.5	1065.0
hsa-miR-27a-3p:MIMAT0000084:Homo:sapiens:miR-27a-3p	79	1673	1669.0	890.0
