ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-300:MIMAT0004903:Homo:sapiens:miR-300	236	225789	225788.0	0.0
hsa-miR-769-5p:MIMAT0003886:Homo:sapiens:miR-769-5p	141	214936	214936.0	0.0
hsa-miR-10b-5p:MIMAT0000254:Homo:sapiens:miR-10b-5p	445	201985	201975.0	0.0
hsa-miR-575:MIMAT0003240:Homo:sapiens:miR-575	50	178265	178265.0	0.0
hsa-miR-486-5p:MIMAT0002177:Homo:sapiens:miR-486-5p	342	167589	167589.0	0.0
hsa-miR-181a-5p:MIMAT0000256:Homo:sapiens:miR-181a-5p	421	158090	158090.0	0.0
hsa-miR-891a-5p:MIMAT0004902:Homo:sapiens:miR-891a-5p	281	153058	153058.0	0.0
hsa-miR-181c-5p:MIMAT0000258:Homo:sapiens:miR-181c-5p	269	139379	139379.0	0.0
hsa-miR-28-3p:MIMAT0004502:Homo:sapiens:miR-28-3p	245	135441	135441.0	0.0
hsa-miR-181a-3p:MIMAT0000270:Homo:sapiens:miR-181a-3p	262	130401	130332.5	0.0
hsa-miR-767-5p:MIMAT0003882:Homo:sapiens:miR-767-5p	211	119192	119192.0	0.0
hsa-miR-215-5p:MIMAT0000272:Homo:sapiens:miR-215-5p	165	112396	112168.5	0.0
hsa-miR-192-5p:MIMAT0000222:Homo:sapiens:miR-192-5p	247	107554	107326.5	0.0
hsa-miR-485-5p:MIMAT0002175:Homo:sapiens:miR-485-5p	191	102346	102346.0	0.0
hsa-miR-411-5p:MIMAT0003329:Homo:sapiens:miR-411-5p	244	101842	101842.0	0.0
hsa-miR-371a-5p:MIMAT0004687:Homo:sapiens:miR-371a-5p	89	99910	99910.0	0.0
hsa-miR-604:MIMAT0003272:Homo:sapiens:miR-604	50	92992	92992.0	0.0
hsa-miR-10a-5p:MIMAT0000253:Homo:sapiens:miR-10a-5p	378	88075	88064.0	0.0
hsa-miR-409-3p:MIMAT0001639:Homo:sapiens:miR-409-3p	248	87441	87441.0	0.0
hsa-miR-375:MIMAT0000728:Homo:sapiens:miR-375	340	87247	87247.0	0.0
hsa-miR-671-3p:MIMAT0004819:Homo:sapiens:miR-671-3p	163	86457	86457.0	0.0
hsa-miR-182-5p:MIMAT0000259:Homo:sapiens:miR-182-5p	603	85377	85376.5	0.0
hsa-miR-30e-3p:MIMAT0000693:Homo:sapiens:miR-30e-3p	173	84335	84263.5	0.0
hsa-miR-509-3p:MIMAT0002881:Homo:sapiens:miR-509-3p	204	80921	80921.0	0.0
hsa-miR-191-5p:MIMAT0000440:Homo:sapiens:miR-191-5p	239	78011	78011.0	0.0
hsa-miR-92b-3p:MIMAT0003218:Homo:sapiens:miR-92b-3p	233	77361	77361.0	0.0
hsa-miR-622:MIMAT0003291:Homo:sapiens:miR-622	126	75935	75935.0	0.0
hsa-miR-892a:MIMAT0004907:Homo:sapiens:miR-892a	125	75241	75241.0	0.0
hsa-miR-454-5p:MIMAT0003884:Homo:sapiens:miR-454-5p	158	71844	71844.0	0.0
hsa-miR-668-3p:MIMAT0003881:Homo:sapiens:miR-668-3p	161	63844	63844.0	0.0
hsa-miR-381-3p:MIMAT0000736:Homo:sapiens:miR-381-3p	206	59953	59952.0	0.0
hsa-miR-200a-5p:MIMAT0001620:Homo:sapiens:miR-200a-5p	151	57769	57769.0	0.0
hsa-miR-410-3p:MIMAT0002171:Homo:sapiens:miR-410-3p	130	56281	56281.0	0.0
hsa-miR-30a-3p:MIMAT0000088:Homo:sapiens:miR-30a-3p	162	55586	55514.5	0.0
hsa-miR-22-3p:MIMAT0000077:Homo:sapiens:miR-22-3p	151	55002	55002.0	0.0
hsa-miR-181b-5p:MIMAT0000257:Homo:sapiens:miR-181b-5p	235	53063	53063.0	0.0
hsa-miR-512-3p:MIMAT0002823:Homo:sapiens:miR-512-3p	163	52456	52456.0	0.0
hsa-miR-378a-3p:MIMAT0000732:Homo:sapiens:miR-378a-3p	118	52288	51929.25000000001	0.0
hsa-miR-517-5p:MIMAT0002851:Homo:sapiens:miR-517-5p	126	51611	51610.0	0.0
hsa-miR-889-3p:MIMAT0004921:Homo:sapiens:miR-889-3p	152	49678	49678.0	0.0
hsa-miR-589-3p:MIMAT0003256:Homo:sapiens:miR-589-3p	247	48733	48733.0	0.0
hsa-miR-422a:MIMAT0001339:Homo:sapiens:miR-422a	239	43064	43064.0	0.0
hsa-miR-143-3p:MIMAT0000435:Homo:sapiens:miR-143-3p	127	42347	42347.0	0.0
hsa-miR-549a:MIMAT0003333:Homo:sapiens:miR-549a	123	39593	39593.0	0.0
hsa-miR-646:MIMAT0003316:Homo:sapiens:miR-646	36	38764	38764.0	0.0
hsa-miR-126-5p:MIMAT0000444:Homo:sapiens:miR-126-5p	100	38704	38704.0	0.0
hsa-miR-641:MIMAT0003311:Homo:sapiens:miR-641	186	38292	38292.0	0.0
hsa-miR-423-5p:MIMAT0004748:Homo:sapiens:miR-423-5p	214	37957	37957.0	0.0
hsa-miR-569:MIMAT0003234:Homo:sapiens:miR-569	108	37888	37888.0	0.0
hsa-miR-588:MIMAT0003255:Homo:sapiens:miR-588	91	35657	35657.0	0.0
hsa-miR-640:MIMAT0003310:Homo:sapiens:miR-640	147	35516	35516.0	0.0
hsa-miR-148a-3p:MIMAT0000243:Homo:sapiens:miR-148a-3p	199	33921	33921.0	0.0
hsa-miR-520d-3p:MIMAT0002856:Homo:sapiens:miR-520d-3p	108	33466	33466.0	0.0
hsa-miR-151a-3p:MIMAT0000757:Homo:sapiens:miR-151a-3p	134	33047	33047.0	0.0
hsa-miR-644a:MIMAT0003314:Homo:sapiens:miR-644a	34	32735	32735.0	0.0
hsa-miR-708-3p:MIMAT0004927:Homo:sapiens:miR-708-3p	134	32086	32086.0	0.0
hsa-miR-92a-3p:MIMAT0000092:Homo:sapiens:miR-92a-3p	208	31775	31775.0	0.0
hsa-miR-620:MIMAT0003289:Homo:sapiens:miR-620	50	31775	31775.0	0.0
hsa-miR-383-5p:MIMAT0000738:Homo:sapiens:miR-383-5p	163	31406	31406.0	0.0
hsa-miR-373-3p:MIMAT0000726:Homo:sapiens:miR-373-3p	189	31214	31214.0	0.0
hsa-miR-450b-5p:MIMAT0004909:Homo:sapiens:miR-450b-5p	117	31194	31194.0	0.0
hsa-miR-508-3p:MIMAT0002880:Homo:sapiens:miR-508-3p	143	30636	30636.0	0.0
hsa-miR-423-3p:MIMAT0001340:Homo:sapiens:miR-423-3p	211	29633	29633.0	0.0
hsa-miR-34c-5p:MIMAT0000686:Homo:sapiens:miR-34c-5p	243	29479	29479.0	0.0
hsa-miR-877-5p:MIMAT0004949:Homo:sapiens:miR-877-5p	69	29398	29398.0	0.0
hsa-miR-191-3p:MIMAT0001618:Homo:sapiens:miR-191-3p	138	29393	29393.0	0.0
hsa-miR-345-5p:MIMAT0000772:Homo:sapiens:miR-345-5p	153	29316	29316.0	0.0
hsa-miR-493-3p:MIMAT0003161:Homo:sapiens:miR-493-3p	117	28834	28834.0	0.0
hsa-miR-518c-5p:MIMAT0002847:Homo:sapiens:miR-518c-5p	111	27397	27377.25	0.0
hsa-miR-500a-3p:MIMAT0002871:Homo:sapiens:miR-500a-3p	147	27643	26473.0	0.0
hsa-miR-181d-5p:MIMAT0002821:Homo:sapiens:miR-181d-5p	221	26062	26062.0	0.0
hsa-miR-541-5p:MIMAT0004919:Homo:sapiens:miR-541-5p	242	24814	24814.0	0.0
hsa-miR-634:MIMAT0003304:Homo:sapiens:miR-634	153	24660	24660.0	0.0
hsa-miR-580-3p:MIMAT0003245:Homo:sapiens:miR-580-3p	127	23501	23501.0	0.0
hsa-miR-586:MIMAT0003252:Homo:sapiens:miR-586	168	23016	23016.0	0.0
hsa-miR-301a-3p:MIMAT0000688:Homo:sapiens:miR-301a-3p	176	26275	21012.5	0.0
hsa-miR-490-3p:MIMAT0002806:Homo:sapiens:miR-490-3p	124	20524	20524.0	0.0
hsa-miR-516b-5p:MIMAT0002859:Homo:sapiens:miR-516b-5p	125	20376	20376.0	0.0
hsa-miR-571:MIMAT0003236:Homo:sapiens:miR-571	83	19869	19869.0	0.0
hsa-miR-492:MIMAT0002812:Homo:sapiens:miR-492	97	19691	19691.0	0.0
hsa-miR-654-3p:MIMAT0004814:Homo:sapiens:miR-654-3p	113	18284	18284.0	0.0
hsa-miR-654-5p:MIMAT0003330:Homo:sapiens:miR-654-5p	142	17085	17085.0	0.0
hsa-miR-186-5p:MIMAT0000456:Homo:sapiens:miR-186-5p	98	16570	16570.0	0.0
hsa-let-7i-5p:MIMAT0000415:Homo:sapiens:let-7i-5p	98	16449	16449.0	0.0
hsa-miR-758-3p:MIMAT0003879:Homo:sapiens:miR-758-3p	97	16164	16164.0	0.0
hsa-miR-576-3p:MIMAT0004796:Homo:sapiens:miR-576-3p	113	16086	16086.0	0.0
hsa-miR-183-5p:MIMAT0000261:Homo:sapiens:miR-183-5p	163	15618	15617.5	0.0
hsa-miR-184:MIMAT0000454:Homo:sapiens:miR-184	155	15546	15546.0	0.0
hsa-miR-27b-3p:MIMAT0000419:Homo:sapiens:miR-27b-3p	81	15529	15436.5	0.0
hsa-miR-637:MIMAT0003307:Homo:sapiens:miR-637	143	15421	15421.0	0.0
hsa-miR-767-3p:MIMAT0003883:Homo:sapiens:miR-767-3p	93	15366	15366.0	0.0
hsa-miR-155-5p:MIMAT0000646:Homo:sapiens:miR-155-5p	184	15242	15242.0	0.0
hsa-miR-636:MIMAT0003306:Homo:sapiens:miR-636	153	15063	15063.0	0.0
hsa-miR-623:MIMAT0003292:Homo:sapiens:miR-623	116	14530	14530.0	0.0
hsa-miR-650:MIMAT0003320:Homo:sapiens:miR-650	88	14357	14357.0	0.0
hsa-miR-301b-3p:MIMAT0004958:Homo:sapiens:miR-301b-3p	170	19611	14348.5	0.0
hsa-miR-448:MIMAT0001532:Homo:sapiens:miR-448	113	14311	14311.0	0.0
hsa-let-7d-3p:MIMAT0004484:Homo:sapiens:let-7d-3p	106	14162	14162.0	0.0
hsa-miR-627-5p:MIMAT0003296:Homo:sapiens:miR-627-5p	100	14000	14000.0	0.0
hsa-miR-449b-5p:MIMAT0003327:Homo:sapiens:miR-449b-5p	137	14003	13962.5	0.0
hsa-miR-99b-5p:MIMAT0000689:Homo:sapiens:miR-99b-5p	262	13743	13743.0	0.0
hsa-miR-520c-5p:MIMAT0005455:Homo:sapiens:miR-520c-5p|hsa-miR-518d-5p:MIMAT0005456:Homo:sapiens:miR-518d-5p|hsa-miR-526a:MIMAT0002845:Homo:sapiens:miR-526a	87	13768	13570.916666666666	0.0
hsa-miR-873-5p:MIMAT0004953:Homo:sapiens:miR-873-5p	120	13332	13332.0	0.0
hsa-miR-532-5p:MIMAT0002888:Homo:sapiens:miR-532-5p	160	13283	13283.0	0.0
hsa-miR-31-5p:MIMAT0000089:Homo:sapiens:miR-31-5p	111	13010	13010.0	0.0
hsa-miR-581:MIMAT0003246:Homo:sapiens:miR-581	84	12898	12898.0	0.0
hsa-miR-142-5p:MIMAT0000433:Homo:sapiens:miR-142-5p	77	12144	12144.0	0.0
hsa-miR-372-3p:MIMAT0000724:Homo:sapiens:miR-372-3p	133	11981	11981.0	0.0
hsa-miR-515-5p:MIMAT0002826:Homo:sapiens:miR-515-5p	92	11972	11972.0	0.0
hsa-miR-431-5p:MIMAT0001625:Homo:sapiens:miR-431-5p	89	11934	11934.0	0.0
hsa-miR-125a-5p:MIMAT0000443:Homo:sapiens:miR-125a-5p	196	11927	11927.0	0.0
hsa-miR-340-3p:MIMAT0000750:Homo:sapiens:miR-340-3p	128	11744	11744.0	0.0
hsa-miR-576-5p:MIMAT0003241:Homo:sapiens:miR-576-5p	87	11644	11644.0	0.0
hsa-let-7e-5p:MIMAT0000066:Homo:sapiens:let-7e-5p	89	11605	11598.5	0.0
hsa-miR-149-5p:MIMAT0000450:Homo:sapiens:miR-149-5p	168	11351	11351.0	0.0
hsa-let-7f-5p:MIMAT0000067:Homo:sapiens:let-7f-5p	114	11217	11216.0	0.0
hsa-miR-26a-5p:MIMAT0000082:Homo:sapiens:miR-26a-5p	118	11146	11146.0	0.0
hsa-miR-519b-5p:MIMAT0005454:Homo:sapiens:miR-519b-5p|hsa-miR-519c-5p:MIMAT0002831:Homo:sapiens:miR-519c-5p|hsa-miR-523-5p:MIMAT0005449:Homo:sapiens:miR-523-5p|hsa-miR-522-5p:MIMAT0005451:Homo:sapiens:miR-522-5p|hsa-miR-519a-5p:MIMAT0005452:Homo:sapiens:miR-519a-5p|hsa-miR-518e-5p:MIMAT0005450:Homo:sapiens:miR-518e-5p	79	11182	11099.666666666668	0.0
hsa-miR-101-3p:MIMAT0000099:Homo:sapiens:miR-101-3p	80	11081	11081.0	0.0
hsa-miR-660-5p:MIMAT0003338:Homo:sapiens:miR-660-5p	165	11056	11056.0	0.0
hsa-miR-600:MIMAT0003268:Homo:sapiens:miR-600	204	11021	11021.0	0.0
hsa-miR-151b:MIMAT0010214:Homo:sapiens:miR-151b|hsa-miR-151a-5p:MIMAT0004697:Homo:sapiens:miR-151a-5p	65	11221	10792.166666666666	0.0
hsa-miR-562:MIMAT0003226:Homo:sapiens:miR-562	69	10784	10784.0	0.0
hsa-miR-635:MIMAT0003305:Homo:sapiens:miR-635	213	10524	10524.0	0.0
hsa-miR-134-5p:MIMAT0000447:Homo:sapiens:miR-134-5p	125	10325	10325.0	0.0
hsa-miR-493-5p:MIMAT0002813:Homo:sapiens:miR-493-5p	76	10177	10177.0	0.0
hsa-miR-577:MIMAT0003242:Homo:sapiens:miR-577	74	10145	10145.0	0.0
hsa-miR-205-5p:MIMAT0000266:Homo:sapiens:miR-205-5p	114	9836	9836.0	0.0
hsa-miR-497-5p:MIMAT0002820:Homo:sapiens:miR-497-5p	116	9789	9789.0	0.0
hsa-miR-98-5p:MIMAT0000096:Homo:sapiens:miR-98-5p	150	9764	9764.0	0.0
hsa-miR-339-3p:MIMAT0004702:Homo:sapiens:miR-339-3p	144	9749	9749.0	0.0
hsa-miR-508-5p:MIMAT0004778:Homo:sapiens:miR-508-5p	141	9699	9699.0	0.0
hsa-miR-433-5p:MIMAT0026554:Homo:sapiens:miR-433-5p	89	9559	9559.0	0.0
hsa-miR-421:MIMAT0003339:Homo:sapiens:miR-421	131	9529	9529.0	0.0
hsa-miR-645:MIMAT0003315:Homo:sapiens:miR-645	34	9387	9387.0	0.0
hsa-miR-132-3p:MIMAT0000426:Homo:sapiens:miR-132-3p	101	9375	9375.0	0.0
hsa-miR-208b-3p:MIMAT0004960:Homo:sapiens:miR-208b-3p	116	9295	9295.0	0.0
hsa-miR-299-3p:MIMAT0000687:Homo:sapiens:miR-299-3p	138	9278	9278.0	0.0
hsa-miR-196b-5p:MIMAT0001080:Homo:sapiens:miR-196b-5p	118	9182	9182.0	0.0
hsa-miR-875-3p:MIMAT0004923:Homo:sapiens:miR-875-3p	66	9098	9098.0	0.0
hsa-miR-129-5p:MIMAT0000242:Homo:sapiens:miR-129-5p	115	8679	8679.0	0.0
hsa-miR-194-5p:MIMAT0000460:Homo:sapiens:miR-194-5p	84	8431	8431.0	0.0
hsa-miR-616-5p:MIMAT0003284:Homo:sapiens:miR-616-5p	78	8250	8250.0	0.0
hsa-miR-100-5p:MIMAT0000098:Homo:sapiens:miR-100-5p	216	8187	8184.5	0.0
hsa-miR-582-3p:MIMAT0004797:Homo:sapiens:miR-582-3p	187	8106	8106.0	0.0
hsa-miR-555:MIMAT0003219:Homo:sapiens:miR-555	68	7971	7971.0	0.0
hsa-miR-887-3p:MIMAT0004951:Homo:sapiens:miR-887-3p	131	7923	7923.0	0.0
hsa-miR-511-5p:MIMAT0002808:Homo:sapiens:miR-511-5p	59	7648	7648.0	0.0
hsa-miR-450a-5p:MIMAT0001545:Homo:sapiens:miR-450a-5p	92	7407	7407.0	0.0
hsa-miR-744-5p:MIMAT0004945:Homo:sapiens:miR-744-5p	150	7375	7375.0	0.0
hsa-miR-432-3p:MIMAT0002815:Homo:sapiens:miR-432-3p	44	7317	7317.0	0.0
hsa-miR-455-5p:MIMAT0003150:Homo:sapiens:miR-455-5p	123	7237	7237.0	0.0
hsa-miR-585-3p:MIMAT0003250:Homo:sapiens:miR-585-3p	34	7202	7202.0	0.0
hsa-miR-567:MIMAT0003231:Homo:sapiens:miR-567	173	7193	7193.0	0.0
