ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-769-5p:MIMAT0003886:Homo:sapiens:miR-769-5p	77	6331	6331.0	3145.0
hsa-miR-217:MIMAT0000274:Homo:sapiens:miR-217	124	5722	5722.0	3376.0
hsa-miR-512-3p:MIMAT0002823:Homo:sapiens:miR-512-3p	118	5718	5718.0	3913.0
hsa-miR-224-5p:MIMAT0000281:Homo:sapiens:miR-224-5p	90	5532	5532.0	2583.0
hsa-miR-582-5p:MIMAT0003247:Homo:sapiens:miR-582-5p	97	5518	5518.0	2752.0
hsa-miR-518f-5p:MIMAT0002841:Homo:sapiens:miR-518f-5p	87	5436	5116.166666666667	3440.6666666666665
hsa-miR-411-3p:MIMAT0004813:Homo:sapiens:miR-411-3p	64	5096	5094.5	2811.5
hsa-miR-629-5p:MIMAT0004810:Homo:sapiens:miR-629-5p	110	5066	5066.0	2722.0
hsa-miR-302c-3p:MIMAT0000717:Homo:sapiens:miR-302c-3p	148	5022	5005.833333333333	3835.333333333333
hsa-miR-383-5p:MIMAT0000738:Homo:sapiens:miR-383-5p	103	4868	4868.0	3362.0
hsa-miR-615-3p:MIMAT0003283:Homo:sapiens:miR-615-3p	93	4778	4778.0	2635.0
hsa-miR-520d-3p:MIMAT0002856:Homo:sapiens:miR-520d-3p	97	4557	4557.0	2179.0
hsa-miR-339-3p:MIMAT0004702:Homo:sapiens:miR-339-3p	136	4388	4388.0	2808.0
hsa-miR-508-5p:MIMAT0004778:Homo:sapiens:miR-508-5p	100	4327	4327.0	2347.0
hsa-miR-509-3p:MIMAT0002881:Homo:sapiens:miR-509-3p	91	4225	4225.0	2916.0
hsa-miR-199a-5p:MIMAT0000231:Homo:sapiens:miR-199a-5p	117	4366	4118.5	2616.5
hsa-miR-769-3p:MIMAT0003887:Homo:sapiens:miR-769-3p	102	4093	4093.0	3398.0
hsa-miR-153-3p:MIMAT0000439:Homo:sapiens:miR-153-3p	65	4091	4091.0	2562.0
hsa-miR-323b-5p:MIMAT0001630:Homo:sapiens:miR-323b-5p	171	4039	4039.0	3117.0
hsa-miR-497-5p:MIMAT0002820:Homo:sapiens:miR-497-5p	92	4023	4023.0	2418.0
hsa-miR-761:MIMAT0010364:Homo:sapiens:miR-761	69	4002	4002.0	1690.0
hsa-miR-132-3p:MIMAT0000426:Homo:sapiens:miR-132-3p	66	3991	3991.0	2526.0
hsa-miR-659-3p:MIMAT0003337:Homo:sapiens:miR-659-3p	88	3979	3979.0	2652.0
hsa-miR-196b-5p:MIMAT0001080:Homo:sapiens:miR-196b-5p	116	3902	3902.0	2569.0
