ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-769-5p:MIMAT0003886:Homo:sapiens:miR-769-5p	68	4057	4057.0	2335.0
hsa-miR-224-5p:MIMAT0000281:Homo:sapiens:miR-224-5p	78	4048	4048.0	2125.0
hsa-miR-582-5p:MIMAT0003247:Homo:sapiens:miR-582-5p	77	3912	3912.0	2152.0
hsa-miR-217:MIMAT0000274:Homo:sapiens:miR-217	106	3831	3831.0	2602.0
hsa-miR-518f-5p:MIMAT0002841:Homo:sapiens:miR-518f-5p	89	3879	3631.0	2688.5
hsa-miR-411-3p:MIMAT0004813:Homo:sapiens:miR-411-3p	53	3618	3617.0	2282.0
hsa-miR-512-3p:MIMAT0002823:Homo:sapiens:miR-512-3p	105	3537	3537.0	2700.0
hsa-miR-615-3p:MIMAT0003283:Homo:sapiens:miR-615-3p	79	3441	3441.0	2121.0
hsa-miR-302c-3p:MIMAT0000717:Homo:sapiens:miR-302c-3p	135	3334	3326.833333333333	2743.8333333333335
hsa-miR-153-3p:MIMAT0000439:Homo:sapiens:miR-153-3p	52	3321	3321.0	2254.0
hsa-miR-629-5p:MIMAT0004810:Homo:sapiens:miR-629-5p	87	3275	3275.0	1980.0
hsa-miR-509-3p:MIMAT0002881:Homo:sapiens:miR-509-3p	66	3160	3160.0	2289.0
hsa-miR-548c-3p:MIMAT0003285:Homo:sapiens:miR-548c-3p	35	3090	3090.0	2147.0
hsa-miR-383-5p:MIMAT0000738:Homo:sapiens:miR-383-5p	70	3044	3044.0	2300.0
hsa-miR-497-5p:MIMAT0002820:Homo:sapiens:miR-497-5p	87	3030	3030.0	2003.0
hsa-miR-520d-3p:MIMAT0002856:Homo:sapiens:miR-520d-3p	72	3026	3026.0	1627.0
hsa-miR-758-3p:MIMAT0003879:Homo:sapiens:miR-758-3p	57	2896	2896.0	1797.0
hsa-miR-132-3p:MIMAT0000426:Homo:sapiens:miR-132-3p	60	2894	2894.0	1977.0
hsa-miR-31-5p:MIMAT0000089:Homo:sapiens:miR-31-5p	95	2866	2866.0	1863.0
hsa-miR-7-1-3p:MIMAT0004553:Homo:sapiens:miR-7-1-3p	33	2838	2838.0	1245.0
hsa-miR-339-3p:MIMAT0004702:Homo:sapiens:miR-339-3p	118	2810	2810.0	2014.0
hsa-miR-508-5p:MIMAT0004778:Homo:sapiens:miR-508-5p	89	2729	2729.0	1742.0
hsa-miR-22-5p:MIMAT0004495:Homo:sapiens:miR-22-5p	46	2715	2715.0	1521.0
hsa-miR-378a-5p:MIMAT0000731:Homo:sapiens:miR-378a-5p	58	2673	2673.0	1935.0
hsa-miR-591:MIMAT0003259:Homo:sapiens:miR-591	35	2672	2672.0	989.0
hsa-miR-526b-3p:MIMAT0002836:Homo:sapiens:miR-526b-3p	50	2728	2665.2999999999997	1789.7166666666667
hsa-miR-659-3p:MIMAT0003337:Homo:sapiens:miR-659-3p	64	2656	2656.0	1980.0
hsa-miR-199a-5p:MIMAT0000231:Homo:sapiens:miR-199a-5p	104	2819	2643.0	1878.0
hsa-miR-196b-5p:MIMAT0001080:Homo:sapiens:miR-196b-5p	95	2557	2557.0	1873.0
hsa-miR-487b-3p:MIMAT0003180:Homo:sapiens:miR-487b-3p	67	2542	2542.0	1792.0
hsa-miR-554:MIMAT0003217:Homo:sapiens:miR-554	58	2495	2495.0	1726.0
hsa-miR-18a-3p:MIMAT0002891:Homo:sapiens:miR-18a-3p	47	2482	2482.0	1424.0
hsa-miR-29c-5p:MIMAT0004673:Homo:sapiens:miR-29c-5p	43	2449	2449.0	1559.0
hsa-miR-509-3-5p:MIMAT0004975:Homo:sapiens:miR-509-3-5p	56	2436	2436.0	1574.0
hsa-miR-761:MIMAT0010364:Homo:sapiens:miR-761	69	2415	2415.0	1203.0
hsa-miR-380-3p:MIMAT0000735:Homo:sapiens:miR-380-3p	46	2404	2404.0	1676.0
hsa-miR-892b:MIMAT0004918:Homo:sapiens:miR-892b	61	2399	2399.0	1721.0
hsa-miR-331-5p:MIMAT0004700:Homo:sapiens:miR-331-5p	74	2369	2369.0	2041.0
hsa-miR-769-3p:MIMAT0003887:Homo:sapiens:miR-769-3p	86	2364	2364.0	2095.0
hsa-miR-323b-5p:MIMAT0001630:Homo:sapiens:miR-323b-5p	112	2303	2303.0	1977.0
hsa-miR-515-3p:MIMAT0002827:Homo:sapiens:miR-515-3p	79	2300	2300.0	1470.0
hsa-miR-520c-5p:MIMAT0005455:Homo:sapiens:miR-520c-5p|hsa-miR-518d-5p:MIMAT0005456:Homo:sapiens:miR-518d-5p|hsa-miR-526a:MIMAT0002845:Homo:sapiens:miR-526a	72	2536	2288.5	1360.0
hsa-miR-499a-5p:MIMAT0002870:Homo:sapiens:miR-499a-5p	29	2271	2271.0	1178.0
hsa-miR-524-5p:MIMAT0002849:Homo:sapiens:miR-524-5p	53	2271	2269.0	1686.0
hsa-miR-409-3p:MIMAT0001639:Homo:sapiens:miR-409-3p	85	2262	2262.0	1477.0
