ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-769-5p:MIMAT0003886:Homo:sapiens:miR-769-5p	66	4598	4598.0	2565.0
hsa-miR-224-5p:MIMAT0000281:Homo:sapiens:miR-224-5p	81	4371	4371.0	2351.0
hsa-miR-512-3p:MIMAT0002823:Homo:sapiens:miR-512-3p	106	3932	3932.0	2863.0
hsa-miR-582-5p:MIMAT0003247:Homo:sapiens:miR-582-5p	88	3918	3918.0	2175.0
hsa-miR-518f-5p:MIMAT0002841:Homo:sapiens:miR-518f-5p	78	4119	3879.0	2876.0
hsa-miR-217:MIMAT0000274:Homo:sapiens:miR-217	100	3851	3851.0	2539.0
hsa-miR-411-3p:MIMAT0004813:Homo:sapiens:miR-411-3p	56	3790	3788.5	2351.5
hsa-miR-302c-3p:MIMAT0000717:Homo:sapiens:miR-302c-3p	127	3777	3763.8333333333335	3074.3333333333335
hsa-miR-615-3p:MIMAT0003283:Homo:sapiens:miR-615-3p	86	3495	3495.0	2210.0
hsa-miR-383-5p:MIMAT0000738:Homo:sapiens:miR-383-5p	68	3406	3406.0	2482.0
hsa-miR-339-3p:MIMAT0004702:Homo:sapiens:miR-339-3p	113	3286	3286.0	2267.0
hsa-miR-153-3p:MIMAT0000439:Homo:sapiens:miR-153-3p	56	3250	3250.0	2217.0
hsa-miR-629-5p:MIMAT0004810:Homo:sapiens:miR-629-5p	88	3226	3226.0	2003.0
hsa-miR-758-3p:MIMAT0003879:Homo:sapiens:miR-758-3p	68	3091	3091.0	1989.0
hsa-miR-526b-3p:MIMAT0002836:Homo:sapiens:miR-526b-3p	60	3140	3068.233333333333	2030.3999999999999
hsa-miR-497-5p:MIMAT0002820:Homo:sapiens:miR-497-5p	89	3042	3042.0	2075.0
hsa-miR-509-3p:MIMAT0002881:Homo:sapiens:miR-509-3p	84	3036	3036.0	2237.0
hsa-miR-548c-3p:MIMAT0003285:Homo:sapiens:miR-548c-3p	49	3015	3015.0	2187.0
hsa-miR-22-5p:MIMAT0004495:Homo:sapiens:miR-22-5p	56	2999	2999.0	1537.0
hsa-miR-520d-3p:MIMAT0002856:Homo:sapiens:miR-520d-3p	84	2973	2973.0	1626.0
hsa-miR-132-3p:MIMAT0000426:Homo:sapiens:miR-132-3p	62	2947	2947.0	1967.0
hsa-miR-508-5p:MIMAT0004778:Homo:sapiens:miR-508-5p	89	2923	2923.0	1871.0
hsa-miR-31-5p:MIMAT0000089:Homo:sapiens:miR-31-5p	93	2904	2904.0	1819.0
hsa-miR-196b-5p:MIMAT0001080:Homo:sapiens:miR-196b-5p	101	2866	2866.0	1998.0
hsa-miR-199a-5p:MIMAT0000231:Homo:sapiens:miR-199a-5p	120	2997	2823.5	2067.5
hsa-miR-378a-5p:MIMAT0000731:Homo:sapiens:miR-378a-5p	53	2822	2822.0	2017.0
hsa-miR-504-5p:MIMAT0002875:Homo:sapiens:miR-504-5p	64	2776	2776.0	1650.0
hsa-miR-591:MIMAT0003259:Homo:sapiens:miR-591	36	2769	2769.0	995.0
hsa-miR-7-1-3p:MIMAT0004553:Homo:sapiens:miR-7-1-3p	46	2766	2766.0	1318.0
hsa-miR-769-3p:MIMAT0003887:Homo:sapiens:miR-769-3p	92	2754	2754.0	2387.0
hsa-miR-18a-3p:MIMAT0002891:Homo:sapiens:miR-18a-3p	61	2716	2716.0	1549.0
