ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-769-5p:MIMAT0003886:Homo:sapiens:miR-769-5p	70	4895	4895.0	2763.0
hsa-miR-512-3p:MIMAT0002823:Homo:sapiens:miR-512-3p	114	4472	4472.0	3289.0
hsa-miR-615-3p:MIMAT0003283:Homo:sapiens:miR-615-3p	87	4158	4158.0	2396.0
hsa-miR-217:MIMAT0000274:Homo:sapiens:miR-217	100	4140	4140.0	2590.0
hsa-miR-518f-5p:MIMAT0002841:Homo:sapiens:miR-518f-5p	89	4279	4037.5	2938.0
hsa-miR-629-5p:MIMAT0004810:Homo:sapiens:miR-629-5p	91	3918	3918.0	2330.0
hsa-miR-582-5p:MIMAT0003247:Homo:sapiens:miR-582-5p	92	3633	3633.0	2055.0
hsa-miR-411-3p:MIMAT0004813:Homo:sapiens:miR-411-3p	50	3581	3580.5	2213.5
hsa-miR-383-5p:MIMAT0000738:Homo:sapiens:miR-383-5p	87	3578	3578.0	2581.0
hsa-miR-302c-3p:MIMAT0000717:Homo:sapiens:miR-302c-3p	142	3459	3448.166666666667	2846.666666666667
hsa-miR-509-3p:MIMAT0002881:Homo:sapiens:miR-509-3p	72	3412	3412.0	2328.0
hsa-miR-659-3p:MIMAT0003337:Homo:sapiens:miR-659-3p	72	3403	3403.0	2370.0
hsa-miR-153-3p:MIMAT0000439:Homo:sapiens:miR-153-3p	53	3366	3366.0	2284.0
hsa-miR-520d-3p:MIMAT0002856:Homo:sapiens:miR-520d-3p	85	3257	3257.0	1737.0
hsa-miR-339-3p:MIMAT0004702:Homo:sapiens:miR-339-3p	111	3230	3230.0	2266.0
hsa-miR-508-5p:MIMAT0004778:Homo:sapiens:miR-508-5p	87	3185	3185.0	1954.0
hsa-miR-224-5p:MIMAT0000281:Homo:sapiens:miR-224-5p	71	3175	3175.0	1703.0
hsa-miR-526b-3p:MIMAT0002836:Homo:sapiens:miR-526b-3p	52	3176	3102.9666666666667	1951.6333333333334
hsa-miR-769-3p:MIMAT0003887:Homo:sapiens:miR-769-3p	91	3097	3097.0	2699.0
hsa-miR-132-3p:MIMAT0000426:Homo:sapiens:miR-132-3p	62	3017	3017.0	2067.0
hsa-miR-761:MIMAT0010364:Homo:sapiens:miR-761	64	2980	2980.0	1399.0
hsa-miR-378a-5p:MIMAT0000731:Homo:sapiens:miR-378a-5p	51	2954	2954.0	2164.0
hsa-miR-497-5p:MIMAT0002820:Homo:sapiens:miR-497-5p	79	2923	2923.0	1903.0
hsa-miR-758-3p:MIMAT0003879:Homo:sapiens:miR-758-3p	67	2889	2889.0	1788.0
hsa-miR-199a-5p:MIMAT0000231:Homo:sapiens:miR-199a-5p	102	3043	2871.5	1993.0
hsa-miR-515-3p:MIMAT0002827:Homo:sapiens:miR-515-3p	75	2846	2846.0	1731.0
hsa-miR-623:MIMAT0003292:Homo:sapiens:miR-623	88	2845	2845.0	1873.0
hsa-miR-196b-5p:MIMAT0001080:Homo:sapiens:miR-196b-5p	96	2842	2841.5	2054.5
hsa-miR-892b:MIMAT0004918:Homo:sapiens:miR-892b	55	2795	2795.0	1854.0
hsa-miR-22-5p:MIMAT0004495:Homo:sapiens:miR-22-5p	57	2768	2768.0	1500.0
hsa-miR-31-5p:MIMAT0000089:Homo:sapiens:miR-31-5p	86	2744	2744.0	1806.0
hsa-miR-7-1-3p:MIMAT0004553:Homo:sapiens:miR-7-1-3p	34	2709	2709.0	1171.0
hsa-miR-29c-5p:MIMAT0004673:Homo:sapiens:miR-29c-5p	39	2690	2690.0	1681.0
hsa-miR-591:MIMAT0003259:Homo:sapiens:miR-591	42	2637	2637.0	1002.0
hsa-miR-323b-5p:MIMAT0001630:Homo:sapiens:miR-323b-5p	135	2599	2599.0	2191.0
hsa-miR-422a:MIMAT0001339:Homo:sapiens:miR-422a	106	2591	2591.0	1938.0
