ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-1307-3p:MIMAT0005951:Homo:sapiens:miR-1307-3p	430	373155	373155.0	100935.0
hsa-miR-143-3p:MIMAT0000435:Homo:sapiens:miR-143-3p	204	287114	287114.0	51551.0
hsa-miR-132-5p:MIMAT0004594:Homo:sapiens:miR-132-5p	277	256896	256896.0	44070.0
hsa-miR-196b-5p:MIMAT0001080:Homo:sapiens:miR-196b-5p	259	254193	254193.0	49074.0
hsa-miR-409-3p:MIMAT0001639:Homo:sapiens:miR-409-3p	286	225066	225066.0	46581.0
hsa-miR-28-3p:MIMAT0004502:Homo:sapiens:miR-28-3p	156	181987	181987.0	42719.0
hsa-miR-30a-5p:MIMAT0000087:Homo:sapiens:miR-30a-5p	253	181748	181746.0	47012.0
hsa-miR-339-5p:MIMAT0000764:Homo:sapiens:miR-339-5p	319	181673	181673.0	37779.0
hsa-miR-1306-5p:MIMAT0022726:Homo:sapiens:miR-1306-5p	278	168914	168914.0	14271.0
hsa-miR-338-5p:MIMAT0004701:Homo:sapiens:miR-338-5p	139	163840	163840.0	24958.0
hsa-miR-7706:MIMAT0030021:Homo:sapiens:miR-7706	514	161130	161130.0	80242.0
hsa-miR-132-3p:MIMAT0000426:Homo:sapiens:miR-132-3p	176	146166	146166.0	22188.0
hsa-miR-200c-3p:MIMAT0000617:Homo:sapiens:miR-200c-3p	243	126724	126724.0	33029.0
hsa-miR-501-3p:MIMAT0004774:Homo:sapiens:miR-501-3p	334	120580	120485.0	66104.5
hsa-miR-543:MIMAT0004954:Homo:sapiens:miR-543	237	118319	118319.0	28625.0
hsa-miR-378e:MIMAT0018927:Homo:sapiens:miR-378e	60	108627	108601.65	29065.899999999998
hsa-miR-181a-5p:MIMAT0000256:Homo:sapiens:miR-181a-5p	317	102398	102398.0	26597.0
hsa-miR-532-5p:MIMAT0002888:Homo:sapiens:miR-532-5p	401	96068	96068.0	38705.0
hsa-miR-769-5p:MIMAT0003886:Homo:sapiens:miR-769-5p	204	94584	94584.0	38760.0
hsa-let-7g-5p:MIMAT0000414:Homo:sapiens:let-7g-5p	215	91964	91964.0	27000.0
hsa-miR-432-5p:MIMAT0002814:Homo:sapiens:miR-432-5p	226	91321	91321.0	25553.0
hsa-miR-342-5p:MIMAT0004694:Homo:sapiens:miR-342-5p	219	89971	89971.0	25257.0
hsa-miR-193b-3p:MIMAT0002819:Homo:sapiens:miR-193b-3p	209	88852	88852.0	24068.0
hsa-miR-615-3p:MIMAT0003283:Homo:sapiens:miR-615-3p	181	83171	83171.0	15861.0
hsa-miR-378a-3p:MIMAT0000732:Homo:sapiens:miR-378a-3p	239	81051	80264.86666666667	36078.700000000004
hsa-miR-185-3p:MIMAT0004611:Homo:sapiens:miR-185-3p	194	78948	78948.0	33627.0
hsa-miR-502-3p:MIMAT0004775:Homo:sapiens:miR-502-3p	247	78153	76729.0	30582.5
hsa-miR-323a-3p:MIMAT0000755:Homo:sapiens:miR-323a-3p	158	76242	76195.5	14228.0
hsa-miR-103b:MIMAT0007402:Homo:sapiens:miR-103b	224	73953	73953.0	25161.0
hsa-miR-605-3p:MIMAT0026621:Homo:sapiens:miR-605-3p	202	71491	71491.0	37982.0
hsa-miR-148a-5p:MIMAT0004549:Homo:sapiens:miR-148a-5p	246	69946	69946.0	39140.0
hsa-miR-130b-5p:MIMAT0004680:Homo:sapiens:miR-130b-5p	134	67104	67104.0	16460.0
hsa-miR-221-3p:MIMAT0000278:Homo:sapiens:miR-221-3p	180	64535	64535.0	22960.0
hsa-miR-589-5p:MIMAT0004799:Homo:sapiens:miR-589-5p	218	64175	64175.0	30586.0
hsa-miR-652-3p:MIMAT0003322:Homo:sapiens:miR-652-3p	191	63931	63931.0	21934.0
hsa-miR-92a-3p:MIMAT0000092:Homo:sapiens:miR-92a-3p	225	63469	63469.0	26561.0
hsa-let-7e-5p:MIMAT0000066:Homo:sapiens:let-7e-5p	206	61201	61150.5	23460.0
hsa-miR-941:MIMAT0004984:Homo:sapiens:miR-941	176	60048	60048.0	32030.0
hsa-miR-4521:MIMAT0019058:Homo:sapiens:miR-4521	128	59340	59340.0	25837.0
hsa-miR-500a-3p:MIMAT0002871:Homo:sapiens:miR-500a-3p	294	57176	55803.5	35467.0
hsa-miR-320c:MIMAT0005793:Homo:sapiens:miR-320c	109	54980	54039.70000000001	13289.916666666668
hsa-miR-4326:MIMAT0016888:Homo:sapiens:miR-4326	78	52715	52715.0	12675.0
hsa-miR-660-5p:MIMAT0003338:Homo:sapiens:miR-660-5p	215	50788	50788.0	17074.0
hsa-miR-199b-5p:MIMAT0000263:Homo:sapiens:miR-199b-5p	155	50050	50024.0	21060.5
hsa-miR-140-3p:MIMAT0004597:Homo:sapiens:miR-140-3p	166	48823	48823.0	25568.0
hsa-miR-671-5p:MIMAT0003880:Homo:sapiens:miR-671-5p	150	47178	47178.0	12739.0
hsa-miR-212-3p:MIMAT0000269:Homo:sapiens:miR-212-3p	75	46549	46549.0	10209.0
hsa-miR-25-3p:MIMAT0000081:Homo:sapiens:miR-25-3p	210	45241	45241.0	22389.0
hsa-miR-490-3p:MIMAT0002806:Homo:sapiens:miR-490-3p	180	45083	45083.0	22673.0
hsa-miR-210-3p:MIMAT0000267:Homo:sapiens:miR-210-3p	251	41550	41550.0	18706.0
hsa-miR-200b-3p:MIMAT0000318:Homo:sapiens:miR-200b-3p	111	39557	39557.0	5572.0
hsa-miR-378d:MIMAT0018926:Homo:sapiens:miR-378d	104	38157	37580.833333333336	21558.416666666668
hsa-miR-99a-5p:MIMAT0000097:Homo:sapiens:miR-99a-5p	237	37187	37164.0	15224.5
hsa-miR-486-3p:MIMAT0004762:Homo:sapiens:miR-486-3p	141	37078	37078.0	14137.0
hsa-miR-584-5p:MIMAT0003249:Homo:sapiens:miR-584-5p	114	35422	35422.0	21527.0
hsa-miR-152-3p:MIMAT0000438:Homo:sapiens:miR-152-3p	108	34741	34741.0	15233.0
hsa-miR-186-5p:MIMAT0000456:Homo:sapiens:miR-186-5p	133	33925	33925.0	16708.0
hsa-miR-629-5p:MIMAT0004810:Homo:sapiens:miR-629-5p	169	33918	33918.0	21415.0
hsa-miR-1307-5p:MIMAT0022727:Homo:sapiens:miR-1307-5p	156	33536	33536.0	16103.0
hsa-miR-30d-5p:MIMAT0000245:Homo:sapiens:miR-30d-5p	169	32858	32856.0	12406.0
hsa-miR-28-5p:MIMAT0000085:Homo:sapiens:miR-28-5p	199	32421	32419.0	13401.666666666668
hsa-miR-1273a:MIMAT0005926:Homo:sapiens:miR-1273a	181	31531	31531.0	14312.0
hsa-miR-320d:MIMAT0006764:Homo:sapiens:miR-320d	33	31644	31501.616666666665	10043.416666666666
hsa-miR-22-3p:MIMAT0000077:Homo:sapiens:miR-22-3p	190	31376	31376.0	15230.0
hsa-miR-125b-5p:MIMAT0000423:Homo:sapiens:miR-125b-5p	74	30768	30768.0	12540.0
hsa-miR-183-5p:MIMAT0000261:Homo:sapiens:miR-183-5p	157	30112	30112.0	21411.0
hsa-miR-330-3p:MIMAT0000751:Homo:sapiens:miR-330-3p	174	29428	29428.0	16548.0
hsa-miR-449a:MIMAT0001541:Homo:sapiens:miR-449a	169	29553	29290.0	16522.0
hsa-miR-4732-5p:MIMAT0019855:Homo:sapiens:miR-4732-5p	108	28680	28680.0	7090.0
hsa-miR-345-5p:MIMAT0000772:Homo:sapiens:miR-345-5p	172	28667	28667.0	12223.0
hsa-miR-9-5p:MIMAT0000441:Homo:sapiens:miR-9-5p	116	28223	28223.0	13900.0
hsa-miR-483-5p:MIMAT0004761:Homo:sapiens:miR-483-5p	114	26981	26981.0	8336.0
hsa-miR-20a-3p:MIMAT0004493:Homo:sapiens:miR-20a-3p	163	26647	26647.0	13203.0
hsa-miR-148a-3p:MIMAT0000243:Homo:sapiens:miR-148a-3p	133	25735	25735.0	12969.0
hsa-miR-338-3p:MIMAT0000763:Homo:sapiens:miR-338-3p	99	24744	24744.0	6778.0
hsa-miR-340-5p:MIMAT0004692:Homo:sapiens:miR-340-5p	62	24293	24293.0	10651.0
hsa-miR-378c:MIMAT0016847:Homo:sapiens:miR-378c	211	23965	23965.0	11081.0
hsa-miR-346:MIMAT0000773:Homo:sapiens:miR-346	213	23523	23523.0	12103.0
hsa-miR-299-3p:MIMAT0000687:Homo:sapiens:miR-299-3p	141	23147	23147.0	16106.0
hsa-miR-323b-3p:MIMAT0015050:Homo:sapiens:miR-323b-3p	159	22785	22738.5	11498.0
hsa-miR-193a-5p:MIMAT0004614:Homo:sapiens:miR-193a-5p	193	22302	22302.0	11721.0
hsa-miR-142-5p:MIMAT0000433:Homo:sapiens:miR-142-5p	60	22149	22149.0	8614.0
hsa-miR-484:MIMAT0002174:Homo:sapiens:miR-484	176	21828	21828.0	6703.0
hsa-let-7c-5p:MIMAT0000064:Homo:sapiens:let-7c-5p	136	21418	21356.833333333332	11110.333333333334
hsa-miR-370-3p:MIMAT0000722:Homo:sapiens:miR-370-3p	146	21042	21042.0	13595.0
hsa-miR-185-5p:MIMAT0000455:Homo:sapiens:miR-185-5p	82	20778	20778.0	7442.0
hsa-let-7b-5p:MIMAT0000063:Homo:sapiens:let-7b-5p	131	20269	20258.333333333332	10640.833333333334
hsa-miR-766-5p:MIMAT0022714:Homo:sapiens:miR-766-5p	118	20204	20204.0	8739.0
hsa-miR-4433b-3p:MIMAT0030414:Homo:sapiens:miR-4433b-3p	113	20143	20143.0	12721.0
hsa-miR-218-5p:MIMAT0000275:Homo:sapiens:miR-218-5p	102	19957	19957.0	4214.0
hsa-let-7a-5p:MIMAT0000062:Homo:sapiens:let-7a-5p	128	19724	19670.333333333332	9774.833333333334
hsa-miR-455-3p:MIMAT0004784:Homo:sapiens:miR-455-3p	132	19598	19598.0	11718.0
hsa-miR-485-5p:MIMAT0002175:Homo:sapiens:miR-485-5p	206	19514	19514.0	12589.0
hsa-let-7f-5p:MIMAT0000067:Homo:sapiens:let-7f-5p	128	19411	19410.0	7489.0
hsa-miR-744-5p:MIMAT0004945:Homo:sapiens:miR-744-5p	177	19374	19374.0	14254.0
hsa-miR-134-5p:MIMAT0000447:Homo:sapiens:miR-134-5p	168	18567	18567.0	9874.0
hsa-miR-425-3p:MIMAT0001343:Homo:sapiens:miR-425-3p	184	18049	18049.0	10180.0
hsa-miR-3615:MIMAT0017994:Homo:sapiens:miR-3615	112	18021	18021.0	8122.0
hsa-miR-127-3p:MIMAT0000446:Homo:sapiens:miR-127-3p	208	18009	18009.0	13538.0
hsa-miR-224-5p:MIMAT0000281:Homo:sapiens:miR-224-5p	120	17806	17806.0	9826.0
hsa-miR-2355-3p:MIMAT0017950:Homo:sapiens:miR-2355-3p	149	17457	17457.0	12465.0
hsa-miR-18a-3p:MIMAT0002891:Homo:sapiens:miR-18a-3p	199	17378	17378.0	9886.0
hsa-miR-136-3p:MIMAT0004606:Homo:sapiens:miR-136-3p	121	16726	16726.0	6051.0
hsa-miR-378b:MIMAT0014999:Homo:sapiens:miR-378b	36	16440	16439.0	8831.5
hsa-miR-1908-5p:MIMAT0007881:Homo:sapiens:miR-1908-5p	111	16038	16038.0	9282.0
hsa-miR-29a-5p:MIMAT0004503:Homo:sapiens:miR-29a-5p	91	15773	15773.0	8150.0
hsa-miR-1301-3p:MIMAT0005797:Homo:sapiens:miR-1301-3p	145	15569	15569.0	6750.0
hsa-miR-4433a-3p:MIMAT0018949:Homo:sapiens:miR-4433a-3p	115	15237	15237.0	8689.0
hsa-miR-664a-5p:MIMAT0005948:Homo:sapiens:miR-664a-5p	187	14827	14827.0	7229.0
hsa-miR-362-3p:MIMAT0004683:Homo:sapiens:miR-362-3p	116	14583	14583.0	4201.0
hsa-miR-151a-3p:MIMAT0000757:Homo:sapiens:miR-151a-3p	108	14363	14363.0	9515.0
hsa-miR-302a-3p:MIMAT0000684:Homo:sapiens:miR-302a-3p	129	14241	14241.0	4501.0
hsa-miR-99b-5p:MIMAT0000689:Homo:sapiens:miR-99b-5p	198	14217	14217.0	8881.0
hsa-miR-497-5p:MIMAT0002820:Homo:sapiens:miR-497-5p	78	13988	13988.0	8293.0
hsa-miR-411-5p:MIMAT0003329:Homo:sapiens:miR-411-5p	169	13935	13935.0	6024.0
hsa-miR-92b-3p:MIMAT0003218:Homo:sapiens:miR-92b-3p	121	13864	13864.0	9946.0
hsa-miR-7974:MIMAT0031177:Homo:sapiens:miR-7974	161	13768	13768.0	8487.0
hsa-miR-299-5p:MIMAT0002890:Homo:sapiens:miR-299-5p	167	13731	13731.0	6585.0
hsa-miR-324-3p:MIMAT0000762:Homo:sapiens:miR-324-3p	61	13720	13720.0	6399.0
hsa-miR-154-5p:MIMAT0000452:Homo:sapiens:miR-154-5p	146	13544	13537.5	4416.5
hsa-miR-301a-3p:MIMAT0000688:Homo:sapiens:miR-301a-3p	173	13506	13505.0	6462.0
hsa-miR-125a-5p:MIMAT0000443:Homo:sapiens:miR-125a-5p	57	13324	13324.0	6917.0
hsa-miR-182-5p:MIMAT0000259:Homo:sapiens:miR-182-5p	182	13195	13195.0	9690.0
hsa-miR-6852-5p:MIMAT0027604:Homo:sapiens:miR-6852-5p	80	13178	13178.0	8194.0
hsa-miR-1246:MIMAT0005898:Homo:sapiens:miR-1246	18	12919	12919.0	6976.0
hsa-miR-205-5p:MIMAT0000266:Homo:sapiens:miR-205-5p	81	12884	12884.0	5081.0
hsa-miR-3929:MIMAT0018206:Homo:sapiens:miR-3929	189	12774	12774.0	9484.0
hsa-miR-133a-3p:MIMAT0000427:Homo:sapiens:miR-133a-3p	113	12929	12763.5	2978.5
hsa-miR-101-3p:MIMAT0000099:Homo:sapiens:miR-101-3p	75	12699	12699.0	8290.0
hsa-miR-1180-3p:MIMAT0005825:Homo:sapiens:miR-1180-3p	71	12606	12606.0	5267.0
hsa-miR-361-3p:MIMAT0004682:Homo:sapiens:miR-361-3p	146	12439	12439.0	7963.0
hsa-miR-184:MIMAT0000454:Homo:sapiens:miR-184	108	12437	12437.0	8179.0
hsa-miR-148b-3p:MIMAT0000759:Homo:sapiens:miR-148b-3p	106	12435	12435.0	6689.0
hsa-miR-335-5p:MIMAT0000765:Homo:sapiens:miR-335-5p	92	12174	12174.0	4379.0
hsa-miR-222-3p:MIMAT0000279:Homo:sapiens:miR-222-3p	117	11967	11967.0	5326.0
hsa-miR-532-3p:MIMAT0004780:Homo:sapiens:miR-532-3p	139	11945	11945.0	6956.0
hsa-miR-7-5p:MIMAT0000252:Homo:sapiens:miR-7-5p	117	11752	11752.0	5884.0
hsa-miR-486-5p:MIMAT0002177:Homo:sapiens:miR-486-5p	151	11396	11396.0	6968.0
hsa-miR-193b-5p:MIMAT0004767:Homo:sapiens:miR-193b-5p	161	11343	11343.0	7296.0
hsa-miR-145-3p:MIMAT0004601:Homo:sapiens:miR-145-3p	118	11206	11206.0	3681.0
hsa-miR-34c-5p:MIMAT0000686:Homo:sapiens:miR-34c-5p	157	10984	10984.0	7230.0
hsa-miR-20a-5p:MIMAT0000075:Homo:sapiens:miR-20a-5p	131	10944	10939.5	6003.5
hsa-miR-181b-5p:MIMAT0000257:Homo:sapiens:miR-181b-5p	143	10910	10910.0	5057.0
hsa-miR-93-3p:MIMAT0004509:Homo:sapiens:miR-93-3p	146	10632	10632.0	4520.0
