ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-378a-3p:MIMAT0000732:Homo:sapiens:miR-378a-3p	369	420353	419078.7499999999	98401.41666666669
hsa-miR-584-5p:MIMAT0003249:Homo:sapiens:miR-584-5p	222	250311	250311.0	74879.0
hsa-miR-148a-5p:MIMAT0004549:Homo:sapiens:miR-148a-5p	319	203225	203225.0	81544.0
hsa-miR-629-5p:MIMAT0004810:Homo:sapiens:miR-629-5p	256	187470	187470.0	72998.0
hsa-miR-589-5p:MIMAT0004799:Homo:sapiens:miR-589-5p	291	185703	185703.0	62735.0
hsa-miR-4732-5p:MIMAT0019855:Homo:sapiens:miR-4732-5p	220	172946	172946.0	22944.0
hsa-miR-500a-3p:MIMAT0002871:Homo:sapiens:miR-500a-3p	331	160139	158429.5	75150.5
hsa-miR-185-5p:MIMAT0000455:Homo:sapiens:miR-185-5p	148	130768	130768.0	24628.0
hsa-miR-378c:MIMAT0016847:Homo:sapiens:miR-378c	362	127715	127712.33333333333	36377.83333333333
hsa-miR-151a-3p:MIMAT0000757:Homo:sapiens:miR-151a-3p	183	122815	122815.0	48442.0
hsa-miR-320d:MIMAT0006764:Homo:sapiens:miR-320d	37	114558	114480.26666666666	21332.016666666666
hsa-let-7f-5p:MIMAT0000067:Homo:sapiens:let-7f-5p	235	110595	110593.0	29637.0
hsa-miR-1908-5p:MIMAT0007881:Homo:sapiens:miR-1908-5p	195	103890	103890.0	36525.0
hsa-miR-625-3p:MIMAT0004808:Homo:sapiens:miR-625-3p	120	98706	98706.0	12723.0
hsa-miR-4440:MIMAT0018958:Homo:sapiens:miR-4440	219	68659	68530.0	30341.0
hsa-miR-874-3p:MIMAT0004911:Homo:sapiens:miR-874-3p	245	66883	66883.0	15410.0
hsa-miR-345-5p:MIMAT0000772:Homo:sapiens:miR-345-5p	208	66693	66693.0	22270.0
hsa-miR-144-5p:MIMAT0004600:Homo:sapiens:miR-144-5p	173	65031	65031.0	20804.0
hsa-miR-769-5p:MIMAT0003886:Homo:sapiens:miR-769-5p	172	63528	63528.0	30182.0
hsa-let-7c-5p:MIMAT0000064:Homo:sapiens:let-7c-5p	180	63063	63010.666666666664	27281.666666666668
hsa-miR-615-3p:MIMAT0003283:Homo:sapiens:miR-615-3p	151	61087	61087.0	13350.0
hsa-miR-299-3p:MIMAT0000687:Homo:sapiens:miR-299-3p	199	60039	60039.0	35373.0
hsa-miR-152-3p:MIMAT0000438:Homo:sapiens:miR-152-3p	116	58890	58890.0	22594.0
hsa-miR-6852-5p:MIMAT0027604:Homo:sapiens:miR-6852-5p	120	58340	58340.0	24517.0
hsa-miR-502-3p:MIMAT0004775:Homo:sapiens:miR-502-3p	250	58966	57260.5	25167.0
hsa-miR-3184-3p:MIMAT0022731:Homo:sapiens:miR-3184-3p	269	56026	56026.0	29377.0
hsa-miR-92b-3p:MIMAT0003218:Homo:sapiens:miR-92b-3p	193	54649	54649.0	29448.0
hsa-miR-191-5p:MIMAT0000440:Homo:sapiens:miR-191-5p	166	48089	48089.0	19985.0
hsa-miR-449b-5p:MIMAT0003327:Homo:sapiens:miR-449b-5p	222	47985	47627.0	26516.5
hsa-miR-21-5p:MIMAT0000076:Homo:sapiens:miR-21-5p	188	46847	46847.0	19281.0
hsa-miR-192-5p:MIMAT0000222:Homo:sapiens:miR-192-5p	168	46590	46337.5	19522.5
hsa-miR-99b-5p:MIMAT0000689:Homo:sapiens:miR-99b-5p	273	46173	46173.0	22885.0
hsa-miR-378e:MIMAT0018927:Homo:sapiens:miR-378e	65	45292	45276.76666666667	18272.566666666666
hsa-miR-200a-3p:MIMAT0000682:Homo:sapiens:miR-200a-3p	118	44223	44221.0	12418.0
hsa-miR-204-3p:MIMAT0022693:Homo:sapiens:miR-204-3p	138	43928	43928.0	19611.0
hsa-miR-7-5p:MIMAT0000252:Homo:sapiens:miR-7-5p	178	43882	43882.0	16205.0
hsa-miR-451a:MIMAT0001631:Homo:sapiens:miR-451a	116	43595	43595.0	17583.0
hsa-miR-23a-3p:MIMAT0000078:Homo:sapiens:miR-23a-3p	85	42269	42262.0	10172.5
hsa-miR-223-5p:MIMAT0004570:Homo:sapiens:miR-223-5p	238	41429	41429.0	17628.0
hsa-miR-101-3p:MIMAT0000099:Homo:sapiens:miR-101-3p	94	40657	40657.0	21933.0
hsa-miR-576-3p:MIMAT0004796:Homo:sapiens:miR-576-3p	138	39709	39709.0	14482.0
hsa-miR-132-3p:MIMAT0000426:Homo:sapiens:miR-132-3p	118	38978	38978.0	10118.0
hsa-miR-183-5p:MIMAT0000261:Homo:sapiens:miR-183-5p	169	38414	38414.0	26874.0
hsa-miR-139-3p:MIMAT0004552:Homo:sapiens:miR-139-3p	244	37962	37962.0	23599.0
hsa-miR-133a-3p:MIMAT0000427:Homo:sapiens:miR-133a-3p	147	36451	36168.5	5854.5
hsa-miR-127-3p:MIMAT0000446:Homo:sapiens:miR-127-3p	261	35770	35770.0	25316.0
hsa-let-7b-5p:MIMAT0000063:Homo:sapiens:let-7b-5p	155	35715	35701.166666666664	17761.166666666664
hsa-miR-490-3p:MIMAT0002806:Homo:sapiens:miR-490-3p	162	35331	35331.0	19396.0
hsa-miR-409-3p:MIMAT0001639:Homo:sapiens:miR-409-3p	150	35038	35038.0	14629.0
hsa-miR-1307-3p:MIMAT0005951:Homo:sapiens:miR-1307-3p	226	34817	34817.0	20813.0
hsa-miR-483-5p:MIMAT0004761:Homo:sapiens:miR-483-5p	123	33703	33703.0	10643.0
hsa-miR-134-5p:MIMAT0000447:Homo:sapiens:miR-134-5p	214	33507	33507.0	15739.0
hsa-miR-941:MIMAT0004984:Homo:sapiens:miR-941	122	33193	33193.0	21178.0
hsa-miR-185-3p:MIMAT0004611:Homo:sapiens:miR-185-3p	122	32028	32028.0	18979.0
hsa-miR-103a-3p:MIMAT0000101:Homo:sapiens:miR-103a-3p	204	32000	31818.0	15722.5
hsa-miR-330-3p:MIMAT0000751:Homo:sapiens:miR-330-3p	184	31349	31349.0	17993.0
hsa-miR-370-3p:MIMAT0000722:Homo:sapiens:miR-370-3p	166	30906	30906.0	18923.0
hsa-miR-485-5p:MIMAT0002175:Homo:sapiens:miR-485-5p	238	28664	28664.0	18388.0
hsa-miR-100-5p:MIMAT0000098:Homo:sapiens:miR-100-5p	231	28367	28355.5	16058.5
hsa-miR-532-5p:MIMAT0002888:Homo:sapiens:miR-532-5p	288	28289	28289.0	16296.0
hsa-let-7d-3p:MIMAT0004484:Homo:sapiens:let-7d-3p	130	28140	28140.0	12656.0
hsa-miR-338-5p:MIMAT0004701:Homo:sapiens:miR-338-5p	65	27721	27721.0	7633.0
hsa-miR-143-3p:MIMAT0000435:Homo:sapiens:miR-143-3p	106	27567	27567.0	13094.0
hsa-miR-188-5p:MIMAT0000457:Homo:sapiens:miR-188-5p	142	25694	25694.0	7215.0
hsa-miR-324-5p:MIMAT0000761:Homo:sapiens:miR-324-5p	205	25630	25630.0	12632.0
