ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-572:MIMAT0003237:Homo:sapiens:miR-572	103	23790	23790.0	12336.0
hsa-miR-378a-3p:MIMAT0000732:Homo:sapiens:miR-378a-3p	111	22536	22342.0	13276.5
hsa-miR-509-3p:MIMAT0002881:Homo:sapiens:miR-509-3p	100	21108	21108.0	11972.0
hsa-miR-493-3p:MIMAT0003161:Homo:sapiens:miR-493-3p	97	17496	17496.0	11839.0
hsa-miR-224-5p:MIMAT0000281:Homo:sapiens:miR-224-5p	132	16990	16990.0	10043.0
hsa-miR-409-3p:MIMAT0001639:Homo:sapiens:miR-409-3p	136	15339	15339.0	8671.0
hsa-miR-217:MIMAT0000274:Homo:sapiens:miR-217	124	15050	15050.0	9264.0
hsa-miR-490-3p:MIMAT0002806:Homo:sapiens:miR-490-3p	129	14959	14959.0	10276.0
hsa-miR-132-3p:MIMAT0000426:Homo:sapiens:miR-132-3p	82	13735	13735.0	5325.0
hsa-miR-769-5p:MIMAT0003886:Homo:sapiens:miR-769-5p	116	13491	13491.0	9844.0
hsa-miR-422a:MIMAT0001339:Homo:sapiens:miR-422a	172	12767	12767.0	9858.0
hsa-miR-758-3p:MIMAT0003879:Homo:sapiens:miR-758-3p	91	12699	12697.5	3593.5
hsa-miR-508-5p:MIMAT0004778:Homo:sapiens:miR-508-5p	129	12471	12471.0	7755.0
hsa-miR-331-5p:MIMAT0004700:Homo:sapiens:miR-331-5p	136	11975	11975.0	8899.0
hsa-miR-455-5p:MIMAT0003150:Homo:sapiens:miR-455-5p	136	11605	11605.0	6851.0
hsa-miR-615-3p:MIMAT0003283:Homo:sapiens:miR-615-3p	98	11117	11117.0	4464.0
hsa-miR-302c-5p:MIMAT0000716:Homo:sapiens:miR-302c-5p	40	10722	10722.0	2870.0
hsa-miR-500a-3p:MIMAT0002871:Homo:sapiens:miR-500a-3p	210	11310	10473.5	9093.0
hsa-miR-650:MIMAT0003320:Homo:sapiens:miR-650	99	10380	10380.0	5055.0
hsa-miR-502-3p:MIMAT0004775:Homo:sapiens:miR-502-3p	169	11061	10227.0	6885.5
hsa-miR-488-5p:MIMAT0002804:Homo:sapiens:miR-488-5p	42	9764	9764.0	5295.0
hsa-miR-671-3p:MIMAT0004819:Homo:sapiens:miR-671-3p	96	9763	9763.0	7713.0
hsa-miR-889-3p:MIMAT0004921:Homo:sapiens:miR-889-3p	60	9624	9624.0	5907.0
hsa-miR-483-5p:MIMAT0004761:Homo:sapiens:miR-483-5p	53	9483	9483.0	3589.0
hsa-miR-134-5p:MIMAT0000447:Homo:sapiens:miR-134-5p	177	9434	9434.0	6390.0
hsa-miR-504-5p:MIMAT0002875:Homo:sapiens:miR-504-5p	122	9179	9179.0	5902.0
hsa-miR-30a-5p:MIMAT0000087:Homo:sapiens:miR-30a-5p	81	9083	9083.0	6610.0
