ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-376c-3p:MIMAT0000720:Homo:sapiens:miR-376c-3p	125	21115	21115.0	6638.0
hsa-miR-376a-3p:MIMAT0000729:Homo:sapiens:miR-376a-3p	158	20497	20321.5	8242.5
hsa-miR-380-3p:MIMAT0000735:Homo:sapiens:miR-380-3p	202	19393	19393.0	12255.0
hsa-miR-450b-5p:MIMAT0004909:Homo:sapiens:miR-450b-5p	192	19058	19058.0	13636.0
hsa-miR-582-5p:MIMAT0003247:Homo:sapiens:miR-582-5p	249	17623	17623.0	7713.0
hsa-miR-383-5p:MIMAT0000738:Homo:sapiens:miR-383-5p	181	17590	17590.0	10198.0
hsa-miR-493-5p:MIMAT0002813:Homo:sapiens:miR-493-5p	171	17414	17414.0	7417.0
hsa-miR-518f-5p:MIMAT0002841:Homo:sapiens:miR-518f-5p	246	18540	17404.199999999997	10078.699999999999
hsa-miR-22-5p:MIMAT0004495:Homo:sapiens:miR-22-5p	128	17296	17296.0	6409.0
hsa-miR-505-3p:MIMAT0002876:Homo:sapiens:miR-505-3p	256	17144	17144.0	7759.0
hsa-miR-485-3p:MIMAT0002176:Homo:sapiens:miR-485-3p	258	17126	17126.0	8471.0
hsa-miR-224-5p:MIMAT0000281:Homo:sapiens:miR-224-5p	183	17087	17087.0	8061.0
hsa-miR-30e-3p:MIMAT0000693:Homo:sapiens:miR-30e-3p	185	17054	17041.0	12397.0
hsa-miR-601:MIMAT0003269:Homo:sapiens:miR-601	186	16763	16763.0	9800.0
hsa-miR-769-5p:MIMAT0003886:Homo:sapiens:miR-769-5p	128	16627	16627.0	7497.0
hsa-miR-411-3p:MIMAT0004813:Homo:sapiens:miR-411-3p	164	16520	16517.5	9613.5
hsa-miR-501-5p:MIMAT0002872:Homo:sapiens:miR-501-5p	182	16271	16271.0	8343.0
hsa-miR-512-3p:MIMAT0002823:Homo:sapiens:miR-512-3p	194	16098	16098.0	9532.0
hsa-miR-454-3p:MIMAT0003885:Homo:sapiens:miR-454-3p	201	15940	15940.0	7846.0
hsa-miR-200a-5p:MIMAT0001620:Homo:sapiens:miR-200a-5p	208	15858	15858.0	9837.0
hsa-miR-302c-3p:MIMAT0000717:Homo:sapiens:miR-302c-3p	273	15764	15699.16666666667	11405.66666666667
hsa-miR-519b-5p:MIMAT0005454:Homo:sapiens:miR-519b-5p|hsa-miR-519c-5p:MIMAT0002831:Homo:sapiens:miR-519c-5p|hsa-miR-523-5p:MIMAT0005449:Homo:sapiens:miR-523-5p|hsa-miR-522-5p:MIMAT0005451:Homo:sapiens:miR-522-5p|hsa-miR-519a-5p:MIMAT0005452:Homo:sapiens:miR-519a-5p|hsa-miR-518e-5p:MIMAT0005450:Homo:sapiens:miR-518e-5p	193	15882	15577.583333333334	8103.083333333333
hsa-miR-509-3p:MIMAT0002881:Homo:sapiens:miR-509-3p	221	15362	15362.0	8638.0
hsa-miR-382-3p:MIMAT0022697:Homo:sapiens:miR-382-3p	150	15280	15280.0	8098.0
hsa-miR-509-3-5p:MIMAT0004975:Homo:sapiens:miR-509-3-5p	187	15182	15182.0	7377.0
hsa-miR-654-3p:MIMAT0004814:Homo:sapiens:miR-654-3p	149	15003	15003.0	5658.0
hsa-miR-181a-3p:MIMAT0000270:Homo:sapiens:miR-181a-3p	224	14960	14957.5	7691.5
hsa-miR-154-3p:MIMAT0000453:Homo:sapiens:miR-154-3p	220	14890	14890.0	6833.0
hsa-miR-217:MIMAT0000274:Homo:sapiens:miR-217	252	14731	14731.0	8191.0
hsa-miR-502-5p:MIMAT0002873:Homo:sapiens:miR-502-5p	150	14692	14692.0	5839.0
hsa-miR-452-3p:MIMAT0001636:Homo:sapiens:miR-452-3p	137	14464	14464.0	7827.0
hsa-miR-7-1-3p:MIMAT0004553:Homo:sapiens:miR-7-1-3p	189	14457	14457.0	6768.0
hsa-miR-520d-3p:MIMAT0002856:Homo:sapiens:miR-520d-3p	149	14384	14384.0	6149.0
hsa-miR-514a-3p:MIMAT0002883:Homo:sapiens:miR-514a-3p	130	14268	14268.0	8150.0
hsa-miR-363-5p:MIMAT0003385:Homo:sapiens:miR-363-5p	115	14059	14059.0	5215.0
hsa-miR-487b-3p:MIMAT0003180:Homo:sapiens:miR-487b-3p	213	13955	13955.0	7956.0
hsa-miR-299-3p:MIMAT0000687:Homo:sapiens:miR-299-3p	218	13948	13948.0	9698.0
hsa-let-7d-3p:MIMAT0004484:Homo:sapiens:let-7d-3p	166	13454	13454.0	7072.0
hsa-miR-153-3p:MIMAT0000439:Homo:sapiens:miR-153-3p	170	13354	13354.0	9138.0
hsa-miR-132-3p:MIMAT0000426:Homo:sapiens:miR-132-3p	187	13332	13332.0	8282.0
hsa-miR-450a-5p:MIMAT0001545:Homo:sapiens:miR-450a-5p	204	13301	13301.0	7058.0
hsa-miR-769-3p:MIMAT0003887:Homo:sapiens:miR-769-3p	151	13143	13143.0	9290.0
hsa-miR-875-3p:MIMAT0004923:Homo:sapiens:miR-875-3p	152	12856	12856.0	8149.0
hsa-miR-140-3p:MIMAT0004597:Homo:sapiens:miR-140-3p	179	12733	12733.0	5608.0
hsa-miR-17-3p:MIMAT0000071:Homo:sapiens:miR-17-3p	96	12656	12656.0	5353.0
hsa-miR-581:MIMAT0003246:Homo:sapiens:miR-581	131	12610	12610.0	9919.0
hsa-miR-629-5p:MIMAT0004810:Homo:sapiens:miR-629-5p	159	12602	12602.0	5998.0
hsa-miR-623:MIMAT0003292:Homo:sapiens:miR-623	174	12510	12510.0	7073.0
hsa-miR-518c-5p:MIMAT0002847:Homo:sapiens:miR-518c-5p	189	12477	12459.5	7813.5
hsa-miR-30a-3p:MIMAT0000088:Homo:sapiens:miR-30a-3p	179	12371	12358.0	9602.0
hsa-miR-300:MIMAT0004903:Homo:sapiens:miR-300	179	12348	12348.0	6439.0
hsa-miR-196b-5p:MIMAT0001080:Homo:sapiens:miR-196b-5p	195	12187	12184.0	7599.5
hsa-miR-524-5p:MIMAT0002849:Homo:sapiens:miR-524-5p	149	12229	12145.166666666666	6963.666666666667
hsa-miR-142-5p:MIMAT0000433:Homo:sapiens:miR-142-5p	113	11998	11998.0	7130.0
hsa-miR-323a-3p:MIMAT0000755:Homo:sapiens:miR-323a-3p	115	11966	11958.5	4897.0
hsa-miR-497-5p:MIMAT0002820:Homo:sapiens:miR-497-5p	208	11934	11934.0	7662.0
hsa-miR-889-3p:MIMAT0004921:Homo:sapiens:miR-889-3p	155	11933	11933.0	7828.0
hsa-miR-542-5p:MIMAT0003340:Homo:sapiens:miR-542-5p	333	11860	11860.0	7842.0
hsa-miR-302c-5p:MIMAT0000716:Homo:sapiens:miR-302c-5p	154	11750	11750.0	5652.0
hsa-miR-450a-1-3p:MIMAT0022700:Homo:sapiens:miR-450a-1-3p	50	11697	11697.0	4645.0
hsa-miR-520c-5p:MIMAT0005455:Homo:sapiens:miR-520c-5p|hsa-miR-518d-5p:MIMAT0005456:Homo:sapiens:miR-518d-5p|hsa-miR-526a:MIMAT0002845:Homo:sapiens:miR-526a	248	12831	11690.666666666666	6322.666666666667
hsa-miR-302b-5p:MIMAT0000714:Homo:sapiens:miR-302b-5p	143	11632	11632.0	5754.0
hsa-miR-190b:MIMAT0004929:Homo:sapiens:miR-190b	144	11544	11544.0	6594.0
hsa-miR-337-3p:MIMAT0000754:Homo:sapiens:miR-337-3p	173	11534	11534.0	7011.0
hsa-miR-517-5p:MIMAT0002851:Homo:sapiens:miR-517-5p	165	11501	11497.5	7345.5
hsa-miR-331-5p:MIMAT0004700:Homo:sapiens:miR-331-5p	173	11313	11313.0	8238.0
hsa-miR-520f-3p:MIMAT0002830:Homo:sapiens:miR-520f-3p|hsa-miR-520c-3p:MIMAT0002846:Homo:sapiens:miR-520c-3p|hsa-miR-520b:MIMAT0002843:Homo:sapiens:miR-520b	136	12334	11016.03333333334	5534.716666666663
hsa-miR-765:MIMAT0003945:Homo:sapiens:miR-765	123	10965	10965.0	5919.0
hsa-miR-216b-5p:MIMAT0004959:Homo:sapiens:miR-216b-5p	117	10953	10953.0	4202.0
hsa-miR-508-5p:MIMAT0004778:Homo:sapiens:miR-508-5p	204	10927	10927.0	6151.0
hsa-miR-378a-5p:MIMAT0000731:Homo:sapiens:miR-378a-5p	127	10856	10856.0	6162.0
hsa-miR-323b-5p:MIMAT0001630:Homo:sapiens:miR-323b-5p	212	10842	10842.0	6883.0
hsa-miR-595:MIMAT0003263:Homo:sapiens:miR-595	167	10810	10810.0	5799.0
hsa-miR-610:MIMAT0003278:Homo:sapiens:miR-610	113	10655	10655.0	4652.0
hsa-miR-31-5p:MIMAT0000089:Homo:sapiens:miR-31-5p	177	10624	10624.0	5023.0
hsa-miR-516b-3p:MIMAT0002860:Homo:sapiens:miR-516b-3p|hsa-miR-516a-3p:MIMAT0006778:Homo:sapiens:miR-516a-3p	43	10595	10595.0	4587.0
hsa-miR-624-5p:MIMAT0003293:Homo:sapiens:miR-624-5p	165	10531	10531.0	4259.0
hsa-miR-142-3p:MIMAT0000434:Homo:sapiens:miR-142-3p	167	10489	10489.0	5722.0
hsa-miR-181a-5p:MIMAT0000256:Homo:sapiens:miR-181a-5p	243	10474	10474.0	5222.0
hsa-miR-28-3p:MIMAT0004502:Homo:sapiens:miR-28-3p	166	10432	10432.0	7678.0
hsa-miR-448:MIMAT0001532:Homo:sapiens:miR-448	178	10415	10415.0	5253.0
hsa-miR-576-3p:MIMAT0004796:Homo:sapiens:miR-576-3p	123	10359	10359.0	5771.0
hsa-miR-339-3p:MIMAT0004702:Homo:sapiens:miR-339-3p	173	10335	10335.0	6205.0
hsa-miR-449a:MIMAT0001541:Homo:sapiens:miR-449a	174	10381	10315.0	5828.5
hsa-miR-499a-5p:MIMAT0002870:Homo:sapiens:miR-499a-5p	101	10282	10282.0	4840.0
hsa-miR-126-5p:MIMAT0000444:Homo:sapiens:miR-126-5p	150	10262	10262.0	8240.0
hsa-miR-29a-3p:MIMAT0000086:Homo:sapiens:miR-29a-3p	155	10236	10222.0	5509.5
hsa-miR-30d-5p:MIMAT0000245:Homo:sapiens:miR-30d-5p	186	10171	10169.0	5490.0
hsa-miR-369-3p:MIMAT0000721:Homo:sapiens:miR-369-3p	108	10166	10166.0	5239.0
hsa-miR-526b-3p:MIMAT0002836:Homo:sapiens:miR-526b-3p	122	10478	10141.800000000001	5182.733333333333
hsa-miR-126-3p:MIMAT0000445:Homo:sapiens:miR-126-3p	210	10097	10097.0	6681.0
hsa-miR-761:MIMAT0010364:Homo:sapiens:miR-761	107	10072	10072.0	3789.0
hsa-miR-30a-5p:MIMAT0000087:Homo:sapiens:miR-30a-5p	192	9999	9997.0	6105.0
hsa-miR-758-3p:MIMAT0003879:Homo:sapiens:miR-758-3p	154	9986	9986.0	6004.0
hsa-miR-302d-3p:MIMAT0000718:Homo:sapiens:miR-302d-3p	215	10020	9955.666666666668	5806.166666666668
hsa-miR-30e-5p:MIMAT0000692:Homo:sapiens:miR-30e-5p	163	9843	9843.0	5644.0
hsa-miR-375:MIMAT0000728:Homo:sapiens:miR-375	269	9778	9778.0	8210.0
hsa-miR-432-5p:MIMAT0002814:Homo:sapiens:miR-432-5p	208	9755	9755.0	7781.0
hsa-miR-655-3p:MIMAT0003331:Homo:sapiens:miR-655-3p	152	9721	9721.0	4326.0
hsa-miR-598-3p:MIMAT0003266:Homo:sapiens:miR-598-3p	176	9543	9543.0	4762.0
hsa-miR-549a:MIMAT0003333:Homo:sapiens:miR-549a	118	9486	9486.0	4420.0
hsa-miR-101-3p:MIMAT0000099:Homo:sapiens:miR-101-3p	91	9436	9436.0	4539.0
hsa-miR-496:MIMAT0002818:Homo:sapiens:miR-496	165	9410	9410.0	4992.0
hsa-miR-18a-3p:MIMAT0002891:Homo:sapiens:miR-18a-3p	88	9399	9399.0	3642.0
hsa-miR-876-3p:MIMAT0004925:Homo:sapiens:miR-876-3p	162	9372	9372.0	4592.0
hsa-miR-548c-3p:MIMAT0003285:Homo:sapiens:miR-548c-3p	129	9343	9343.0	6449.0
hsa-miR-191-3p:MIMAT0001618:Homo:sapiens:miR-191-3p	175	9327	9327.0	5887.0
hsa-miR-518b:MIMAT0002844:Homo:sapiens:miR-518b	164	9315	9315.0	6288.0
