ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-376c-3p:MIMAT0000720:Homo:sapiens:miR-376c-3p	140	39334	39334.0	9956.0
hsa-miR-376a-3p:MIMAT0000729:Homo:sapiens:miR-376a-3p	183	37748	37428.5	12202.5
hsa-miR-450b-5p:MIMAT0004909:Homo:sapiens:miR-450b-5p	236	36901	36901.0	23101.0
hsa-miR-380-3p:MIMAT0000735:Homo:sapiens:miR-380-3p	255	36488	36488.0	20377.0
hsa-miR-518f-5p:MIMAT0002841:Homo:sapiens:miR-518f-5p	296	37116	34861.58333333333	16726.41666666667
hsa-miR-582-5p:MIMAT0003247:Homo:sapiens:miR-582-5p	296	34088	34088.0	12189.0
hsa-miR-224-5p:MIMAT0000281:Homo:sapiens:miR-224-5p	226	33491	33491.0	12580.0
hsa-miR-485-3p:MIMAT0002176:Homo:sapiens:miR-485-3p	333	33171	33171.0	13564.0
hsa-miR-302c-3p:MIMAT0000717:Homo:sapiens:miR-302c-3p	327	33133	32999.666666666664	20341.833333333336
hsa-miR-493-5p:MIMAT0002813:Homo:sapiens:miR-493-5p	204	32928	32928.0	12223.0
hsa-miR-601:MIMAT0003269:Homo:sapiens:miR-601	220	32736	32736.0	16715.0
hsa-miR-383-5p:MIMAT0000738:Homo:sapiens:miR-383-5p	201	32715	32715.0	16206.0
hsa-miR-411-3p:MIMAT0004813:Homo:sapiens:miR-411-3p	207	32566	32560.0	15884.5
hsa-miR-30e-3p:MIMAT0000693:Homo:sapiens:miR-30e-3p	250	32572	32540.0	21102.5
hsa-miR-519b-5p:MIMAT0005454:Homo:sapiens:miR-519b-5p|hsa-miR-519c-5p:MIMAT0002831:Homo:sapiens:miR-519c-5p|hsa-miR-523-5p:MIMAT0005449:Homo:sapiens:miR-523-5p|hsa-miR-522-5p:MIMAT0005451:Homo:sapiens:miR-522-5p|hsa-miR-519a-5p:MIMAT0005452:Homo:sapiens:miR-519a-5p|hsa-miR-518e-5p:MIMAT0005450:Homo:sapiens:miR-518e-5p	247	32720	32209.333333333336	13350.083333333332
hsa-miR-501-5p:MIMAT0002872:Homo:sapiens:miR-501-5p	225	32082	32082.0	12975.0
hsa-miR-769-5p:MIMAT0003886:Homo:sapiens:miR-769-5p	138	31469	31469.0	10942.0
hsa-miR-505-3p:MIMAT0002876:Homo:sapiens:miR-505-3p	317	31257	31257.0	11632.0
hsa-miR-200a-5p:MIMAT0001620:Homo:sapiens:miR-200a-5p	255	30611	30611.0	16732.0
hsa-miR-22-5p:MIMAT0004495:Homo:sapiens:miR-22-5p	156	30293	30293.0	9394.0
hsa-miR-512-3p:MIMAT0002823:Homo:sapiens:miR-512-3p	216	30174	30174.0	15111.0
hsa-miR-217:MIMAT0000274:Homo:sapiens:miR-217	338	30083	30083.0	13665.0
hsa-miR-509-3p:MIMAT0002881:Homo:sapiens:miR-509-3p	276	29681	29681.0	14927.0
hsa-miR-454-3p:MIMAT0003885:Homo:sapiens:miR-454-3p	251	28979	28979.0	12336.0
hsa-miR-363-5p:MIMAT0003385:Homo:sapiens:miR-363-5p	159	28861	28861.0	8960.0
hsa-miR-509-3-5p:MIMAT0004975:Homo:sapiens:miR-509-3-5p	220	28590	28590.0	11876.0
hsa-miR-520d-3p:MIMAT0002856:Homo:sapiens:miR-520d-3p	199	28533	28533.0	10722.0
hsa-let-7d-3p:MIMAT0004484:Homo:sapiens:let-7d-3p	222	28417	28417.0	12695.0
hsa-miR-7-1-3p:MIMAT0004553:Homo:sapiens:miR-7-1-3p	208	27974	27974.0	10984.0
hsa-miR-140-3p:MIMAT0004597:Homo:sapiens:miR-140-3p	253	27622	27622.0	9271.0
hsa-miR-181a-3p:MIMAT0000270:Homo:sapiens:miR-181a-3p	251	27264	27258.0	12338.0
hsa-miR-382-3p:MIMAT0022697:Homo:sapiens:miR-382-3p	171	27245	27245.0	12424.0
hsa-miR-502-5p:MIMAT0002873:Homo:sapiens:miR-502-5p	184	27161	27161.0	8904.0
hsa-miR-654-3p:MIMAT0004814:Homo:sapiens:miR-654-3p	183	27026	27026.0	9730.0
hsa-miR-487b-3p:MIMAT0003180:Homo:sapiens:miR-487b-3p	262	26931	26931.0	13092.0
hsa-miR-452-3p:MIMAT0001636:Homo:sapiens:miR-452-3p	175	26872	26872.0	12413.0
hsa-miR-154-3p:MIMAT0000453:Homo:sapiens:miR-154-3p	248	26864	26864.0	10759.0
hsa-miR-518c-5p:MIMAT0002847:Homo:sapiens:miR-518c-5p	233	26703	26672.033333333336	13205.033333333333
hsa-miR-514a-3p:MIMAT0002883:Homo:sapiens:miR-514a-3p	167	26275	26275.0	12929.0
hsa-miR-517-5p:MIMAT0002851:Homo:sapiens:miR-517-5p	217	25734	25727.0	13560.5
hsa-miR-299-3p:MIMAT0000687:Homo:sapiens:miR-299-3p	274	25199	25199.0	15090.0
hsa-miR-153-3p:MIMAT0000439:Homo:sapiens:miR-153-3p	211	25198	25198.0	14761.0
hsa-miR-132-3p:MIMAT0000426:Homo:sapiens:miR-132-3p	222	24980	24980.0	13553.0
hsa-miR-769-3p:MIMAT0003887:Homo:sapiens:miR-769-3p	203	24877	24877.0	14266.0
hsa-miR-629-5p:MIMAT0004810:Homo:sapiens:miR-629-5p	190	24681	24681.0	9534.0
hsa-miR-300:MIMAT0004903:Homo:sapiens:miR-300	225	24346	24346.0	10196.0
hsa-miR-520c-5p:MIMAT0005455:Homo:sapiens:miR-520c-5p|hsa-miR-518d-5p:MIMAT0005456:Homo:sapiens:miR-518d-5p|hsa-miR-526a:MIMAT0002845:Homo:sapiens:miR-526a	311	26594	24331.249999999993	10157.083333333338
hsa-miR-623:MIMAT0003292:Homo:sapiens:miR-623	218	24311	24311.0	11463.0
hsa-miR-450a-5p:MIMAT0001545:Homo:sapiens:miR-450a-5p	264	24284	24284.0	10802.0
hsa-miR-196b-5p:MIMAT0001080:Homo:sapiens:miR-196b-5p	252	24122	24119.5	12727.5
hsa-miR-302b-5p:MIMAT0000714:Homo:sapiens:miR-302b-5p	172	24084	24084.0	9450.0
hsa-miR-875-3p:MIMAT0004923:Homo:sapiens:miR-875-3p	167	24076	24076.0	13476.0
hsa-miR-30a-3p:MIMAT0000088:Homo:sapiens:miR-30a-3p	223	23641	23609.0	16738.5
