ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-30a-5p:MIMAT0000087:Homo:sapiens:miR-30a-5p	561	173123	173057.5	37626.5
hsa-miR-1307-3p:MIMAT0005951:Homo:sapiens:miR-1307-3p	574	170037	170037.0	49276.0
hsa-miR-323a-3p:MIMAT0000755:Homo:sapiens:miR-323a-3p	317	167717	167639.5	26992.0
hsa-miR-196b-5p:MIMAT0001080:Homo:sapiens:miR-196b-5p	441	163080	163065.5	33777.0
hsa-let-7g-5p:MIMAT0000414:Homo:sapiens:let-7g-5p	494	161027	161026.0	25096.0
hsa-miR-543:MIMAT0004954:Homo:sapiens:miR-543	433	147637	147637.0	22453.0
hsa-miR-200c-3p:MIMAT0000617:Homo:sapiens:miR-200c-3p	491	147429	147429.0	36779.0
hsa-miR-181a-5p:MIMAT0000256:Homo:sapiens:miR-181a-5p	562	143876	143876.0	26774.0
hsa-miR-369-3p:MIMAT0000721:Homo:sapiens:miR-369-3p	266	143505	143505.0	27152.0
hsa-miR-302a-3p:MIMAT0000684:Homo:sapiens:miR-302a-3p	432	137855	137853.0	34253.0
hsa-miR-132-5p:MIMAT0004594:Homo:sapiens:miR-132-5p	548	131705	131705.0	31122.0
hsa-miR-221-3p:MIMAT0000278:Homo:sapiens:miR-221-3p	397	126544	126544.0	25206.0
hsa-miR-432-5p:MIMAT0002814:Homo:sapiens:miR-432-5p	486	120433	120433.0	50628.0
hsa-miR-28-3p:MIMAT0004502:Homo:sapiens:miR-28-3p	412	116203	116203.0	38758.0
hsa-miR-671-5p:MIMAT0003880:Homo:sapiens:miR-671-5p	254	110437	110437.0	17697.0
hsa-miR-25-3p:MIMAT0000081:Homo:sapiens:miR-25-3p	438	109908	109908.0	35590.0
hsa-miR-132-3p:MIMAT0000426:Homo:sapiens:miR-132-3p	368	94772	94772.0	28338.0
hsa-miR-342-5p:MIMAT0004694:Homo:sapiens:miR-342-5p	344	89961	89961.0	21060.0
hsa-miR-10a-5p:MIMAT0000253:Homo:sapiens:miR-10a-5p	403	89874	89865.5	33418.5
hsa-miR-15b-3p:MIMAT0004586:Homo:sapiens:miR-15b-3p	321	89458	89458.0	13993.0
hsa-let-7e-5p:MIMAT0000066:Homo:sapiens:let-7e-5p	297	85178	85028.5	21218.5
hsa-miR-323b-3p:MIMAT0015050:Homo:sapiens:miR-323b-3p	364	83592	83522.0	31841.0
hsa-miR-660-5p:MIMAT0003338:Homo:sapiens:miR-660-5p	421	81866	81866.0	22013.0
hsa-miR-20a-3p:MIMAT0004493:Homo:sapiens:miR-20a-3p	345	79093	79093.0	21494.0
hsa-miR-409-3p:MIMAT0001639:Homo:sapiens:miR-409-3p	378	78103	78103.0	21153.0
hsa-miR-142-5p:MIMAT0000433:Homo:sapiens:miR-142-5p	229	74962	74962.0	22791.0
hsa-miR-449a:MIMAT0001541:Homo:sapiens:miR-449a	300	68672	68503.5	19511.0
hsa-miR-130b-5p:MIMAT0004680:Homo:sapiens:miR-130b-5p	267	66698	66698.0	18931.0
hsa-miR-18a-3p:MIMAT0002891:Homo:sapiens:miR-18a-3p	242	59176	59176.0	15775.0
hsa-miR-20a-5p:MIMAT0000075:Homo:sapiens:miR-20a-5p	329	59038	58917.16666666667	15912.166666666668
hsa-miR-301a-3p:MIMAT0000688:Homo:sapiens:miR-301a-3p	349	57057	57028.5	20762.0
hsa-miR-218-5p:MIMAT0000275:Homo:sapiens:miR-218-5p	209	55525	55525.0	17227.0
hsa-miR-4433b-3p:MIMAT0030414:Homo:sapiens:miR-4433b-3p	200	53636	53636.0	21275.0
hsa-miR-193a-5p:MIMAT0004614:Homo:sapiens:miR-193a-5p	348	53563	53563.0	13712.0
hsa-miR-30d-5p:MIMAT0000245:Homo:sapiens:miR-30d-5p	324	52810	52745.5	17609.5
hsa-miR-140-3p:MIMAT0004597:Homo:sapiens:miR-140-3p	251	50484	50482.5	15555.5
hsa-miR-338-5p:MIMAT0004701:Homo:sapiens:miR-338-5p	237	49618	49618.0	23237.0
