ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-323a-3p:MIMAT0000755:Homo:sapiens:miR-323a-3p	338	195526	195437.5	30941.5
hsa-miR-30a-5p:MIMAT0000087:Homo:sapiens:miR-30a-5p	558	193799	193744.5	42204.5
hsa-miR-1307-3p:MIMAT0005951:Homo:sapiens:miR-1307-3p	535	180556	180556.0	53648.0
hsa-let-7g-5p:MIMAT0000414:Homo:sapiens:let-7g-5p	490	170690	170689.5	27128.5
hsa-miR-196b-5p:MIMAT0001080:Homo:sapiens:miR-196b-5p	426	167452	167440.0	36039.5
hsa-miR-369-3p:MIMAT0000721:Homo:sapiens:miR-369-3p	248	161983	161983.0	30035.0
hsa-miR-181a-5p:MIMAT0000256:Homo:sapiens:miR-181a-5p	541	155922	155922.0	28871.0
hsa-miR-543:MIMAT0004954:Homo:sapiens:miR-543	409	154746	154746.0	24525.0
hsa-miR-302a-3p:MIMAT0000684:Homo:sapiens:miR-302a-3p	431	152612	152609.5	37653.5
hsa-miR-200c-3p:MIMAT0000617:Homo:sapiens:miR-200c-3p	480	147653	147653.0	39074.0
hsa-miR-132-5p:MIMAT0004594:Homo:sapiens:miR-132-5p	542	145828	145828.0	34417.0
hsa-miR-432-5p:MIMAT0002814:Homo:sapiens:miR-432-5p	516	136114	136113.5	56358.5
hsa-miR-342-5p:MIMAT0004694:Homo:sapiens:miR-342-5p	382	134729	134729.0	28587.0
hsa-miR-221-3p:MIMAT0000278:Homo:sapiens:miR-221-3p	390	131741	131741.0	27017.0
hsa-miR-28-3p:MIMAT0004502:Homo:sapiens:miR-28-3p	394	131019	131019.0	44246.0
hsa-miR-25-3p:MIMAT0000081:Homo:sapiens:miR-25-3p	398	121449	121449.0	39048.0
hsa-miR-671-5p:MIMAT0003880:Homo:sapiens:miR-671-5p	232	115216	115216.0	18845.0
hsa-miR-132-3p:MIMAT0000426:Homo:sapiens:miR-132-3p	376	104539	104539.0	31039.0
hsa-miR-4433b-3p:MIMAT0030414:Homo:sapiens:miR-4433b-3p	269	98931	98931.0	31563.0
hsa-miR-10a-5p:MIMAT0000253:Homo:sapiens:miR-10a-5p	415	97262	97248.5	36890.5
hsa-miR-660-5p:MIMAT0003338:Homo:sapiens:miR-660-5p	465	95906	95906.0	25060.0
hsa-miR-15b-3p:MIMAT0004586:Homo:sapiens:miR-15b-3p	306	92467	92467.0	15284.0
hsa-miR-323b-3p:MIMAT0015050:Homo:sapiens:miR-323b-3p	356	90934	90853.5	35658.0
hsa-miR-20a-3p:MIMAT0004493:Homo:sapiens:miR-20a-3p	306	90026	90026.0	24270.0
hsa-miR-142-5p:MIMAT0000433:Homo:sapiens:miR-142-5p	227	86919	86919.0	26100.0
hsa-miR-409-3p:MIMAT0001639:Homo:sapiens:miR-409-3p	383	86550	86550.0	23945.0
hsa-let-7e-5p:MIMAT0000066:Homo:sapiens:let-7e-5p	305	85112	84971.0	22760.0
hsa-miR-130b-5p:MIMAT0004680:Homo:sapiens:miR-130b-5p	272	80926	80926.0	22720.0
hsa-miR-449a:MIMAT0001541:Homo:sapiens:miR-449a	309	73561	73352.0	21644.5
hsa-miR-20a-5p:MIMAT0000075:Homo:sapiens:miR-20a-5p	338	66979	66839.83333333334	17961.833333333336
hsa-miR-18a-3p:MIMAT0002891:Homo:sapiens:miR-18a-3p	235	65593	65593.0	17613.0
hsa-miR-218-5p:MIMAT0000275:Homo:sapiens:miR-218-5p	205	62294	62294.0	19293.0
hsa-miR-301a-3p:MIMAT0000688:Homo:sapiens:miR-301a-3p	349	61688	61653.5	22589.0
hsa-miR-30d-5p:MIMAT0000245:Homo:sapiens:miR-30d-5p	354	61650	61595.5	20009.5
hsa-miR-486-3p:MIMAT0004762:Homo:sapiens:miR-486-3p	237	60762	60762.0	16020.0
hsa-miR-320c:MIMAT0005793:Homo:sapiens:miR-320c	196	60266	58800.33333333334	22236.800000000003
hsa-miR-140-3p:MIMAT0004597:Homo:sapiens:miR-140-3p	242	58568	58568.0	17868.0
hsa-miR-338-5p:MIMAT0004701:Homo:sapiens:miR-338-5p	258	58259	58259.0	26633.0
hsa-miR-30b-5p:MIMAT0000420:Homo:sapiens:miR-30b-5p	335	58128	58108.5	16115.666666666668
hsa-miR-103b:MIMAT0007402:Homo:sapiens:miR-103b	297	57787	57787.0	18776.0
hsa-miR-4521:MIMAT0019058:Homo:sapiens:miR-4521	329	56908	56908.0	24549.0
hsa-miR-193a-5p:MIMAT0004614:Homo:sapiens:miR-193a-5p	353	54648	54648.0	14541.0
hsa-miR-4433a-3p:MIMAT0018949:Homo:sapiens:miR-4433a-3p	224	54501	54501.0	16269.0
hsa-miR-652-3p:MIMAT0003322:Homo:sapiens:miR-652-3p	292	53642	53642.0	20191.0
hsa-miR-143-3p:MIMAT0000435:Homo:sapiens:miR-143-3p	251	53172	53172.0	17538.0
hsa-miR-532-5p:MIMAT0002888:Homo:sapiens:miR-532-5p	361	52878	52878.0	17637.0
hsa-miR-1306-5p:MIMAT0022726:Homo:sapiens:miR-1306-5p	247	52225	52225.0	13464.0
hsa-miR-28-5p:MIMAT0000085:Homo:sapiens:miR-28-5p	232	51599	51599.0	14455.0
hsa-miR-130a-3p:MIMAT0000425:Homo:sapiens:miR-130a-3p	309	51415	51415.0	17902.0
hsa-miR-193b-5p:MIMAT0004767:Homo:sapiens:miR-193b-5p	294	50309	50309.0	14735.0
hsa-miR-1246:MIMAT0005898:Homo:sapiens:miR-1246	135	48294	48294.0	15332.0
hsa-miR-340-5p:MIMAT0004692:Homo:sapiens:miR-340-5p	248	47164	47164.0	18417.0
hsa-miR-199b-5p:MIMAT0000263:Homo:sapiens:miR-199b-5p	286	46984	46977.5	15967.5
hsa-miR-126-5p:MIMAT0000444:Homo:sapiens:miR-126-5p	245	46551	46551.0	26943.0
hsa-miR-136-3p:MIMAT0004606:Homo:sapiens:miR-136-3p	269	46165	46165.0	15618.0
hsa-miR-92a-3p:MIMAT0000092:Homo:sapiens:miR-92a-3p	256	43567	43567.0	16770.0
hsa-miR-186-5p:MIMAT0000456:Homo:sapiens:miR-186-5p	246	43464	43464.0	12737.0
hsa-miR-4326:MIMAT0016888:Homo:sapiens:miR-4326	121	42934	42934.0	12104.0
hsa-miR-203b-5p:MIMAT0019813:Homo:sapiens:miR-203b-5p	284	41880	41880.0	22990.0
hsa-miR-210-3p:MIMAT0000267:Homo:sapiens:miR-210-3p	251	41739	41739.0	11324.0
hsa-miR-22-3p:MIMAT0000077:Homo:sapiens:miR-22-3p	206	40712	40712.0	12975.0
hsa-miR-9-5p:MIMAT0000441:Homo:sapiens:miR-9-5p	341	40326	40326.0	21885.0
hsa-miR-1-3p:MIMAT0000416:Homo:sapiens:miR-1-3p	276	38567	38567.0	13816.0
hsa-miR-499a-5p:MIMAT0002870:Homo:sapiens:miR-499a-5p	146	37757	37757.0	10264.0
hsa-miR-378e:MIMAT0018927:Homo:sapiens:miR-378e	174	37223	37173.91666666667	10414.416666666666
hsa-miR-139-5p:MIMAT0000250:Homo:sapiens:miR-139-5p	347	36980	36980.0	18234.0
hsa-miR-299-5p:MIMAT0002890:Homo:sapiens:miR-299-5p	198	36763	36763.0	6878.0
hsa-miR-15a-5p:MIMAT0000068:Homo:sapiens:miR-15a-5p	238	35847	35847.0	10556.0
hsa-miR-200b-3p:MIMAT0000318:Homo:sapiens:miR-200b-3p	229	34157	34157.0	13250.0
hsa-miR-126-3p:MIMAT0000445:Homo:sapiens:miR-126-3p	247	34154	34154.0	13791.0
hsa-miR-625-3p:MIMAT0004808:Homo:sapiens:miR-625-3p	217	33614	33614.0	13635.0
hsa-let-7a-3p:MIMAT0004481:Homo:sapiens:let-7a-3p	167	33233	33232.5	18535.5
hsa-miR-155-5p:MIMAT0000646:Homo:sapiens:miR-155-5p	322	32873	32873.0	17908.0
hsa-miR-222-3p:MIMAT0000279:Homo:sapiens:miR-222-3p	128	32061	32061.0	9638.0
hsa-miR-193b-3p:MIMAT0002819:Homo:sapiens:miR-193b-3p	243	31569	31569.0	17918.0
hsa-miR-411-5p:MIMAT0003329:Homo:sapiens:miR-411-5p	260	31460	31460.0	12255.0
hsa-miR-346:MIMAT0000773:Homo:sapiens:miR-346	270	30890	30890.0	16219.0
hsa-miR-197-3p:MIMAT0000227:Homo:sapiens:miR-197-3p	200	30509	30509.0	16010.0
hsa-miR-185-3p:MIMAT0004611:Homo:sapiens:miR-185-3p	134	30437	30437.0	11068.0
hsa-miR-664a-5p:MIMAT0005948:Homo:sapiens:miR-664a-5p	274	30369	30369.0	14282.0
hsa-miR-3529-3p:MIMAT0022741:Homo:sapiens:miR-3529-3p	259	30114	30114.0	7758.0
hsa-miR-301b-3p:MIMAT0004958:Homo:sapiens:miR-301b-3p	219	28477	28442.5	11450.0
hsa-miR-769-5p:MIMAT0003886:Homo:sapiens:miR-769-5p	158	28337	28337.0	10059.0
hsa-miR-320d:MIMAT0006764:Homo:sapiens:miR-320d	104	28649	28160.12142857143	12968.92142857143
hsa-miR-128-3p:MIMAT0000424:Homo:sapiens:miR-128-3p	137	27177	27177.0	8295.0
hsa-miR-339-5p:MIMAT0000764:Homo:sapiens:miR-339-5p	193	27141	27141.0	9750.0
hsa-miR-3615:MIMAT0017994:Homo:sapiens:miR-3615	161	26837	26837.0	11849.0
hsa-miR-576-3p:MIMAT0004796:Homo:sapiens:miR-576-3p	143	26830	26830.0	9827.0
hsa-miR-98-5p:MIMAT0000096:Homo:sapiens:miR-98-5p	201	26405	26404.333333333332	10430.333333333334
