ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-let-7g-5p:MIMAT0000414:Homo:sapiens:let-7g-5p	590	176842	176842.0	27016.0
hsa-miR-196b-5p:MIMAT0001080:Homo:sapiens:miR-196b-5p	520	159323	159305.5	33841.5
hsa-miR-302a-3p:MIMAT0000684:Homo:sapiens:miR-302a-3p	562	159253	159251.5	37206.5
hsa-miR-221-3p:MIMAT0000278:Homo:sapiens:miR-221-3p	467	154000	154000.0	26574.0
hsa-miR-200c-3p:MIMAT0000617:Homo:sapiens:miR-200c-3p	525	149136	149136.0	36536.0
hsa-miR-181a-5p:MIMAT0000256:Homo:sapiens:miR-181a-5p	572	148917	148917.0	27047.0
hsa-miR-671-5p:MIMAT0003880:Homo:sapiens:miR-671-5p	325	141326	141326.0	21672.0
hsa-miR-30a-5p:MIMAT0000087:Homo:sapiens:miR-30a-5p	615	140104	140043.0	33840.0
hsa-miR-543:MIMAT0004954:Homo:sapiens:miR-543	425	134910	134910.0	20782.0
hsa-miR-1307-3p:MIMAT0005951:Homo:sapiens:miR-1307-3p	540	125855	125855.0	40176.0
hsa-miR-132-5p:MIMAT0004594:Homo:sapiens:miR-132-5p	599	104629	104629.0	28081.0
hsa-miR-323a-3p:MIMAT0000755:Homo:sapiens:miR-323a-3p	314	102699	102645.5	19602.0
hsa-miR-20a-3p:MIMAT0004493:Homo:sapiens:miR-20a-3p	402	100323	100323.0	25603.0
hsa-miR-660-5p:MIMAT0003338:Homo:sapiens:miR-660-5p	515	94339	94339.0	23263.0
hsa-miR-432-5p:MIMAT0002814:Homo:sapiens:miR-432-5p	503	92234	92234.0	43089.0
hsa-miR-28-3p:MIMAT0004502:Homo:sapiens:miR-28-3p	475	91001	91001.0	35264.0
hsa-miR-10a-5p:MIMAT0000253:Homo:sapiens:miR-10a-5p	406	90395	90388.0	32657.0
hsa-miR-25-3p:MIMAT0000081:Homo:sapiens:miR-25-3p	454	90061	90061.0	31785.0
hsa-miR-15b-3p:MIMAT0004586:Homo:sapiens:miR-15b-3p	316	89101	89101.0	14738.0
hsa-miR-18a-3p:MIMAT0002891:Homo:sapiens:miR-18a-3p	303	86772	86772.0	21481.0
hsa-miR-369-3p:MIMAT0000721:Homo:sapiens:miR-369-3p	252	84107	84107.0	20054.0
hsa-miR-342-5p:MIMAT0004694:Homo:sapiens:miR-342-5p	379	79260	79260.0	19995.0
hsa-miR-301a-3p:MIMAT0000688:Homo:sapiens:miR-301a-3p	447	77310	77263.5	26871.5
hsa-miR-409-3p:MIMAT0001639:Homo:sapiens:miR-409-3p	413	74878	74878.0	19939.0
hsa-miR-103b:MIMAT0007402:Homo:sapiens:miR-103b	346	71716	71716.0	21696.0
hsa-miR-20a-5p:MIMAT0000075:Homo:sapiens:miR-20a-5p	385	68524	68360.33333333334	19715.333333333336
hsa-miR-132-3p:MIMAT0000426:Homo:sapiens:miR-132-3p	390	67335	67335.0	24421.0
hsa-let-7e-5p:MIMAT0000066:Homo:sapiens:let-7e-5p	325	67046	66885.0	18676.5
hsa-miR-130b-5p:MIMAT0004680:Homo:sapiens:miR-130b-5p	308	63603	63603.0	17105.0
hsa-miR-142-5p:MIMAT0000433:Homo:sapiens:miR-142-5p	253	62657	62657.0	21509.0
hsa-miR-449a:MIMAT0001541:Homo:sapiens:miR-449a	300	61961	61820.5	18919.0
hsa-miR-323b-3p:MIMAT0015050:Homo:sapiens:miR-323b-3p	344	57874	57827.5	25891.0
hsa-miR-1306-5p:MIMAT0022726:Homo:sapiens:miR-1306-5p	284	55885	55885.0	12974.0
hsa-miR-30b-5p:MIMAT0000420:Homo:sapiens:miR-30b-5p	387	55533	55526.5	15431.0
hsa-miR-28-5p:MIMAT0000085:Homo:sapiens:miR-28-5p	261	53442	53441.333333333336	14922.333333333334
hsa-miR-130a-3p:MIMAT0000425:Homo:sapiens:miR-130a-3p	351	50084	50084.0	17741.0
hsa-miR-30d-5p:MIMAT0000245:Homo:sapiens:miR-30d-5p	367	48696	48636.0	16450.0
hsa-miR-199b-5p:MIMAT0000263:Homo:sapiens:miR-199b-5p	362	47492	47482.5	16496.5
hsa-miR-532-5p:MIMAT0002888:Homo:sapiens:miR-532-5p	381	47164	47164.0	16230.0
hsa-miR-346:MIMAT0000773:Homo:sapiens:miR-346	368	47094	47094.0	20091.0
hsa-miR-652-3p:MIMAT0003322:Homo:sapiens:miR-652-3p	352	46663	46663.0	18787.0
hsa-miR-664a-5p:MIMAT0005948:Homo:sapiens:miR-664a-5p	319	44856	44856.0	18498.0
hsa-miR-338-5p:MIMAT0004701:Homo:sapiens:miR-338-5p	276	44257	44257.0	21765.0
hsa-miR-4521:MIMAT0019058:Homo:sapiens:miR-4521	351	43492	43492.0	20490.0
hsa-miR-4433b-3p:MIMAT0030414:Homo:sapiens:miR-4433b-3p	251	42890	42890.0	20111.0
hsa-miR-22-3p:MIMAT0000077:Homo:sapiens:miR-22-3p	265	42878	42878.0	12980.0
hsa-miR-92a-3p:MIMAT0000092:Homo:sapiens:miR-92a-3p	298	42865	42865.0	16249.0
hsa-miR-299-5p:MIMAT0002890:Homo:sapiens:miR-299-5p	228	42654	42654.0	7163.0
hsa-miR-143-3p:MIMAT0000435:Homo:sapiens:miR-143-3p	299	42553	42553.0	14763.0
hsa-miR-203b-5p:MIMAT0019813:Homo:sapiens:miR-203b-5p	346	42376	42376.0	25246.0
hsa-miR-193a-5p:MIMAT0004614:Homo:sapiens:miR-193a-5p	339	41068	41068.0	12966.0
hsa-miR-1-3p:MIMAT0000416:Homo:sapiens:miR-1-3p	288	40129	40129.0	13124.0
hsa-miR-218-5p:MIMAT0000275:Homo:sapiens:miR-218-5p	210	39832	39832.0	14020.0
hsa-miR-136-3p:MIMAT0004606:Homo:sapiens:miR-136-3p	291	39060	39060.0	13447.0
hsa-miR-15a-5p:MIMAT0000068:Homo:sapiens:miR-15a-5p	252	39028	39028.0	10981.0
hsa-miR-339-5p:MIMAT0000764:Homo:sapiens:miR-339-5p	245	38606	38606.0	11714.0
hsa-miR-3529-3p:MIMAT0022741:Homo:sapiens:miR-3529-3p	286	38016	38016.0	8676.0
hsa-miR-193b-5p:MIMAT0004767:Homo:sapiens:miR-193b-5p	293	37624	37624.0	13464.0
hsa-miR-186-5p:MIMAT0000456:Homo:sapiens:miR-186-5p	298	37478	37478.0	11890.0
