ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-625-3p:MIMAT0004808:Homo:sapiens:miR-625-3p	574	323359	323359.0	51776.0
hsa-miR-223-5p:MIMAT0004570:Homo:sapiens:miR-223-5p	367	179251	179251.0	29984.0
hsa-miR-629-5p:MIMAT0004810:Homo:sapiens:miR-629-5p	368	170849	170849.0	28812.0
hsa-miR-21-5p:MIMAT0000076:Homo:sapiens:miR-21-5p	371	165275	165275.0	30492.0
hsa-miR-1908-5p:MIMAT0007881:Homo:sapiens:miR-1908-5p	318	156985	156985.0	36247.0
hsa-let-7f-5p:MIMAT0000067:Homo:sapiens:let-7f-5p	353	154844	154824.5	26292.5
hsa-miR-151a-3p:MIMAT0000757:Homo:sapiens:miR-151a-3p	274	152124	152124.0	35324.0
hsa-miR-4732-5p:MIMAT0019855:Homo:sapiens:miR-4732-5p	381	142433	142433.0	32260.0
hsa-miR-200a-3p:MIMAT0000682:Homo:sapiens:miR-200a-3p	456	138907	138687.5	25418.0
hsa-miR-188-5p:MIMAT0000457:Homo:sapiens:miR-188-5p	299	118607	118607.0	16586.0
hsa-let-7d-3p:MIMAT0004484:Homo:sapiens:let-7d-3p	358	115792	115792.0	28459.0
hsa-miR-4440:MIMAT0018958:Homo:sapiens:miR-4440	354	113937	112350.0	31619.5
hsa-miR-576-3p:MIMAT0004796:Homo:sapiens:miR-576-3p	224	107997	107997.0	24644.0
hsa-miR-122-5p:MIMAT0000421:Homo:sapiens:miR-122-5p	334	100379	100379.0	24494.0
hsa-miR-6852-5p:MIMAT0027604:Homo:sapiens:miR-6852-5p	212	99644	99644.0	22835.0
hsa-miR-374a-5p:MIMAT0000727:Homo:sapiens:miR-374a-5p	328	98571	98490.83333333334	21219.0
hsa-miR-19b-3p:MIMAT0000074:Homo:sapiens:miR-19b-3p	302	96343	96343.0	15068.0
hsa-miR-320d:MIMAT0006764:Homo:sapiens:miR-320d	154	95949	94999.03333333333	25581.033333333336
hsa-miR-376a-3p:MIMAT0000729:Homo:sapiens:miR-376a-3p	192	92217	92171.5	14833.0
hsa-miR-7-5p:MIMAT0000252:Homo:sapiens:miR-7-5p	319	90879	90879.0	20270.0
hsa-let-7c-5p:MIMAT0000064:Homo:sapiens:let-7c-5p	269	90117	89932.08333333334	26847.25
hsa-miR-485-3p:MIMAT0002176:Homo:sapiens:miR-485-3p	340	88250	88250.0	19894.0
hsa-miR-885-5p:MIMAT0004947:Homo:sapiens:miR-885-5p	325	79249	79249.0	14961.0
hsa-miR-129-5p:MIMAT0000242:Homo:sapiens:miR-129-5p	243	78406	78406.0	33428.0
hsa-miR-185-5p:MIMAT0000455:Homo:sapiens:miR-185-5p	285	77968	77968.0	16396.0
hsa-miR-3184-3p:MIMAT0022731:Homo:sapiens:miR-3184-3p	240	77268	77268.0	18046.0
hsa-miR-204-3p:MIMAT0022693:Homo:sapiens:miR-204-3p	256	76076	76076.0	18356.0
hsa-miR-654-3p:MIMAT0004814:Homo:sapiens:miR-654-3p	224	70594	70594.0	11402.0
hsa-miR-378a-3p:MIMAT0000732:Homo:sapiens:miR-378a-3p	333	71014	70530.16666666667	22568.000000000004
