ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-625-3p:MIMAT0004808:Homo:sapiens:miR-625-3p	507	286823	286823.0	49914.0
hsa-miR-629-5p:MIMAT0004810:Homo:sapiens:miR-629-5p	382	167059	167059.0	29698.0
hsa-miR-223-5p:MIMAT0004570:Homo:sapiens:miR-223-5p	361	166414	166414.0	29498.0
hsa-miR-151a-3p:MIMAT0000757:Homo:sapiens:miR-151a-3p	259	164366	164366.0	38342.0
hsa-miR-21-5p:MIMAT0000076:Homo:sapiens:miR-21-5p	373	159056	159056.0	31000.0
hsa-miR-1908-5p:MIMAT0007881:Homo:sapiens:miR-1908-5p	311	157673	157673.0	37136.0
hsa-miR-200a-3p:MIMAT0000682:Homo:sapiens:miR-200a-3p	432	134093	133881.5	25804.5
hsa-let-7f-5p:MIMAT0000067:Homo:sapiens:let-7f-5p	346	131882	131863.5	25006.5
hsa-miR-188-5p:MIMAT0000457:Homo:sapiens:miR-188-5p	280	131167	131167.0	17669.0
hsa-miR-320d:MIMAT0006764:Homo:sapiens:miR-320d	167	128161	126802.40238095238	29609.11666666667
hsa-miR-4732-5p:MIMAT0019855:Homo:sapiens:miR-4732-5p	363	114077	114077.0	30006.0
hsa-miR-376a-3p:MIMAT0000729:Homo:sapiens:miR-376a-3p	190	101882	101814.5	16775.5
hsa-miR-576-3p:MIMAT0004796:Homo:sapiens:miR-576-3p	209	100927	100927.0	24090.0
hsa-miR-374a-5p:MIMAT0000727:Homo:sapiens:miR-374a-5p	328	98210	98126.0	22265.666666666664
hsa-let-7d-3p:MIMAT0004484:Homo:sapiens:let-7d-3p	357	97364	97364.0	26083.0
hsa-miR-6852-5p:MIMAT0027604:Homo:sapiens:miR-6852-5p	194	95088	95088.0	22173.0
hsa-miR-19b-3p:MIMAT0000074:Homo:sapiens:miR-19b-3p	280	87657	87656.0	14860.0
hsa-miR-4440:MIMAT0018958:Homo:sapiens:miR-4440	298	85193	85119.0	28112.5
hsa-miR-122-5p:MIMAT0000421:Homo:sapiens:miR-122-5p	286	84361	84361.0	22692.0
hsa-miR-485-3p:MIMAT0002176:Homo:sapiens:miR-485-3p	324	83608	83608.0	19990.0
hsa-miR-204-3p:MIMAT0022693:Homo:sapiens:miR-204-3p	285	82149	82149.0	19146.0
hsa-let-7c-5p:MIMAT0000064:Homo:sapiens:let-7c-5p	286	81415	81227.66666666667	25095.333333333332
hsa-miR-129-5p:MIMAT0000242:Homo:sapiens:miR-129-5p	234	79029	79029.0	34175.0
hsa-miR-885-5p:MIMAT0004947:Homo:sapiens:miR-885-5p	307	73201	73201.0	15697.0
hsa-miR-7-5p:MIMAT0000252:Homo:sapiens:miR-7-5p	315	71726	71726.0	18519.0
hsa-miR-185-5p:MIMAT0000455:Homo:sapiens:miR-185-5p	307	71509	71508.5	16710.5
hsa-miR-378a-3p:MIMAT0000732:Homo:sapiens:miR-378a-3p	339	72007	71283.25	24344.083333333336
hsa-miR-499b-3p:MIMAT0019898:Homo:sapiens:miR-499b-3p	244	68248	68248.0	15599.0
hsa-miR-433-3p:MIMAT0001627:Homo:sapiens:miR-433-3p	271	67819	67819.0	26649.0
hsa-miR-654-3p:MIMAT0004814:Homo:sapiens:miR-654-3p	214	66205	66205.0	11151.0
hsa-miR-148a-5p:MIMAT0004549:Homo:sapiens:miR-148a-5p	234	63381	63381.0	16487.0
hsa-miR-450a-5p:MIMAT0001545:Homo:sapiens:miR-450a-5p	307	59445	59445.0	15739.0
hsa-miR-3184-3p:MIMAT0022731:Homo:sapiens:miR-3184-3p	211	58625	58625.0	16041.0
hsa-miR-15b-5p:MIMAT0000417:Homo:sapiens:miR-15b-5p	305	58214	58214.0	19057.0
hsa-miR-26b-5p:MIMAT0000083:Homo:sapiens:miR-26b-5p	190	58133	58133.0	23710.0
hsa-miR-192-5p:MIMAT0000222:Homo:sapiens:miR-192-5p	236	56407	56309.5	17082.5
hsa-miR-23b-3p:MIMAT0000418:Homo:sapiens:miR-23b-3p	192	53408	53276.5	21831.5
hsa-miR-144-5p:MIMAT0004600:Homo:sapiens:miR-144-5p	228	53124	53124.0	12783.0
hsa-miR-191-5p:MIMAT0000440:Homo:sapiens:miR-191-5p	335	52428	52428.0	14792.0
hsa-miR-584-5p:MIMAT0003249:Homo:sapiens:miR-584-5p	308	50213	50213.0	27280.0
hsa-let-7b-5p:MIMAT0000063:Homo:sapiens:let-7b-5p	218	49432	49379.166666666664	20290.833333333332
hsa-miR-101-3p:MIMAT0000099:Homo:sapiens:miR-101-3p	158	45131	45131.0	10862.0
hsa-miR-98-5p:MIMAT0000096:Homo:sapiens:miR-98-5p	239	45126	45126.0	15182.0
hsa-miR-449b-5p:MIMAT0003327:Homo:sapiens:miR-449b-5p	232	43009	42804.5	11468.5
hsa-miR-590-5p:MIMAT0003258:Homo:sapiens:miR-590-5p	224	42514	42514.0	11984.0
hsa-miR-451a:MIMAT0001631:Homo:sapiens:miR-451a	299	42438	42438.0	15626.0
hsa-miR-140-5p:MIMAT0000431:Homo:sapiens:miR-140-5p	227	42064	42064.0	14321.0
hsa-miR-18b-5p:MIMAT0001412:Homo:sapiens:miR-18b-5p	287	41258	41173.0	17518.0
hsa-miR-369-3p:MIMAT0000721:Homo:sapiens:miR-369-3p	161	41090	41090.0	12734.0
hsa-miR-299-3p:MIMAT0000687:Homo:sapiens:miR-299-3p	273	38913	38913.0	17547.0
hsa-miR-18a-5p:MIMAT0000072:Homo:sapiens:miR-18a-5p	234	38699	38615.5	13204.5
hsa-miR-188-3p:MIMAT0004613:Homo:sapiens:miR-188-3p	159	38472	38472.0	12570.0
hsa-miR-499a-5p:MIMAT0002870:Homo:sapiens:miR-499a-5p	141	36879	36879.0	10264.0
hsa-miR-324-5p:MIMAT0000761:Homo:sapiens:miR-324-5p	256	36730	36730.0	14730.0
hsa-miR-26a-5p:MIMAT0000082:Homo:sapiens:miR-26a-5p	232	36570	36570.0	19356.0
hsa-miR-378c:MIMAT0016847:Homo:sapiens:miR-378c	298	34786	34783.0	14181.0
hsa-miR-29b-2-5p:MIMAT0004515:Homo:sapiens:miR-29b-2-5p	192	33938	33927.0	12919.0
hsa-miR-27a-3p:MIMAT0000084:Homo:sapiens:miR-27a-3p	189	33970	33889.5	10758.5
hsa-miR-132-3p:MIMAT0000426:Homo:sapiens:miR-132-3p	224	33779	33779.0	15127.0
hsa-miR-23a-3p:MIMAT0000078:Homo:sapiens:miR-23a-3p	168	33558	33448.5	17392.5
hsa-miR-139-3p:MIMAT0004552:Homo:sapiens:miR-139-3p	242	32600	32600.0	13534.0
hsa-miR-16-5p:MIMAT0000069:Homo:sapiens:miR-16-5p	285	31862	31862.0	13597.0
hsa-miR-9-5p:MIMAT0000441:Homo:sapiens:miR-9-5p	296	31203	31203.0	17834.0
hsa-miR-133a-3p:MIMAT0000427:Homo:sapiens:miR-133a-3p	189	31463	30989.0	10278.0
hsa-miR-215-5p:MIMAT0000272:Homo:sapiens:miR-215-5p	160	30665	30568.0	8237.0
hsa-miR-211-5p:MIMAT0000268:Homo:sapiens:miR-211-5p	200	29850	29850.0	11340.0
hsa-miR-152-3p:MIMAT0000438:Homo:sapiens:miR-152-3p	135	28828	28828.0	6911.0
hsa-miR-186-5p:MIMAT0000456:Homo:sapiens:miR-186-5p	206	28666	28666.0	9964.0
hsa-miR-340-3p:MIMAT0000750:Homo:sapiens:miR-340-3p	257	28527	28527.0	15464.0
hsa-miR-323a-3p:MIMAT0000755:Homo:sapiens:miR-323a-3p	157	26993	26980.5	7644.0
hsa-miR-130b-3p:MIMAT0000691:Homo:sapiens:miR-130b-3p	205	26855	26855.0	12175.0
hsa-miR-769-5p:MIMAT0003886:Homo:sapiens:miR-769-5p	134	26342	26342.0	9653.0
hsa-miR-128-3p:MIMAT0000424:Homo:sapiens:miR-128-3p	134	25885	25885.0	7644.0
hsa-miR-1246:MIMAT0005898:Homo:sapiens:miR-1246	70	24903	24903.0	10190.0
hsa-miR-107:MIMAT0000104:Homo:sapiens:miR-107	275	25105	24776.333333333336	8541.833333333334
hsa-miR-30e-3p:MIMAT0000693:Homo:sapiens:miR-30e-3p	235	24568	24562.5	16339.5
hsa-miR-4433a-5p:MIMAT0020956:Homo:sapiens:miR-4433a-5p	112	24506	24506.0	8161.0
hsa-miR-450b-5p:MIMAT0004909:Homo:sapiens:miR-450b-5p	190	24394	24394.0	13522.0
hsa-miR-342-3p:MIMAT0000753:Homo:sapiens:miR-342-3p	323	24202	24202.0	10136.0
hsa-miR-15b-3p:MIMAT0004586:Homo:sapiens:miR-15b-3p	181	23921	23921.0	6111.0
hsa-miR-1180-3p:MIMAT0005825:Homo:sapiens:miR-1180-3p	256	23788	23788.0	9925.0
hsa-miR-103a-3p:MIMAT0000101:Homo:sapiens:miR-103a-3p	247	23032	22705.5	8257.0
hsa-miR-214-3p:MIMAT0000271:Homo:sapiens:miR-214-3p	148	22440	22440.0	6839.0
hsa-miR-302c-3p:MIMAT0000717:Homo:sapiens:miR-302c-3p	165	22409	22404.5	10853.0
hsa-miR-483-5p:MIMAT0004761:Homo:sapiens:miR-483-5p	149	22404	22404.0	10450.0
hsa-miR-181b-5p:MIMAT0000257:Homo:sapiens:miR-181b-5p	231	22335	22335.0	7205.0
hsa-miR-378b:MIMAT0014999:Homo:sapiens:miR-378b	93	22328	22315.5	8733.0
hsa-miR-30a-5p:MIMAT0000087:Homo:sapiens:miR-30a-5p	212	21775	21769.5	9627.5
hsa-miR-378e:MIMAT0018927:Homo:sapiens:miR-378e	104	21759	21719.499999999996	6933.333333333332
hsa-miR-222-3p:MIMAT0000279:Homo:sapiens:miR-222-3p	112	21706	21706.0	7613.0
hsa-miR-144-3p:MIMAT0000436:Homo:sapiens:miR-144-3p	96	21626	21626.0	4021.0
hsa-miR-25-3p:MIMAT0000081:Homo:sapiens:miR-25-3p	207	21502	21502.0	12111.0
hsa-let-7a-5p:MIMAT0000062:Homo:sapiens:let-7a-5p	167	21531	21350.166666666668	7712.833333333333
hsa-miR-340-5p:MIMAT0004692:Homo:sapiens:miR-340-5p	179	21254	21254.0	10370.0
hsa-miR-92b-3p:MIMAT0003218:Homo:sapiens:miR-92b-3p	203	21174	21174.0	14135.0
hsa-miR-874-3p:MIMAT0004911:Homo:sapiens:miR-874-3p	174	20870	20870.0	10132.0
hsa-miR-32-5p:MIMAT0000090:Homo:sapiens:miR-32-5p	196	20088	20088.0	5883.0
hsa-miR-320c:MIMAT0005793:Homo:sapiens:miR-320c	137	22142	20021.283333333336	10291.866666666667
hsa-miR-1307-3p:MIMAT0005951:Homo:sapiens:miR-1307-3p	226	19516	19516.0	11015.0
hsa-miR-24-3p:MIMAT0000080:Homo:sapiens:miR-24-3p	121	19055	19055.0	5953.0
hsa-miR-140-3p:MIMAT0004597:Homo:sapiens:miR-140-3p	147	18916	18916.0	8159.0
hsa-miR-184:MIMAT0000454:Homo:sapiens:miR-184	196	18852	18852.0	10306.0
hsa-miR-365a-3p:MIMAT0000710:Homo:sapiens:miR-365a-3p|hsa-miR-365b-3p:MIMAT0022834:Homo:sapiens:miR-365b-3p	151	18821	18821.0	5040.0
hsa-miR-296-5p:MIMAT0000690:Homo:sapiens:miR-296-5p	94	18520	18520.0	4037.0
hsa-miR-142-5p:MIMAT0000433:Homo:sapiens:miR-142-5p	124	18367	18367.0	8875.0
hsa-miR-424-3p:MIMAT0004749:Homo:sapiens:miR-424-3p	169	17963	17963.0	7676.0
hsa-miR-589-5p:MIMAT0004799:Homo:sapiens:miR-589-5p	172	17896	17896.0	8401.0
hsa-let-7g-5p:MIMAT0000414:Homo:sapiens:let-7g-5p	147	17769	17769.0	5563.0
hsa-miR-543:MIMAT0004954:Homo:sapiens:miR-543	171	17751	17751.0	5097.0
hsa-miR-185-3p:MIMAT0004611:Homo:sapiens:miR-185-3p	103	17369	17369.0	7484.0
hsa-miR-1307-5p:MIMAT0022727:Homo:sapiens:miR-1307-5p	131	16947	16947.0	9230.0
hsa-miR-323b-3p:MIMAT0015050:Homo:sapiens:miR-323b-3p	222	16710	16698.0	10173.5
hsa-miR-652-3p:MIMAT0003322:Homo:sapiens:miR-652-3p	164	16635	16635.0	8450.0
hsa-miR-411-5p:MIMAT0003329:Homo:sapiens:miR-411-5p	176	16484	16484.0	7775.0
hsa-miR-148b-3p:MIMAT0000759:Homo:sapiens:miR-148b-3p	146	16272	16272.0	6146.0
hsa-miR-615-3p:MIMAT0003283:Homo:sapiens:miR-615-3p	156	16091	16091.0	6710.0
hsa-miR-345-5p:MIMAT0000772:Homo:sapiens:miR-345-5p	152	15923	15923.0	7034.0
hsa-miR-766-5p:MIMAT0022714:Homo:sapiens:miR-766-5p	150	15874	15874.0	7317.0
hsa-miR-224-5p:MIMAT0000281:Homo:sapiens:miR-224-5p	140	15631	15631.0	6174.0
hsa-miR-302b-3p:MIMAT0000715:Homo:sapiens:miR-302b-3p	169	15605	15605.0	7973.0
hsa-miR-126-5p:MIMAT0000444:Homo:sapiens:miR-126-5p	157	15581	15581.0	11468.0
hsa-miR-132-5p:MIMAT0004594:Homo:sapiens:miR-132-5p	210	15330	15330.0	7270.0
hsa-miR-449a:MIMAT0001541:Homo:sapiens:miR-449a	183	15330	15126.0	7502.0
hsa-miR-126-3p:MIMAT0000445:Homo:sapiens:miR-126-3p	164	14932	14932.0	7523.0
hsa-miR-532-5p:MIMAT0002888:Homo:sapiens:miR-532-5p	198	14863	14863.0	7009.0
hsa-miR-199b-3p:MIMAT0004563:Homo:sapiens:miR-199b-3p|hsa-miR-199a-3p:MIMAT0000232:Homo:sapiens:miR-199a-3p	167	14862	14862.0	6222.0
hsa-miR-301b-3p:MIMAT0004958:Homo:sapiens:miR-301b-3p	180	14767	14761.0	7156.0
hsa-miR-181a-5p:MIMAT0000256:Homo:sapiens:miR-181a-5p	224	14707	14707.0	5470.0
hsa-miR-136-3p:MIMAT0004606:Homo:sapiens:miR-136-3p	196	14691	14691.0	7262.0
hsa-miR-495-3p:MIMAT0002817:Homo:sapiens:miR-495-3p	144	14535	14535.0	4717.0
hsa-miR-17-5p:MIMAT0000070:Homo:sapiens:miR-17-5p	191	21127	14432.333333333334	6638.333333333334
hsa-miR-409-3p:MIMAT0001639:Homo:sapiens:miR-409-3p	179	14190	14190.0	6324.0
hsa-miR-3615:MIMAT0017994:Homo:sapiens:miR-3615	118	14132	14132.0	6946.0
hsa-miR-218-5p:MIMAT0000275:Homo:sapiens:miR-218-5p	128	14067	14067.0	6320.0
hsa-miR-374b-5p:MIMAT0004955:Homo:sapiens:miR-374b-5p	145	14711	13749.5	5328.166666666666
hsa-miR-196b-5p:MIMAT0001080:Homo:sapiens:miR-196b-5p	133	13526	13525.0	6996.0
hsa-miR-500a-3p:MIMAT0002871:Homo:sapiens:miR-500a-3p	164	13660	13502.5	8428.0
hsa-miR-28-3p:MIMAT0004502:Homo:sapiens:miR-28-3p	148	13467	13467.0	8807.0
hsa-miR-200c-3p:MIMAT0000617:Homo:sapiens:miR-200c-3p	173	13406	13406.0	7447.0
hsa-miR-30d-5p:MIMAT0000245:Homo:sapiens:miR-30d-5p	177	13409	13403.5	6658.5
hsa-miR-1301-3p:MIMAT0005797:Homo:sapiens:miR-1301-3p	177	13119	13119.0	6952.0
hsa-miR-29a-3p:MIMAT0000086:Homo:sapiens:miR-29a-3p	166	12822	12813.0	5986.0
hsa-miR-3929:MIMAT0018206:Homo:sapiens:miR-3929	156	12644	12644.0	6038.0
hsa-miR-942-5p:MIMAT0004985:Homo:sapiens:miR-942-5p	147	12390	12390.0	7512.0
hsa-miR-212-3p:MIMAT0000269:Homo:sapiens:miR-212-3p	113	12241	12241.0	6679.0
hsa-miR-369-5p:MIMAT0001621:Homo:sapiens:miR-369-5p	160	12178	12178.0	6040.0
hsa-let-7e-5p:MIMAT0000066:Homo:sapiens:let-7e-5p	136	12172	12125.0	5815.0
hsa-miR-302a-3p:MIMAT0000684:Homo:sapiens:miR-302a-3p	144	12114	12114.0	6736.0
hsa-miR-320a:MIMAT0000510:Homo:sapiens:miR-320a	179	14139	11981.833333333336	7415.166666666665
hsa-miR-4326:MIMAT0016888:Homo:sapiens:miR-4326	61	11964	11964.0	5001.0
hsa-miR-205-5p:MIMAT0000266:Homo:sapiens:miR-205-5p	132	11891	11891.0	5461.0
hsa-miR-34c-5p:MIMAT0000686:Homo:sapiens:miR-34c-5p	154	11738	11738.0	3930.0
hsa-miR-208a-3p:MIMAT0000241:Homo:sapiens:miR-208a-3p	118	11538	11538.0	4229.0
hsa-miR-19a-3p:MIMAT0000073:Homo:sapiens:miR-19a-3p	126	11492	11491.0	3484.0
hsa-miR-326:MIMAT0000756:Homo:sapiens:miR-326	69	11466	11466.0	3895.0
hsa-miR-338-5p:MIMAT0004701:Homo:sapiens:miR-338-5p	140	11437	11437.0	7793.0
hsa-miR-199b-5p:MIMAT0000263:Homo:sapiens:miR-199b-5p	165	11405	11403.5	5931.5
hsa-miR-425-5p:MIMAT0003393:Homo:sapiens:miR-425-5p	201	11385	11385.0	7752.0
hsa-miR-361-3p:MIMAT0004682:Homo:sapiens:miR-361-3p	137	11152	11152.0	5319.0
hsa-miR-421:MIMAT0003339:Homo:sapiens:miR-421	221	11124	11124.0	7781.0
hsa-let-7i-3p:MIMAT0004585:Homo:sapiens:let-7i-3p	124	11071	11071.0	5390.0
hsa-miR-485-5p:MIMAT0002175:Homo:sapiens:miR-485-5p	124	10977	10977.0	4134.0
hsa-miR-150-5p:MIMAT0000451:Homo:sapiens:miR-150-5p	160	10844	10844.0	6434.0
hsa-miR-139-5p:MIMAT0000250:Homo:sapiens:miR-139-5p	205	10836	10836.0	7284.0
hsa-miR-27b-3p:MIMAT0000419:Homo:sapiens:miR-27b-3p	123	10808	10728.0	6633.0
hsa-miR-497-5p:MIMAT0002820:Homo:sapiens:miR-497-5p	114	10606	10606.0	5236.0
hsa-miR-660-5p:MIMAT0003338:Homo:sapiens:miR-660-5p	174	10589	10589.0	5375.0
hsa-miR-193a-5p:MIMAT0004614:Homo:sapiens:miR-193a-5p	138	10478	10478.0	4461.0
hsa-miR-4521:MIMAT0019058:Homo:sapiens:miR-4521	155	10443	10443.0	6848.0
hsa-miR-130b-5p:MIMAT0004680:Homo:sapiens:miR-130b-5p	112	10324	10324.0	4934.0
hsa-miR-200b-3p:MIMAT0000318:Homo:sapiens:miR-200b-3p	138	10294	10294.0	5382.0
hsa-miR-10b-5p:MIMAT0000254:Homo:sapiens:miR-10b-5p	203	10156	10156.0	6687.0
hsa-miR-124-3p:MIMAT0000422:Homo:sapiens:miR-124-3p	90	10085	10085.0	6033.0
hsa-miR-151b:MIMAT0010214:Homo:sapiens:miR-151b|hsa-miR-151a-5p:MIMAT0004697:Homo:sapiens:miR-151a-5p	82	10130	10011.0	5691.0
hsa-miR-142-3p:MIMAT0000434:Homo:sapiens:miR-142-3p	139	9943	9943.0	5107.0
hsa-miR-100-5p:MIMAT0000098:Homo:sapiens:miR-100-5p	192	9768	9756.5	7068.0
hsa-miR-195-5p:MIMAT0000461:Homo:sapiens:miR-195-5p	115	9688	9688.0	5614.0
hsa-miR-30c-5p:MIMAT0000244:Homo:sapiens:miR-30c-5p	202	9529	9528.5	5872.5
hsa-miR-221-3p:MIMAT0000278:Homo:sapiens:miR-221-3p	132	9510	9510.0	4252.0
hsa-miR-342-5p:MIMAT0004694:Homo:sapiens:miR-342-5p	117	9382	9382.0	4501.0
hsa-miR-486-3p:MIMAT0004762:Homo:sapiens:miR-486-3p	99	9294	9294.0	4228.0
hsa-miR-2110:MIMAT0010133:Homo:sapiens:miR-2110	143	9283	9283.0	5757.0
hsa-miR-484:MIMAT0002174:Homo:sapiens:miR-484	122	9279	9279.0	5275.0
hsa-miR-134-5p:MIMAT0000447:Homo:sapiens:miR-134-5p	114	9208	9208.0	5137.0
hsa-miR-671-5p:MIMAT0003880:Homo:sapiens:miR-671-5p	75	9179	9179.0	3632.0
hsa-miR-320b:MIMAT0005792:Homo:sapiens:miR-320b	156	11267	9109.833333333338	5766.166666666665
hsa-miR-432-5p:MIMAT0002814:Homo:sapiens:miR-432-5p	188	9088	9088.0	7049.0
hsa-miR-4433b-5p:MIMAT0030413:Homo:sapiens:miR-4433b-5p	83	8955	8955.0	4251.0
hsa-miR-664a-5p:MIMAT0005948:Homo:sapiens:miR-664a-5p	171	8865	8865.0	5726.0
hsa-miR-141-3p:MIMAT0000432:Homo:sapiens:miR-141-3p	121	9010	8798.5	2952.5
hsa-miR-210-3p:MIMAT0000267:Homo:sapiens:miR-210-3p	127	8717	8717.0	3733.0
hsa-miR-2355-3p:MIMAT0017950:Homo:sapiens:miR-2355-3p	132	8654	8654.0	5683.0
hsa-miR-203b-5p:MIMAT0019813:Homo:sapiens:miR-203b-5p	127	8400	8400.0	6225.0
hsa-miR-223-3p:MIMAT0000280:Homo:sapiens:miR-223-3p	139	8372	8372.0	5677.0
hsa-miR-370-3p:MIMAT0000722:Homo:sapiens:miR-370-3p	101	8297	8297.0	3195.0
hsa-miR-190a-5p:MIMAT0000458:Homo:sapiens:miR-190a-5p	112	8238	8238.0	4754.0
hsa-miR-92a-3p:MIMAT0000092:Homo:sapiens:miR-92a-3p	133	8237	8237.0	4948.0
hsa-miR-451b:MIMAT0019840:Homo:sapiens:miR-451b	151	8072	8072.0	5331.0
hsa-miR-744-5p:MIMAT0004945:Homo:sapiens:miR-744-5p	170	7973	7973.0	5199.0
hsa-miR-20b-5p:MIMAT0001413:Homo:sapiens:miR-20b-5p	149	7978	7956.0	4331.0
hsa-miR-335-5p:MIMAT0000765:Homo:sapiens:miR-335-5p	144	7793	7793.0	5091.0
hsa-miR-20a-3p:MIMAT0004493:Homo:sapiens:miR-20a-3p	91	7632	7632.0	4200.0
hsa-miR-15a-5p:MIMAT0000068:Homo:sapiens:miR-15a-5p	133	7557	7557.0	3835.0
hsa-miR-3184-5p:MIMAT0015064:Homo:sapiens:miR-3184-5p	127	7482	7482.0	4145.0
hsa-miR-10a-5p:MIMAT0000253:Homo:sapiens:miR-10a-5p	167	7375	7370.5	4917.5
hsa-miR-3529-3p:MIMAT0022741:Homo:sapiens:miR-3529-3p	131	7288	7288.0	2941.0
hsa-miR-766-3p:MIMAT0003888:Homo:sapiens:miR-766-3p	113	7237	7237.0	5208.0
hsa-miR-500a-5p:MIMAT0004773:Homo:sapiens:miR-500a-5p	103	7211	7208.5	4467.5
hsa-miR-193b-5p:MIMAT0004767:Homo:sapiens:miR-193b-5p	101	7053	7053.0	3917.0
hsa-miR-154-5p:MIMAT0000452:Homo:sapiens:miR-154-5p	129	6952	6951.5	3711.5
hsa-miR-103b:MIMAT0007402:Homo:sapiens:miR-103b	128	6916	6916.0	4005.0
hsa-miR-99b-5p:MIMAT0000689:Homo:sapiens:miR-99b-5p	168	6796	6796.0	5473.0
hsa-miR-20a-5p:MIMAT0000075:Homo:sapiens:miR-20a-5p	129	6783	6759.666666666667	3463.6666666666665
hsa-miR-106a-5p:MIMAT0000103:Homo:sapiens:miR-106a-5p	142	13441	6746.833333333334	2597.833333333333
hsa-miR-106b-5p:MIMAT0000680:Homo:sapiens:miR-106b-5p	93	6694	6686.166666666667	3964.1666666666665
hsa-miR-148a-3p:MIMAT0000243:Homo:sapiens:miR-148a-3p	109	6368	6368.0	4011.0
hsa-miR-143-3p:MIMAT0000435:Homo:sapiens:miR-143-3p	87	6257	6257.0	3699.0
hsa-miR-490-3p:MIMAT0002806:Homo:sapiens:miR-490-3p	79	6252	6252.0	3081.0
hsa-miR-299-5p:MIMAT0002890:Homo:sapiens:miR-299-5p	95	6234	6234.0	1911.0
hsa-miR-378d:MIMAT0018926:Homo:sapiens:miR-378d	106	6623	6168.999999999998	3150.333333333334
hsa-miR-129-1-3p:MIMAT0004548:Homo:sapiens:miR-129-1-3p	77	6158	6145.5	2458.5
hsa-miR-136-5p:MIMAT0000448:Homo:sapiens:miR-136-5p	131	5996	5996.0	2551.0
hsa-miR-145-5p:MIMAT0000437:Homo:sapiens:miR-145-5p	105	5991	5991.0	3867.0
hsa-miR-30b-5p:MIMAT0000420:Homo:sapiens:miR-30b-5p	107	5811	5810.0	2782.0
hsa-miR-145-3p:MIMAT0004601:Homo:sapiens:miR-145-3p	73	5794	5794.0	2548.0
hsa-miR-130a-3p:MIMAT0000425:Homo:sapiens:miR-130a-3p	124	5787	5787.0	3578.0
hsa-miR-551b-3p:MIMAT0003233:Homo:sapiens:miR-551b-3p	93	5752	5752.0	3164.0
hsa-miR-146b-5p:MIMAT0002809:Homo:sapiens:miR-146b-5p	84	5686	5685.0	3586.0
hsa-miR-330-3p:MIMAT0000751:Homo:sapiens:miR-330-3p	128	5652	5652.0	3196.0
hsa-miR-3591-3p:MIMAT0019877:Homo:sapiens:miR-3591-3p	105	5579	5579.0	3166.0
