ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-625-3p:MIMAT0004808:Homo:sapiens:miR-625-3p	594	259567	259567.0	47559.0
hsa-miR-223-5p:MIMAT0004570:Homo:sapiens:miR-223-5p	416	171626	171626.0	29734.0
hsa-miR-21-5p:MIMAT0000076:Homo:sapiens:miR-21-5p	419	156931	156931.0	31045.0
hsa-miR-151a-3p:MIMAT0000757:Homo:sapiens:miR-151a-3p	336	153710	153710.0	37949.0
hsa-miR-629-5p:MIMAT0004810:Homo:sapiens:miR-629-5p	452	147486	147486.0	27484.0
hsa-let-7f-5p:MIMAT0000067:Homo:sapiens:let-7f-5p	413	137545	137512.0	25444.5
hsa-miR-200a-3p:MIMAT0000682:Homo:sapiens:miR-200a-3p	482	132907	132689.5	24806.0
hsa-miR-1908-5p:MIMAT0007881:Homo:sapiens:miR-1908-5p	324	129259	129259.0	32636.0
hsa-miR-188-5p:MIMAT0000457:Homo:sapiens:miR-188-5p	329	120701	120701.0	16568.0
hsa-miR-576-3p:MIMAT0004796:Homo:sapiens:miR-576-3p	242	117529	117529.0	25310.0
hsa-miR-19b-3p:MIMAT0000074:Homo:sapiens:miR-19b-3p	347	108072	108071.5	16965.5
hsa-miR-4732-5p:MIMAT0019855:Homo:sapiens:miR-4732-5p	379	102168	102168.0	28775.0
hsa-miR-374a-5p:MIMAT0000727:Homo:sapiens:miR-374a-5p	365	97529	97444.5	22050.0
hsa-miR-320d:MIMAT0006764:Homo:sapiens:miR-320d	194	93272	92314.92619047617	24943.82380952381
hsa-miR-4440:MIMAT0018958:Homo:sapiens:miR-4440	354	89548	89467.0	29518.0
hsa-let-7d-3p:MIMAT0004484:Homo:sapiens:let-7d-3p	379	88095	88095.0	23870.0
hsa-miR-376a-3p:MIMAT0000729:Homo:sapiens:miR-376a-3p	237	86686	86641.5	15314.0
hsa-let-7c-5p:MIMAT0000064:Homo:sapiens:let-7c-5p	302	83761	83575.0	24671.333333333332
hsa-miR-122-5p:MIMAT0000421:Homo:sapiens:miR-122-5p	341	83372	83372.0	22190.0
hsa-miR-6852-5p:MIMAT0027604:Homo:sapiens:miR-6852-5p	220	81640	81640.0	19762.0
hsa-miR-378a-3p:MIMAT0000732:Homo:sapiens:miR-378a-3p	402	75072	74620.16666666669	25728.166666666668
hsa-miR-204-3p:MIMAT0022693:Homo:sapiens:miR-204-3p	317	72905	72905.0	17641.0
hsa-miR-185-5p:MIMAT0000455:Homo:sapiens:miR-185-5p	377	71863	71863.0	17251.0
hsa-miR-7-5p:MIMAT0000252:Homo:sapiens:miR-7-5p	341	71076	71076.0	18472.0
hsa-miR-485-3p:MIMAT0002176:Homo:sapiens:miR-485-3p	352	69708	69708.0	17716.0
hsa-miR-654-3p:MIMAT0004814:Homo:sapiens:miR-654-3p	229	69507	69507.0	10770.0
hsa-miR-129-5p:MIMAT0000242:Homo:sapiens:miR-129-5p	250	68570	68570.0	30442.0
hsa-miR-3184-3p:MIMAT0022731:Homo:sapiens:miR-3184-3p	262	67087	67087.0	17908.0
hsa-miR-148a-5p:MIMAT0004549:Homo:sapiens:miR-148a-5p	261	66005	66005.0	16615.0
hsa-miR-192-5p:MIMAT0000222:Homo:sapiens:miR-192-5p	291	65945	65851.0	18225.0
