ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-625-3p:MIMAT0004808:Homo:sapiens:miR-625-3p	470	220915	220915.0	44431.0
hsa-miR-151a-3p:MIMAT0000757:Homo:sapiens:miR-151a-3p	257	134222	134222.0	36330.0
hsa-miR-629-5p:MIMAT0004810:Homo:sapiens:miR-629-5p	321	126324	126324.0	26247.0
hsa-miR-188-5p:MIMAT0000457:Homo:sapiens:miR-188-5p	267	126004	126004.0	17400.0
hsa-miR-320d:MIMAT0006764:Homo:sapiens:miR-320d	150	122032	120548.69761904763	28809.176190476195
hsa-miR-21-5p:MIMAT0000076:Homo:sapiens:miR-21-5p	330	116989	116989.0	26906.0
hsa-miR-223-5p:MIMAT0004570:Homo:sapiens:miR-223-5p	314	110458	110458.0	23428.0
hsa-miR-1908-5p:MIMAT0007881:Homo:sapiens:miR-1908-5p	256	107546	107546.0	30891.0
hsa-miR-200a-3p:MIMAT0000682:Homo:sapiens:miR-200a-3p	368	106371	106219.0	22999.0
hsa-miR-376a-3p:MIMAT0000729:Homo:sapiens:miR-376a-3p	190	84140	84062.5	16149.0
hsa-let-7f-5p:MIMAT0000067:Homo:sapiens:let-7f-5p	277	83604	83593.5	18880.0
hsa-miR-4732-5p:MIMAT0019855:Homo:sapiens:miR-4732-5p	303	71984	71984.0	24235.0
hsa-miR-374a-5p:MIMAT0000727:Homo:sapiens:miR-374a-5p	291	72024	71967.33333333334	19403.5
hsa-miR-6852-5p:MIMAT0027604:Homo:sapiens:miR-6852-5p	184	71519	71519.0	19415.0
hsa-miR-4440:MIMAT0018958:Homo:sapiens:miR-4440	286	71005	70562.0	25127.5
hsa-miR-576-3p:MIMAT0004796:Homo:sapiens:miR-576-3p	185	69608	69608.0	19398.0
hsa-miR-485-3p:MIMAT0002176:Homo:sapiens:miR-485-3p	321	62941	62941.0	17510.0
hsa-miR-204-3p:MIMAT0022693:Homo:sapiens:miR-204-3p	225	62628	62628.0	17721.0
hsa-miR-129-5p:MIMAT0000242:Homo:sapiens:miR-129-5p	219	62045	62045.0	29395.0
hsa-miR-378a-3p:MIMAT0000732:Homo:sapiens:miR-378a-3p	294	61483	60673.33333333336	22874.000000000004
hsa-miR-185-5p:MIMAT0000455:Homo:sapiens:miR-185-5p	278	60464	60464.0	16104.0
hsa-miR-885-5p:MIMAT0004947:Homo:sapiens:miR-885-5p	277	60012	60012.0	14643.0
hsa-let-7d-3p:MIMAT0004484:Homo:sapiens:let-7d-3p	293	58704	58704.0	20258.0
hsa-miR-192-5p:MIMAT0000222:Homo:sapiens:miR-192-5p	228	58293	58181.5	17931.0
hsa-miR-19b-3p:MIMAT0000074:Homo:sapiens:miR-19b-3p	258	58144	58144.0	11827.0
hsa-miR-26b-5p:MIMAT0000083:Homo:sapiens:miR-26b-5p	179	56733	56733.0	23546.0
hsa-miR-122-5p:MIMAT0000421:Homo:sapiens:miR-122-5p	242	54054	54054.0	17093.0
hsa-miR-433-3p:MIMAT0001627:Homo:sapiens:miR-433-3p	249	54041	54041.0	24443.0
hsa-let-7c-5p:MIMAT0000064:Homo:sapiens:let-7c-5p	231	54035	53881.33333333333	19696.333333333332
hsa-miR-654-3p:MIMAT0004814:Homo:sapiens:miR-654-3p	198	51164	51164.0	9532.0
hsa-miR-584-5p:MIMAT0003249:Homo:sapiens:miR-584-5p	283	50783	50783.0	26643.0
hsa-miR-499b-3p:MIMAT0019898:Homo:sapiens:miR-499b-3p	223	50281	50281.0	13670.0
hsa-miR-148a-5p:MIMAT0004549:Homo:sapiens:miR-148a-5p	197	47559	47559.0	14234.0
hsa-miR-15b-5p:MIMAT0000417:Homo:sapiens:miR-15b-5p	258	47196	47196.0	17527.0
hsa-miR-450a-5p:MIMAT0001545:Homo:sapiens:miR-450a-5p	267	46767	46767.0	13698.0
hsa-miR-23b-3p:MIMAT0000418:Homo:sapiens:miR-23b-3p	188	46671	46532.0	20073.5
hsa-miR-7-5p:MIMAT0000252:Homo:sapiens:miR-7-5p	277	45010	45010.0	14336.0
hsa-miR-191-5p:MIMAT0000440:Homo:sapiens:miR-191-5p	296	44039	44039.0	14400.0
hsa-miR-101-3p:MIMAT0000099:Homo:sapiens:miR-101-3p	148	43374	43374.0	11404.0
hsa-miR-144-5p:MIMAT0004600:Homo:sapiens:miR-144-5p	196	41157	41157.0	11016.0
hsa-miR-3184-3p:MIMAT0022731:Homo:sapiens:miR-3184-3p	188	37499	37499.0	13606.0
