ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-let-7g-5p:MIMAT0000414:Homo:sapiens:let-7g-5p	382	375839	375839.0	29505.0
hsa-miR-30a-5p:MIMAT0000087:Homo:sapiens:miR-30a-5p	449	338708	338591.0	39072.0
hsa-miR-196b-5p:MIMAT0001080:Homo:sapiens:miR-196b-5p	359	337429	337424.5	38493.5
hsa-miR-323a-3p:MIMAT0000755:Homo:sapiens:miR-323a-3p	234	337304	337228.0	27194.5
hsa-miR-1307-3p:MIMAT0005951:Homo:sapiens:miR-1307-3p	484	335740	335740.0	56360.0
hsa-miR-132-5p:MIMAT0004594:Homo:sapiens:miR-132-5p	466	335495	335495.0	38140.0
hsa-miR-200c-3p:MIMAT0000617:Homo:sapiens:miR-200c-3p	454	315559	315559.0	41791.0
hsa-miR-302a-3p:MIMAT0000684:Homo:sapiens:miR-302a-3p	403	310445	310443.0	44234.0
hsa-miR-181a-5p:MIMAT0000256:Homo:sapiens:miR-181a-5p	508	307544	307544.0	31456.0
hsa-miR-543:MIMAT0004954:Homo:sapiens:miR-543	347	291696	291696.0	26086.0
hsa-miR-342-5p:MIMAT0004694:Homo:sapiens:miR-342-5p	363	278014	278014.0	31492.0
hsa-miR-25-3p:MIMAT0000081:Homo:sapiens:miR-25-3p	344	249415	249415.0	41113.0
hsa-miR-221-3p:MIMAT0000278:Homo:sapiens:miR-221-3p	344	242232	242232.0	25233.0
hsa-miR-432-5p:MIMAT0002814:Homo:sapiens:miR-432-5p	423	241211	241211.0	65515.0
hsa-miR-10a-5p:MIMAT0000253:Homo:sapiens:miR-10a-5p	401	233739	233718.5	47395.5
hsa-miR-660-5p:MIMAT0003338:Homo:sapiens:miR-660-5p	410	225537	225537.0	30680.0
hsa-miR-369-3p:MIMAT0000721:Homo:sapiens:miR-369-3p	210	225428	225428.0	23048.0
hsa-miR-409-3p:MIMAT0001639:Homo:sapiens:miR-409-3p	366	215635	215635.0	29242.0
hsa-miR-28-3p:MIMAT0004502:Homo:sapiens:miR-28-3p	312	214422	214422.0	46890.0
hsa-miR-132-3p:MIMAT0000426:Homo:sapiens:miR-132-3p	333	198303	198303.0	32595.0
hsa-let-7e-5p:MIMAT0000066:Homo:sapiens:let-7e-5p	256	177682	177505.5	24982.0
hsa-miR-130b-5p:MIMAT0004680:Homo:sapiens:miR-130b-5p	233	173961	173961.0	27068.0
hsa-miR-15b-3p:MIMAT0004586:Homo:sapiens:miR-15b-3p	264	160401	160401.0	17168.0
hsa-miR-20a-3p:MIMAT0004493:Homo:sapiens:miR-20a-3p	271	157515	157515.0	28956.0
hsa-miR-323b-3p:MIMAT0015050:Homo:sapiens:miR-323b-3p	315	150444	150368.5	36616.0
hsa-miR-103b:MIMAT0007402:Homo:sapiens:miR-103b	315	145088	145088.0	22204.0
hsa-miR-4433b-3p:MIMAT0030414:Homo:sapiens:miR-4433b-3p	223	136435	136435.0	28376.0
hsa-miR-671-5p:MIMAT0003880:Homo:sapiens:miR-671-5p	181	136356	136356.0	16476.0
hsa-miR-1306-5p:MIMAT0022726:Homo:sapiens:miR-1306-5p	259	132339	132339.0	17510.0
hsa-miR-301a-3p:MIMAT0000688:Homo:sapiens:miR-301a-3p	337	130390	130334.5	33326.0
hsa-miR-193b-5p:MIMAT0004767:Homo:sapiens:miR-193b-5p	297	125272	125271.0	17755.0
hsa-miR-4433a-3p:MIMAT0018949:Homo:sapiens:miR-4433a-3p	215	118397	118397.0	18705.0
hsa-miR-532-5p:MIMAT0002888:Homo:sapiens:miR-532-5p	346	112828	112828.0	19972.0
hsa-miR-18a-3p:MIMAT0002891:Homo:sapiens:miR-18a-3p	235	112678	112678.0	21432.0
hsa-miR-92a-3p:MIMAT0000092:Homo:sapiens:miR-92a-3p	256	110498	110497.5	17948.5
hsa-miR-142-5p:MIMAT0000433:Homo:sapiens:miR-142-5p	189	109790	109790.0	27910.0
hsa-miR-30d-5p:MIMAT0000245:Homo:sapiens:miR-30d-5p	331	107269	107152.0	20973.0
hsa-miR-193a-5p:MIMAT0004614:Homo:sapiens:miR-193a-5p	262	106236	106236.0	14085.0
hsa-miR-140-3p:MIMAT0004597:Homo:sapiens:miR-140-3p	213	104390	104390.0	17844.0
hsa-miR-338-5p:MIMAT0004701:Homo:sapiens:miR-338-5p	205	100009	100009.0	24918.0
hsa-miR-486-3p:MIMAT0004762:Homo:sapiens:miR-486-3p	181	94109	94109.0	14302.0
hsa-miR-652-3p:MIMAT0003322:Homo:sapiens:miR-652-3p	260	93518	93518.0	21004.0
hsa-miR-139-5p:MIMAT0000250:Homo:sapiens:miR-139-5p	341	89479	89479.0	23476.0
hsa-miR-136-3p:MIMAT0004606:Homo:sapiens:miR-136-3p	261	88542	88542.0	20637.0
hsa-miR-320c:MIMAT0005793:Homo:sapiens:miR-320c	159	90383	88412.71666666669	21974.466666666664
hsa-miR-339-5p:MIMAT0000764:Homo:sapiens:miR-339-5p	219	86229	86229.0	13981.0
hsa-miR-199b-5p:MIMAT0000263:Homo:sapiens:miR-199b-5p	249	86195	86185.0	19331.0
hsa-miR-4326:MIMAT0016888:Homo:sapiens:miR-4326	86	82806	82806.0	10660.0
hsa-miR-200b-3p:MIMAT0000318:Homo:sapiens:miR-200b-3p	245	82307	82307.0	15218.0
hsa-miR-664a-5p:MIMAT0005948:Homo:sapiens:miR-664a-5p	283	79079	79079.0	20685.0
hsa-miR-449a:MIMAT0001541:Homo:sapiens:miR-449a	256	78561	78397.0	17526.5
hsa-miR-299-5p:MIMAT0002890:Homo:sapiens:miR-299-5p	170	76394	76394.0	8348.0
hsa-miR-3529-3p:MIMAT0022741:Homo:sapiens:miR-3529-3p	209	76234	76234.0	11808.0
hsa-miR-30b-5p:MIMAT0000420:Homo:sapiens:miR-30b-5p	281	74482	74451.66666666666	19879.166666666664
hsa-miR-340-5p:MIMAT0004692:Homo:sapiens:miR-340-5p	214	73393	73393.0	17629.0
hsa-miR-1-3p:MIMAT0000416:Homo:sapiens:miR-1-3p	226	72870	72870.0	18535.0
hsa-miR-625-3p:MIMAT0004808:Homo:sapiens:miR-625-3p	207	72841	72841.0	18037.0
hsa-miR-9-5p:MIMAT0000441:Homo:sapiens:miR-9-5p	343	72192	72192.0	27520.0
hsa-miR-126-3p:MIMAT0000445:Homo:sapiens:miR-126-3p	243	71776	71776.0	16238.0
hsa-miR-615-3p:MIMAT0003283:Homo:sapiens:miR-615-3p	176	70447	70447.0	12313.0
hsa-miR-186-5p:MIMAT0000456:Homo:sapiens:miR-186-5p	207	70208	70208.0	13769.0
hsa-miR-4521:MIMAT0019058:Homo:sapiens:miR-4521	236	63745	63745.0	20001.0
hsa-miR-143-3p:MIMAT0000435:Homo:sapiens:miR-143-3p	174	62906	62906.0	16949.0
hsa-miR-499a-5p:MIMAT0002870:Homo:sapiens:miR-499a-5p	129	62667	62667.0	8991.0
hsa-miR-20a-5p:MIMAT0000075:Homo:sapiens:miR-20a-5p	259	62695	62610.333333333336	12450.833333333334
hsa-miR-155-5p:MIMAT0000646:Homo:sapiens:miR-155-5p	322	61699	61699.0	23058.0
hsa-miR-425-5p:MIMAT0003393:Homo:sapiens:miR-425-5p	283	59987	59987.0	19266.0
hsa-miR-378e:MIMAT0018927:Homo:sapiens:miR-378e	93	58417	58331.416666666664	8609.016666666666
hsa-miR-193b-3p:MIMAT0002819:Homo:sapiens:miR-193b-3p	226	57696	57696.0	18362.0
hsa-miR-98-5p:MIMAT0000096:Homo:sapiens:miR-98-5p	178	57610	57610.0	12950.0
hsa-miR-1246:MIMAT0005898:Homo:sapiens:miR-1246	53	56722	56722.0	12966.0
hsa-miR-22-3p:MIMAT0000077:Homo:sapiens:miR-22-3p	202	56650	56650.0	14135.0
hsa-miR-769-5p:MIMAT0003886:Homo:sapiens:miR-769-5p	123	55444	55444.0	10739.0
hsa-miR-335-5p:MIMAT0000765:Homo:sapiens:miR-335-5p	251	55433	55433.0	17552.0
hsa-miR-346:MIMAT0000773:Homo:sapiens:miR-346	299	55277	55277.0	17599.0
hsa-miR-126-5p:MIMAT0000444:Homo:sapiens:miR-126-5p	243	55025	55025.0	24446.0
hsa-miR-130a-3p:MIMAT0000425:Homo:sapiens:miR-130a-3p	308	55001	55001.0	20786.0
hsa-miR-28-5p:MIMAT0000085:Homo:sapiens:miR-28-5p	176	54997	54995.0	14318.0
hsa-miR-203b-5p:MIMAT0019813:Homo:sapiens:miR-203b-5p	229	54307	54307.0	27933.0
hsa-miR-576-3p:MIMAT0004796:Homo:sapiens:miR-576-3p	160	54126	54126.0	12162.0
hsa-miR-222-3p:MIMAT0000279:Homo:sapiens:miR-222-3p	137	53543	53543.0	9593.0
hsa-miR-301b-3p:MIMAT0004958:Homo:sapiens:miR-301b-3p	232	52415	52359.5	17318.0
hsa-miR-15a-5p:MIMAT0000068:Homo:sapiens:miR-15a-5p	216	51790	51790.0	12145.0
hsa-miR-450b-5p:MIMAT0004909:Homo:sapiens:miR-450b-5p	183	51733	51733.0	17859.0
hsa-let-7a-5p:MIMAT0000062:Homo:sapiens:let-7a-5p	190	50780	50538.166666666664	10080.666666666666
hsa-let-7f-5p:MIMAT0000067:Homo:sapiens:let-7f-5p	192	50359	50354.5	8612.0
hsa-miR-7-5p:MIMAT0000252:Homo:sapiens:miR-7-5p	210	50324	50324.0	10205.0
hsa-miR-182-5p:MIMAT0000259:Homo:sapiens:miR-182-5p	250	48864	48864.0	15918.0
hsa-miR-128-3p:MIMAT0000424:Homo:sapiens:miR-128-3p	144	48862	48862.0	9663.0
hsa-miR-218-5p:MIMAT0000275:Homo:sapiens:miR-218-5p	157	47952	47952.0	14926.0
hsa-miR-374a-5p:MIMAT0000727:Homo:sapiens:miR-374a-5p	181	47385	47355.0	7155.5
hsa-miR-185-3p:MIMAT0004611:Homo:sapiens:miR-185-3p	138	47016	47016.0	12016.0
hsa-miR-363-3p:MIMAT0000707:Homo:sapiens:miR-363-3p	202	46012	46012.0	14452.0
hsa-miR-361-3p:MIMAT0004682:Homo:sapiens:miR-361-3p	204	45496	45496.0	9447.0
hsa-miR-210-3p:MIMAT0000267:Homo:sapiens:miR-210-3p	199	45405	45405.0	8711.0
hsa-miR-766-5p:MIMAT0022714:Homo:sapiens:miR-766-5p	164	44829	44829.0	11571.0
hsa-miR-148a-5p:MIMAT0004549:Homo:sapiens:miR-148a-5p	165	44364	44364.0	8673.0
hsa-miR-629-5p:MIMAT0004810:Homo:sapiens:miR-629-5p	136	43769	43768.5	8909.5
hsa-miR-212-3p:MIMAT0000269:Homo:sapiens:miR-212-3p	149	43710	43710.0	10664.0
hsa-miR-433-3p:MIMAT0001627:Homo:sapiens:miR-433-3p	159	41713	41713.0	13429.0
hsa-miR-411-5p:MIMAT0003329:Homo:sapiens:miR-411-5p	213	41520	41520.0	12155.0
hsa-miR-23b-3p:MIMAT0000418:Homo:sapiens:miR-23b-3p	146	40932	40888.0	13091.5
hsa-miR-424-3p:MIMAT0004749:Homo:sapiens:miR-424-3p	173	40749	40749.0	9211.0
hsa-let-7c-5p:MIMAT0000064:Homo:sapiens:let-7c-5p	167	40589	40480.166666666664	11302.666666666666
hsa-let-7b-5p:MIMAT0000063:Homo:sapiens:let-7b-5p	203	40166	40134.666666666664	13461.166666666666
hsa-miR-6852-5p:MIMAT0027604:Homo:sapiens:miR-6852-5p	122	39054	39054.0	9920.0
hsa-miR-369-5p:MIMAT0001621:Homo:sapiens:miR-369-5p	199	39048	39048.0	10866.0
hsa-miR-654-3p:MIMAT0004814:Homo:sapiens:miR-654-3p	149	38538	38538.0	6461.0
hsa-miR-3615:MIMAT0017994:Homo:sapiens:miR-3615	131	38460	38460.0	11824.0
hsa-miR-942-5p:MIMAT0004985:Homo:sapiens:miR-942-5p	174	38248	38248.0	13892.0
hsa-miR-99a-5p:MIMAT0000097:Homo:sapiens:miR-99a-5p	242	38077	38056.0	12856.5
hsa-miR-1908-5p:MIMAT0007881:Homo:sapiens:miR-1908-5p	125	37503	37503.0	11120.0
hsa-miR-499b-3p:MIMAT0019898:Homo:sapiens:miR-499b-3p	135	36844	36844.0	6941.0
hsa-miR-376a-3p:MIMAT0000729:Homo:sapiens:miR-376a-3p	112	36698	36686.5	6096.0
hsa-miR-485-3p:MIMAT0002176:Homo:sapiens:miR-485-3p	183	36623	36623.0	8809.0
hsa-miR-21-5p:MIMAT0000076:Homo:sapiens:miR-21-5p	183	36326	36326.0	8280.0
hsa-miR-29b-3p:MIMAT0000100:Homo:sapiens:miR-29b-3p	213	36155	36141.5	17711.5
hsa-miR-24-3p:MIMAT0000080:Homo:sapiens:miR-24-3p	129	35621	35621.0	6646.0
hsa-miR-7706:MIMAT0030021:Homo:sapiens:miR-7706	253	35602	35602.0	10671.0
hsa-let-7d-3p:MIMAT0004484:Homo:sapiens:let-7d-3p	165	35354	35354.0	9635.0
hsa-miR-223-5p:MIMAT0004570:Homo:sapiens:miR-223-5p	161	35131	35131.0	8208.0
hsa-miR-195-5p:MIMAT0000461:Homo:sapiens:miR-195-5p	136	35079	35079.0	10390.0
hsa-miR-122-5p:MIMAT0000421:Homo:sapiens:miR-122-5p	174	34982	34982.0	9593.0
hsa-miR-532-3p:MIMAT0004780:Homo:sapiens:miR-532-3p	193	33630	33630.0	14706.0
hsa-miR-320d:MIMAT0006764:Homo:sapiens:miR-320d	66	33992	33466.1	11429.183333333334
hsa-miR-455-3p:MIMAT0004784:Homo:sapiens:miR-455-3p	138	33149	33149.0	7043.0
hsa-miR-483-5p:MIMAT0004761:Homo:sapiens:miR-483-5p	169	33062	33062.0	9484.0
hsa-miR-495-3p:MIMAT0002817:Homo:sapiens:miR-495-3p	164	32894	32894.0	5627.0
hsa-miR-197-3p:MIMAT0000227:Homo:sapiens:miR-197-3p	151	32387	32387.0	14105.0
hsa-miR-4732-5p:MIMAT0019855:Homo:sapiens:miR-4732-5p	187	31438	31438.0	8214.0
hsa-miR-374b-5p:MIMAT0004955:Homo:sapiens:miR-374b-5p	157	32421	30986.5	6902.5
hsa-miR-1301-3p:MIMAT0005797:Homo:sapiens:miR-1301-3p	207	30968	30968.0	9500.0
hsa-miR-27b-3p:MIMAT0000419:Homo:sapiens:miR-27b-3p	142	30916	30878.5	10219.0
hsa-miR-29a-5p:MIMAT0004503:Homo:sapiens:miR-29a-5p	204	30727	30727.0	11745.0
hsa-miR-184:MIMAT0000454:Homo:sapiens:miR-184	213	29873	29873.0	10663.0
hsa-miR-30e-3p:MIMAT0000693:Homo:sapiens:miR-30e-3p	207	29772	29765.0	15560.0
hsa-miR-181b-5p:MIMAT0000257:Homo:sapiens:miR-181b-5p	200	29477	29477.0	6175.0
hsa-miR-151a-3p:MIMAT0000757:Homo:sapiens:miR-151a-3p	121	29255	29255.0	9524.0
hsa-miR-362-3p:MIMAT0004683:Homo:sapiens:miR-362-3p	184	28815	28815.0	6106.0
hsa-miR-200a-3p:MIMAT0000682:Homo:sapiens:miR-200a-3p	192	28694	28644.5	6520.0
hsa-miR-4440:MIMAT0018958:Homo:sapiens:miR-4440	181	27892	27836.5	10824.5
hsa-miR-497-5p:MIMAT0002820:Homo:sapiens:miR-497-5p	131	26838	26838.0	8004.0
hsa-miR-129-5p:MIMAT0000242:Homo:sapiens:miR-129-5p	131	26763	26763.0	12392.0
hsa-miR-19a-3p:MIMAT0000073:Homo:sapiens:miR-19a-3p	143	26560	26560.0	4654.0
hsa-miR-142-3p:MIMAT0000434:Homo:sapiens:miR-142-3p	173	26532	26532.0	7736.0
hsa-miR-324-5p:MIMAT0000761:Homo:sapiens:miR-324-5p	190	26490	26490.0	8881.0
hsa-miR-17-5p:MIMAT0000070:Homo:sapiens:miR-17-5p	200	38033	25466.333333333332	7374.833333333333
hsa-miR-1180-3p:MIMAT0005825:Homo:sapiens:miR-1180-3p	218	25393	25393.0	8683.0
hsa-miR-1273a:MIMAT0005926:Homo:sapiens:miR-1273a	210	25201	25201.0	5608.0
hsa-miR-148b-3p:MIMAT0000759:Homo:sapiens:miR-148b-3p	136	25069	25069.0	5643.0
hsa-miR-29a-3p:MIMAT0000086:Homo:sapiens:miR-29a-3p	175	24736	24723.0	7245.0
hsa-miR-30c-5p:MIMAT0000244:Homo:sapiens:miR-30c-5p	239	24656	24655.0	11551.0
hsa-miR-103a-3p:MIMAT0000101:Homo:sapiens:miR-103a-3p	193	24467	24318.0	5385.0
hsa-miR-362-5p:MIMAT0000705:Homo:sapiens:miR-362-5p	205	24107	24107.0	8781.0
hsa-miR-224-5p:MIMAT0000281:Homo:sapiens:miR-224-5p	115	24082	24082.0	5969.0
hsa-let-7a-3p:MIMAT0004481:Homo:sapiens:let-7a-3p	102	23910	23910.0	12472.0
hsa-miR-340-3p:MIMAT0000750:Homo:sapiens:miR-340-3p	185	23669	23669.0	11872.0
hsa-miR-145-3p:MIMAT0004601:Homo:sapiens:miR-145-3p	95	23620	23620.0	4302.0
hsa-miR-139-3p:MIMAT0004552:Homo:sapiens:miR-139-3p	176	23487	23487.0	7554.0
hsa-miR-421:MIMAT0003339:Homo:sapiens:miR-421	229	22890	22890.0	10464.0
hsa-miR-425-3p:MIMAT0001343:Homo:sapiens:miR-425-3p	190	22741	22741.0	9087.0
hsa-miR-744-5p:MIMAT0004945:Homo:sapiens:miR-744-5p	208	22518	22518.0	8076.0
hsa-miR-2355-3p:MIMAT0017950:Homo:sapiens:miR-2355-3p	136	22458	22458.0	8225.0
hsa-miR-185-5p:MIMAT0000455:Homo:sapiens:miR-185-5p	132	22403	22403.0	4007.0
