ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-323a-3p:MIMAT0000755:Homo:sapiens:miR-323a-3p	307	297940	297909.0	24996.5
hsa-miR-346:MIMAT0000773:Homo:sapiens:miR-346	376	240786	240786.0	37838.0
hsa-miR-1306-5p:MIMAT0022726:Homo:sapiens:miR-1306-5p	267	226540	226540.0	23404.0
hsa-miR-130b-5p:MIMAT0004680:Homo:sapiens:miR-130b-5p	206	206835	206834.5	18014.5
hsa-miR-197-3p:MIMAT0000227:Homo:sapiens:miR-197-3p	226	193141	193141.0	23499.0
hsa-miR-543:MIMAT0004954:Homo:sapiens:miR-543	229	179218	179218.0	19362.0
hsa-miR-132-3p:MIMAT0000426:Homo:sapiens:miR-132-3p	267	151300	151300.0	22400.0
hsa-miR-92a-3p:MIMAT0000092:Homo:sapiens:miR-92a-3p	248	145496	145494.5	24760.5
hsa-miR-432-5p:MIMAT0002814:Homo:sapiens:miR-432-5p	251	112662	112662.0	27468.0
hsa-miR-7706:MIMAT0030021:Homo:sapiens:miR-7706	271	109834	109834.0	22147.0
hsa-miR-18a-3p:MIMAT0002891:Homo:sapiens:miR-18a-3p	209	95753	95753.0	15967.0
hsa-miR-532-3p:MIMAT0004780:Homo:sapiens:miR-532-3p	169	77033	77033.0	14189.0
hsa-miR-30b-5p:MIMAT0000420:Homo:sapiens:miR-30b-5p	158	76720	76694.5	11169.5
hsa-miR-323b-3p:MIMAT0015050:Homo:sapiens:miR-323b-3p	182	74761	74727.5	10619.0
hsa-miR-589-5p:MIMAT0004799:Homo:sapiens:miR-589-5p	161	70001	70001.0	7289.0
hsa-miR-25-3p:MIMAT0000081:Homo:sapiens:miR-25-3p	182	65251	65251.0	15172.0
hsa-miR-30d-5p:MIMAT0000245:Homo:sapiens:miR-30d-5p	189	64834	64813.5	9647.0
hsa-miR-302a-3p:MIMAT0000684:Homo:sapiens:miR-302a-3p	142	63050	63050.0	10452.0
hsa-miR-299-5p:MIMAT0002890:Homo:sapiens:miR-299-5p	150	61434	61434.0	7065.0
hsa-miR-200b-3p:MIMAT0000318:Homo:sapiens:miR-200b-3p	171	60910	60909.5	11452.5
hsa-miR-338-5p:MIMAT0004701:Homo:sapiens:miR-338-5p	137	60107	60107.0	11494.0
hsa-miR-28-3p:MIMAT0004502:Homo:sapiens:miR-28-3p	152	56680	56680.0	11225.0
hsa-miR-10a-5p:MIMAT0000253:Homo:sapiens:miR-10a-5p	182	54105	54103.0	7150.5
hsa-miR-501-3p:MIMAT0004774:Homo:sapiens:miR-501-3p	146	52656	52646.5	9317.5
hsa-let-7a-3p:MIMAT0004481:Homo:sapiens:let-7a-3p	118	52564	52563.5	7374.5
hsa-miR-92b-3p:MIMAT0003218:Homo:sapiens:miR-92b-3p	137	45310	45310.0	11226.0
hsa-miR-3529-3p:MIMAT0022741:Homo:sapiens:miR-3529-3p	121	43695	43695.0	6863.0
hsa-let-7b-5p:MIMAT0000063:Homo:sapiens:let-7b-5p	138	42333	42237.666666666664	10216.333333333334
hsa-miR-4440:MIMAT0018958:Homo:sapiens:miR-4440	139	42210	42161.0	9185.0
hsa-miR-339-5p:MIMAT0000764:Homo:sapiens:miR-339-5p	126	42004	42004.0	6251.0
hsa-miR-409-3p:MIMAT0001639:Homo:sapiens:miR-409-3p	143	41626	41626.0	7883.0
hsa-miR-885-5p:MIMAT0004947:Homo:sapiens:miR-885-5p	115	40383	40383.0	9354.0
hsa-let-7d-3p:MIMAT0004484:Homo:sapiens:let-7d-3p	149	40254	40254.0	8252.0
hsa-miR-485-5p:MIMAT0002175:Homo:sapiens:miR-485-5p	136	39220	39220.0	10468.0
hsa-miR-574-3p:MIMAT0003239:Homo:sapiens:miR-574-3p	154	39058	39058.0	6636.0
hsa-miR-182-5p:MIMAT0000259:Homo:sapiens:miR-182-5p	143	38600	38600.0	9630.0
hsa-miR-103b:MIMAT0007402:Homo:sapiens:miR-103b	159	36640	36640.0	7044.0
hsa-miR-200c-3p:MIMAT0000617:Homo:sapiens:miR-200c-3p	148	34324	34323.5	8567.5
hsa-miR-3615:MIMAT0017994:Homo:sapiens:miR-3615	94	33275	33275.0	5007.0
hsa-miR-625-3p:MIMAT0004808:Homo:sapiens:miR-625-3p	124	32578	32578.0	4919.0
