ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-7706:MIMAT0030021:Homo:sapiens:miR-7706	378	314233	314233.0	35738.0
hsa-miR-10a-5p:MIMAT0000253:Homo:sapiens:miR-10a-5p	275	278487	278452.5	29306.0
hsa-miR-486-5p:MIMAT0002177:Homo:sapiens:miR-486-5p	283	235494	235494.0	31565.0
hsa-miR-1306-5p:MIMAT0022726:Homo:sapiens:miR-1306-5p	196	234378	234378.0	10632.0
hsa-miR-4433b-3p:MIMAT0030414:Homo:sapiens:miR-4433b-3p	153	226011	226011.0	29518.0
hsa-miR-1307-3p:MIMAT0005951:Homo:sapiens:miR-1307-3p	271	215425	215425.0	43018.0
hsa-miR-30a-5p:MIMAT0000087:Homo:sapiens:miR-30a-5p	218	208705	208580.5	37675.5
hsa-miR-28-3p:MIMAT0004502:Homo:sapiens:miR-28-3p	177	201774	201774.0	25028.0
hsa-let-7g-5p:MIMAT0000414:Homo:sapiens:let-7g-5p	212	201620	201620.0	25787.0
hsa-miR-532-5p:MIMAT0002888:Homo:sapiens:miR-532-5p	284	197253	197253.0	28948.0
hsa-miR-4433a-3p:MIMAT0018949:Homo:sapiens:miR-4433a-3p	141	176042	176042.0	28766.0
hsa-miR-323a-3p:MIMAT0000755:Homo:sapiens:miR-323a-3p	191	169709	169610.0	24706.5
hsa-miR-143-3p:MIMAT0000435:Homo:sapiens:miR-143-3p	148	153579	153579.0	23048.0
hsa-miR-140-3p:MIMAT0004597:Homo:sapiens:miR-140-3p	158	147913	147912.0	22792.5
hsa-miR-543:MIMAT0004954:Homo:sapiens:miR-543	195	146103	146103.0	18125.0
hsa-miR-132-5p:MIMAT0004594:Homo:sapiens:miR-132-5p	174	131313	131313.0	18256.0
hsa-miR-130b-5p:MIMAT0004680:Homo:sapiens:miR-130b-5p	141	130915	130915.0	15518.0
hsa-let-7e-5p:MIMAT0000066:Homo:sapiens:let-7e-5p	177	128983	128657.0	24010.0
hsa-miR-342-5p:MIMAT0004694:Homo:sapiens:miR-342-5p	186	126777	126777.0	20327.0
hsa-miR-660-5p:MIMAT0003338:Homo:sapiens:miR-660-5p	172	116554	116554.0	18369.0
hsa-miR-92a-3p:MIMAT0000092:Homo:sapiens:miR-92a-3p	143	103180	103180.0	14765.0
hsa-miR-200c-3p:MIMAT0000617:Homo:sapiens:miR-200c-3p	197	102973	102973.0	16569.0
