ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-7706:MIMAT0030021:Homo:sapiens:miR-7706	416	377671	377671.0	40451.0
hsa-miR-486-5p:MIMAT0002177:Homo:sapiens:miR-486-5p	328	377516	377516.0	40417.0
hsa-miR-10a-5p:MIMAT0000253:Homo:sapiens:miR-10a-5p	319	364528	364498.5	34361.5
hsa-miR-1307-3p:MIMAT0005951:Homo:sapiens:miR-1307-3p	339	266010	266010.0	47790.0
hsa-miR-4433b-3p:MIMAT0030414:Homo:sapiens:miR-4433b-3p	171	261130	261130.0	29905.0
hsa-miR-28-3p:MIMAT0004502:Homo:sapiens:miR-28-3p	207	259477	259477.0	28316.0
hsa-miR-1306-5p:MIMAT0022726:Homo:sapiens:miR-1306-5p	211	254714	254714.0	11292.0
hsa-miR-532-5p:MIMAT0002888:Homo:sapiens:miR-532-5p	328	250858	250858.0	33035.0
hsa-miR-30a-5p:MIMAT0000087:Homo:sapiens:miR-30a-5p	254	246885	246748.0	41719.5
hsa-let-7g-5p:MIMAT0000414:Homo:sapiens:let-7g-5p	227	238384	238384.0	27827.0
hsa-miR-4433a-3p:MIMAT0018949:Homo:sapiens:miR-4433a-3p	151	216371	216371.0	31777.0
hsa-miR-143-3p:MIMAT0000435:Homo:sapiens:miR-143-3p	147	198207	198207.0	26413.0
hsa-miR-323a-3p:MIMAT0000755:Homo:sapiens:miR-323a-3p	203	189822	189718.0	26000.5
hsa-miR-140-3p:MIMAT0004597:Homo:sapiens:miR-140-3p	157	178058	178054.5	25269.0
hsa-miR-543:MIMAT0004954:Homo:sapiens:miR-543	196	164017	164017.0	19132.0
hsa-miR-132-5p:MIMAT0004594:Homo:sapiens:miR-132-5p	203	163246	163246.0	20213.0
hsa-let-7e-5p:MIMAT0000066:Homo:sapiens:let-7e-5p	186	145063	144724.0	25442.0
hsa-miR-660-5p:MIMAT0003338:Homo:sapiens:miR-660-5p	198	142996	142996.0	20703.0
hsa-miR-130b-5p:MIMAT0004680:Homo:sapiens:miR-130b-5p	143	140162	140162.0	15756.0
hsa-miR-342-5p:MIMAT0004694:Homo:sapiens:miR-342-5p	186	137790	137790.0	20901.0
hsa-miR-92a-3p:MIMAT0000092:Homo:sapiens:miR-92a-3p	150	131467	131467.0	17003.0
hsa-miR-200c-3p:MIMAT0000617:Homo:sapiens:miR-200c-3p	212	118790	118790.0	18125.0
hsa-miR-182-5p:MIMAT0000259:Homo:sapiens:miR-182-5p	212	116982	116982.0	21550.0
hsa-miR-369-3p:MIMAT0000721:Homo:sapiens:miR-369-3p	103	112073	112073.0	11481.0
hsa-miR-30d-5p:MIMAT0000245:Homo:sapiens:miR-30d-5p	215	107074	106937.0	19011.5
hsa-miR-181a-5p:MIMAT0000256:Homo:sapiens:miR-181a-5p	280	106561	106561.0	22306.0
hsa-miR-1246:MIMAT0005898:Homo:sapiens:miR-1246	35	105690	105690.0	17473.0
