ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-7706:MIMAT0030021:Homo:sapiens:miR-7706	354	300451	300451.0	37029.0
hsa-miR-10a-5p:MIMAT0000253:Homo:sapiens:miR-10a-5p	262	281629	281607.5	30896.0
hsa-miR-486-5p:MIMAT0002177:Homo:sapiens:miR-486-5p	299	263452	263452.0	35292.0
hsa-miR-30a-5p:MIMAT0000087:Homo:sapiens:miR-30a-5p	230	232117	231993.5	37670.0
hsa-miR-1307-3p:MIMAT0005951:Homo:sapiens:miR-1307-3p	296	226474	226474.0	45905.0
hsa-miR-1306-5p:MIMAT0022726:Homo:sapiens:miR-1306-5p	194	224302	224302.0	9895.0
hsa-let-7g-5p:MIMAT0000414:Homo:sapiens:let-7g-5p	214	212660	212660.0	25561.0
hsa-miR-28-3p:MIMAT0004502:Homo:sapiens:miR-28-3p	197	206231	206231.0	27166.0
hsa-miR-532-5p:MIMAT0002888:Homo:sapiens:miR-532-5p	284	204798	204798.0	29954.0
hsa-miR-4433b-3p:MIMAT0030414:Homo:sapiens:miR-4433b-3p	139	202200	202200.0	27881.0
hsa-miR-4433a-3p:MIMAT0018949:Homo:sapiens:miR-4433a-3p	147	178012	178012.0	27521.0
hsa-miR-323a-3p:MIMAT0000755:Homo:sapiens:miR-323a-3p	190	158957	158935.5	24996.5
hsa-miR-143-3p:MIMAT0000435:Homo:sapiens:miR-143-3p	148	153385	153385.0	24334.0
hsa-miR-140-3p:MIMAT0004597:Homo:sapiens:miR-140-3p	160	150475	150475.0	23968.0
hsa-miR-543:MIMAT0004954:Homo:sapiens:miR-543	197	142899	142899.0	19162.0
hsa-miR-132-5p:MIMAT0004594:Homo:sapiens:miR-132-5p	179	131367	131367.0	19329.0
hsa-miR-130b-5p:MIMAT0004680:Homo:sapiens:miR-130b-5p	145	127776	127776.0	15806.0
hsa-miR-660-5p:MIMAT0003338:Homo:sapiens:miR-660-5p	171	123880	123880.0	18851.0
hsa-let-7e-5p:MIMAT0000066:Homo:sapiens:let-7e-5p	168	123513	123110.5	22977.5
