ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-7706:MIMAT0030021:Homo:sapiens:miR-7706	309	380182	380182.0	38497.0
hsa-miR-486-5p:MIMAT0002177:Homo:sapiens:miR-486-5p	282	374687	374687.0	39519.0
hsa-miR-10a-5p:MIMAT0000253:Homo:sapiens:miR-10a-5p	226	347488	347460.5	30769.0
hsa-miR-1307-3p:MIMAT0005951:Homo:sapiens:miR-1307-3p	289	291553	291553.0	47368.0
hsa-miR-30a-5p:MIMAT0000087:Homo:sapiens:miR-30a-5p	206	287187	287021.0	39467.0
hsa-miR-1306-5p:MIMAT0022726:Homo:sapiens:miR-1306-5p	176	269259	269259.0	10082.0
hsa-miR-28-3p:MIMAT0004502:Homo:sapiens:miR-28-3p	175	267629	267629.0	28105.0
hsa-miR-532-5p:MIMAT0002888:Homo:sapiens:miR-532-5p	251	259512	259512.0	31749.0
hsa-let-7g-5p:MIMAT0000414:Homo:sapiens:let-7g-5p	168	249077	249077.0	25927.0
hsa-miR-4433b-3p:MIMAT0030414:Homo:sapiens:miR-4433b-3p	130	212806	212806.0	27469.0
hsa-miR-323a-3p:MIMAT0000755:Homo:sapiens:miR-323a-3p	162	206005	205972.0	25560.0
hsa-miR-143-3p:MIMAT0000435:Homo:sapiens:miR-143-3p	146	200862	200862.0	25725.0
hsa-miR-140-3p:MIMAT0004597:Homo:sapiens:miR-140-3p	149	196232	196230.5	26038.5
hsa-miR-543:MIMAT0004954:Homo:sapiens:miR-543	180	176548	176548.0	19260.0
hsa-miR-4433a-3p:MIMAT0018949:Homo:sapiens:miR-4433a-3p	113	171340	171340.0	25535.0
hsa-miR-132-5p:MIMAT0004594:Homo:sapiens:miR-132-5p	151	166759	166759.0	19148.0
hsa-miR-660-5p:MIMAT0003338:Homo:sapiens:miR-660-5p	170	157084	157084.0	18991.0
hsa-miR-130b-5p:MIMAT0004680:Homo:sapiens:miR-130b-5p	122	151127	151127.0	15895.0
hsa-let-7e-5p:MIMAT0000066:Homo:sapiens:let-7e-5p	161	149212	148861.0	24065.5
hsa-miR-342-5p:MIMAT0004694:Homo:sapiens:miR-342-5p	176	148080	148080.0	21073.0
hsa-miR-92a-3p:MIMAT0000092:Homo:sapiens:miR-92a-3p	136	137478	137478.0	16307.0
hsa-miR-200c-3p:MIMAT0000617:Homo:sapiens:miR-200c-3p	177	129806	129806.0	18054.0
hsa-miR-369-3p:MIMAT0000721:Homo:sapiens:miR-369-3p	90	127521	127521.0	12097.0
hsa-miR-30d-5p:MIMAT0000245:Homo:sapiens:miR-30d-5p	171	122104	121938.0	18661.0
hsa-miR-182-5p:MIMAT0000259:Homo:sapiens:miR-182-5p	181	121407	121407.0	21071.0
hsa-miR-1246:MIMAT0005898:Homo:sapiens:miR-1246	36	116429	116429.0	18262.0
hsa-miR-181a-5p:MIMAT0000256:Homo:sapiens:miR-181a-5p	248	113526	113526.0	22626.0
hsa-miR-320c:MIMAT0005793:Homo:sapiens:miR-320c	103	102924	100068.48333333332	13370.200000000004
hsa-miR-103b:MIMAT0007402:Homo:sapiens:miR-103b	142	98067	98067.0	16472.0
hsa-miR-4440:MIMAT0018958:Homo:sapiens:miR-4440	126	95418	95062.0	17254.5
hsa-miR-6852-5p:MIMAT0027604:Homo:sapiens:miR-6852-5p	81	88597	88597.0	10228.0
hsa-miR-323b-3p:MIMAT0015050:Homo:sapiens:miR-323b-3p	155	87001	86968.0	12533.0
hsa-miR-486-3p:MIMAT0004762:Homo:sapiens:miR-486-3p	104	84404	84404.0	17533.0
hsa-miR-378c:MIMAT0016847:Homo:sapiens:miR-378c	168	79620	79617.5	13611.5
hsa-miR-186-5p:MIMAT0000456:Homo:sapiens:miR-186-5p	100	78877	78877.0	11079.0
hsa-miR-942-5p:MIMAT0004985:Homo:sapiens:miR-942-5p	115	76196	76196.0	9215.0
hsa-miR-378a-3p:MIMAT0000732:Homo:sapiens:miR-378a-3p	113	76030	75691.25	15695.083333333332
hsa-miR-10b-5p:MIMAT0000254:Homo:sapiens:miR-10b-5p	134	74939	74912.5	9680.0
hsa-miR-212-3p:MIMAT0000269:Homo:sapiens:miR-212-3p	87	68730	68730.0	8338.0
hsa-miR-346:MIMAT0000773:Homo:sapiens:miR-346	170	67580	67580.0	10031.0
hsa-let-7a-3p:MIMAT0004481:Homo:sapiens:let-7a-3p	81	59498	59498.0	14086.0
hsa-miR-320b:MIMAT0005792:Homo:sapiens:miR-320b	137	59672	56754.583333333336	13126.750000000004
hsa-miR-483-5p:MIMAT0004761:Homo:sapiens:miR-483-5p	97	56054	56054.0	11902.0
hsa-miR-3184-3p:MIMAT0022731:Homo:sapiens:miR-3184-3p	120	54967	54967.0	12764.0
hsa-miR-1-3p:MIMAT0000416:Homo:sapiens:miR-1-3p	85	50657	50657.0	9626.0
hsa-miR-98-5p:MIMAT0000096:Homo:sapiens:miR-98-5p	113	49441	49440.333333333336	11757.333333333334
hsa-miR-302a-3p:MIMAT0000684:Homo:sapiens:miR-302a-3p	109	46941	46941.0	8670.0
hsa-let-7f-5p:MIMAT0000067:Homo:sapiens:let-7f-5p	107	45823	45791.5	10326.0
hsa-miR-193b-5p:MIMAT0004767:Homo:sapiens:miR-193b-5p	129	44060	44060.0	9334.0
hsa-miR-449a:MIMAT0001541:Homo:sapiens:miR-449a	120	43486	43438.5	12552.5
hsa-miR-490-3p:MIMAT0002806:Homo:sapiens:miR-490-3p	83	43332	43332.0	7021.0
hsa-miR-432-5p:MIMAT0002814:Homo:sapiens:miR-432-5p	173	42612	42612.0	14264.0
hsa-miR-132-3p:MIMAT0000426:Homo:sapiens:miR-132-3p	112	42434	42434.0	8776.0
hsa-miR-769-5p:MIMAT0003886:Homo:sapiens:miR-769-5p	84	42123	42123.0	10959.0
hsa-let-7a-5p:MIMAT0000062:Homo:sapiens:let-7a-5p	122	42152	41691.5	10158.666666666668
hsa-let-7b-5p:MIMAT0000063:Homo:sapiens:let-7b-5p	118	41205	41130.166666666664	12816.833333333334
hsa-let-7c-5p:MIMAT0000064:Homo:sapiens:let-7c-5p	113	40137	39979.5	11833.166666666668
hsa-miR-576-3p:MIMAT0004796:Homo:sapiens:miR-576-3p	71	39390	39390.0	9279.0
hsa-miR-409-3p:MIMAT0001639:Homo:sapiens:miR-409-3p	125	39388	39388.0	11145.0
hsa-miR-654-3p:MIMAT0004814:Homo:sapiens:miR-654-3p	82	39214	39214.0	5293.0
hsa-miR-15b-3p:MIMAT0004586:Homo:sapiens:miR-15b-3p	108	38859	38859.0	6807.0
hsa-miR-339-5p:MIMAT0000764:Homo:sapiens:miR-339-5p	116	38663	38663.0	10498.0
hsa-miR-320d:MIMAT0006764:Homo:sapiens:miR-320d	50	39205	38502.57857142857	7046.7357142857145
hsa-miR-7-5p:MIMAT0000252:Homo:sapiens:miR-7-5p	108	38103	38103.0	10061.0
hsa-miR-425-5p:MIMAT0003393:Homo:sapiens:miR-425-5p	130	37812	37812.0	4597.0
hsa-miR-378e:MIMAT0018927:Homo:sapiens:miR-378e	37	36794	36742.25	9934.5
hsa-miR-671-5p:MIMAT0003880:Homo:sapiens:miR-671-5p	94	36492	36492.0	8370.0
hsa-let-7d-3p:MIMAT0004484:Homo:sapiens:let-7d-3p	106	36061	36061.0	6756.0
hsa-miR-424-3p:MIMAT0004749:Homo:sapiens:miR-424-3p	96	35897	35897.0	5524.0
hsa-miR-148a-5p:MIMAT0004549:Homo:sapiens:miR-148a-5p	94	35417	35417.0	11108.0
hsa-miR-664a-5p:MIMAT0005948:Homo:sapiens:miR-664a-5p	123	34011	34011.0	8094.0
