ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-10a-5p:MIMAT0000253:Homo:sapiens:miR-10a-5p	329	1001580	1001472.0	0.0
hsa-miR-28-3p:MIMAT0004502:Homo:sapiens:miR-28-3p	174	759488	759488.0	0.0
hsa-miR-181a-5p:MIMAT0000256:Homo:sapiens:miR-181a-5p	266	647393	647391.5	0.0
hsa-miR-7706:MIMAT0030021:Homo:sapiens:miR-7706	307	558816	558816.0	0.0
hsa-miR-486-5p:MIMAT0002177:Homo:sapiens:miR-486-5p	267	393735	393735.0	0.0
hsa-miR-182-5p:MIMAT0000259:Homo:sapiens:miR-182-5p	209	253265	253264.5	0.0
hsa-miR-143-3p:MIMAT0000435:Homo:sapiens:miR-143-3p	129	233895	233895.0	0.0
hsa-miR-22-3p:MIMAT0000077:Homo:sapiens:miR-22-3p	127	224891	224891.0	0.0
hsa-miR-409-3p:MIMAT0001639:Homo:sapiens:miR-409-3p	169	216732	216732.0	0.0
hsa-miR-103b:MIMAT0007402:Homo:sapiens:miR-103b	146	185867	185867.0	0.0
hsa-miR-186-5p:MIMAT0000456:Homo:sapiens:miR-186-5p	110	184732	184732.0	0.0
hsa-miR-301a-3p:MIMAT0000688:Homo:sapiens:miR-301a-3p	157	149619	149550.0	0.0
hsa-miR-10b-5p:MIMAT0000254:Homo:sapiens:miR-10b-5p	177	144090	143982.0	0.0
hsa-miR-130b-5p:MIMAT0004680:Homo:sapiens:miR-130b-5p	98	143518	143518.0	0.0
hsa-miR-486-3p:MIMAT0004762:Homo:sapiens:miR-486-3p	121	138008	138008.0	0.0
hsa-miR-7974:MIMAT0031177:Homo:sapiens:miR-7974	143	136985	136985.0	0.0
hsa-miR-342-5p:MIMAT0004694:Homo:sapiens:miR-342-5p	141	114915	114915.0	0.0
hsa-miR-92a-3p:MIMAT0000092:Homo:sapiens:miR-92a-3p	133	112162	112162.0	0.0
hsa-miR-3929:MIMAT0018206:Homo:sapiens:miR-3929	145	112124	112124.0	0.0
hsa-miR-941:MIMAT0004984:Homo:sapiens:miR-941	124	111137	111136.16666666667	0.0
hsa-miR-411-5p:MIMAT0003329:Homo:sapiens:miR-411-5p	124	99307	99307.0	0.0
hsa-miR-148a-5p:MIMAT0004549:Homo:sapiens:miR-148a-5p	128	98244	98244.0	0.0
hsa-miR-769-5p:MIMAT0003886:Homo:sapiens:miR-769-5p	88	95534	95534.0	0.0
hsa-miR-423-5p:MIMAT0004748:Homo:sapiens:miR-423-5p	129	93454	93454.0	0.0
hsa-miR-136-3p:MIMAT0004606:Homo:sapiens:miR-136-3p	106	92524	92524.0	0.0
hsa-miR-192-5p:MIMAT0000222:Homo:sapiens:miR-192-5p	88	77431	77407.5	0.0
hsa-miR-485-5p:MIMAT0002175:Homo:sapiens:miR-485-5p	101	65563	65563.0	0.0
hsa-miR-1307-3p:MIMAT0005951:Homo:sapiens:miR-1307-3p	154	59990	59990.0	0.0
hsa-miR-92b-3p:MIMAT0003218:Homo:sapiens:miR-92b-3p	106	57182	57182.0	0.0
hsa-miR-1273a:MIMAT0005926:Homo:sapiens:miR-1273a	159	53061	53061.0	0.0
hsa-miR-191-5p:MIMAT0000440:Homo:sapiens:miR-191-5p	106	45442	45442.0	0.0
hsa-miR-196b-5p:MIMAT0001080:Homo:sapiens:miR-196b-5p	96	45364	45364.0	0.0
hsa-miR-500a-3p:MIMAT0002871:Homo:sapiens:miR-500a-3p	92	45024	44803.5	0.0
hsa-miR-132-5p:MIMAT0004594:Homo:sapiens:miR-132-5p	121	41601	41601.0	0.0
hsa-miR-301b-3p:MIMAT0004958:Homo:sapiens:miR-301b-3p	115	40938	40869.0	0.0
hsa-miR-215-5p:MIMAT0000272:Homo:sapiens:miR-215-5p	79	40351	40327.5	0.0
hsa-miR-378a-3p:MIMAT0000732:Homo:sapiens:miR-378a-3p	99	39496	39360.66666666668	0.0
hsa-miR-127-3p:MIMAT0000446:Homo:sapiens:miR-127-3p	102	39245	39245.0	0.0
hsa-miR-126-5p:MIMAT0000444:Homo:sapiens:miR-126-5p	90	38908	38908.0	0.0
hsa-miR-28-5p:MIMAT0000085:Homo:sapiens:miR-28-5p	83	38079	38079.0	0.0
hsa-miR-181b-5p:MIMAT0000257:Homo:sapiens:miR-181b-5p	121	37966	37966.0	0.0
hsa-let-7e-5p:MIMAT0000066:Homo:sapiens:let-7e-5p	112	36486	36453.5	0.0
hsa-miR-501-3p:MIMAT0004774:Homo:sapiens:miR-501-3p	109	36111	36102.5	0.0
hsa-miR-212-3p:MIMAT0000269:Homo:sapiens:miR-212-3p	76	35611	35611.0	0.0
