ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-625-3p:MIMAT0004808:Homo:sapiens:miR-625-3p	530	586454	586454.0	65436.0
hsa-miR-223-5p:MIMAT0004570:Homo:sapiens:miR-223-5p	356	313725	313725.0	33837.0
hsa-let-7f-5p:MIMAT0000067:Homo:sapiens:let-7f-5p	344	308646	308606.5	32283.0
hsa-miR-21-5p:MIMAT0000076:Homo:sapiens:miR-21-5p	364	290431	290431.0	34057.0
hsa-miR-629-5p:MIMAT0004810:Homo:sapiens:miR-629-5p	342	253314	253314.0	28939.0
hsa-miR-19b-3p:MIMAT0000074:Homo:sapiens:miR-19b-3p	401	245832	245832.0	22627.0
hsa-miR-200a-3p:MIMAT0000682:Homo:sapiens:miR-200a-3p	405	237494	237150.0	27978.5
hsa-miR-151a-3p:MIMAT0000757:Homo:sapiens:miR-151a-3p	287	233093	233093.0	37104.0
hsa-miR-576-3p:MIMAT0004796:Homo:sapiens:miR-576-3p	249	223142	223142.0	28899.0
hsa-miR-4732-5p:MIMAT0019855:Homo:sapiens:miR-4732-5p	392	216335	216335.0	35236.0
hsa-miR-122-5p:MIMAT0000421:Homo:sapiens:miR-122-5p	322	213139	213139.0	32569.0
hsa-miR-378c:MIMAT0016847:Homo:sapiens:miR-378c	472	202529	202516.6666666667	35638.16666666667
hsa-miR-7-5p:MIMAT0000252:Homo:sapiens:miR-7-5p	366	199801	199801.0	26861.0
hsa-let-7d-3p:MIMAT0004484:Homo:sapiens:let-7d-3p	368	195560	195560.0	33770.0
hsa-miR-3184-3p:MIMAT0022731:Homo:sapiens:miR-3184-3p	313	190723	190723.0	26999.0
hsa-miR-374a-5p:MIMAT0000727:Homo:sapiens:miR-374a-5p	306	182911	182845.66666666666	19815.166666666668
hsa-miR-885-5p:MIMAT0004947:Homo:sapiens:miR-885-5p	321	178284	178284.0	26018.0
hsa-miR-185-5p:MIMAT0000455:Homo:sapiens:miR-185-5p	317	177873	177873.0	18825.0
hsa-miR-4440:MIMAT0018958:Homo:sapiens:miR-4440	361	164449	164147.5	34958.0
hsa-miR-1908-5p:MIMAT0007881:Homo:sapiens:miR-1908-5p	267	163439	163439.0	29547.0
hsa-miR-378a-3p:MIMAT0000732:Homo:sapiens:miR-378a-3p	393	161559	160950.0833333334	29970.083333333325
hsa-miR-148a-5p:MIMAT0004549:Homo:sapiens:miR-148a-5p	237	146346	146346.0	20250.0
hsa-miR-6852-5p:MIMAT0027604:Homo:sapiens:miR-6852-5p	208	141588	141588.0	23554.0
hsa-let-7c-5p:MIMAT0000064:Homo:sapiens:let-7c-5p	271	140048	139822.5	29072.166666666664
hsa-miR-451a:MIMAT0001631:Homo:sapiens:miR-451a	352	136828	136828.0	28121.0
hsa-miR-654-3p:MIMAT0004814:Homo:sapiens:miR-654-3p	218	130872	130872.0	14700.0
hsa-miR-188-5p:MIMAT0000457:Homo:sapiens:miR-188-5p	237	127734	127734.0	16830.0
hsa-miR-324-5p:MIMAT0000761:Homo:sapiens:miR-324-5p	357	123759	123759.0	26462.0
hsa-miR-499b-3p:MIMAT0019898:Homo:sapiens:miR-499b-3p	225	123292	123292.0	18071.0
hsa-miR-15b-5p:MIMAT0000417:Homo:sapiens:miR-15b-5p	293	115000	115000.0	22707.0
hsa-miR-192-5p:MIMAT0000222:Homo:sapiens:miR-192-5p	258	115106	114893.5	25593.0
hsa-miR-376a-3p:MIMAT0000729:Homo:sapiens:miR-376a-3p	158	114185	114139.5	13930.5
hsa-miR-144-5p:MIMAT0004600:Homo:sapiens:miR-144-5p	239	109359	109359.0	18659.0
hsa-miR-191-5p:MIMAT0000440:Homo:sapiens:miR-191-5p	373	108451	108451.0	20167.0
hsa-miR-485-3p:MIMAT0002176:Homo:sapiens:miR-485-3p	269	105402	105402.0	19076.0
hsa-miR-449b-5p:MIMAT0003327:Homo:sapiens:miR-449b-5p	278	99757	99431.0	15588.5
hsa-miR-140-5p:MIMAT0000431:Homo:sapiens:miR-140-5p	263	99319	99319.0	19994.0
hsa-miR-129-5p:MIMAT0000242:Homo:sapiens:miR-129-5p	200	94628	94628.0	29727.0
hsa-miR-98-5p:MIMAT0000096:Homo:sapiens:miR-98-5p	237	93441	93441.0	20794.0
hsa-miR-103a-3p:MIMAT0000101:Homo:sapiens:miR-103a-3p	320	92863	92157.5	14255.0
hsa-miR-433-3p:MIMAT0001627:Homo:sapiens:miR-433-3p	237	90824	90824.0	24745.0
hsa-miR-18b-5p:MIMAT0001412:Homo:sapiens:miR-18b-5p	316	90054	89939.5	22884.5
hsa-miR-139-3p:MIMAT0004552:Homo:sapiens:miR-139-3p	316	87895	87894.5	20251.5
hsa-miR-23b-3p:MIMAT0000418:Homo:sapiens:miR-23b-3p	189	85427	85278.0	22001.5
hsa-miR-18a-5p:MIMAT0000072:Homo:sapiens:miR-18a-5p	258	84592	84480.5	16598.0
hsa-miR-320d:MIMAT0006764:Homo:sapiens:miR-320d	111	83201	82602.21666666667	19701.89523809524
hsa-let-7b-5p:MIMAT0000063:Homo:sapiens:let-7b-5p	231	82431	82342.0	23256.666666666664
hsa-miR-23a-3p:MIMAT0000078:Homo:sapiens:miR-23a-3p	188	79661	79531.0	19895.5
hsa-miR-450a-5p:MIMAT0001545:Homo:sapiens:miR-450a-5p	291	77734	77734.0	16793.0
hsa-miR-211-5p:MIMAT0000268:Homo:sapiens:miR-211-5p	250	76009	76009.0	21095.0
hsa-miR-204-3p:MIMAT0022693:Homo:sapiens:miR-204-3p	221	71145	71145.0	16170.0
hsa-miR-26b-5p:MIMAT0000083:Homo:sapiens:miR-26b-5p	142	68620	68620.0	16618.0
hsa-miR-107:MIMAT0000104:Homo:sapiens:miR-107	324	68535	67830.5	11911.0
hsa-miR-9-5p:MIMAT0000441:Homo:sapiens:miR-9-5p	322	66729	66729.0	27345.0
hsa-miR-29b-2-5p:MIMAT0004515:Homo:sapiens:miR-29b-2-5p	217	64333	64298.5	15541.0
hsa-miR-133a-3p:MIMAT0000427:Homo:sapiens:miR-133a-3p	226	62810	62163.5	14172.0
hsa-miR-16-5p:MIMAT0000069:Homo:sapiens:miR-16-5p	286	62100	62100.0	17549.0
hsa-miR-584-5p:MIMAT0003249:Homo:sapiens:miR-584-5p	307	61988	61988.0	26596.0
hsa-miR-340-3p:MIMAT0000750:Homo:sapiens:miR-340-3p	281	59494	59494.0	25265.0
hsa-miR-365a-3p:MIMAT0000710:Homo:sapiens:miR-365a-3p|hsa-miR-365b-3p:MIMAT0022834:Homo:sapiens:miR-365b-3p	187	59489	59489.0	11119.0
hsa-miR-215-5p:MIMAT0000272:Homo:sapiens:miR-215-5p	168	59586	59374.0	11475.5
hsa-miR-299-3p:MIMAT0000687:Homo:sapiens:miR-299-3p	260	56955	56955.0	18260.0
hsa-miR-1301-3p:MIMAT0005797:Homo:sapiens:miR-1301-3p	261	56537	56537.0	16421.0
hsa-miR-214-3p:MIMAT0000271:Homo:sapiens:miR-214-3p	158	56007	56007.0	9419.0
hsa-miR-590-5p:MIMAT0003258:Homo:sapiens:miR-590-5p	241	55526	55526.0	13081.0
hsa-miR-188-3p:MIMAT0004613:Homo:sapiens:miR-188-3p	162	54442	54442.0	13739.0
hsa-miR-615-3p:MIMAT0003283:Homo:sapiens:miR-615-3p	187	52994	52994.0	11503.0
hsa-miR-302c-3p:MIMAT0000717:Homo:sapiens:miR-302c-3p	196	52800	52786.66666666667	17711.666666666664
hsa-miR-3184-5p:MIMAT0015064:Homo:sapiens:miR-3184-5p	213	51758	51758.0	11406.0
hsa-miR-181b-5p:MIMAT0000257:Homo:sapiens:miR-181b-5p	243	51518	51518.0	9673.0
hsa-miR-15b-3p:MIMAT0004586:Homo:sapiens:miR-15b-3p	202	49377	49377.0	8964.0
hsa-miR-769-5p:MIMAT0003886:Homo:sapiens:miR-769-5p	137	49054	49054.0	11133.0
hsa-miR-132-3p:MIMAT0000426:Homo:sapiens:miR-132-3p	213	48994	48994.0	14888.0
hsa-miR-664a-5p:MIMAT0005948:Homo:sapiens:miR-664a-5p	248	46441	46441.0	15443.0
hsa-miR-24-3p:MIMAT0000080:Homo:sapiens:miR-24-3p	157	46210	46210.0	8598.0
hsa-miR-302b-3p:MIMAT0000715:Homo:sapiens:miR-302b-3p	225	44743	44740.16666666667	14196.666666666666
hsa-miR-483-5p:MIMAT0004761:Homo:sapiens:miR-483-5p	198	44663	44663.0	14294.0
hsa-miR-26a-5p:MIMAT0000082:Homo:sapiens:miR-26a-5p	188	44142	44142.0	16180.0
hsa-miR-589-5p:MIMAT0004799:Homo:sapiens:miR-589-5p	198	43968	43968.0	11722.0
hsa-miR-186-5p:MIMAT0000456:Homo:sapiens:miR-186-5p	184	43597	43597.0	10933.0
hsa-let-7g-5p:MIMAT0000414:Homo:sapiens:let-7g-5p	169	42269	42269.0	8382.0
hsa-miR-499a-5p:MIMAT0002870:Homo:sapiens:miR-499a-5p	114	42208	42208.0	8084.0
hsa-miR-130b-3p:MIMAT0000691:Homo:sapiens:miR-130b-3p	234	42097	42097.0	15070.0
hsa-miR-450b-5p:MIMAT0004909:Homo:sapiens:miR-450b-5p	188	40815	40815.0	16383.0
hsa-miR-342-3p:MIMAT0000753:Homo:sapiens:miR-342-3p	306	40699	40699.0	12367.0
hsa-miR-4433a-5p:MIMAT0020956:Homo:sapiens:miR-4433a-5p	131	40083	40083.0	11398.0
hsa-miR-369-3p:MIMAT0000721:Homo:sapiens:miR-369-3p	122	39824	39824.0	8490.0
hsa-miR-101-3p:MIMAT0000099:Homo:sapiens:miR-101-3p	95	39705	39705.0	6753.0
hsa-miR-361-3p:MIMAT0004682:Homo:sapiens:miR-361-3p	193	38461	38461.0	9537.0
hsa-miR-92b-3p:MIMAT0003218:Homo:sapiens:miR-92b-3p	200	38077	38077.0	18122.0
hsa-miR-29a-3p:MIMAT0000086:Homo:sapiens:miR-29a-3p	203	38021	38008.5	10417.5
hsa-miR-199b-3p:MIMAT0004563:Homo:sapiens:miR-199b-3p|hsa-miR-199a-3p:MIMAT0000232:Homo:sapiens:miR-199a-3p	173	37620	37620.0	9757.0
hsa-let-7a-5p:MIMAT0000062:Homo:sapiens:let-7a-5p	197	37712	37468.666666666664	10258.0
hsa-miR-27a-3p:MIMAT0000084:Homo:sapiens:miR-27a-3p	166	37500	37439.0	10360.0
hsa-miR-25-3p:MIMAT0000081:Homo:sapiens:miR-25-3p	189	36745	36745.0	13365.0
hsa-miR-301b-3p:MIMAT0004958:Homo:sapiens:miR-301b-3p	221	36730	36714.0	14538.5
hsa-miR-30a-5p:MIMAT0000087:Homo:sapiens:miR-30a-5p	211	36619	36607.0	10296.5
hsa-miR-942-5p:MIMAT0004985:Homo:sapiens:miR-942-5p	178	36507	36507.0	14176.0
hsa-miR-152-3p:MIMAT0000438:Homo:sapiens:miR-152-3p	132	36250	36250.0	7350.0
hsa-miR-184:MIMAT0000454:Homo:sapiens:miR-184	198	34747	34747.0	12502.0
hsa-miR-409-3p:MIMAT0001639:Homo:sapiens:miR-409-3p	189	34736	34736.0	9879.0
hsa-miR-425-5p:MIMAT0003393:Homo:sapiens:miR-425-5p	238	33824	33824.0	14097.0
hsa-miR-148b-3p:MIMAT0000759:Homo:sapiens:miR-148b-3p	159	33787	33787.0	7604.0
hsa-miR-30e-3p:MIMAT0000693:Homo:sapiens:miR-30e-3p	197	33709	33701.0	17629.0
hsa-miR-128-3p:MIMAT0000424:Homo:sapiens:miR-128-3p	126	33302	33302.0	8250.0
hsa-miR-532-5p:MIMAT0002888:Homo:sapiens:miR-532-5p	212	33176	33176.0	9436.0
hsa-miR-345-5p:MIMAT0000772:Homo:sapiens:miR-345-5p	181	33130	33130.0	10101.0
hsa-miR-1307-3p:MIMAT0005951:Homo:sapiens:miR-1307-3p	225	33057	33057.0	13589.0
hsa-miR-205-5p:MIMAT0000266:Homo:sapiens:miR-205-5p	142	32962	32962.0	8335.0
hsa-miR-34c-5p:MIMAT0000686:Homo:sapiens:miR-34c-5p	177	32512	32512.0	5888.0
hsa-miR-500a-3p:MIMAT0002871:Homo:sapiens:miR-500a-3p	195	32725	32439.0	10299.5
hsa-miR-200c-3p:MIMAT0000617:Homo:sapiens:miR-200c-3p	186	32369	32369.0	10729.0
hsa-miR-302a-3p:MIMAT0000684:Homo:sapiens:miR-302a-3p	172	32366	32364.5	11484.0
hsa-miR-19a-3p:MIMAT0000073:Homo:sapiens:miR-19a-3p	149	32154	32154.0	5525.0
hsa-miR-224-5p:MIMAT0000281:Homo:sapiens:miR-224-5p	134	32043	32043.0	8275.0
hsa-miR-543:MIMAT0004954:Homo:sapiens:miR-543	170	31879	31879.0	6476.0
hsa-miR-10b-5p:MIMAT0000254:Homo:sapiens:miR-10b-5p	258	31814	31814.0	12091.0
hsa-miR-652-3p:MIMAT0003322:Homo:sapiens:miR-652-3p	197	30986	30986.0	10650.0
hsa-miR-132-5p:MIMAT0004594:Homo:sapiens:miR-132-5p	229	30615	30615.0	8856.0
hsa-miR-340-5p:MIMAT0004692:Homo:sapiens:miR-340-5p	162	30562	30562.0	10405.0
hsa-miR-145-3p:MIMAT0004601:Homo:sapiens:miR-145-3p	101	30356	30356.0	5346.0
hsa-miR-185-3p:MIMAT0004611:Homo:sapiens:miR-185-3p	128	30217	30217.0	9426.0
hsa-miR-32-5p:MIMAT0000090:Homo:sapiens:miR-32-5p	177	30158	30158.0	8299.0
hsa-miR-370-3p:MIMAT0000722:Homo:sapiens:miR-370-3p	132	29516	29516.0	5717.0
hsa-miR-126-3p:MIMAT0000445:Homo:sapiens:miR-126-3p	176	29274	29274.0	9718.0
hsa-miR-181a-5p:MIMAT0000256:Homo:sapiens:miR-181a-5p	214	29116	29115.0	6976.5
hsa-miR-17-5p:MIMAT0000070:Homo:sapiens:miR-17-5p	206	43425	29067.666666666668	8384.666666666668
hsa-miR-485-5p:MIMAT0002175:Homo:sapiens:miR-485-5p	150	28986	28986.0	6300.0
hsa-miR-196b-5p:MIMAT0001080:Homo:sapiens:miR-196b-5p	136	28877	28877.0	9469.0
hsa-miR-374b-5p:MIMAT0004955:Homo:sapiens:miR-374b-5p	177	30211	28836.666666666668	7356.166666666667
hsa-miR-140-3p:MIMAT0004597:Homo:sapiens:miR-140-3p	158	28774	28774.0	8516.0
hsa-miR-145-5p:MIMAT0000437:Homo:sapiens:miR-145-5p	181	28427	28427.0	7924.0
hsa-miR-199b-5p:MIMAT0000263:Homo:sapiens:miR-199b-5p	167	28347	28342.0	9782.0
hsa-miR-136-3p:MIMAT0004606:Homo:sapiens:miR-136-3p	197	28077	28077.0	10602.0
hsa-miR-221-3p:MIMAT0000278:Homo:sapiens:miR-221-3p	177	27826	27826.0	6558.0
hsa-miR-500a-5p:MIMAT0004773:Homo:sapiens:miR-500a-5p	143	27686	27663.0	7112.0
hsa-miR-222-3p:MIMAT0000279:Homo:sapiens:miR-222-3p	97	27638	27638.0	6804.0
hsa-miR-296-5p:MIMAT0000690:Homo:sapiens:miR-296-5p	103	27623	27623.0	4913.0
hsa-miR-660-5p:MIMAT0003338:Homo:sapiens:miR-660-5p	194	27538	27538.0	8339.0
hsa-miR-323a-3p:MIMAT0000755:Homo:sapiens:miR-323a-3p	115	27525	27517.0	6048.0
hsa-miR-1180-3p:MIMAT0005825:Homo:sapiens:miR-1180-3p	241	27103	27103.0	10049.0
hsa-miR-369-5p:MIMAT0001621:Homo:sapiens:miR-369-5p	190	26232	26232.0	8792.0
hsa-miR-139-5p:MIMAT0000250:Homo:sapiens:miR-139-5p	224	25642	25642.0	11151.0
hsa-miR-766-5p:MIMAT0022714:Homo:sapiens:miR-766-5p	150	25418	25418.0	8551.0
hsa-miR-103b:MIMAT0007402:Homo:sapiens:miR-103b	169	25378	25378.0	8017.0
hsa-miR-495-3p:MIMAT0002817:Homo:sapiens:miR-495-3p	140	25286	25286.0	5510.0
hsa-miR-142-3p:MIMAT0000434:Homo:sapiens:miR-142-3p	157	25254	25254.0	8064.0
hsa-miR-150-5p:MIMAT0000451:Homo:sapiens:miR-150-5p	181	24850	24850.0	10097.0
hsa-miR-134-5p:MIMAT0000447:Homo:sapiens:miR-134-5p	133	24660	24660.0	8426.0
hsa-miR-3529-3p:MIMAT0022741:Homo:sapiens:miR-3529-3p	156	24234	24234.0	6197.0
hsa-miR-3929:MIMAT0018206:Homo:sapiens:miR-3929	202	24042	24042.0	9122.0
hsa-miR-200b-3p:MIMAT0000318:Homo:sapiens:miR-200b-3p	157	23937	23937.0	7279.0
hsa-miR-30c-5p:MIMAT0000244:Homo:sapiens:miR-30c-5p	238	23793	23792.5	11983.5
hsa-miR-373-3p:MIMAT0000726:Homo:sapiens:miR-373-3p	188	23587	23586.0	9077.0
