ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-625-3p:MIMAT0004808:Homo:sapiens:miR-625-3p	312	394855	394855.0	20045.0
hsa-miR-885-5p:MIMAT0004947:Homo:sapiens:miR-885-5p	287	331956	331956.0	32144.0
hsa-miR-589-5p:MIMAT0004799:Homo:sapiens:miR-589-5p	279	312697	312697.0	17020.0
hsa-let-7d-3p:MIMAT0004484:Homo:sapiens:let-7d-3p	333	283798	283798.0	30571.0
hsa-miR-4440:MIMAT0018958:Homo:sapiens:miR-4440	266	244671	244600.0	30419.0
hsa-miR-584-5p:MIMAT0003249:Homo:sapiens:miR-584-5p	243	228337	228337.0	34203.0
hsa-miR-3184-3p:MIMAT0022731:Homo:sapiens:miR-3184-3p	284	217095	217095.0	26280.0
hsa-miR-92b-3p:MIMAT0003218:Homo:sapiens:miR-92b-3p	257	188570	188570.0	27808.0
hsa-miR-23a-3p:MIMAT0000078:Homo:sapiens:miR-23a-3p	161	174777	174442.0	20997.5
hsa-let-7c-5p:MIMAT0000064:Homo:sapiens:let-7c-5p	215	161338	160755.0	22107.833333333332
hsa-miR-211-5p:MIMAT0000268:Homo:sapiens:miR-211-5p	207	120055	120055.0	17031.0
hsa-let-7b-5p:MIMAT0000063:Homo:sapiens:let-7b-5p	179	115405	114956.5	19159.333333333332
hsa-miR-4433a-5p:MIMAT0020956:Homo:sapiens:miR-4433a-5p	158	111869	111869.0	12036.0
hsa-miR-654-3p:MIMAT0004814:Homo:sapiens:miR-654-3p	170	105857	105857.0	11545.0
hsa-miR-139-3p:MIMAT0004552:Homo:sapiens:miR-139-3p	196	99828	99828.0	19296.0
hsa-miR-191-5p:MIMAT0000440:Homo:sapiens:miR-191-5p	217	96757	96757.0	12142.0
hsa-miR-1908-5p:MIMAT0007881:Homo:sapiens:miR-1908-5p	133	94270	94270.0	18151.0
hsa-miR-499b-3p:MIMAT0019898:Homo:sapiens:miR-499b-3p	142	81558	81558.0	8314.0
hsa-miR-485-3p:MIMAT0002176:Homo:sapiens:miR-485-3p	200	81407	81407.0	10603.0
hsa-miR-150-5p:MIMAT0000451:Homo:sapiens:miR-150-5p	184	81400	81400.0	12920.0
hsa-miR-23b-3p:MIMAT0000418:Homo:sapiens:miR-23b-3p	138	80482	80112.5	12012.5
hsa-miR-4433b-5p:MIMAT0030413:Homo:sapiens:miR-4433b-5p	159	76541	76541.0	13835.0
hsa-miR-485-5p:MIMAT0002175:Homo:sapiens:miR-485-5p	151	62980	62980.0	12733.0
hsa-miR-132-3p:MIMAT0000426:Homo:sapiens:miR-132-3p	166	61155	61155.0	10144.0
hsa-miR-99b-5p:MIMAT0000689:Homo:sapiens:miR-99b-5p	217	57757	57757.0	11500.0
hsa-miR-183-5p:MIMAT0000261:Homo:sapiens:miR-183-5p	136	52610	52610.0	10166.0
hsa-miR-500a-3p:MIMAT0002871:Homo:sapiens:miR-500a-3p	151	45339	45012.0	8723.0
hsa-miR-342-3p:MIMAT0000753:Homo:sapiens:miR-342-3p	203	43198	43198.0	7243.0
hsa-miR-15b-5p:MIMAT0000417:Homo:sapiens:miR-15b-5p	137	42353	42353.0	6856.0
hsa-miR-3591-3p:MIMAT0019877:Homo:sapiens:miR-3591-3p	113	42178	42178.0	5355.0
hsa-miR-615-3p:MIMAT0003283:Homo:sapiens:miR-615-3p	109	41033	41033.0	6855.0
hsa-miR-199b-3p:MIMAT0004563:Homo:sapiens:miR-199b-3p|hsa-miR-199a-3p:MIMAT0000232:Homo:sapiens:miR-199a-3p	128	40142	40142.0	7157.0
hsa-miR-127-3p:MIMAT0000446:Homo:sapiens:miR-127-3p	125	40051	40051.0	8463.0
hsa-miR-766-3p:MIMAT0003888:Homo:sapiens:miR-766-3p	109	39588	39588.0	8180.0
hsa-miR-129-5p:MIMAT0000242:Homo:sapiens:miR-129-5p	104	38867	38867.0	10481.0
hsa-miR-197-3p:MIMAT0000227:Homo:sapiens:miR-197-3p	109	36362	36362.0	6488.0
hsa-miR-323a-3p:MIMAT0000755:Homo:sapiens:miR-323a-3p	108	33474	33470.5	4412.0
hsa-miR-133a-3p:MIMAT0000427:Homo:sapiens:miR-133a-3p	143	33885	33149.0	5161.5
hsa-miR-1301-3p:MIMAT0005797:Homo:sapiens:miR-1301-3p	124	32818	32818.0	7567.0
hsa-miR-130b-5p:MIMAT0004680:Homo:sapiens:miR-130b-5p	89	32709	32709.0	4637.0
hsa-miR-942-5p:MIMAT0004985:Homo:sapiens:miR-942-5p	92	32689	32689.0	6708.0
hsa-miR-345-5p:MIMAT0000772:Homo:sapiens:miR-345-5p	100	30731	30731.0	5764.0
hsa-miR-100-5p:MIMAT0000098:Homo:sapiens:miR-100-5p	145	30684	30667.0	5086.0
hsa-miR-92a-3p:MIMAT0000092:Homo:sapiens:miR-92a-3p	97	29989	29989.0	6367.0
hsa-miR-433-3p:MIMAT0001627:Homo:sapiens:miR-433-3p	108	29652	29652.0	7463.0
hsa-miR-16-5p:MIMAT0000069:Homo:sapiens:miR-16-5p	103	28485	28485.0	5235.0
hsa-miR-346:MIMAT0000773:Homo:sapiens:miR-346	120	26096	26096.0	5701.0
hsa-miR-451b:MIMAT0019840:Homo:sapiens:miR-451b	98	25623	25623.0	3377.0
hsa-miR-532-3p:MIMAT0004780:Homo:sapiens:miR-532-3p	86	25351	25351.0	5360.0
hsa-miR-122-5p:MIMAT0000421:Homo:sapiens:miR-122-5p	86	25174	25174.0	3502.0
hsa-miR-151a-3p:MIMAT0000757:Homo:sapiens:miR-151a-3p	85	24364	24364.0	5780.0
hsa-miR-1306-5p:MIMAT0022726:Homo:sapiens:miR-1306-5p	90	24316	24316.0	4641.0
hsa-miR-205-5p:MIMAT0000266:Homo:sapiens:miR-205-5p	92	23641	23641.0	3327.0
hsa-miR-200b-3p:MIMAT0000318:Homo:sapiens:miR-200b-3p	98	23632	23632.0	4511.0
hsa-miR-543:MIMAT0004954:Homo:sapiens:miR-543	97	23326	23326.0	3844.0
hsa-miR-484:MIMAT0002174:Homo:sapiens:miR-484	116	23253	23253.0	3533.0
hsa-miR-574-3p:MIMAT0003239:Homo:sapiens:miR-574-3p	103	22035	22035.0	3474.0
hsa-miR-365a-3p:MIMAT0000710:Homo:sapiens:miR-365a-3p|hsa-miR-365b-3p:MIMAT0022834:Homo:sapiens:miR-365b-3p	80	21716	21716.0	4124.0
hsa-miR-200a-3p:MIMAT0000682:Homo:sapiens:miR-200a-3p	114	20896	20878.0	3332.0
hsa-miR-30d-5p:MIMAT0000245:Homo:sapiens:miR-30d-5p	103	19163	19163.0	2936.0
hsa-miR-4732-5p:MIMAT0019855:Homo:sapiens:miR-4732-5p	89	18836	18836.0	4074.0
hsa-miR-374b-5p:MIMAT0004955:Homo:sapiens:miR-374b-5p	91	18870	18696.0	2930.0
hsa-miR-7706:MIMAT0030021:Homo:sapiens:miR-7706	120	18142	18142.0	4456.0
hsa-miR-3615:MIMAT0017994:Homo:sapiens:miR-3615	67	16958	16958.0	2577.0
hsa-miR-501-3p:MIMAT0004774:Homo:sapiens:miR-501-3p	88	16733	16724.0	3315.5
hsa-miR-502-3p:MIMAT0004775:Homo:sapiens:miR-502-3p	103	16991	16649.0	4049.0
hsa-miR-128-3p:MIMAT0000424:Homo:sapiens:miR-128-3p	65	16219	16219.0	2487.0
hsa-miR-223-5p:MIMAT0004570:Homo:sapiens:miR-223-5p	91	16107	16107.0	2513.0
hsa-miR-224-5p:MIMAT0000281:Homo:sapiens:miR-224-5p	65	15921	15921.0	2709.0
hsa-miR-182-5p:MIMAT0000259:Homo:sapiens:miR-182-5p	83	15533	15533.0	3617.0
hsa-miR-2110:MIMAT0010133:Homo:sapiens:miR-2110	89	14937	14937.0	4620.0
hsa-miR-664a-5p:MIMAT0005948:Homo:sapiens:miR-664a-5p	87	14814	14814.0	4739.0
hsa-miR-338-5p:MIMAT0004701:Homo:sapiens:miR-338-5p	55	13361	13361.0	2720.0
hsa-miR-25-3p:MIMAT0000081:Homo:sapiens:miR-25-3p	88	13078	13078.0	3118.0
hsa-miR-323b-3p:MIMAT0015050:Homo:sapiens:miR-323b-3p	88	12451	12447.5	2465.0
hsa-miR-326:MIMAT0000756:Homo:sapiens:miR-326	42	12380	12380.0	2540.0
hsa-miR-320d:MIMAT0006764:Homo:sapiens:miR-320d	40	12367	12275.266666666668	2894.0999999999995
hsa-miR-425-5p:MIMAT0003393:Homo:sapiens:miR-425-5p	100	12181	12181.0	1864.0
hsa-miR-299-5p:MIMAT0002890:Homo:sapiens:miR-299-5p	78	12061	12061.0	1580.0
hsa-miR-212-3p:MIMAT0000269:Homo:sapiens:miR-212-3p	65	11685	11685.0	2264.0
hsa-miR-3529-3p:MIMAT0022741:Homo:sapiens:miR-3529-3p	66	11629	11629.0	2111.0
hsa-miR-1180-3p:MIMAT0005825:Homo:sapiens:miR-1180-3p	75	11313	11313.0	2665.0
hsa-miR-424-3p:MIMAT0004749:Homo:sapiens:miR-424-3p	75	11266	11266.0	3532.0
hsa-miR-26a-5p:MIMAT0000082:Homo:sapiens:miR-26a-5p	66	11081	11081.0	2553.0
hsa-miR-133b:MIMAT0000770:Homo:sapiens:miR-133b	119	10839	10103.0	2281.5
hsa-miR-10b-5p:MIMAT0000254:Homo:sapiens:miR-10b-5p	85	9848	9848.0	1817.0
hsa-miR-4326:MIMAT0016888:Homo:sapiens:miR-4326	37	9318	9318.0	1596.0
hsa-miR-186-5p:MIMAT0000456:Homo:sapiens:miR-186-5p	57	9190	9190.0	2507.0
hsa-miR-139-5p:MIMAT0000250:Homo:sapiens:miR-139-5p	86	9173	9173.0	1852.0
hsa-miR-495-3p:MIMAT0002817:Homo:sapiens:miR-495-3p	50	8936	8936.0	1405.0
hsa-miR-96-5p:MIMAT0000095:Homo:sapiens:miR-96-5p	73	8885	8885.0	2430.0
hsa-miR-188-5p:MIMAT0000457:Homo:sapiens:miR-188-5p	49	8866	8866.0	1767.0
hsa-miR-140-5p:MIMAT0000431:Homo:sapiens:miR-140-5p	51	8847	8847.0	2058.0
hsa-miR-18a-3p:MIMAT0002891:Homo:sapiens:miR-18a-3p	55	8782	8782.0	2120.0
hsa-miR-125b-5p:MIMAT0000423:Homo:sapiens:miR-125b-5p	62	8666	8666.0	1631.0
hsa-miR-125a-5p:MIMAT0000443:Homo:sapiens:miR-125a-5p	77	8410	8410.0	1767.0
hsa-miR-409-3p:MIMAT0001639:Homo:sapiens:miR-409-3p	68	8291	8291.0	1817.0
hsa-miR-146b-5p:MIMAT0002809:Homo:sapiens:miR-146b-5p	52	8251	8251.0	1912.0
hsa-miR-451a:MIMAT0001631:Homo:sapiens:miR-451a	64	8189	8189.0	889.0
hsa-miR-302a-3p:MIMAT0000684:Homo:sapiens:miR-302a-3p	58	8088	8088.0	1679.0
hsa-miR-192-5p:MIMAT0000222:Homo:sapiens:miR-192-5p	70	8057	8050.0	1896.5
hsa-miR-30b-5p:MIMAT0000420:Homo:sapiens:miR-30b-5p	61	8085	8043.833333333333	1870.1666666666665
hsa-miR-324-5p:MIMAT0000761:Homo:sapiens:miR-324-5p	72	7865	7865.0	2009.0
hsa-miR-766-5p:MIMAT0022714:Homo:sapiens:miR-766-5p	58	7828	7828.0	1898.0
hsa-miR-215-5p:MIMAT0000272:Homo:sapiens:miR-215-5p	55	7780	7773.0	1188.5
hsa-miR-500a-5p:MIMAT0004773:Homo:sapiens:miR-500a-5p	60	7755	7755.0	1565.0
hsa-miR-532-5p:MIMAT0002888:Homo:sapiens:miR-532-5p	71	7672	7672.0	1783.0
hsa-miR-10a-5p:MIMAT0000253:Homo:sapiens:miR-10a-5p	66	7214	7214.0	1256.0
hsa-miR-181b-5p:MIMAT0000257:Homo:sapiens:miR-181b-5p	78	7034	7034.0	1721.0
hsa-miR-185-3p:MIMAT0004611:Homo:sapiens:miR-185-3p	46	6974	6974.0	1729.0
hsa-miR-432-5p:MIMAT0002814:Homo:sapiens:miR-432-5p	66	6844	6844.0	1803.0
hsa-miR-629-5p:MIMAT0004810:Homo:sapiens:miR-629-5p	56	6816	6816.0	1381.0
hsa-miR-124-3p:MIMAT0000422:Homo:sapiens:miR-124-3p	56	6801	6801.0	1428.0
hsa-miR-3184-5p:MIMAT0015064:Homo:sapiens:miR-3184-5p	92	6752	6752.0	2176.0
hsa-miR-421:MIMAT0003339:Homo:sapiens:miR-421	56	6749	6749.0	1478.0
hsa-miR-7974:MIMAT0031177:Homo:sapiens:miR-7974	59	6670	6670.0	1431.0
hsa-miR-28-3p:MIMAT0004502:Homo:sapiens:miR-28-3p	35	6460	6460.0	1369.0
hsa-miR-296-5p:MIMAT0000690:Homo:sapiens:miR-296-5p	54	6353	6353.0	2165.0
hsa-miR-330-3p:MIMAT0000751:Homo:sapiens:miR-330-3p	75	6341	6341.0	1305.0
hsa-miR-99a-5p:MIMAT0000097:Homo:sapiens:miR-99a-5p	66	6294	6277.0	1278.0
hsa-miR-136-3p:MIMAT0004606:Homo:sapiens:miR-136-3p	55	5672	5672.0	781.0
hsa-let-7a-3p:MIMAT0004481:Homo:sapiens:let-7a-3p	39	5565	5565.0	1086.0
hsa-miR-214-3p:MIMAT0000271:Homo:sapiens:miR-214-3p	44	5482	5482.0	1100.0
hsa-miR-378c:MIMAT0016847:Homo:sapiens:miR-378c	81	5465	5465.0	1454.0
hsa-miR-223-3p:MIMAT0000280:Homo:sapiens:miR-223-3p	48	5437	5437.0	1232.0
hsa-miR-378a-3p:MIMAT0000732:Homo:sapiens:miR-378a-3p	52	5264	5245.833333333332	1340.833333333333
hsa-miR-103b:MIMAT0007402:Homo:sapiens:miR-103b	50	5203	5203.0	1145.0
hsa-miR-93-3p:MIMAT0004509:Homo:sapiens:miR-93-3p	68	5046	5046.0	1105.0
hsa-miR-320c:MIMAT0005793:Homo:sapiens:miR-320c	42	5134	4895.6833333333325	1314.183333333333
hsa-let-7i-3p:MIMAT0004585:Homo:sapiens:let-7i-3p	45	4865	4865.0	943.0
hsa-miR-204-3p:MIMAT0022693:Homo:sapiens:miR-204-3p	38	4704	4704.0	1018.0
hsa-miR-200c-3p:MIMAT0000617:Homo:sapiens:miR-200c-3p	52	4518	4518.0	1076.0
hsa-miR-151b:MIMAT0010214:Homo:sapiens:miR-151b|hsa-miR-151a-5p:MIMAT0004697:Homo:sapiens:miR-151a-5p	31	4479	4433.0	706.0
hsa-miR-30c-5p:MIMAT0000244:Homo:sapiens:miR-30c-5p	68	4397	4397.0	1120.0
hsa-miR-340-3p:MIMAT0000750:Homo:sapiens:miR-340-3p	52	4383	4383.0	991.0
hsa-miR-652-3p:MIMAT0003322:Homo:sapiens:miR-652-3p	48	4331	4331.0	1073.0
hsa-miR-339-5p:MIMAT0000764:Homo:sapiens:miR-339-5p	44	4277	4277.0	776.0
hsa-let-7a-5p:MIMAT0000062:Homo:sapiens:let-7a-5p	50	4631	4218.5	1111.8333333333333
hsa-miR-107:MIMAT0000104:Homo:sapiens:miR-107	65	4252	4209.5	868.0
hsa-miR-132-5p:MIMAT0004594:Homo:sapiens:miR-132-5p	48	4207	4207.0	1072.0
hsa-miR-15b-3p:MIMAT0004586:Homo:sapiens:miR-15b-3p	52	4152	4152.0	800.0
hsa-miR-154-5p:MIMAT0000452:Homo:sapiens:miR-154-5p	57	4082	4081.5	977.5
hsa-miR-1307-5p:MIMAT0022727:Homo:sapiens:miR-1307-5p	49	3987	3987.0	921.0
hsa-miR-145-5p:MIMAT0000437:Homo:sapiens:miR-145-5p	43	3932	3932.0	999.0
hsa-miR-181a-5p:MIMAT0000256:Homo:sapiens:miR-181a-5p	55	3711	3711.0	863.0
hsa-let-7f-5p:MIMAT0000067:Homo:sapiens:let-7f-5p	41	3684	3678.0	870.0
hsa-miR-486-5p:MIMAT0002177:Homo:sapiens:miR-486-5p	74	3678	3678.0	1329.0
hsa-miR-362-5p:MIMAT0000705:Homo:sapiens:miR-362-5p	61	3633	3633.0	1191.0
hsa-miR-2355-3p:MIMAT0017950:Homo:sapiens:miR-2355-3p	45	3475	3475.0	822.0
hsa-miR-455-3p:MIMAT0004784:Homo:sapiens:miR-455-3p	37	3457	3457.0	774.0
hsa-miR-302b-3p:MIMAT0000715:Homo:sapiens:miR-302b-3p	46	3457	3457.0	657.0
hsa-miR-376a-3p:MIMAT0000729:Homo:sapiens:miR-376a-3p	24	3383	3383.0	639.0
hsa-miR-126-5p:MIMAT0000444:Homo:sapiens:miR-126-5p	40	3355	3355.0	860.0
hsa-miR-486-3p:MIMAT0004762:Homo:sapiens:miR-486-3p	43	3314	3314.0	954.0
hsa-miR-221-3p:MIMAT0000278:Homo:sapiens:miR-221-3p	49	3246	3246.0	813.0
hsa-miR-26b-5p:MIMAT0000083:Homo:sapiens:miR-26b-5p	28	3237	3237.0	793.0
hsa-miR-27b-3p:MIMAT0000419:Homo:sapiens:miR-27b-3p	30	3310	3216.0	764.0
hsa-miR-874-3p:MIMAT0004911:Homo:sapiens:miR-874-3p	62	3188	3188.0	530.0
hsa-miR-29b-2-5p:MIMAT0004515:Homo:sapiens:miR-29b-2-5p	48	3093	3091.5	595.5
hsa-miR-195-5p:MIMAT0000461:Homo:sapiens:miR-195-5p	21	3069	3069.0	740.0
hsa-miR-103a-3p:MIMAT0000101:Homo:sapiens:miR-103a-3p	44	2934	2891.5	637.0
hsa-miR-450a-5p:MIMAT0001545:Homo:sapiens:miR-450a-5p	55	2889	2889.0	822.0
hsa-miR-6852-5p:MIMAT0027604:Homo:sapiens:miR-6852-5p	27	2840	2840.0	751.0
hsa-miR-193a-5p:MIMAT0004614:Homo:sapiens:miR-193a-5p	36	2797	2797.0	683.0
hsa-miR-24-3p:MIMAT0000080:Homo:sapiens:miR-24-3p	30	2772	2772.0	686.0
hsa-miR-193b-3p:MIMAT0002819:Homo:sapiens:miR-193b-3p	31	2768	2768.0	776.0
hsa-miR-369-5p:MIMAT0001621:Homo:sapiens:miR-369-5p	43	2713	2713.0	572.0
hsa-miR-3929:MIMAT0018206:Homo:sapiens:miR-3929	38	2709	2709.0	686.0
hsa-miR-378b:MIMAT0014999:Homo:sapiens:miR-378b	26	2691	2686.5	709.0
hsa-miR-143-3p:MIMAT0000435:Homo:sapiens:miR-143-3p	29	2531	2531.0	542.0
hsa-miR-1246:MIMAT0005898:Homo:sapiens:miR-1246	9	2519	2519.0	786.0
hsa-miR-129-1-3p:MIMAT0004548:Homo:sapiens:miR-129-1-3p	46	2447	2438.0	844.5
