ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-4440:MIMAT0018958:Homo:sapiens:miR-4440	301	569999	568470.5	58580.5
hsa-miR-378c:MIMAT0016847:Homo:sapiens:miR-378c	403	503236	503225.0	55020.0
hsa-miR-378a-3p:MIMAT0000732:Homo:sapiens:miR-378a-3p	265	406166	404920.99999999977	48426.83333333337
hsa-miR-3184-3p:MIMAT0022731:Homo:sapiens:miR-3184-3p	294	389495	389495.0	47169.0
hsa-miR-6852-5p:MIMAT0027604:Homo:sapiens:miR-6852-5p	140	295822	295822.0	25003.0
hsa-let-7f-5p:MIMAT0000067:Homo:sapiens:let-7f-5p	245	257157	256993.5	38108.0
hsa-miR-122-5p:MIMAT0000421:Homo:sapiens:miR-122-5p	192	182742	182742.0	28444.0
hsa-let-7d-3p:MIMAT0004484:Homo:sapiens:let-7d-3p	219	170694	170694.0	22615.0
hsa-miR-625-3p:MIMAT0004808:Homo:sapiens:miR-625-3p	249	162613	162613.0	18335.0
hsa-let-7c-5p:MIMAT0000064:Homo:sapiens:let-7c-5p	205	152409	151872.66666666666	32636.5
hsa-miR-576-3p:MIMAT0004796:Homo:sapiens:miR-576-3p	122	124026	124026.0	21552.0
hsa-miR-223-5p:MIMAT0004570:Homo:sapiens:miR-223-5p	149	110771	110771.0	16737.0
hsa-miR-654-3p:MIMAT0004814:Homo:sapiens:miR-654-3p	137	104107	104107.0	11692.0
hsa-miR-7-5p:MIMAT0000252:Homo:sapiens:miR-7-5p	179	99302	99302.0	22002.0
hsa-let-7b-5p:MIMAT0000063:Homo:sapiens:let-7b-5p	180	97108	96898.16666666667	26241.0
hsa-miR-320d:MIMAT0006764:Homo:sapiens:miR-320d	62	98131	96587.62142857144	13832.245238095238
hsa-miR-10b-5p:MIMAT0000254:Homo:sapiens:miR-10b-5p	180	96317	96316.5	13764.5
hsa-miR-192-5p:MIMAT0000222:Homo:sapiens:miR-192-5p	116	84804	84787.0	14030.0
hsa-miR-483-5p:MIMAT0004761:Homo:sapiens:miR-483-5p	131	84663	84663.0	18730.0
hsa-miR-629-5p:MIMAT0004810:Homo:sapiens:miR-629-5p	135	82575	82575.0	23667.0
hsa-miR-98-5p:MIMAT0000096:Homo:sapiens:miR-98-5p	154	82414	82414.0	20281.0
hsa-miR-885-5p:MIMAT0004947:Homo:sapiens:miR-885-5p	126	79198	79198.0	6191.0
hsa-miR-148a-5p:MIMAT0004549:Homo:sapiens:miR-148a-5p	145	74990	74990.0	21335.0
hsa-miR-144-5p:MIMAT0004600:Homo:sapiens:miR-144-5p	121	64258	64258.0	15306.0
hsa-miR-1908-5p:MIMAT0007881:Homo:sapiens:miR-1908-5p	104	63945	63945.0	13597.0
hsa-miR-486-5p:MIMAT0002177:Homo:sapiens:miR-486-5p	156	62310	62310.0	14016.0
hsa-miR-99b-5p:MIMAT0000689:Homo:sapiens:miR-99b-5p	194	57314	57314.0	12097.0
hsa-miR-129-5p:MIMAT0000242:Homo:sapiens:miR-129-5p	120	55993	55993.0	16190.0
hsa-miR-532-5p:MIMAT0002888:Homo:sapiens:miR-532-5p	162	52004	52004.0	13004.0
hsa-miR-100-5p:MIMAT0000098:Homo:sapiens:miR-100-5p	155	50369	50341.5	6978.5
hsa-miR-7706:MIMAT0030021:Homo:sapiens:miR-7706	189	48658	48658.0	12556.0
hsa-miR-4732-5p:MIMAT0019855:Homo:sapiens:miR-4732-5p	142	47850	47850.0	10877.0
hsa-miR-4433a-3p:MIMAT0018949:Homo:sapiens:miR-4433a-3p	87	47284	47284.0	12819.0
hsa-miR-485-3p:MIMAT0002176:Homo:sapiens:miR-485-3p	134	46344	46344.0	12445.0
hsa-miR-433-3p:MIMAT0001627:Homo:sapiens:miR-433-3p	120	45591	45591.0	15335.0
hsa-miR-942-5p:MIMAT0004985:Homo:sapiens:miR-942-5p	99	44629	44629.0	7557.0
hsa-miR-140-3p:MIMAT0004597:Homo:sapiens:miR-140-3p	105	43903	43903.0	11742.0
hsa-miR-211-5p:MIMAT0000268:Homo:sapiens:miR-211-5p	101	40426	40426.0	7066.0
hsa-miR-1246:MIMAT0005898:Homo:sapiens:miR-1246	27	39886	39886.0	10651.0
hsa-miR-589-5p:MIMAT0004799:Homo:sapiens:miR-589-5p	125	39564	39564.0	9055.0
hsa-miR-320a:MIMAT0000510:Homo:sapiens:miR-320a	142	41912	38718.80000000002	12090.566666666668
hsa-miR-92b-3p:MIMAT0003218:Homo:sapiens:miR-92b-3p	120	38204	38204.0	9948.0
