ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-4440:MIMAT0018958:Homo:sapiens:miR-4440	329	617654	616491.5	58303.5
hsa-miR-378c:MIMAT0016847:Homo:sapiens:miR-378c	389	576411	576396.8333333334	56558.833333333336
hsa-miR-378a-3p:MIMAT0000732:Homo:sapiens:miR-378a-3p	280	464909	463573.41666666634	48510.08333333338
hsa-miR-3184-3p:MIMAT0022731:Homo:sapiens:miR-3184-3p	320	428294	428294.0	47043.0
hsa-miR-6852-5p:MIMAT0027604:Homo:sapiens:miR-6852-5p	134	325723	325723.0	24647.0
hsa-let-7f-5p:MIMAT0000067:Homo:sapiens:let-7f-5p	274	283622	283442.0	37780.0
hsa-miR-122-5p:MIMAT0000421:Homo:sapiens:miR-122-5p	204	199877	199877.0	28179.0
hsa-let-7d-3p:MIMAT0004484:Homo:sapiens:let-7d-3p	226	184733	184733.0	22291.0
hsa-miR-625-3p:MIMAT0004808:Homo:sapiens:miR-625-3p	237	175850	175850.0	17903.0
hsa-let-7c-5p:MIMAT0000064:Homo:sapiens:let-7c-5p	202	164584	164002.08333333334	31720.583333333332
hsa-miR-576-3p:MIMAT0004796:Homo:sapiens:miR-576-3p	125	140500	140500.0	21139.0
hsa-miR-223-5p:MIMAT0004570:Homo:sapiens:miR-223-5p	173	119558	119558.0	16889.0
hsa-miR-10b-5p:MIMAT0000254:Homo:sapiens:miR-10b-5p	198	119173	119170.5	14446.5
hsa-miR-654-3p:MIMAT0004814:Homo:sapiens:miR-654-3p	138	111482	111482.0	11357.0
hsa-miR-7-5p:MIMAT0000252:Homo:sapiens:miR-7-5p	194	111024	111024.0	21853.0
hsa-miR-320d:MIMAT0006764:Homo:sapiens:miR-320d	66	112436	110695.39999999998	13716.300000000001
hsa-let-7b-5p:MIMAT0000063:Homo:sapiens:let-7b-5p	177	100996	100783.33333333333	25088.833333333336
hsa-miR-192-5p:MIMAT0000222:Homo:sapiens:miR-192-5p	116	97345	97332.0	14199.5
hsa-miR-483-5p:MIMAT0004761:Homo:sapiens:miR-483-5p	151	95333	95333.0	18806.0
hsa-miR-98-5p:MIMAT0000096:Homo:sapiens:miR-98-5p	155	89627	89627.0	19726.0
hsa-miR-885-5p:MIMAT0004947:Homo:sapiens:miR-885-5p	142	89178	89178.0	6534.0
hsa-miR-629-5p:MIMAT0004810:Homo:sapiens:miR-629-5p	139	86816	86816.0	22650.0
hsa-miR-148a-5p:MIMAT0004549:Homo:sapiens:miR-148a-5p	157	86454	86454.0	21371.0
hsa-miR-486-5p:MIMAT0002177:Homo:sapiens:miR-486-5p	162	72041	72041.0	14173.0
hsa-miR-144-5p:MIMAT0004600:Homo:sapiens:miR-144-5p	113	71587	71587.0	15113.0
hsa-miR-99b-5p:MIMAT0000689:Homo:sapiens:miR-99b-5p	207	69307	69307.0	12795.0
hsa-miR-1908-5p:MIMAT0007881:Homo:sapiens:miR-1908-5p	110	64698	64698.0	12519.0
hsa-miR-100-5p:MIMAT0000098:Homo:sapiens:miR-100-5p	157	62304	62277.0	7700.0
hsa-miR-129-5p:MIMAT0000242:Homo:sapiens:miR-129-5p	100	56975	56975.0	15099.0
hsa-miR-7706:MIMAT0030021:Homo:sapiens:miR-7706	179	56305	56305.0	12736.0
hsa-miR-4433a-3p:MIMAT0018949:Homo:sapiens:miR-4433a-3p	96	55452	55452.0	13136.0
hsa-miR-532-5p:MIMAT0002888:Homo:sapiens:miR-532-5p	171	55021	55021.0	12481.0
hsa-miR-4732-5p:MIMAT0019855:Homo:sapiens:miR-4732-5p	148	50674	50674.0	10691.0
hsa-miR-140-3p:MIMAT0004597:Homo:sapiens:miR-140-3p	110	50548	50546.5	11754.5
hsa-miR-942-5p:MIMAT0004985:Homo:sapiens:miR-942-5p	105	50436	50436.0	7462.0
hsa-miR-485-3p:MIMAT0002176:Homo:sapiens:miR-485-3p	145	49569	49569.0	11977.0
hsa-miR-433-3p:MIMAT0001627:Homo:sapiens:miR-433-3p	122	48612	48612.0	14784.0
hsa-miR-1246:MIMAT0005898:Homo:sapiens:miR-1246	27	44945	44945.0	10515.0
hsa-miR-584-5p:MIMAT0003249:Homo:sapiens:miR-584-5p	124	44780	44780.0	13946.0
hsa-miR-589-5p:MIMAT0004799:Homo:sapiens:miR-589-5p	128	43483	43483.0	8999.0
hsa-miR-211-5p:MIMAT0000268:Homo:sapiens:miR-211-5p	124	43377	43377.0	6963.0
hsa-miR-92b-3p:MIMAT0003218:Homo:sapiens:miR-92b-3p	116	41922	41922.0	9704.0
hsa-miR-320a:MIMAT0000510:Homo:sapiens:miR-320a	155	45179	41685.500000000015	11552.41666666667
hsa-miR-499b-3p:MIMAT0019898:Homo:sapiens:miR-499b-3p	110	39096	39096.0	9708.0
hsa-miR-134-5p:MIMAT0000447:Homo:sapiens:miR-134-5p	116	37177	37177.0	10291.0
