ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-4440:MIMAT0018958:Homo:sapiens:miR-4440	280	671184	669539.5	53368.5
hsa-miR-378c:MIMAT0016847:Homo:sapiens:miR-378c	392	604933	604922.1666666667	52282.666666666664
hsa-miR-378a-3p:MIMAT0000732:Homo:sapiens:miR-378a-3p	246	553040	551736.2500000003	48771.58333333335
hsa-miR-3184-3p:MIMAT0022731:Homo:sapiens:miR-3184-3p	234	361021	361021.0	39232.0
hsa-miR-6852-5p:MIMAT0027604:Homo:sapiens:miR-6852-5p	113	311041	311041.0	22454.0
hsa-let-7f-5p:MIMAT0000067:Homo:sapiens:let-7f-5p	205	299928	299739.5	35565.5
hsa-let-7c-5p:MIMAT0000064:Homo:sapiens:let-7c-5p	202	210399	209914.33333333334	35717.333333333336
hsa-let-7d-3p:MIMAT0004484:Homo:sapiens:let-7d-3p	193	173077	173077.0	19834.0
hsa-miR-625-3p:MIMAT0004808:Homo:sapiens:miR-625-3p	198	163567	163567.0	15390.0
hsa-miR-320d:MIMAT0006764:Homo:sapiens:miR-320d	58	158736	157028.65000000002	16105.083333333334
hsa-miR-10b-5p:MIMAT0000254:Homo:sapiens:miR-10b-5p	174	145184	145181.5	14624.0
hsa-miR-122-5p:MIMAT0000421:Homo:sapiens:miR-122-5p	158	139432	139432.0	22545.0
hsa-let-7b-5p:MIMAT0000063:Homo:sapiens:let-7b-5p	176	137326	137038.16666666666	29433.166666666668
hsa-miR-654-3p:MIMAT0004814:Homo:sapiens:miR-654-3p	125	126190	126190.0	10659.0
hsa-miR-576-3p:MIMAT0004796:Homo:sapiens:miR-576-3p	103	122691	122691.0	19365.0
hsa-miR-223-5p:MIMAT0004570:Homo:sapiens:miR-223-5p	153	119645	119645.0	15324.0
hsa-miR-483-5p:MIMAT0004761:Homo:sapiens:miR-483-5p	142	118627	118627.0	20558.0
hsa-miR-192-5p:MIMAT0000222:Homo:sapiens:miR-192-5p	113	118082	118063.0	14783.0
hsa-miR-7-5p:MIMAT0000252:Homo:sapiens:miR-7-5p	155	102441	102441.0	18987.0
hsa-miR-148a-5p:MIMAT0004549:Homo:sapiens:miR-148a-5p	156	101627	101627.0	22970.0
hsa-miR-629-5p:MIMAT0004810:Homo:sapiens:miR-629-5p	122	96418	96418.0	23410.0
hsa-miR-98-5p:MIMAT0000096:Homo:sapiens:miR-98-5p	146	95546	95546.0	19855.0
hsa-miR-486-5p:MIMAT0002177:Homo:sapiens:miR-486-5p	146	84543	84543.0	15536.0
hsa-miR-885-5p:MIMAT0004947:Homo:sapiens:miR-885-5p	115	78658	78658.0	5655.0
hsa-miR-99b-5p:MIMAT0000689:Homo:sapiens:miR-99b-5p	165	69131	69131.0	12555.0
hsa-miR-7706:MIMAT0030021:Homo:sapiens:miR-7706	161	65785	65785.0	13546.0
hsa-miR-4433a-3p:MIMAT0018949:Homo:sapiens:miR-4433a-3p	89	64389	64389.0	12865.0
hsa-miR-433-3p:MIMAT0001627:Homo:sapiens:miR-433-3p	106	61140	61140.0	16473.0
hsa-miR-942-5p:MIMAT0004985:Homo:sapiens:miR-942-5p	102	60166	60166.0	7837.0
hsa-miR-532-5p:MIMAT0002888:Homo:sapiens:miR-532-5p	145	59936	59936.0	12852.0
hsa-miR-584-5p:MIMAT0003249:Homo:sapiens:miR-584-5p	116	58388	58388.0	16567.0
