ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-4440:MIMAT0018958:Homo:sapiens:miR-4440	291	686648	684303.0	44798.0
hsa-miR-378c:MIMAT0016847:Homo:sapiens:miR-378c	365	586314	586296.6666666667	49839.666666666664
hsa-miR-378a-3p:MIMAT0000732:Homo:sapiens:miR-378a-3p	226	516607	515235.6666666665	46037.666666666664
hsa-miR-3184-3p:MIMAT0022731:Homo:sapiens:miR-3184-3p	236	429633	429633.0	34138.0
hsa-miR-6852-5p:MIMAT0027604:Homo:sapiens:miR-6852-5p	120	407219	407219.0	21611.0
hsa-let-7f-5p:MIMAT0000067:Homo:sapiens:let-7f-5p	216	322866	322649.0	30867.0
hsa-miR-625-3p:MIMAT0004808:Homo:sapiens:miR-625-3p	218	208404	208404.0	14433.0
hsa-miR-122-5p:MIMAT0000421:Homo:sapiens:miR-122-5p	173	207363	207363.0	22009.0
hsa-let-7d-3p:MIMAT0004484:Homo:sapiens:let-7d-3p	179	198183	198183.0	16509.0
hsa-let-7c-5p:MIMAT0000064:Homo:sapiens:let-7c-5p	189	196192	195761.66666666666	27609.0
hsa-miR-10b-5p:MIMAT0000254:Homo:sapiens:miR-10b-5p	175	161216	161215.5	12270.5
hsa-miR-576-3p:MIMAT0004796:Homo:sapiens:miR-576-3p	97	136238	136238.0	16485.0
hsa-miR-320d:MIMAT0006764:Homo:sapiens:miR-320d	54	125517	123889.69523809521	12250.778571428571
hsa-miR-483-5p:MIMAT0004761:Homo:sapiens:miR-483-5p	124	120442	120442.0	17326.0
hsa-let-7b-5p:MIMAT0000063:Homo:sapiens:let-7b-5p	165	116237	115972.16666666667	21650.5
hsa-miR-223-5p:MIMAT0004570:Homo:sapiens:miR-223-5p	142	110917	110917.0	14682.0
hsa-miR-654-3p:MIMAT0004814:Homo:sapiens:miR-654-3p	132	109885	109885.0	8249.0
hsa-miR-7-5p:MIMAT0000252:Homo:sapiens:miR-7-5p	167	108729	108723.75	16405.25
hsa-miR-629-5p:MIMAT0004810:Homo:sapiens:miR-629-5p	121	99283	99283.0	18574.0
hsa-miR-98-5p:MIMAT0000096:Homo:sapiens:miR-98-5p	128	98478	98478.0	16221.0
hsa-miR-148a-5p:MIMAT0004549:Homo:sapiens:miR-148a-5p	141	97632	97632.0	17948.0
hsa-miR-99b-5p:MIMAT0000689:Homo:sapiens:miR-99b-5p	191	84426	84426.0	10970.0
hsa-miR-192-5p:MIMAT0000222:Homo:sapiens:miR-192-5p	103	80681	80657.0	10428.0
hsa-miR-885-5p:MIMAT0004947:Homo:sapiens:miR-885-5p	111	78717	78717.0	4652.0
hsa-miR-144-5p:MIMAT0004600:Homo:sapiens:miR-144-5p	103	74490	74490.0	12239.0
hsa-miR-486-5p:MIMAT0002177:Homo:sapiens:miR-486-5p	132	69904	69904.0	11142.0
hsa-miR-4433a-3p:MIMAT0018949:Homo:sapiens:miR-4433a-3p	93	68614	68614.0	12231.0
hsa-miR-100-5p:MIMAT0000098:Homo:sapiens:miR-100-5p	136	62162	62140.0	6054.5
hsa-miR-140-3p:MIMAT0004597:Homo:sapiens:miR-140-3p	119	59597	59597.0	10160.0
hsa-miR-1246:MIMAT0005898:Homo:sapiens:miR-1246	24	55384	55384.0	9427.0
