ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-151a-3p:MIMAT0000757:Homo:sapiens:miR-151a-3p	400	1084039	1084039.0	0.0
hsa-miR-378c:MIMAT0016847:Homo:sapiens:miR-378c	950	396358	396009.6666666665	0.0
hsa-miR-122-5p:MIMAT0000421:Homo:sapiens:miR-122-5p	402	308401	308401.0	0.0
hsa-miR-139-3p:MIMAT0004552:Homo:sapiens:miR-139-3p	521	273674	273674.0	0.0
hsa-miR-223-5p:MIMAT0004570:Homo:sapiens:miR-223-5p	421	259503	259503.0	0.0
hsa-miR-183-5p:MIMAT0000261:Homo:sapiens:miR-183-5p	342	221375	221371.5	0.0
hsa-miR-485-5p:MIMAT0002175:Homo:sapiens:miR-485-5p	373	218792	218792.0	0.0
hsa-miR-629-5p:MIMAT0004810:Homo:sapiens:miR-629-5p	301	187817	187817.0	0.0
hsa-miR-184:MIMAT0000454:Homo:sapiens:miR-184	411	178038	178038.0	0.0
hsa-miR-148a-3p:MIMAT0000243:Homo:sapiens:miR-148a-3p	295	176062	176062.0	0.0
hsa-miR-92b-3p:MIMAT0003218:Homo:sapiens:miR-92b-3p	333	169186	169186.0	0.0
hsa-miR-129-5p:MIMAT0000242:Homo:sapiens:miR-129-5p	264	168354	168354.0	0.0
hsa-miR-941:MIMAT0004984:Homo:sapiens:miR-941	280	141166	141166.0	0.0
hsa-miR-409-3p:MIMAT0001639:Homo:sapiens:miR-409-3p	288	117585	117585.0	0.0
hsa-miR-100-5p:MIMAT0000098:Homo:sapiens:miR-100-5p	403	110004	109825.5	0.0
hsa-miR-99b-5p:MIMAT0000689:Homo:sapiens:miR-99b-5p	428	105567	105566.5	0.0
hsa-miR-10b-5p:MIMAT0000254:Homo:sapiens:miR-10b-5p	405	98862	98858.5	0.0
hsa-miR-576-3p:MIMAT0004796:Homo:sapiens:miR-576-3p	221	93281	93281.0	0.0
hsa-let-7f-5p:MIMAT0000067:Homo:sapiens:let-7f-5p	273	79102	79089.0	0.0
hsa-miR-148a-5p:MIMAT0004549:Homo:sapiens:miR-148a-5p	241	70823	70823.0	0.0
hsa-miR-584-5p:MIMAT0003249:Homo:sapiens:miR-584-5p	280	70775	70775.0	0.0
hsa-miR-7974:MIMAT0031177:Homo:sapiens:miR-7974	239	70412	70412.0	0.0
