ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-625-3p:MIMAT0004808:Homo:sapiens:miR-625-3p	799	1272382	1272382.0	64361.0
hsa-miR-21-5p:MIMAT0000076:Homo:sapiens:miR-21-5p	580	784628	784628.0	48340.0
hsa-let-7f-5p:MIMAT0000067:Homo:sapiens:let-7f-5p	605	772052	771925.5	40162.0
hsa-miR-122-5p:MIMAT0000421:Homo:sapiens:miR-122-5p	552	766801	766801.0	50078.0
hsa-miR-223-5p:MIMAT0004570:Homo:sapiens:miR-223-5p	506	753082	753082.0	43998.0
hsa-miR-19b-3p:MIMAT0000074:Homo:sapiens:miR-19b-3p	390	409798	409798.0	27437.0
hsa-miR-4440:MIMAT0018958:Homo:sapiens:miR-4440	480	407881	405227.0	51943.0
hsa-miR-629-5p:MIMAT0004810:Homo:sapiens:miR-629-5p	396	405172	405172.0	36648.0
hsa-miR-185-5p:MIMAT0000455:Homo:sapiens:miR-185-5p	425	360129	360129.0	28165.0
hsa-miR-7-5p:MIMAT0000252:Homo:sapiens:miR-7-5p	508	338277	338274.5	32537.5
hsa-miR-6852-5p:MIMAT0027604:Homo:sapiens:miR-6852-5p	247	325644	325644.0	34404.0
hsa-miR-374a-5p:MIMAT0000727:Homo:sapiens:miR-374a-5p	359	325516	325388.3333333333	26588.166666666664
hsa-miR-151a-3p:MIMAT0000757:Homo:sapiens:miR-151a-3p	313	310202	310202.0	35360.0
hsa-miR-378c:MIMAT0016847:Homo:sapiens:miR-378c	559	308324	308308.0	41040.5
hsa-miR-200a-3p:MIMAT0000682:Homo:sapiens:miR-200a-3p	506	290699	290356.0	27817.5
hsa-let-7c-5p:MIMAT0000064:Homo:sapiens:let-7c-5p	394	263716	262811.3333333334	33688.33333333333
hsa-miR-576-3p:MIMAT0004796:Homo:sapiens:miR-576-3p	255	245705	245705.0	34197.0
hsa-miR-3184-3p:MIMAT0022731:Homo:sapiens:miR-3184-3p	354	222153	222153.0	29054.0
hsa-miR-18a-5p:MIMAT0000072:Homo:sapiens:miR-18a-5p	352	220117	219837.0	25083.0
hsa-let-7d-3p:MIMAT0004484:Homo:sapiens:let-7d-3p	420	215213	215213.0	28640.0
hsa-miR-654-3p:MIMAT0004814:Homo:sapiens:miR-654-3p	249	199327	199327.0	16022.0
hsa-miR-98-5p:MIMAT0000096:Homo:sapiens:miR-98-5p	301	194465	194465.0	24600.0
hsa-miR-18b-5p:MIMAT0001412:Homo:sapiens:miR-18b-5p	376	190369	190095.0	28908.5
hsa-miR-148a-5p:MIMAT0004549:Homo:sapiens:miR-148a-5p	281	189924	189924.0	22990.0
hsa-miR-140-5p:MIMAT0000431:Homo:sapiens:miR-140-5p	307	188525	188525.0	25339.0
hsa-miR-144-5p:MIMAT0004600:Homo:sapiens:miR-144-5p	282	184910	184910.0	22186.0
hsa-let-7b-5p:MIMAT0000063:Homo:sapiens:let-7b-5p	337	163629	163499.5	28435.0
hsa-miR-378a-3p:MIMAT0000732:Homo:sapiens:miR-378a-3p	392	164465	162260.53333333338	27060.61666666666
hsa-miR-4732-5p:MIMAT0019855:Homo:sapiens:miR-4732-5p	374	161297	161297.0	29440.0
hsa-miR-885-5p:MIMAT0004947:Homo:sapiens:miR-885-5p	294	161180	161180.0	20223.0
hsa-miR-29b-2-5p:MIMAT0004515:Homo:sapiens:miR-29b-2-5p	285	136786	136708.5	20950.5
hsa-miR-204-3p:MIMAT0022693:Homo:sapiens:miR-204-3p	261	134963	134963.0	23121.0
hsa-miR-320d:MIMAT0006764:Homo:sapiens:miR-320d	165	134271	132576.46666666667	24356.400000000005
hsa-miR-451a:MIMAT0001631:Homo:sapiens:miR-451a	322	130760	130760.0	20204.0
hsa-miR-133a-3p:MIMAT0000427:Homo:sapiens:miR-133a-3p	274	130466	129311.0	15067.0
hsa-miR-1908-5p:MIMAT0007881:Homo:sapiens:miR-1908-5p	227	129208	129208.0	27391.0
hsa-miR-26b-5p:MIMAT0000083:Homo:sapiens:miR-26b-5p	218	127102	127102.0	19899.0
hsa-miR-103a-3p:MIMAT0000101:Homo:sapiens:miR-103a-3p	391	125547	124483.5	18558.0
hsa-miR-9-5p:MIMAT0000441:Homo:sapiens:miR-9-5p	391	121629	121629.0	30860.0
hsa-miR-139-3p:MIMAT0004552:Homo:sapiens:miR-139-3p	362	114781	114781.0	24600.0
hsa-miR-24-3p:MIMAT0000080:Homo:sapiens:miR-24-3p	188	110970	110970.0	13357.0
hsa-miR-107:MIMAT0000104:Homo:sapiens:miR-107	374	109706	108642.5	16295.0
hsa-miR-324-5p:MIMAT0000761:Homo:sapiens:miR-324-5p	339	105974	105974.0	21464.0
hsa-miR-129-5p:MIMAT0000242:Homo:sapiens:miR-129-5p	222	105910	105910.0	30784.0
hsa-miR-433-3p:MIMAT0001627:Homo:sapiens:miR-433-3p	256	104400	104400.0	25439.0
hsa-miR-191-5p:MIMAT0000440:Homo:sapiens:miR-191-5p	378	104109	104109.0	18513.0
hsa-miR-1307-3p:MIMAT0005951:Homo:sapiens:miR-1307-3p	298	100936	100936.0	24687.0
hsa-miR-15b-5p:MIMAT0000417:Homo:sapiens:miR-15b-5p	275	97453	97453.0	20813.0
hsa-miR-499b-3p:MIMAT0019898:Homo:sapiens:miR-499b-3p	240	96779	96779.0	14471.0
hsa-miR-584-5p:MIMAT0003249:Homo:sapiens:miR-584-5p	395	92743	92743.0	31232.0
hsa-miR-590-5p:MIMAT0003258:Homo:sapiens:miR-590-5p	240	90397	90397.0	16229.0
hsa-miR-132-3p:MIMAT0000426:Homo:sapiens:miR-132-3p	276	90250	90250.0	18048.0
hsa-let-7g-5p:MIMAT0000414:Homo:sapiens:let-7g-5p	200	89603	89603.0	9646.0
hsa-miR-483-5p:MIMAT0004761:Homo:sapiens:miR-483-5p	232	87181	87181.0	15219.0
hsa-miR-2110:MIMAT0010133:Homo:sapiens:miR-2110	236	84527	84527.0	16418.0
