ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-192-5p:MIMAT0000222:Homo:sapiens:miR-192-5p	215	1365462	1364194.0	0.0
hsa-miR-148a-5p:MIMAT0004549:Homo:sapiens:miR-148a-5p	243	710360	710360.0	0.0
hsa-miR-191-5p:MIMAT0000440:Homo:sapiens:miR-191-5p	237	523869	523869.0	0.0
hsa-miR-92b-3p:MIMAT0003218:Homo:sapiens:miR-92b-3p	223	458720	458720.0	0.0
hsa-miR-378a-3p:MIMAT0000732:Homo:sapiens:miR-378a-3p	213	429741	428948.91666666657	0.0
hsa-miR-10b-5p:MIMAT0000254:Homo:sapiens:miR-10b-5p	244	273661	273647.5	0.0
hsa-miR-151a-3p:MIMAT0000757:Homo:sapiens:miR-151a-3p	137	234210	234210.0	0.0
hsa-miR-127-3p:MIMAT0000446:Homo:sapiens:miR-127-3p	190	225045	225045.0	0.0
hsa-miR-3929:MIMAT0018206:Homo:sapiens:miR-3929	163	211195	211195.0	0.0
hsa-miR-500a-3p:MIMAT0002871:Homo:sapiens:miR-500a-3p	124	186335	185387.0	0.0
hsa-miR-215-5p:MIMAT0000272:Homo:sapiens:miR-215-5p	126	185437	184169.0	0.0
hsa-miR-769-5p:MIMAT0003886:Homo:sapiens:miR-769-5p	124	160688	160688.0	0.0
hsa-miR-486-5p:MIMAT0002177:Homo:sapiens:miR-486-5p	292	154327	154327.0	0.0
hsa-miR-6852-5p:MIMAT0027604:Homo:sapiens:miR-6852-5p	105	150614	150614.0	0.0
hsa-miR-186-5p:MIMAT0000456:Homo:sapiens:miR-186-5p	111	135428	135428.0	0.0
hsa-miR-485-5p:MIMAT0002175:Homo:sapiens:miR-485-5p	130	133019	133019.0	0.0
hsa-miR-7706:MIMAT0030021:Homo:sapiens:miR-7706	194	132513	132513.0	0.0
hsa-miR-7974:MIMAT0031177:Homo:sapiens:miR-7974	130	130582	130582.0	0.0
hsa-miR-28-3p:MIMAT0004502:Homo:sapiens:miR-28-3p	106	128301	128301.0	0.0
hsa-miR-449b-5p:MIMAT0003327:Homo:sapiens:miR-449b-5p	174	117779	117664.5	0.0
hsa-miR-182-5p:MIMAT0000259:Homo:sapiens:miR-182-5p	154	110338	110338.0	0.0
hsa-miR-378c:MIMAT0016847:Homo:sapiens:miR-378c	188	109202	109197.16666666667	0.0
hsa-miR-941:MIMAT0004984:Homo:sapiens:miR-941	127	104339	104339.0	0.0
hsa-miR-4732-5p:MIMAT0019855:Homo:sapiens:miR-4732-5p	156	103770	103770.0	0.0
hsa-miR-10a-5p:MIMAT0000253:Homo:sapiens:miR-10a-5p	175	102937	102923.5	0.0
hsa-miR-584-5p:MIMAT0003249:Homo:sapiens:miR-584-5p	108	98794	98794.0	0.0
hsa-miR-181b-5p:MIMAT0000257:Homo:sapiens:miR-181b-5p	166	97289	97289.0	0.0
hsa-miR-99b-5p:MIMAT0000689:Homo:sapiens:miR-99b-5p	222	84127	84127.0	0.0
hsa-miR-181a-5p:MIMAT0000256:Homo:sapiens:miR-181a-5p	145	82654	82654.0	0.0
hsa-miR-423-5p:MIMAT0004748:Homo:sapiens:miR-423-5p	140	81352	81352.0	0.0
hsa-miR-589-5p:MIMAT0004799:Homo:sapiens:miR-589-5p	126	79967	79967.0	0.0
hsa-miR-411-5p:MIMAT0003329:Homo:sapiens:miR-411-5p	117	70540	70540.0	0.0
hsa-miR-144-5p:MIMAT0004600:Homo:sapiens:miR-144-5p	95	66373	66373.0	0.0
hsa-let-7d-3p:MIMAT0004484:Homo:sapiens:let-7d-3p	116	65001	65001.0	0.0
hsa-let-7f-5p:MIMAT0000067:Homo:sapiens:let-7f-5p	120	64773	64753.5	0.0
hsa-miR-345-5p:MIMAT0000772:Homo:sapiens:miR-345-5p	107	62778	62778.0	0.0
hsa-miR-34c-5p:MIMAT0000686:Homo:sapiens:miR-34c-5p	123	60092	60092.0	0.0
hsa-miR-103b:MIMAT0007402:Homo:sapiens:miR-103b	118	57340	57340.0	0.0
hsa-miR-136-3p:MIMAT0004606:Homo:sapiens:miR-136-3p	91	56231	56231.0	0.0
hsa-miR-409-3p:MIMAT0001639:Homo:sapiens:miR-409-3p	115	53053	53053.0	0.0
hsa-miR-26a-5p:MIMAT0000082:Homo:sapiens:miR-26a-5p	140	50957	50957.0	0.0
hsa-miR-143-3p:MIMAT0000435:Homo:sapiens:miR-143-3p	79	49005	49005.0	0.0
hsa-miR-576-3p:MIMAT0004796:Homo:sapiens:miR-576-3p	93	48873	48873.0	0.0
hsa-miR-378b:MIMAT0014999:Homo:sapiens:miR-378b	45	43582	43522.0	0.0
hsa-miR-486-3p:MIMAT0004762:Homo:sapiens:miR-486-3p	84	42331	42331.0	0.0
hsa-miR-654-3p:MIMAT0004814:Homo:sapiens:miR-654-3p	101	41125	41125.0	0.0
hsa-miR-100-5p:MIMAT0000098:Homo:sapiens:miR-100-5p	155	39108	39100.0	0.0
hsa-miR-625-3p:MIMAT0004808:Homo:sapiens:miR-625-3p	135	38066	38066.0	0.0
hsa-miR-92a-3p:MIMAT0000092:Homo:sapiens:miR-92a-3p	135	37806	37806.0	0.0
hsa-miR-22-3p:MIMAT0000077:Homo:sapiens:miR-22-3p	85	36001	36001.0	0.0
hsa-miR-185-3p:MIMAT0004611:Homo:sapiens:miR-185-3p	77	35681	35681.0	0.0
hsa-miR-129-5p:MIMAT0000242:Homo:sapiens:miR-129-5p	73	35417	35417.0	0.0
hsa-miR-212-3p:MIMAT0000269:Homo:sapiens:miR-212-3p	68	31613	31613.0	0.0
hsa-miR-629-5p:MIMAT0004810:Homo:sapiens:miR-629-5p	123	30932	30932.0	0.0
hsa-miR-30e-3p:MIMAT0000693:Homo:sapiens:miR-30e-3p	103	30849	30840.5	0.0
hsa-miR-183-5p:MIMAT0000261:Homo:sapiens:miR-183-5p	109	30341	30341.0	0.0
hsa-miR-4433a-5p:MIMAT0020956:Homo:sapiens:miR-4433a-5p	82	29307	29307.0	0.0
hsa-miR-223-5p:MIMAT0004570:Homo:sapiens:miR-223-5p	94	29166	29166.0	0.0
hsa-miR-21-5p:MIMAT0000076:Homo:sapiens:miR-21-5p	91	27377	27377.0	0.0
hsa-miR-148a-3p:MIMAT0000243:Homo:sapiens:miR-148a-3p	97	25469	25469.0	0.0
hsa-miR-433-3p:MIMAT0001627:Homo:sapiens:miR-433-3p	98	24191	24191.0	0.0
hsa-miR-130b-5p:MIMAT0004680:Homo:sapiens:miR-130b-5p	66	24126	24126.0	0.0
hsa-miR-301b-3p:MIMAT0004958:Homo:sapiens:miR-301b-3p	100	23700	23683.5	0.0
hsa-miR-126-5p:MIMAT0000444:Homo:sapiens:miR-126-5p	74	22161	22161.0	0.0
hsa-miR-16-5p:MIMAT0000069:Homo:sapiens:miR-16-5p	93	20903	20903.0	0.0
hsa-miR-421:MIMAT0003339:Homo:sapiens:miR-421	110	19921	19921.0	0.0
hsa-miR-299-3p:MIMAT0000687:Homo:sapiens:miR-299-3p	99	19548	19548.0	0.0
hsa-miR-499b-3p:MIMAT0019898:Homo:sapiens:miR-499b-3p	67	19231	19231.0	0.0
hsa-miR-874-3p:MIMAT0004911:Homo:sapiens:miR-874-3p	93	19030	19030.0	0.0
hsa-miR-200a-3p:MIMAT0000682:Homo:sapiens:miR-200a-3p	103	18475	18418.5	0.0
hsa-miR-101-3p:MIMAT0000099:Homo:sapiens:miR-101-3p	73	17893	17893.0	0.0
hsa-miR-150-5p:MIMAT0000451:Homo:sapiens:miR-150-5p	74	17784	17784.0	0.0
hsa-miR-133a-3p:MIMAT0000427:Homo:sapiens:miR-133a-3p	81	17782	17520.0	0.0
hsa-miR-151b:MIMAT0010214:Homo:sapiens:miR-151b|hsa-miR-151a-5p:MIMAT0004697:Homo:sapiens:miR-151a-5p	51	17557	17441.833333333332	0.0
hsa-miR-451b:MIMAT0019840:Homo:sapiens:miR-451b	86	16736	16736.0	0.0
hsa-miR-1307-3p:MIMAT0005951:Homo:sapiens:miR-1307-3p	102	16700	16700.0	0.0
hsa-miR-3184-3p:MIMAT0022731:Homo:sapiens:miR-3184-3p	87	16550	16550.0	0.0
hsa-miR-378e:MIMAT0018927:Homo:sapiens:miR-378e	44	16374	16320.400000000001	0.0
hsa-miR-501-3p:MIMAT0004774:Homo:sapiens:miR-501-3p	97	16242	16226.0	0.0
hsa-miR-125a-5p:MIMAT0000443:Homo:sapiens:miR-125a-5p	103	15763	15763.0	0.0
hsa-miR-188-3p:MIMAT0004613:Homo:sapiens:miR-188-3p	45	15516	15516.0	0.0
hsa-miR-27b-3p:MIMAT0000419:Homo:sapiens:miR-27b-3p	60	15415	15291.5	0.0
hsa-miR-342-5p:MIMAT0004694:Homo:sapiens:miR-342-5p	84	14321	14321.0	0.0
hsa-miR-184:MIMAT0000454:Homo:sapiens:miR-184	96	14316	14316.0	0.0
hsa-miR-301a-3p:MIMAT0000688:Homo:sapiens:miR-301a-3p	84	13561	13544.5	0.0
hsa-miR-1180-3p:MIMAT0005825:Homo:sapiens:miR-1180-3p	87	13473	13473.0	0.0
hsa-miR-532-5p:MIMAT0002888:Homo:sapiens:miR-532-5p	119	13276	13276.0	0.0
hsa-miR-942-5p:MIMAT0004985:Homo:sapiens:miR-942-5p	69	13055	13055.0	0.0
hsa-miR-744-5p:MIMAT0004945:Homo:sapiens:miR-744-5p	87	12570	12570.0	0.0
hsa-miR-142-5p:MIMAT0000433:Homo:sapiens:miR-142-5p	66	12436	12436.0	0.0
hsa-miR-342-3p:MIMAT0000753:Homo:sapiens:miR-342-3p	121	12305	12305.0	0.0
hsa-miR-4440:MIMAT0018958:Homo:sapiens:miR-4440	81	12017	12005.5	0.0
hsa-miR-485-3p:MIMAT0002176:Homo:sapiens:miR-485-3p	81	11936	11936.0	0.0
hsa-miR-3615:MIMAT0017994:Homo:sapiens:miR-3615	54	11588	11588.0	0.0
hsa-miR-103a-3p:MIMAT0000101:Homo:sapiens:miR-103a-3p	101	10937	10700.5	0.0
hsa-miR-664a-5p:MIMAT0005948:Homo:sapiens:miR-664a-5p	90	10554	10554.0	0.0
hsa-miR-211-5p:MIMAT0000268:Homo:sapiens:miR-211-5p	71	10074	10074.0	0.0
hsa-miR-320d:MIMAT0006764:Homo:sapiens:miR-320d	30	10050	10022.05	0.0
hsa-miR-134-5p:MIMAT0000447:Homo:sapiens:miR-134-5p	79	9978	9978.0	0.0
hsa-miR-4326:MIMAT0016888:Homo:sapiens:miR-4326	41	9856	9856.0	0.0
hsa-miR-205-5p:MIMAT0000266:Homo:sapiens:miR-205-5p	68	9847	9847.0	0.0
hsa-miR-25-3p:MIMAT0000081:Homo:sapiens:miR-25-3p	78	9524	9524.0	0.0
hsa-miR-26b-5p:MIMAT0000083:Homo:sapiens:miR-26b-5p	56	9456	9456.0	0.0
hsa-miR-490-3p:MIMAT0002806:Homo:sapiens:miR-490-3p	57	9437	9437.0	0.0
hsa-miR-378d:MIMAT0018926:Homo:sapiens:miR-378d	78	10067	9328.41666666667	0.0
hsa-miR-1307-5p:MIMAT0022727:Homo:sapiens:miR-1307-5p	84	9269	9269.0	0.0
hsa-miR-128-3p:MIMAT0000424:Homo:sapiens:miR-128-3p	45	8657	8657.0	0.0
hsa-miR-30d-5p:MIMAT0000245:Homo:sapiens:miR-30d-5p	78	8433	8430.5	0.0
hsa-let-7c-5p:MIMAT0000064:Homo:sapiens:let-7c-5p	75	8251	8240.0	0.0
hsa-miR-340-5p:MIMAT0004692:Homo:sapiens:miR-340-5p	63	8173	8173.0	0.0
hsa-miR-199b-5p:MIMAT0000263:Homo:sapiens:miR-199b-5p	61	7713	7709.5	0.0
hsa-miR-4433b-5p:MIMAT0030413:Homo:sapiens:miR-4433b-5p	50	7641	7641.0	0.0
hsa-miR-615-3p:MIMAT0003283:Homo:sapiens:miR-615-3p	50	7340	7340.0	0.0
hsa-miR-450b-5p:MIMAT0004909:Homo:sapiens:miR-450b-5p	46	7313	7313.0	0.0
hsa-miR-660-5p:MIMAT0003338:Homo:sapiens:miR-660-5p	75	7236	7236.0	0.0
hsa-miR-132-5p:MIMAT0004594:Homo:sapiens:miR-132-5p	77	7214	7214.0	0.0
hsa-miR-885-5p:MIMAT0004947:Homo:sapiens:miR-885-5p	64	7120	7120.0	0.0
hsa-miR-98-5p:MIMAT0000096:Homo:sapiens:miR-98-5p	66	7055	7055.0	0.0
hsa-miR-373-3p:MIMAT0000726:Homo:sapiens:miR-373-3p	71	7035	7035.0	0.0
hsa-miR-1301-3p:MIMAT0005797:Homo:sapiens:miR-1301-3p	69	6874	6874.0	0.0
hsa-miR-451a:MIMAT0001631:Homo:sapiens:miR-451a	66	6838	6838.0	0.0
hsa-miR-199b-3p:MIMAT0004563:Homo:sapiens:miR-199b-3p|hsa-miR-199a-3p:MIMAT0000232:Homo:sapiens:miR-199a-3p	76	6489	6489.0	0.0
hsa-miR-9-5p:MIMAT0000441:Homo:sapiens:miR-9-5p	72	6328	6328.0	0.0
hsa-miR-130b-3p:MIMAT0000691:Homo:sapiens:miR-130b-3p	63	5854	5854.0	0.0
hsa-miR-326:MIMAT0000756:Homo:sapiens:miR-326	36	5688	5688.0	0.0
hsa-miR-30a-5p:MIMAT0000087:Homo:sapiens:miR-30a-5p	57	5488	5485.5	0.0
hsa-miR-1908-5p:MIMAT0007881:Homo:sapiens:miR-1908-5p	60	5449	5449.0	0.0
hsa-miR-23a-3p:MIMAT0000078:Homo:sapiens:miR-23a-3p	41	5422	5408.5	0.0
hsa-miR-370-3p:MIMAT0000722:Homo:sapiens:miR-370-3p	41	5289	5289.0	0.0
hsa-miR-132-3p:MIMAT0000426:Homo:sapiens:miR-132-3p	65	5272	5272.0	0.0
hsa-miR-146b-5p:MIMAT0002809:Homo:sapiens:miR-146b-5p	59	5268	5267.5	0.0
hsa-miR-484:MIMAT0002174:Homo:sapiens:miR-484	64	5177	5177.0	0.0
hsa-miR-450a-5p:MIMAT0001545:Homo:sapiens:miR-450a-5p	57	5139	5139.0	0.0
hsa-miR-107:MIMAT0000104:Homo:sapiens:miR-107	83	4953	4716.5	0.0
hsa-miR-1273a:MIMAT0005926:Homo:sapiens:miR-1273a	67	4614	4614.0	0.0
hsa-miR-3591-3p:MIMAT0019877:Homo:sapiens:miR-3591-3p	50	4440	4440.0	0.0
hsa-miR-19b-3p:MIMAT0000074:Homo:sapiens:miR-19b-3p	59	4384	4384.0	0.0
hsa-miR-369-5p:MIMAT0001621:Homo:sapiens:miR-369-5p	58	4378	4378.0	0.0
hsa-miR-424-3p:MIMAT0004749:Homo:sapiens:miR-424-3p	45	4356	4356.0	0.0
hsa-miR-196b-5p:MIMAT0001080:Homo:sapiens:miR-196b-5p	39	4198	4198.0	0.0
hsa-miR-320c:MIMAT0005793:Homo:sapiens:miR-320c	42	4510	4160.05	0.0
hsa-let-7e-5p:MIMAT0000066:Homo:sapiens:let-7e-5p	55	3914	3911.0	0.0
hsa-miR-449a:MIMAT0001541:Homo:sapiens:miR-449a	82	4009	3894.5	0.0
hsa-miR-188-5p:MIMAT0000457:Homo:sapiens:miR-188-5p	35	3807	3807.0	0.0
hsa-miR-363-3p:MIMAT0000707:Homo:sapiens:miR-363-3p	60	3749	3749.0	0.0
hsa-miR-497-5p:MIMAT0002820:Homo:sapiens:miR-497-5p	33	3650	3650.0	0.0
hsa-miR-323b-3p:MIMAT0015050:Homo:sapiens:miR-323b-3p	55	3551	3551.0	0.0
