ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-148a-3p:MIMAT0000243:Homo:sapiens:miR-148a-3p	659	939450	939450.0	0.0
hsa-miR-151a-3p:MIMAT0000757:Homo:sapiens:miR-151a-3p	459	881702	881702.0	0.0
hsa-miR-200a-5p:MIMAT0001620:Homo:sapiens:miR-200a-5p	505	726455	726455.0	0.0
hsa-miR-184:MIMAT0000454:Homo:sapiens:miR-184	716	598914	598914.0	0.0
hsa-miR-578:MIMAT0003243:Homo:sapiens:miR-578	433	378965	378965.0	0.0
hsa-miR-516b-5p:MIMAT0002859:Homo:sapiens:miR-516b-5p	339	322466	322466.0	0.0
hsa-miR-506-3p:MIMAT0002878:Homo:sapiens:miR-506-3p	282	296257	296257.0	0.0
hsa-miR-493-3p:MIMAT0003161:Homo:sapiens:miR-493-3p	421	292717	292717.0	0.0
hsa-miR-485-5p:MIMAT0002175:Homo:sapiens:miR-485-5p	517	260050	260050.0	0.0
hsa-miR-409-3p:MIMAT0001639:Homo:sapiens:miR-409-3p	539	247579	247579.0	0.0
hsa-miR-581:MIMAT0003246:Homo:sapiens:miR-581	300	222696	222696.0	0.0
hsa-miR-370-3p:MIMAT0000722:Homo:sapiens:miR-370-3p	277	199248	199248.0	0.0
hsa-miR-646:MIMAT0003316:Homo:sapiens:miR-646	41	188227	188227.0	0.0
hsa-miR-511-5p:MIMAT0002808:Homo:sapiens:miR-511-5p	205	179623	179623.0	0.0
hsa-miR-514a-3p:MIMAT0002883:Homo:sapiens:miR-514a-3p	179	172089	172089.0	0.0
hsa-miR-30e-3p:MIMAT0000693:Homo:sapiens:miR-30e-3p	371	166760	166692.5	0.0
hsa-miR-509-3-5p:MIMAT0004975:Homo:sapiens:miR-509-3-5p	513	164488	164488.0	0.0
hsa-miR-622:MIMAT0003291:Homo:sapiens:miR-622	229	161129	161129.0	0.0
hsa-miR-183-5p:MIMAT0000261:Homo:sapiens:miR-183-5p	447	159516	159512.0	0.0
hsa-miR-224-5p:MIMAT0000281:Homo:sapiens:miR-224-5p	287	152729	152729.0	0.0
hsa-miR-129-5p:MIMAT0000242:Homo:sapiens:miR-129-5p	351	133528	133528.0	0.0
hsa-miR-671-3p:MIMAT0004819:Homo:sapiens:miR-671-3p	276	119570	119570.0	0.0
hsa-miR-543:MIMAT0004954:Homo:sapiens:miR-543	427	114608	114608.0	0.0
hsa-miR-30a-3p:MIMAT0000088:Homo:sapiens:miR-30a-3p	349	113178	113120.5	0.0
