ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-224-5p:MIMAT0000281:Homo:sapiens:miR-224-5p	232	96554	96554.0	40176.0
hsa-miR-504-5p:MIMAT0002875:Homo:sapiens:miR-504-5p	199	57500	57500.0	24650.0
hsa-miR-362-5p:MIMAT0000705:Homo:sapiens:miR-362-5p	332	55007	55007.0	27507.0
hsa-miR-769-5p:MIMAT0003886:Homo:sapiens:miR-769-5p	136	48730	48730.0	24463.0
hsa-miR-181a-3p:MIMAT0000270:Homo:sapiens:miR-181a-3p	260	43969	43954.0	24320.0
hsa-miR-339-3p:MIMAT0004702:Homo:sapiens:miR-339-3p	281	42811	42811.0	22906.0
hsa-miR-490-3p:MIMAT0002806:Homo:sapiens:miR-490-3p	175	42172	42172.0	17931.0
hsa-miR-140-3p:MIMAT0004597:Homo:sapiens:miR-140-3p	253	40350	40350.0	20520.0
hsa-miR-500a-3p:MIMAT0002871:Homo:sapiens:miR-500a-3p	353	42444	39161.5	24918.5
hsa-miR-423-3p:MIMAT0001340:Homo:sapiens:miR-423-3p	307	39103	39103.0	24528.0
hsa-miR-378a-3p:MIMAT0000732:Homo:sapiens:miR-378a-3p	146	39399	38988.16666666666	20503.66666666667
hsa-miR-708-3p:MIMAT0004927:Homo:sapiens:miR-708-3p	194	38359	38359.0	10467.0
hsa-miR-380-5p:MIMAT0000734:Homo:sapiens:miR-380-5p	276	37783	37783.0	19423.0
hsa-miR-572:MIMAT0003237:Homo:sapiens:miR-572	121	37525	37525.0	15376.0
hsa-miR-217:MIMAT0000274:Homo:sapiens:miR-217	321	37352	37352.0	23486.0
hsa-miR-509-3p:MIMAT0002881:Homo:sapiens:miR-509-3p	267	35919	35919.0	19968.0
hsa-miR-146b-5p:MIMAT0002809:Homo:sapiens:miR-146b-5p	190	35054	35050.5	16520.5
hsa-miR-300:MIMAT0004903:Homo:sapiens:miR-300	220	34535	34535.0	18343.0
hsa-miR-200a-5p:MIMAT0001620:Homo:sapiens:miR-200a-5p	250	33893	33893.0	20899.0
hsa-miR-501-3p:MIMAT0004774:Homo:sapiens:miR-501-3p	293	33556	33483.5	23837.0
hsa-miR-485-3p:MIMAT0002176:Homo:sapiens:miR-485-3p	237	33402	33402.0	14402.0
hsa-miR-493-5p:MIMAT0002813:Homo:sapiens:miR-493-5p	164	33015	33015.0	15477.0
hsa-miR-330-3p:MIMAT0000751:Homo:sapiens:miR-330-3p	245	32464	32464.0	21036.0
hsa-miR-409-3p:MIMAT0001639:Homo:sapiens:miR-409-3p	305	32372	32372.0	20061.0
