ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-224-5p:MIMAT0000281:Homo:sapiens:miR-224-5p	221	80096	80096.0	42905.0
hsa-miR-362-5p:MIMAT0000705:Homo:sapiens:miR-362-5p	306	41394	41394.0	23012.0
hsa-miR-339-3p:MIMAT0004702:Homo:sapiens:miR-339-3p	289	37537	37537.0	22266.0
hsa-miR-504-5p:MIMAT0002875:Homo:sapiens:miR-504-5p	178	36868	36868.0	19381.0
hsa-miR-181a-3p:MIMAT0000270:Homo:sapiens:miR-181a-3p	271	35481	35468.5	24175.5
hsa-miR-490-3p:MIMAT0002806:Homo:sapiens:miR-490-3p	197	35158	35158.0	16691.0
hsa-miR-769-5p:MIMAT0003886:Homo:sapiens:miR-769-5p	141	34493	34493.0	20306.0
hsa-miR-299-3p:MIMAT0000687:Homo:sapiens:miR-299-3p	290	32605	32605.0	26536.0
hsa-miR-217:MIMAT0000274:Homo:sapiens:miR-217	333	31658	31658.0	21792.0
hsa-miR-708-3p:MIMAT0004927:Homo:sapiens:miR-708-3p	200	31584	31584.0	11018.0
hsa-miR-380-5p:MIMAT0000734:Homo:sapiens:miR-380-5p	277	30814	30814.0	19075.0
hsa-miR-572:MIMAT0003237:Homo:sapiens:miR-572	113	29951	29951.0	15518.0
hsa-miR-509-3p:MIMAT0002881:Homo:sapiens:miR-509-3p	267	29620	29620.0	17670.0
hsa-miR-146b-5p:MIMAT0002809:Homo:sapiens:miR-146b-5p	172	28869	28863.5	15442.5
hsa-miR-423-3p:MIMAT0001340:Homo:sapiens:miR-423-3p	303	27486	27486.0	19434.0
hsa-miR-378a-3p:MIMAT0000732:Homo:sapiens:miR-378a-3p	145	27555	27320.0	15905.333333333334
hsa-miR-381-3p:MIMAT0000736:Homo:sapiens:miR-381-3p	245	27271	27271.0	18506.0
hsa-miR-383-5p:MIMAT0000738:Homo:sapiens:miR-383-5p	183	27227	27227.0	18923.0
hsa-miR-503-5p:MIMAT0002874:Homo:sapiens:miR-503-5p	255	26276	26276.0	8557.0
hsa-miR-493-5p:MIMAT0002813:Homo:sapiens:miR-493-5p	179	26092	26092.0	14965.0
hsa-miR-485-3p:MIMAT0002176:Homo:sapiens:miR-485-3p	273	25312	25312.0	14094.0
hsa-miR-501-3p:MIMAT0004774:Homo:sapiens:miR-501-3p	264	24748	24712.5	17687.0
hsa-miR-9-5p:MIMAT0000441:Homo:sapiens:miR-9-5p	322	24054	24054.0	19020.0
hsa-miR-148a-3p:MIMAT0000243:Homo:sapiens:miR-148a-3p	219	23967	23967.0	15362.0
hsa-miR-29a-3p:MIMAT0000086:Homo:sapiens:miR-29a-3p	217	23960	23923.5	10328.5
hsa-miR-200a-5p:MIMAT0001620:Homo:sapiens:miR-200a-5p	245	23811	23811.0	17331.0
hsa-miR-196b-5p:MIMAT0001080:Homo:sapiens:miR-196b-5p	231	23401	23396.5	14359.5
hsa-miR-382-3p:MIMAT0022697:Homo:sapiens:miR-382-3p	163	23344	23344.0	14252.0
hsa-miR-505-3p:MIMAT0002876:Homo:sapiens:miR-505-3p	294	23266	23266.0	10115.0
hsa-miR-585-3p:MIMAT0003250:Homo:sapiens:miR-585-3p	71	22633	22633.0	14863.0
hsa-miR-623:MIMAT0003292:Homo:sapiens:miR-623	202	22620	22620.0	12141.0
hsa-miR-140-3p:MIMAT0004597:Homo:sapiens:miR-140-3p	211	22517	22517.0	15163.0
hsa-miR-637:MIMAT0003307:Homo:sapiens:miR-637	194	22487	22487.0	13948.0
hsa-miR-409-3p:MIMAT0001639:Homo:sapiens:miR-409-3p	284	22390	22390.0	16230.0
hsa-miR-450b-5p:MIMAT0004909:Homo:sapiens:miR-450b-5p	187	22275	22275.0	18951.0
hsa-miR-500a-3p:MIMAT0002871:Homo:sapiens:miR-500a-3p	300	25141	22108.5	15561.5
hsa-miR-132-3p:MIMAT0000426:Homo:sapiens:miR-132-3p	213	21767	21767.0	9204.0
hsa-miR-101-3p:MIMAT0000099:Homo:sapiens:miR-101-3p	120	21696	21696.0	16338.0
hsa-miR-143-3p:MIMAT0000435:Homo:sapiens:miR-143-3p	120	21272	21272.0	13215.0
hsa-miR-300:MIMAT0004903:Homo:sapiens:miR-300	202	21112	21112.0	13883.0
hsa-miR-580-3p:MIMAT0003245:Homo:sapiens:miR-580-3p	186	21005	21005.0	10985.0
hsa-miR-645:MIMAT0003315:Homo:sapiens:miR-645	50	20501	20501.0	12720.0
