ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-224-5p:MIMAT0000281:Homo:sapiens:miR-224-5p	238	95551	95551.0	44411.0
hsa-miR-362-5p:MIMAT0000705:Homo:sapiens:miR-362-5p	288	49980	49980.0	24989.0
hsa-miR-504-5p:MIMAT0002875:Homo:sapiens:miR-504-5p	196	47057	47057.0	22077.0
hsa-miR-181a-3p:MIMAT0000270:Homo:sapiens:miR-181a-3p	265	44533	44518.5	26584.5
hsa-miR-490-3p:MIMAT0002806:Homo:sapiens:miR-490-3p	176	41386	41386.0	17966.0
hsa-miR-339-3p:MIMAT0004702:Homo:sapiens:miR-339-3p	278	41038	41038.0	22871.0
hsa-miR-769-5p:MIMAT0003886:Homo:sapiens:miR-769-5p	140	40110	40110.0	21967.0
hsa-miR-380-5p:MIMAT0000734:Homo:sapiens:miR-380-5p	265	37531	37531.0	20541.0
hsa-miR-708-3p:MIMAT0004927:Homo:sapiens:miR-708-3p	197	36738	36737.5	11142.5
hsa-miR-572:MIMAT0003237:Homo:sapiens:miR-572	130	36053	36053.0	15892.0
hsa-miR-217:MIMAT0000274:Homo:sapiens:miR-217	337	35304	35304.0	22944.0
hsa-miR-509-3p:MIMAT0002881:Homo:sapiens:miR-509-3p	267	35134	35134.0	19036.0
hsa-miR-299-3p:MIMAT0000687:Homo:sapiens:miR-299-3p	268	34860	34860.0	27696.0
hsa-miR-378a-3p:MIMAT0000732:Homo:sapiens:miR-378a-3p	134	34897	34621.49999999999	18207.666666666668
hsa-miR-423-3p:MIMAT0001340:Homo:sapiens:miR-423-3p	310	33637	33637.0	21615.0
hsa-miR-146b-5p:MIMAT0002809:Homo:sapiens:miR-146b-5p	181	33250	33247.0	16140.0
hsa-miR-493-5p:MIMAT0002813:Homo:sapiens:miR-493-5p	163	31522	31522.0	15550.0
hsa-miR-381-3p:MIMAT0000736:Homo:sapiens:miR-381-3p	271	31402	31401.5	19896.5
hsa-miR-200a-5p:MIMAT0001620:Homo:sapiens:miR-200a-5p	252	31107	31107.0	20284.0
hsa-miR-140-3p:MIMAT0004597:Homo:sapiens:miR-140-3p	235	30506	30506.0	18006.0
hsa-miR-383-5p:MIMAT0000738:Homo:sapiens:miR-383-5p	215	30203	30203.0	20049.0
hsa-miR-485-3p:MIMAT0002176:Homo:sapiens:miR-485-3p	283	30181	30181.0	14731.0
hsa-miR-500a-3p:MIMAT0002871:Homo:sapiens:miR-500a-3p	332	32107	29114.5	19041.5
hsa-miR-148a-3p:MIMAT0000243:Homo:sapiens:miR-148a-3p	233	28966	28966.0	16899.0
hsa-miR-9-5p:MIMAT0000441:Homo:sapiens:miR-9-5p	311	28913	28913.0	21549.0
hsa-miR-382-3p:MIMAT0022697:Homo:sapiens:miR-382-3p	171	28843	28843.0	16201.0
hsa-miR-29a-3p:MIMAT0000086:Homo:sapiens:miR-29a-3p	209	28543	28515.5	10556.0
hsa-miR-409-3p:MIMAT0001639:Homo:sapiens:miR-409-3p	287	27927	27927.0	18051.0
hsa-miR-501-3p:MIMAT0004774:Homo:sapiens:miR-501-3p	272	27721	27673.5	19470.5
hsa-miR-300:MIMAT0004903:Homo:sapiens:miR-300	230	27526	27525.5	16290.5
hsa-miR-623:MIMAT0003292:Homo:sapiens:miR-623	218	26710	26710.0	13124.0
hsa-miR-330-3p:MIMAT0000751:Homo:sapiens:miR-330-3p	258	26343	26343.0	18908.0
hsa-miR-143-3p:MIMAT0000435:Homo:sapiens:miR-143-3p	127	25969	25969.0	14123.0
hsa-miR-132-3p:MIMAT0000426:Homo:sapiens:miR-132-3p	210	25777	25777.0	9511.0
hsa-miR-196b-5p:MIMAT0001080:Homo:sapiens:miR-196b-5p	230	25776	25773.5	14969.5
hsa-miR-645:MIMAT0003315:Homo:sapiens:miR-645	43	25576	25576.0	13588.0
hsa-miR-637:MIMAT0003307:Homo:sapiens:miR-637	184	25362	25362.0	14836.0
hsa-miR-575:MIMAT0003240:Homo:sapiens:miR-575	50	25326	25326.0	17841.0
hsa-miR-503-5p:MIMAT0002874:Homo:sapiens:miR-503-5p	249	25221	25221.0	8009.0
hsa-miR-505-3p:MIMAT0002876:Homo:sapiens:miR-505-3p	286	25018	25018.0	10057.0
hsa-miR-549a:MIMAT0003333:Homo:sapiens:miR-549a	132	24315	24315.0	12865.0
hsa-miR-28-3p:MIMAT0004502:Homo:sapiens:miR-28-3p	223	24227	24226.5	19069.5
hsa-miR-450b-5p:MIMAT0004909:Homo:sapiens:miR-450b-5p	177	24002	24002.0	19801.0
hsa-miR-323a-3p:MIMAT0000755:Homo:sapiens:miR-323a-3p	157	23812	23798.5	8093.0
hsa-miR-889-3p:MIMAT0004921:Homo:sapiens:miR-889-3p	171	23719	23719.0	15611.0
hsa-miR-30a-5p:MIMAT0000087:Homo:sapiens:miR-30a-5p	216	23720	23718.0	16842.0
hsa-miR-493-3p:MIMAT0003161:Homo:sapiens:miR-493-3p	199	23605	23605.0	16613.0
hsa-miR-580-3p:MIMAT0003245:Homo:sapiens:miR-580-3p	183	23315	23315.0	11288.0
hsa-miR-585-3p:MIMAT0003250:Homo:sapiens:miR-585-3p	57	23100	23100.0	15024.0
hsa-miR-654-3p:MIMAT0004814:Homo:sapiens:miR-654-3p	172	22946	22946.0	10470.0
hsa-miR-502-3p:MIMAT0004775:Homo:sapiens:miR-502-3p	261	25533	22555.0	11248.0
hsa-miR-379-5p:MIMAT0000733:Homo:sapiens:miR-379-5p	180	22279	22279.0	13011.0
hsa-miR-455-5p:MIMAT0003150:Homo:sapiens:miR-455-5p	284	22216	22216.0	12993.0
hsa-miR-422a:MIMAT0001339:Homo:sapiens:miR-422a	253	22205	22205.0	15806.0
hsa-miR-100-5p:MIMAT0000098:Homo:sapiens:miR-100-5p	356	22286	22170.0	15905.5
hsa-miR-601:MIMAT0003269:Homo:sapiens:miR-601	191	22129	22129.0	14152.0
hsa-miR-891a-5p:MIMAT0004902:Homo:sapiens:miR-891a-5p	230	22074	22074.0	16227.0
hsa-miR-99a-5p:MIMAT0000097:Homo:sapiens:miR-99a-5p	296	21928	21903.0	12521.5
hsa-miR-654-5p:MIMAT0003330:Homo:sapiens:miR-654-5p	196	21764	21764.0	14149.0
hsa-miR-148b-3p:MIMAT0000759:Homo:sapiens:miR-148b-3p	209	21732	21732.0	11110.0
hsa-miR-532-5p:MIMAT0002888:Homo:sapiens:miR-532-5p	265	21462	21462.0	14473.0
hsa-miR-151a-3p:MIMAT0000757:Homo:sapiens:miR-151a-3p	162	20904	20904.0	15139.0
hsa-miR-129-5p:MIMAT0000242:Homo:sapiens:miR-129-5p	188	20624	20624.0	15705.0
hsa-miR-492:MIMAT0002812:Homo:sapiens:miR-492	144	20422	20422.0	11283.0
hsa-miR-30e-3p:MIMAT0000693:Homo:sapiens:miR-30e-3p	199	20287	20267.5	15360.0
hsa-miR-581:MIMAT0003246:Homo:sapiens:miR-581	136	20032	20032.0	13289.0
hsa-miR-215-5p:MIMAT0000272:Homo:sapiens:miR-215-5p	173	20033	19917.0	13333.5
hsa-miR-501-5p:MIMAT0002872:Homo:sapiens:miR-501-5p	202	19660	19660.0	9179.0
hsa-miR-371a-5p:MIMAT0004687:Homo:sapiens:miR-371a-5p	86	19651	19651.0	13183.0
hsa-miR-652-3p:MIMAT0003322:Homo:sapiens:miR-652-3p	93	19464	19464.0	6967.0
hsa-miR-101-3p:MIMAT0000099:Homo:sapiens:miR-101-3p	100	19302	19302.0	14252.0
hsa-miR-449a:MIMAT0001541:Homo:sapiens:miR-449a	202	19374	19273.0	9222.0
hsa-miR-875-3p:MIMAT0004923:Homo:sapiens:miR-875-3p	136	19076	19076.0	10878.0
hsa-miR-640:MIMAT0003310:Homo:sapiens:miR-640	178	19049	19049.0	12151.0
hsa-miR-511-5p:MIMAT0002808:Homo:sapiens:miR-511-5p	125	19032	19032.0	12197.0
hsa-miR-151b:MIMAT0010214:Homo:sapiens:miR-151b|hsa-miR-151a-5p:MIMAT0004697:Homo:sapiens:miR-151a-5p	97	19701	18890.333333333332	11132.833333333334
hsa-miR-558:MIMAT0003222:Homo:sapiens:miR-558	59	18608	18608.0	7790.0
hsa-miR-331-5p:MIMAT0004700:Homo:sapiens:miR-331-5p	199	18599	18599.0	11405.0
hsa-miR-660-5p:MIMAT0003338:Homo:sapiens:miR-660-5p	282	18597	18597.0	9060.0
hsa-miR-375:MIMAT0000728:Homo:sapiens:miR-375	320	18577	18577.0	14461.0
hsa-miR-588:MIMAT0003255:Homo:sapiens:miR-588	122	18539	18539.0	11828.0
hsa-miR-542-3p:MIMAT0003389:Homo:sapiens:miR-542-3p	138	18248	18248.0	10635.0
hsa-miR-576-3p:MIMAT0004796:Homo:sapiens:miR-576-3p	153	18198	18198.0	7859.0
hsa-miR-182-3p:MIMAT0000260:Homo:sapiens:miR-182-3p	99	18178	18178.0	9265.0
hsa-miR-622:MIMAT0003291:Homo:sapiens:miR-622	117	18088	18088.0	8890.0
hsa-miR-302c-5p:MIMAT0000716:Homo:sapiens:miR-302c-5p	181	18000	17998.5	5385.5
hsa-miR-182-5p:MIMAT0000259:Homo:sapiens:miR-182-5p	360	17977	17977.0	14479.0
hsa-miR-370-3p:MIMAT0000722:Homo:sapiens:miR-370-3p	162	17933	17933.0	11326.0
hsa-miR-105-5p:MIMAT0000102:Homo:sapiens:miR-105-5p	263	17878	17878.0	12951.0
hsa-miR-671-3p:MIMAT0004819:Homo:sapiens:miR-671-3p	184	17481	17481.0	13857.0
hsa-miR-500a-5p:MIMAT0004773:Homo:sapiens:miR-500a-5p	124	17483	17480.0	3927.0
hsa-miR-448:MIMAT0001532:Homo:sapiens:miR-448	206	17444	17444.0	11273.0
hsa-miR-154-3p:MIMAT0000453:Homo:sapiens:miR-154-3p	199	17375	17375.0	6506.0
hsa-miR-668-3p:MIMAT0003881:Homo:sapiens:miR-668-3p	225	17194	17194.0	11769.0
hsa-miR-199a-5p:MIMAT0000231:Homo:sapiens:miR-199a-5p	283	17763	17096.0	12990.5
hsa-miR-517-5p:MIMAT0002851:Homo:sapiens:miR-517-5p	174	16935	16935.0	9059.0
hsa-miR-363-3p:MIMAT0000707:Homo:sapiens:miR-363-3p	210	16841	16841.0	9772.0
hsa-miR-758-3p:MIMAT0003879:Homo:sapiens:miR-758-3p	169	16587	16587.0	6829.0
hsa-miR-181d-5p:MIMAT0002821:Homo:sapiens:miR-181d-5p	195	16398	16398.0	8962.0
hsa-miR-184:MIMAT0000454:Homo:sapiens:miR-184	198	16349	16349.0	12899.0
hsa-miR-21-5p:MIMAT0000076:Homo:sapiens:miR-21-5p	217	16237	16237.0	10555.0
hsa-miR-761:MIMAT0010364:Homo:sapiens:miR-761	127	16204	16204.0	5137.0
hsa-miR-450a-1-3p:MIMAT0022700:Homo:sapiens:miR-450a-1-3p	56	16194	16194.0	6700.0
hsa-miR-589-3p:MIMAT0003256:Homo:sapiens:miR-589-3p	264	16079	16079.0	8744.0
hsa-miR-380-3p:MIMAT0000735:Homo:sapiens:miR-380-3p	156	16036	16036.0	8802.0
hsa-miR-888-5p:MIMAT0004916:Homo:sapiens:miR-888-5p	104	16011	16011.0	5641.0
hsa-miR-181a-5p:MIMAT0000256:Homo:sapiens:miR-181a-5p	240	15986	15986.0	11227.0
hsa-miR-376a-3p:MIMAT0000729:Homo:sapiens:miR-376a-3p	129	16078	15949.5	9269.5
hsa-miR-30a-3p:MIMAT0000088:Homo:sapiens:miR-30a-3p	215	15892	15872.5	12708.0
hsa-miR-567:MIMAT0003231:Homo:sapiens:miR-567	215	15866	15866.0	12345.0
hsa-miR-584-5p:MIMAT0003249:Homo:sapiens:miR-584-5p	220	15742	15742.0	12494.0
hsa-miR-591:MIMAT0003259:Homo:sapiens:miR-591	66	15702	15702.0	7645.0
hsa-miR-191-3p:MIMAT0001618:Homo:sapiens:miR-191-3p	213	15645	15645.0	9011.0
hsa-miR-612:MIMAT0003280:Homo:sapiens:miR-612	194	15620	15620.0	9952.0
hsa-miR-508-3p:MIMAT0002880:Homo:sapiens:miR-508-3p	197	15613	15613.0	11134.0
hsa-miR-571:MIMAT0003236:Homo:sapiens:miR-571	127	15584	15584.0	10007.0
hsa-miR-205-5p:MIMAT0000266:Homo:sapiens:miR-205-5p	192	15552	15552.0	7135.0
hsa-miR-891b:MIMAT0004913:Homo:sapiens:miR-891b	190	15465	15465.0	5174.0
hsa-miR-30d-5p:MIMAT0000245:Homo:sapiens:miR-30d-5p	188	15333	15331.0	10655.0
hsa-miR-128-3p:MIMAT0000424:Homo:sapiens:miR-128-3p	130	15281	15281.0	6775.0
hsa-miR-146a-5p:MIMAT0000449:Homo:sapiens:miR-146a-5p	152	15257	15246.5	9498.0
hsa-miR-502-5p:MIMAT0002873:Homo:sapiens:miR-502-5p	126	15145	15145.0	5269.0
hsa-miR-610:MIMAT0003278:Homo:sapiens:miR-610	130	15084	15084.0	6298.0
hsa-miR-147a:MIMAT0000251:Homo:sapiens:miR-147a	132	15071	15065.0	9663.0
hsa-miR-632:MIMAT0003302:Homo:sapiens:miR-632	39	15040	15040.0	10809.0
hsa-miR-25-3p:MIMAT0000081:Homo:sapiens:miR-25-3p	220	14931	14931.0	11317.0
hsa-miR-562:MIMAT0003226:Homo:sapiens:miR-562	89	14923	14923.0	11480.0
hsa-miR-487b-3p:MIMAT0003180:Homo:sapiens:miR-487b-3p	197	14732	14732.0	8183.0
hsa-miR-152-3p:MIMAT0000438:Homo:sapiens:miR-152-3p	128	14599	14599.0	9574.0
hsa-miR-486-5p:MIMAT0002177:Homo:sapiens:miR-486-5p	190	14591	14591.0	10862.0
hsa-miR-512-3p:MIMAT0002823:Homo:sapiens:miR-512-3p	174	14529	14529.0	8551.0
hsa-miR-543:MIMAT0004954:Homo:sapiens:miR-543	224	14436	14436.0	7942.0
hsa-miR-485-5p:MIMAT0002175:Homo:sapiens:miR-485-5p	146	14237	14237.0	7936.0
hsa-miR-634:MIMAT0003304:Homo:sapiens:miR-634	180	14226	14226.0	10841.0
hsa-miR-192-5p:MIMAT0000222:Homo:sapiens:miR-192-5p	173	14238	14122.0	10843.5
hsa-miR-186-5p:MIMAT0000456:Homo:sapiens:miR-186-5p	169	14041	14041.0	7620.0
hsa-miR-554:MIMAT0003217:Homo:sapiens:miR-554	131	13957	13957.0	9074.0
hsa-miR-329-3p:MIMAT0001629:Homo:sapiens:miR-329-3p	165	13880	13880.0	3150.0
hsa-miR-382-5p:MIMAT0000737:Homo:sapiens:miR-382-5p	253	13829	13829.0	8920.0
hsa-miR-650:MIMAT0003320:Homo:sapiens:miR-650	121	13769	13769.0	7004.0
hsa-miR-340-3p:MIMAT0000750:Homo:sapiens:miR-340-3p	168	13563	13563.0	10082.0
hsa-miR-514a-3p:MIMAT0002883:Homo:sapiens:miR-514a-3p	116	13527	13527.0	9396.0
hsa-miR-203a-3p:MIMAT0000264:Homo:sapiens:miR-203a-3p	165	13480	13480.0	10213.0
hsa-miR-10b-5p:MIMAT0000254:Homo:sapiens:miR-10b-5p	244	13451	13450.0	9721.0
hsa-miR-92a-3p:MIMAT0000092:Homo:sapiens:miR-92a-3p	230	13441	13441.0	10617.0
hsa-miR-598-3p:MIMAT0003266:Homo:sapiens:miR-598-3p	182	13410	13410.0	6829.0
hsa-miR-429:MIMAT0001536:Homo:sapiens:miR-429	212	13368	13368.0	9478.0
hsa-miR-183-5p:MIMAT0000261:Homo:sapiens:miR-183-5p	205	13302	13302.0	11631.0
hsa-miR-99b-5p:MIMAT0000689:Homo:sapiens:miR-99b-5p	304	13223	13223.0	11443.0
hsa-miR-629-5p:MIMAT0004810:Homo:sapiens:miR-629-5p	167	13117	13117.0	9763.0
hsa-miR-628-3p:MIMAT0003297:Homo:sapiens:miR-628-3p	120	13103	13103.0	6926.0
hsa-miR-338-3p:MIMAT0000763:Homo:sapiens:miR-338-3p	246	13093	13093.0	6522.0
