ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-224-5p:MIMAT0000281:Homo:sapiens:miR-224-5p	220	99528	99528.0	44329.0
hsa-miR-504-5p:MIMAT0002875:Homo:sapiens:miR-504-5p	188	58355	58355.0	25420.0
hsa-miR-362-5p:MIMAT0000705:Homo:sapiens:miR-362-5p	318	53889	53889.0	27172.0
hsa-miR-769-5p:MIMAT0003886:Homo:sapiens:miR-769-5p	137	48223	48223.0	24391.0
hsa-miR-490-3p:MIMAT0002806:Homo:sapiens:miR-490-3p	180	44904	44904.0	19132.0
hsa-miR-339-3p:MIMAT0004702:Homo:sapiens:miR-339-3p	299	44575	44575.0	24086.0
hsa-miR-181a-3p:MIMAT0000270:Homo:sapiens:miR-181a-3p	270	43569	43557.0	25891.0
hsa-miR-708-3p:MIMAT0004927:Homo:sapiens:miR-708-3p	202	40147	40147.0	11290.0
hsa-miR-217:MIMAT0000274:Homo:sapiens:miR-217	349	39606	39606.0	25061.0
hsa-miR-572:MIMAT0003237:Homo:sapiens:miR-572	132	39417	39417.0	16372.0
hsa-miR-378a-3p:MIMAT0000732:Homo:sapiens:miR-378a-3p	134	39730	39312.95	20500.949999999997
hsa-miR-423-3p:MIMAT0001340:Homo:sapiens:miR-423-3p	315	39183	39183.0	24441.0
hsa-miR-380-5p:MIMAT0000734:Homo:sapiens:miR-380-5p	286	38914	38914.0	21029.0
hsa-miR-500a-3p:MIMAT0002871:Homo:sapiens:miR-500a-3p	359	42132	38783.5	24213.5
hsa-miR-140-3p:MIMAT0004597:Homo:sapiens:miR-140-3p	264	38377	38377.0	20626.0
hsa-miR-509-3p:MIMAT0002881:Homo:sapiens:miR-509-3p	279	35850	35850.0	20300.0
hsa-miR-146b-5p:MIMAT0002809:Homo:sapiens:miR-146b-5p	180	35595	35590.0	17081.0
hsa-miR-299-3p:MIMAT0000687:Homo:sapiens:miR-299-3p	269	35244	35244.0	28418.0
hsa-miR-200a-5p:MIMAT0001620:Homo:sapiens:miR-200a-5p	259	34235	34235.0	21812.0
hsa-miR-300:MIMAT0004903:Homo:sapiens:miR-300	207	33344	33344.0	18255.0
hsa-miR-493-5p:MIMAT0002813:Homo:sapiens:miR-493-5p	172	33145	33145.0	16250.0
hsa-miR-381-3p:MIMAT0000736:Homo:sapiens:miR-381-3p	244	32300	32300.0	20549.0
hsa-miR-148a-3p:MIMAT0000243:Homo:sapiens:miR-148a-3p	235	32219	32219.0	18148.0
hsa-miR-485-3p:MIMAT0002176:Homo:sapiens:miR-485-3p	263	32121	32121.0	14875.0
hsa-miR-501-3p:MIMAT0004774:Homo:sapiens:miR-501-3p	305	31917	31838.5	22214.5
hsa-miR-330-3p:MIMAT0000751:Homo:sapiens:miR-330-3p	262	31670	31670.0	21195.0
hsa-miR-409-3p:MIMAT0001639:Homo:sapiens:miR-409-3p	302	31659	31659.0	20311.0
hsa-miR-29a-3p:MIMAT0000086:Homo:sapiens:miR-29a-3p	220	30268	30244.5	10772.0
hsa-miR-383-5p:MIMAT0000738:Homo:sapiens:miR-383-5p	202	29469	29469.0	19575.0
hsa-miR-382-3p:MIMAT0022697:Homo:sapiens:miR-382-3p	151	29275	29275.0	16079.0
hsa-miR-143-3p:MIMAT0000435:Homo:sapiens:miR-143-3p	145	29179	29179.0	14865.0
hsa-miR-637:MIMAT0003307:Homo:sapiens:miR-637	181	28597	28597.0	16049.0
hsa-miR-9-5p:MIMAT0000441:Homo:sapiens:miR-9-5p	304	28301	28301.0	21201.0
hsa-miR-502-3p:MIMAT0004775:Homo:sapiens:miR-502-3p	272	31559	28269.0	13616.0
hsa-miR-623:MIMAT0003292:Homo:sapiens:miR-623	200	28194	28194.0	13499.0
hsa-miR-654-5p:MIMAT0003330:Homo:sapiens:miR-654-5p	212	28001	28001.0	17848.0
hsa-miR-575:MIMAT0003240:Homo:sapiens:miR-575	59	27314	27314.0	18987.0
hsa-miR-645:MIMAT0003315:Homo:sapiens:miR-645	39	27150	27150.0	13308.0
