ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-28-3p:MIMAT0004502:Homo:sapiens:miR-28-3p	219	41872	41872.0	20200.0
hsa-miR-200a-5p:MIMAT0001620:Homo:sapiens:miR-200a-5p	184	29040	29040.0	11706.0
hsa-miR-140-3p:MIMAT0004597:Homo:sapiens:miR-140-3p	189	25179	25179.0	10166.0
hsa-miR-143-3p:MIMAT0000435:Homo:sapiens:miR-143-3p	121	25054	25054.0	8795.0
hsa-miR-217:MIMAT0000274:Homo:sapiens:miR-217	234	24985	24985.0	11763.0
hsa-miR-323a-3p:MIMAT0000755:Homo:sapiens:miR-323a-3p	141	24563	24555.5	5560.0
hsa-miR-509-3p:MIMAT0002881:Homo:sapiens:miR-509-3p	204	24150	24150.0	10849.0
hsa-miR-500a-3p:MIMAT0002871:Homo:sapiens:miR-500a-3p	208	24213	23240.0	12451.5
hsa-miR-196b-5p:MIMAT0001080:Homo:sapiens:miR-196b-5p	185	23109	23107.0	11582.0
hsa-miR-10b-5p:MIMAT0000254:Homo:sapiens:miR-10b-5p	211	22825	22825.0	7928.0
hsa-miR-151a-3p:MIMAT0000757:Homo:sapiens:miR-151a-3p	146	22577	22577.0	13397.0
hsa-miR-450b-5p:MIMAT0004909:Homo:sapiens:miR-450b-5p	146	22398	22398.0	12350.0
hsa-miR-582-5p:MIMAT0003247:Homo:sapiens:miR-582-5p	213	20711	20711.0	6604.0
hsa-miR-300:MIMAT0004903:Homo:sapiens:miR-300	163	20255	20254.5	8908.5
hsa-miR-132-3p:MIMAT0000426:Homo:sapiens:miR-132-3p	166	19549	19549.0	7961.0
hsa-miR-671-3p:MIMAT0004819:Homo:sapiens:miR-671-3p	130	18702	18702.0	10910.0
hsa-miR-182-5p:MIMAT0000259:Homo:sapiens:miR-182-5p	395	18654	18654.0	12118.0
hsa-miR-654-5p:MIMAT0003330:Homo:sapiens:miR-654-5p	168	18362	18362.0	10995.0
hsa-miR-224-5p:MIMAT0000281:Homo:sapiens:miR-224-5p	141	18212	18212.0	9028.0
hsa-miR-575:MIMAT0003240:Homo:sapiens:miR-575	40	18067	18067.0	10605.0
hsa-miR-422a:MIMAT0001339:Homo:sapiens:miR-422a	206	17927	17927.0	10133.0
hsa-miR-216b-5p:MIMAT0004959:Homo:sapiens:miR-216b-5p	140	17188	17188.0	5847.0
hsa-miR-146b-5p:MIMAT0002809:Homo:sapiens:miR-146b-5p	140	16939	16935.0	7764.0
hsa-miR-378a-3p:MIMAT0000732:Homo:sapiens:miR-378a-3p	117	16062	15782.916666666668	8826.916666666668
hsa-miR-493-5p:MIMAT0002813:Homo:sapiens:miR-493-5p	106	15629	15629.0	6012.0
hsa-miR-29a-3p:MIMAT0000086:Homo:sapiens:miR-29a-3p	130	15633	15624.5	3934.5
hsa-miR-549a:MIMAT0003333:Homo:sapiens:miR-549a	132	15461	15461.0	6140.0
hsa-miR-485-3p:MIMAT0002176:Homo:sapiens:miR-485-3p	181	14852	14852.0	6916.0
hsa-miR-769-5p:MIMAT0003886:Homo:sapiens:miR-769-5p	101	14633	14633.0	8295.0
hsa-miR-371a-5p:MIMAT0004687:Homo:sapiens:miR-371a-5p	66	14511	14511.0	7572.0
hsa-miR-184:MIMAT0000454:Homo:sapiens:miR-184	185	14490	14490.0	8980.0
hsa-miR-323b-5p:MIMAT0001630:Homo:sapiens:miR-323b-5p	194	14363	14363.0	7295.0
hsa-miR-30e-3p:MIMAT0000693:Homo:sapiens:miR-30e-3p	129	14190	14147.5	8182.5
hsa-miR-889-3p:MIMAT0004921:Homo:sapiens:miR-889-3p	115	14141	14141.0	7518.0
hsa-miR-409-3p:MIMAT0001639:Homo:sapiens:miR-409-3p	185	13985	13985.0	7453.0
hsa-miR-629-5p:MIMAT0004810:Homo:sapiens:miR-629-5p	128	13866	13866.0	8761.0
hsa-miR-514a-3p:MIMAT0002883:Homo:sapiens:miR-514a-3p	95	13690	13690.0	5839.0
hsa-miR-181a-3p:MIMAT0000270:Homo:sapiens:miR-181a-3p	138	13653	13634.0	6981.5
hsa-miR-508-5p:MIMAT0004778:Homo:sapiens:miR-508-5p	158	13586	13586.0	5665.0
hsa-miR-381-3p:MIMAT0000736:Homo:sapiens:miR-381-3p	177	13456	13455.5	7334.5
hsa-miR-340-3p:MIMAT0000750:Homo:sapiens:miR-340-3p	162	13384	13384.0	7539.0
hsa-miR-517-5p:MIMAT0002851:Homo:sapiens:miR-517-5p	124	13169	13164.5	5950.0
hsa-miR-423-3p:MIMAT0001340:Homo:sapiens:miR-423-3p	197	13112	13112.0	8337.0
hsa-miR-668-3p:MIMAT0003881:Homo:sapiens:miR-668-3p	143	12996	12996.0	6641.0
hsa-miR-148a-3p:MIMAT0000243:Homo:sapiens:miR-148a-3p	142	12766	12766.0	7395.0
hsa-miR-622:MIMAT0003291:Homo:sapiens:miR-622	104	12669	12669.0	5188.0
hsa-miR-486-5p:MIMAT0002177:Homo:sapiens:miR-486-5p	180	12064	12064.0	7598.0
hsa-miR-640:MIMAT0003310:Homo:sapiens:miR-640	112	12048	12048.0	6416.0
hsa-miR-302c-3p:MIMAT0000717:Homo:sapiens:miR-302c-3p	238	12030	12009.166666666668	7347.833333333334
hsa-miR-518c-5p:MIMAT0002847:Homo:sapiens:miR-518c-5p	117	12018	12008.5	5523.166666666667
hsa-miR-576-3p:MIMAT0004796:Homo:sapiens:miR-576-3p	115	11945	11945.0	5611.0
hsa-miR-30d-5p:MIMAT0000245:Homo:sapiens:miR-30d-5p	142	11923	11920.5	5258.5
hsa-miR-379-5p:MIMAT0000733:Homo:sapiens:miR-379-5p	146	11898	11898.0	5820.0
hsa-miR-888-5p:MIMAT0004916:Homo:sapiens:miR-888-5p	82	11763	11763.0	4046.0
hsa-miR-508-3p:MIMAT0002880:Homo:sapiens:miR-508-3p	173	11752	11752.0	7037.0
hsa-miR-487b-3p:MIMAT0003180:Homo:sapiens:miR-487b-3p	119	11649	11649.0	4380.0
hsa-miR-652-3p:MIMAT0003322:Homo:sapiens:miR-652-3p	88	11624	11624.0	4051.0
hsa-miR-891b:MIMAT0004913:Homo:sapiens:miR-891b	134	11613	11613.0	3219.0
hsa-miR-411-3p:MIMAT0004813:Homo:sapiens:miR-411-3p	88	11486	11479.0	4162.0
hsa-miR-411-5p:MIMAT0003329:Homo:sapiens:miR-411-5p	190	11457	11457.0	5786.0
hsa-miR-383-5p:MIMAT0000738:Homo:sapiens:miR-383-5p	163	11391	11391.0	7622.0
hsa-miR-519b-5p:MIMAT0005454:Homo:sapiens:miR-519b-5p|hsa-miR-519c-5p:MIMAT0002831:Homo:sapiens:miR-519c-5p|hsa-miR-523-5p:MIMAT0005449:Homo:sapiens:miR-523-5p|hsa-miR-522-5p:MIMAT0005451:Homo:sapiens:miR-522-5p|hsa-miR-519a-5p:MIMAT0005452:Homo:sapiens:miR-519a-5p|hsa-miR-518e-5p:MIMAT0005450:Homo:sapiens:miR-518e-5p	106	11356	11317.833333333334	4180.833333333334
hsa-miR-767-5p:MIMAT0003882:Homo:sapiens:miR-767-5p	148	11304	11304.0	5015.0
hsa-miR-25-3p:MIMAT0000081:Homo:sapiens:miR-25-3p	159	11185	11185.0	6748.0
hsa-miR-92a-3p:MIMAT0000092:Homo:sapiens:miR-92a-3p	152	11113	11113.0	6232.0
hsa-miR-511-5p:MIMAT0002808:Homo:sapiens:miR-511-5p	84	11000	11000.0	5622.0
hsa-miR-181b-5p:MIMAT0000257:Homo:sapiens:miR-181b-5p	162	10881	10881.0	3541.0
hsa-miR-654-3p:MIMAT0004814:Homo:sapiens:miR-654-3p	110	10824	10824.0	4772.0
hsa-miR-30a-3p:MIMAT0000088:Homo:sapiens:miR-30a-3p	141	10787	10744.0	6790.0
hsa-miR-382-3p:MIMAT0022697:Homo:sapiens:miR-382-3p	111	10693	10693.0	5751.0
hsa-miR-885-3p:MIMAT0004948:Homo:sapiens:miR-885-3p	153	10611	10611.0	6552.0
hsa-miR-30a-5p:MIMAT0000087:Homo:sapiens:miR-30a-5p	132	10550	10547.0	6157.0
hsa-miR-134-5p:MIMAT0000447:Homo:sapiens:miR-134-5p	162	10517	10517.0	5998.0
hsa-miR-181a-5p:MIMAT0000256:Homo:sapiens:miR-181a-5p	242	10409	10409.0	5207.0
hsa-miR-338-3p:MIMAT0000763:Homo:sapiens:miR-338-3p	187	10397	10397.0	4147.0
hsa-miR-330-3p:MIMAT0000751:Homo:sapiens:miR-330-3p	187	10389	10389.0	6567.0
hsa-miR-632:MIMAT0003302:Homo:sapiens:miR-632	35	10305	10305.0	6550.0
hsa-miR-200c-3p:MIMAT0000617:Homo:sapiens:miR-200c-3p	192	10228	10228.0	5972.0
hsa-miR-509-3-5p:MIMAT0004975:Homo:sapiens:miR-509-3-5p	121	9825	9825.0	4817.0
hsa-miR-181d-5p:MIMAT0002821:Homo:sapiens:miR-181d-5p	153	9750	9750.0	3596.0
hsa-miR-153-3p:MIMAT0000439:Homo:sapiens:miR-153-3p	110	9719	9719.0	4613.0
hsa-miR-601:MIMAT0003269:Homo:sapiens:miR-601	133	9594	9594.0	6519.0
hsa-miR-380-5p:MIMAT0000734:Homo:sapiens:miR-380-5p	162	9496	9496.0	5428.0
hsa-miR-504-5p:MIMAT0002875:Homo:sapiens:miR-504-5p	103	9450	9450.0	4534.0
hsa-miR-485-5p:MIMAT0002175:Homo:sapiens:miR-485-5p	120	9385	9385.0	2310.0
