ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-28-3p:MIMAT0004502:Homo:sapiens:miR-28-3p	153	17909	17909.0	11315.0
hsa-miR-200a-5p:MIMAT0001620:Homo:sapiens:miR-200a-5p	138	12765	12765.0	6564.0
hsa-miR-143-3p:MIMAT0000435:Homo:sapiens:miR-143-3p	96	11347	11347.0	5400.0
hsa-miR-217:MIMAT0000274:Homo:sapiens:miR-217	161	11296	11296.0	6932.0
hsa-miR-140-3p:MIMAT0004597:Homo:sapiens:miR-140-3p	146	11132	11132.0	6131.0
hsa-miR-323a-3p:MIMAT0000755:Homo:sapiens:miR-323a-3p	114	10551	10549.0	3447.0
hsa-miR-450b-5p:MIMAT0004909:Homo:sapiens:miR-450b-5p	109	10043	10043.0	6932.0
hsa-miR-500a-3p:MIMAT0002871:Homo:sapiens:miR-500a-3p	147	10374	9937.5	6849.5
hsa-miR-509-3p:MIMAT0002881:Homo:sapiens:miR-509-3p	140	9885	9885.0	5997.0
hsa-miR-196b-5p:MIMAT0001080:Homo:sapiens:miR-196b-5p	143	9864	9861.5	6492.0
hsa-miR-10b-5p:MIMAT0000254:Homo:sapiens:miR-10b-5p	153	9723	9723.0	4296.0
hsa-miR-151a-3p:MIMAT0000757:Homo:sapiens:miR-151a-3p	101	9699	9699.0	7174.0
hsa-miR-300:MIMAT0004903:Homo:sapiens:miR-300	121	9566	9565.5	5509.5
hsa-miR-582-5p:MIMAT0003247:Homo:sapiens:miR-582-5p	169	9449	9449.0	4075.0
hsa-miR-132-3p:MIMAT0000426:Homo:sapiens:miR-132-3p	128	9178	9178.0	5048.0
hsa-miR-224-5p:MIMAT0000281:Homo:sapiens:miR-224-5p	126	8623	8623.0	5449.0
hsa-miR-654-5p:MIMAT0003330:Homo:sapiens:miR-654-5p	127	8162	8162.0	5979.0
hsa-miR-422a:MIMAT0001339:Homo:sapiens:miR-422a	142	7991	7991.0	5705.0
hsa-miR-671-3p:MIMAT0004819:Homo:sapiens:miR-671-3p	105	7846	7846.0	5920.0
hsa-miR-182-5p:MIMAT0000259:Homo:sapiens:miR-182-5p	278	7796	7796.0	6146.0
hsa-miR-575:MIMAT0003240:Homo:sapiens:miR-575	37	7645	7645.0	5747.0
hsa-miR-216b-5p:MIMAT0004959:Homo:sapiens:miR-216b-5p	97	7350	7350.0	3501.0
hsa-miR-549a:MIMAT0003333:Homo:sapiens:miR-549a	97	7240	7240.0	3828.0
hsa-miR-493-5p:MIMAT0002813:Homo:sapiens:miR-493-5p	79	7175	7175.0	3510.0
hsa-miR-378a-3p:MIMAT0000732:Homo:sapiens:miR-378a-3p	77	7145	7034.166666666667	4805.666666666666
hsa-miR-371a-5p:MIMAT0004687:Homo:sapiens:miR-371a-5p	54	6911	6911.0	4517.0
hsa-miR-485-3p:MIMAT0002176:Homo:sapiens:miR-485-3p	141	6907	6907.0	4250.0
hsa-miR-29a-3p:MIMAT0000086:Homo:sapiens:miR-29a-3p	96	6900	6893.0	2485.5
hsa-miR-381-3p:MIMAT0000736:Homo:sapiens:miR-381-3p	128	6813	6812.5	4490.5
hsa-miR-889-3p:MIMAT0004921:Homo:sapiens:miR-889-3p	90	6741	6741.0	4532.0
hsa-miR-146b-5p:MIMAT0002809:Homo:sapiens:miR-146b-5p	96	6620	6619.5	4181.5
hsa-miR-340-3p:MIMAT0000750:Homo:sapiens:miR-340-3p	115	6490	6490.0	4451.0
hsa-miR-668-3p:MIMAT0003881:Homo:sapiens:miR-668-3p	111	6461	6461.0	4250.0
hsa-miR-184:MIMAT0000454:Homo:sapiens:miR-184	120	6447	6447.0	4835.0
hsa-miR-409-3p:MIMAT0001639:Homo:sapiens:miR-409-3p	133	6393	6393.0	4241.0
hsa-miR-769-5p:MIMAT0003886:Homo:sapiens:miR-769-5p	66	6352	6352.0	4619.0
hsa-miR-323b-5p:MIMAT0001630:Homo:sapiens:miR-323b-5p	156	6306	6306.0	4082.0
hsa-miR-411-3p:MIMAT0004813:Homo:sapiens:miR-411-3p	87	6279	6276.5	2984.0
hsa-miR-508-5p:MIMAT0004778:Homo:sapiens:miR-508-5p	121	6248	6248.0	3440.0
hsa-miR-514a-3p:MIMAT0002883:Homo:sapiens:miR-514a-3p	79	6196	6196.0	3483.0
hsa-miR-30e-3p:MIMAT0000693:Homo:sapiens:miR-30e-3p	103	5993	5974.5	4394.5
