ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-671-3p:MIMAT0004819:Homo:sapiens:miR-671-3p	177	316038	316038.0	0.0
hsa-miR-300:MIMAT0004903:Homo:sapiens:miR-300	177	288063	288063.0	0.0
hsa-miR-486-5p:MIMAT0002177:Homo:sapiens:miR-486-5p	254	223069	223069.0	0.0
hsa-miR-10b-5p:MIMAT0000254:Homo:sapiens:miR-10b-5p	288	210696	210688.0	0.0
hsa-miR-767-5p:MIMAT0003882:Homo:sapiens:miR-767-5p	168	193328	193328.0	0.0
hsa-miR-885-3p:MIMAT0004948:Homo:sapiens:miR-885-3p	244	175019	175019.0	0.0
hsa-miR-127-3p:MIMAT0000446:Homo:sapiens:miR-127-3p	239	174925	174925.0	0.0
hsa-miR-181a-5p:MIMAT0000256:Homo:sapiens:miR-181a-5p	249	113315	113315.0	0.0
hsa-miR-192-5p:MIMAT0000222:Homo:sapiens:miR-192-5p	159	102416	102348.0	0.0
hsa-miR-184:MIMAT0000454:Homo:sapiens:miR-184	264	97679	97679.0	0.0
hsa-miR-575:MIMAT0003240:Homo:sapiens:miR-575	41	90996	90996.0	0.0
hsa-miR-182-5p:MIMAT0000259:Homo:sapiens:miR-182-5p	476	84900	84899.0	0.0
hsa-miR-432-5p:MIMAT0002814:Homo:sapiens:miR-432-5p	220	83078	83078.0	0.0
hsa-miR-765:MIMAT0003945:Homo:sapiens:miR-765	92	72137	72137.0	0.0
hsa-miR-191-5p:MIMAT0000440:Homo:sapiens:miR-191-5p	146	69527	69527.0	0.0
hsa-miR-28-3p:MIMAT0004502:Homo:sapiens:miR-28-3p	157	69364	69364.0	0.0
hsa-miR-151a-3p:MIMAT0000757:Homo:sapiens:miR-151a-3p	118	63177	63177.0	0.0
hsa-miR-509-3-5p:MIMAT0004975:Homo:sapiens:miR-509-3-5p	127	62965	62965.0	0.0
hsa-miR-181c-5p:MIMAT0000258:Homo:sapiens:miR-181c-5p	135	62533	62533.0	0.0
hsa-miR-769-5p:MIMAT0003886:Homo:sapiens:miR-769-5p	94	61223	61223.0	0.0
hsa-miR-891a-5p:MIMAT0004902:Homo:sapiens:miR-891a-5p	169	58859	58859.0	0.0
hsa-miR-371a-5p:MIMAT0004687:Homo:sapiens:miR-371a-5p	74	58854	58854.0	0.0
hsa-miR-92b-3p:MIMAT0003218:Homo:sapiens:miR-92b-3p	202	54108	54108.0	0.0
hsa-miR-769-3p:MIMAT0003887:Homo:sapiens:miR-769-3p	128	50276	50276.0	0.0
hsa-miR-654-5p:MIMAT0003330:Homo:sapiens:miR-654-5p	195	47576	47576.0	0.0
hsa-miR-206:MIMAT0000462:Homo:sapiens:miR-206	175	44056	44056.0	0.0
hsa-miR-601:MIMAT0003269:Homo:sapiens:miR-601	121	41419	41419.0	0.0
hsa-miR-30e-3p:MIMAT0000693:Homo:sapiens:miR-30e-3p	122	39205	39189.5	0.0
hsa-miR-155-5p:MIMAT0000646:Homo:sapiens:miR-155-5p	185	38414	38414.0	0.0
hsa-miR-483-5p:MIMAT0004761:Homo:sapiens:miR-483-5p	99	38060	38060.0	0.0
hsa-miR-183-5p:MIMAT0000261:Homo:sapiens:miR-183-5p	185	37542	37541.0	0.0
hsa-miR-146b-5p:MIMAT0002809:Homo:sapiens:miR-146b-5p	118	35579	35574.0	0.0
hsa-miR-99b-5p:MIMAT0000689:Homo:sapiens:miR-99b-5p	278	33438	33438.0	0.0
hsa-let-7b-5p:MIMAT0000063:Homo:sapiens:let-7b-5p	128	32565	32544.25	0.0
hsa-miR-454-5p:MIMAT0003884:Homo:sapiens:miR-454-5p	88	32174	32174.0	0.0
hsa-miR-654-3p:MIMAT0004814:Homo:sapiens:miR-654-3p	77	30532	30532.0	0.0
hsa-miR-181a-3p:MIMAT0000270:Homo:sapiens:miR-181a-3p	126	30398	30378.5	0.0
hsa-miR-146a-5p:MIMAT0000449:Homo:sapiens:miR-146a-5p	110	29687	29679.5	0.0
hsa-miR-668-3p:MIMAT0003881:Homo:sapiens:miR-668-3p	133	29591	29591.0	0.0
hsa-miR-375:MIMAT0000728:Homo:sapiens:miR-375	143	29238	29238.0	0.0
hsa-miR-215-5p:MIMAT0000272:Homo:sapiens:miR-215-5p	102	28834	28766.0	0.0
hsa-miR-493-5p:MIMAT0002813:Homo:sapiens:miR-493-5p	82	28348	28348.0	0.0
hsa-miR-509-3p:MIMAT0002881:Homo:sapiens:miR-509-3p	138	27826	27826.0	0.0
hsa-miR-492:MIMAT0002812:Homo:sapiens:miR-492	103	27173	27173.0	0.0
hsa-miR-889-3p:MIMAT0004921:Homo:sapiens:miR-889-3p	99	27152	27152.0	0.0
hsa-miR-30a-3p:MIMAT0000088:Homo:sapiens:miR-30a-3p	122	26365	26348.5	0.0
hsa-miR-181d-5p:MIMAT0002821:Homo:sapiens:miR-181d-5p	153	25870	25870.0	0.0
hsa-miR-10a-5p:MIMAT0000253:Homo:sapiens:miR-10a-5p	236	25392	25383.0	0.0
hsa-miR-323a-5p:MIMAT0004696:Homo:sapiens:miR-323a-5p	133	23371	23371.0	0.0
hsa-miR-622:MIMAT0003291:Homo:sapiens:miR-622	78	23330	23330.0	0.0
hsa-let-7c-5p:MIMAT0000064:Homo:sapiens:let-7c-5p	112	22996	22938.75	0.0
hsa-miR-376b-5p:MIMAT0022923:Homo:sapiens:miR-376b-5p	21	45104	22564.5	0.0
hsa-miR-376c-5p:MIMAT0022861:Homo:sapiens:miR-376c-5p	20	45103	22563.5	0.0
hsa-miR-638:MIMAT0003308:Homo:sapiens:miR-638	203	22063	22063.0	0.0
hsa-miR-623:MIMAT0003292:Homo:sapiens:miR-623	112	21958	21958.0	0.0
hsa-miR-409-3p:MIMAT0001639:Homo:sapiens:miR-409-3p	137	21785	21785.0	0.0
hsa-miR-134-5p:MIMAT0000447:Homo:sapiens:miR-134-5p	130	21558	21558.0	0.0
