ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-671-3p:MIMAT0004819:Homo:sapiens:miR-671-3p	167	286368	286368.0	0.0
hsa-miR-300:MIMAT0004903:Homo:sapiens:miR-300	172	257915	257914.5	0.0
hsa-miR-486-5p:MIMAT0002177:Homo:sapiens:miR-486-5p	251	192086	192086.0	0.0
hsa-miR-10b-5p:MIMAT0000254:Homo:sapiens:miR-10b-5p	271	187552	187541.0	0.0
hsa-miR-767-5p:MIMAT0003882:Homo:sapiens:miR-767-5p	160	173946	173946.0	0.0
hsa-miR-885-3p:MIMAT0004948:Homo:sapiens:miR-885-3p	253	155557	155557.0	0.0
hsa-miR-127-3p:MIMAT0000446:Homo:sapiens:miR-127-3p	228	149076	149076.0	0.0
hsa-miR-181a-5p:MIMAT0000256:Homo:sapiens:miR-181a-5p	237	97299	97299.0	0.0
hsa-miR-192-5p:MIMAT0000222:Homo:sapiens:miR-192-5p	146	91445	91362.0	0.0
hsa-miR-184:MIMAT0000454:Homo:sapiens:miR-184	251	85037	85037.0	0.0
hsa-miR-575:MIMAT0003240:Homo:sapiens:miR-575	40	77484	77484.0	0.0
hsa-miR-432-5p:MIMAT0002814:Homo:sapiens:miR-432-5p	210	73719	73719.0	0.0
hsa-miR-182-5p:MIMAT0000259:Homo:sapiens:miR-182-5p	461	73110	73108.5	0.0
hsa-miR-765:MIMAT0003945:Homo:sapiens:miR-765	89	67110	67110.0	0.0
hsa-miR-191-5p:MIMAT0000440:Homo:sapiens:miR-191-5p	153	61642	61642.0	0.0
hsa-miR-151a-3p:MIMAT0000757:Homo:sapiens:miR-151a-3p	119	57998	57998.0	0.0
hsa-miR-28-3p:MIMAT0004502:Homo:sapiens:miR-28-3p	160	56540	56540.0	0.0
hsa-miR-509-3-5p:MIMAT0004975:Homo:sapiens:miR-509-3-5p	125	54925	54925.0	0.0
hsa-miR-769-5p:MIMAT0003886:Homo:sapiens:miR-769-5p	78	53104	53104.0	0.0
hsa-miR-181c-5p:MIMAT0000258:Homo:sapiens:miR-181c-5p	117	52047	52047.0	0.0
hsa-miR-891a-5p:MIMAT0004902:Homo:sapiens:miR-891a-5p	163	51038	51038.0	0.0
hsa-miR-92b-3p:MIMAT0003218:Homo:sapiens:miR-92b-3p	167	49511	49511.0	0.0
hsa-miR-371a-5p:MIMAT0004687:Homo:sapiens:miR-371a-5p	71	48051	48051.0	0.0
hsa-miR-654-5p:MIMAT0003330:Homo:sapiens:miR-654-5p	194	42739	42739.0	0.0
