ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-10b-5p:MIMAT0000254:Homo:sapiens:miR-10b-5p	450	425404	425371.0	0.0
hsa-miR-486-5p:MIMAT0002177:Homo:sapiens:miR-486-5p	361	349982	349982.0	0.0
hsa-miR-300:MIMAT0004903:Homo:sapiens:miR-300	210	311616	311615.5	0.0
hsa-miR-575:MIMAT0003240:Homo:sapiens:miR-575	51	265499	265499.0	0.0
hsa-miR-371a-5p:MIMAT0004687:Homo:sapiens:miR-371a-5p	103	239457	239457.0	0.0
hsa-miR-604:MIMAT0003272:Homo:sapiens:miR-604	63	223475	223475.0	0.0
hsa-miR-10a-5p:MIMAT0000253:Homo:sapiens:miR-10a-5p	443	209725	209687.0	0.0
hsa-miR-28-3p:MIMAT0004502:Homo:sapiens:miR-28-3p	238	208661	208660.5	0.0
hsa-miR-891a-5p:MIMAT0004902:Homo:sapiens:miR-891a-5p	297	185705	185705.0	0.0
hsa-miR-127-3p:MIMAT0000446:Homo:sapiens:miR-127-3p	281	185689	185689.0	0.0
hsa-miR-92b-3p:MIMAT0003218:Homo:sapiens:miR-92b-3p	308	179807	179807.0	0.0
hsa-miR-769-5p:MIMAT0003886:Homo:sapiens:miR-769-5p	112	179072	179072.0	0.0
hsa-miR-192-5p:MIMAT0000222:Homo:sapiens:miR-192-5p	225	174612	174436.0	0.0
hsa-miR-182-5p:MIMAT0000259:Homo:sapiens:miR-182-5p	700	169013	169013.0	0.0
hsa-miR-191-5p:MIMAT0000440:Homo:sapiens:miR-191-5p	287	162703	162703.0	0.0
hsa-miR-671-3p:MIMAT0004819:Homo:sapiens:miR-671-3p	183	157222	157222.0	0.0
hsa-miR-668-3p:MIMAT0003881:Homo:sapiens:miR-668-3p	173	152582	152582.0	0.0
hsa-miR-375:MIMAT0000728:Homo:sapiens:miR-375	351	137859	137859.0	0.0
hsa-miR-215-5p:MIMAT0000272:Homo:sapiens:miR-215-5p	175	132552	132376.0	0.0
hsa-miR-181a-5p:MIMAT0000256:Homo:sapiens:miR-181a-5p	336	120202	120202.0	0.0
hsa-miR-411-5p:MIMAT0003329:Homo:sapiens:miR-411-5p	223	112581	112581.0	0.0
hsa-miR-892a:MIMAT0004907:Homo:sapiens:miR-892a	113	112159	112159.0	0.0
hsa-miR-485-5p:MIMAT0002175:Homo:sapiens:miR-485-5p	194	106701	106701.0	0.0
hsa-miR-30e-3p:MIMAT0000693:Homo:sapiens:miR-30e-3p	156	105071	104987.0	0.0
hsa-miR-181a-3p:MIMAT0000270:Homo:sapiens:miR-181a-3p	196	103524	103427.5	0.0
hsa-miR-181c-5p:MIMAT0000258:Homo:sapiens:miR-181c-5p	234	100333	100333.0	0.0
hsa-miR-454-5p:MIMAT0003884:Homo:sapiens:miR-454-5p	130	91548	91548.0	0.0
hsa-miR-634:MIMAT0003304:Homo:sapiens:miR-634	169	88519	88519.0	0.0
hsa-miR-509-3p:MIMAT0002881:Homo:sapiens:miR-509-3p	176	86644	86644.0	0.0
hsa-miR-409-3p:MIMAT0001639:Homo:sapiens:miR-409-3p	267	84615	84615.0	0.0
hsa-miR-423-5p:MIMAT0004748:Homo:sapiens:miR-423-5p	229	84284	84284.0	0.0
hsa-miR-767-5p:MIMAT0003882:Homo:sapiens:miR-767-5p	193	83646	83646.0	0.0
hsa-miR-151a-3p:MIMAT0000757:Homo:sapiens:miR-151a-3p	136	80677	80677.0	0.0
hsa-miR-517-5p:MIMAT0002851:Homo:sapiens:miR-517-5p	121	73880	73872.5	0.0
hsa-miR-646:MIMAT0003316:Homo:sapiens:miR-646	35	72462	72462.0	0.0
hsa-miR-620:MIMAT0003289:Homo:sapiens:miR-620	63	68576	68576.0	0.0
hsa-miR-30a-3p:MIMAT0000088:Homo:sapiens:miR-30a-3p	155	67912	67828.0	0.0
hsa-miR-191-3p:MIMAT0001618:Homo:sapiens:miR-191-3p	157	63728	63728.0	0.0
hsa-miR-615-5p:MIMAT0004804:Homo:sapiens:miR-615-5p	146	61280	61280.0	0.0
hsa-miR-126-5p:MIMAT0000444:Homo:sapiens:miR-126-5p	95	60072	60072.0	0.0
hsa-miR-148a-3p:MIMAT0000243:Homo:sapiens:miR-148a-3p	192	59530	59530.0	0.0
hsa-miR-654-5p:MIMAT0003330:Homo:sapiens:miR-654-5p	209	57472	57472.0	0.0
hsa-miR-423-3p:MIMAT0001340:Homo:sapiens:miR-423-3p	237	56196	56196.0	0.0
hsa-miR-22-3p:MIMAT0000077:Homo:sapiens:miR-22-3p	126	55593	55593.0	0.0
hsa-miR-640:MIMAT0003310:Homo:sapiens:miR-640	127	54360	54360.0	0.0
hsa-miR-644a:MIMAT0003314:Homo:sapiens:miR-644a	34	52562	52562.0	0.0
hsa-miR-622:MIMAT0003291:Homo:sapiens:miR-622	107	50492	50492.0	0.0
hsa-miR-571:MIMAT0003236:Homo:sapiens:miR-571	85	48534	48534.0	0.0
hsa-miR-550a-3-5p:MIMAT0020925:Homo:sapiens:miR-550a-3-5p|hsa-miR-550a-5p:MIMAT0004800:Homo:sapiens:miR-550a-5p	86	48566	47525.833333333336	0.0
hsa-miR-184:MIMAT0000454:Homo:sapiens:miR-184	240	45379	45379.0	0.0
hsa-miR-410-3p:MIMAT0002171:Homo:sapiens:miR-410-3p	114	42427	42427.0	0.0
hsa-miR-183-5p:MIMAT0000261:Homo:sapiens:miR-183-5p	211	38757	38757.0	0.0
hsa-miR-99b-5p:MIMAT0000689:Homo:sapiens:miR-99b-5p	335	38605	38605.0	0.0
hsa-miR-493-3p:MIMAT0003161:Homo:sapiens:miR-493-3p	123	38535	38535.0	0.0
hsa-miR-569:MIMAT0003234:Homo:sapiens:miR-569	107	38282	38282.0	0.0
hsa-miR-143-3p:MIMAT0000435:Homo:sapiens:miR-143-3p	145	38125	38125.0	0.0
hsa-miR-500a-3p:MIMAT0002871:Homo:sapiens:miR-500a-3p	147	38866	37671.0	0.0
hsa-miR-181b-5p:MIMAT0000257:Homo:sapiens:miR-181b-5p	195	36569	36569.0	0.0
hsa-miR-450b-5p:MIMAT0004909:Homo:sapiens:miR-450b-5p	113	36506	36506.0	0.0
hsa-miR-383-5p:MIMAT0000738:Homo:sapiens:miR-383-5p	164	36053	36053.0	0.0
hsa-miR-512-3p:MIMAT0002823:Homo:sapiens:miR-512-3p	120	35652	35652.0	0.0
hsa-miR-200a-5p:MIMAT0001620:Homo:sapiens:miR-200a-5p	130	35330	35330.0	0.0
hsa-miR-889-3p:MIMAT0004921:Homo:sapiens:miR-889-3p	126	34601	34601.0	0.0
hsa-let-7d-3p:MIMAT0004484:Homo:sapiens:let-7d-3p	126	32757	32757.0	0.0
hsa-miR-378a-3p:MIMAT0000732:Homo:sapiens:miR-378a-3p	84	32299	32021.583333333332	0.0
hsa-miR-654-3p:MIMAT0004814:Homo:sapiens:miR-654-3p	99	31649	31649.0	0.0
hsa-miR-589-3p:MIMAT0003256:Homo:sapiens:miR-589-3p	223	30452	30452.0	0.0
hsa-miR-125a-5p:MIMAT0000443:Homo:sapiens:miR-125a-5p	262	29689	29689.0	0.0
hsa-miR-151b:MIMAT0010214:Homo:sapiens:miR-151b|hsa-miR-151a-5p:MIMAT0004697:Homo:sapiens:miR-151a-5p	80	30670	29521.0	0.0
hsa-miR-27b-3p:MIMAT0000419:Homo:sapiens:miR-27b-3p	89	29452	29263.5	0.0
hsa-miR-501-3p:MIMAT0004774:Homo:sapiens:miR-501-3p	211	29353	29038.0	0.0
hsa-miR-381-3p:MIMAT0000736:Homo:sapiens:miR-381-3p	153	28850	28849.5	0.0
hsa-miR-641:MIMAT0003311:Homo:sapiens:miR-641	166	27887	27887.0	0.0
hsa-miR-588:MIMAT0003255:Homo:sapiens:miR-588	81	27451	27451.0	0.0
hsa-miR-181d-5p:MIMAT0002821:Homo:sapiens:miR-181d-5p	194	27359	27359.0	0.0
hsa-miR-422a:MIMAT0001339:Homo:sapiens:miR-422a	210	26902	26902.0	0.0
hsa-miR-541-5p:MIMAT0004919:Homo:sapiens:miR-541-5p	229	26277	26277.0	0.0
hsa-miR-580-3p:MIMAT0003245:Homo:sapiens:miR-580-3p	116	26167	26167.0	0.0
hsa-miR-345-5p:MIMAT0000772:Homo:sapiens:miR-345-5p	137	26132	26132.0	0.0
hsa-miR-577:MIMAT0003242:Homo:sapiens:miR-577	106	25779	25779.0	0.0
hsa-miR-586:MIMAT0003252:Homo:sapiens:miR-586	170	24599	24599.0	0.0
hsa-miR-549a:MIMAT0003333:Homo:sapiens:miR-549a	107	24221	24221.0	0.0
hsa-miR-92a-3p:MIMAT0000092:Homo:sapiens:miR-92a-3p	179	24070	24070.0	0.0
hsa-miR-877-5p:MIMAT0004949:Homo:sapiens:miR-877-5p	63	22619	22619.0	0.0
hsa-miR-508-3p:MIMAT0002880:Homo:sapiens:miR-508-3p	128	22413	22413.0	0.0
hsa-miR-34c-5p:MIMAT0000686:Homo:sapiens:miR-34c-5p	195	21578	21578.0	0.0
hsa-miR-600:MIMAT0003268:Homo:sapiens:miR-600	237	20681	20681.0	0.0
hsa-miR-301a-3p:MIMAT0000688:Homo:sapiens:miR-301a-3p	146	27586	20114.5	0.0
hsa-miR-100-5p:MIMAT0000098:Homo:sapiens:miR-100-5p	253	20031	20020.5	0.0
hsa-miR-635:MIMAT0003305:Homo:sapiens:miR-635	246	19502	19502.0	0.0
hsa-let-7f-5p:MIMAT0000067:Homo:sapiens:let-7f-5p	131	19470	19469.5	0.0
hsa-miR-340-3p:MIMAT0000750:Homo:sapiens:miR-340-3p	119	19242	19242.0	0.0
hsa-miR-301b-3p:MIMAT0004958:Homo:sapiens:miR-301b-3p	170	26608	19136.5	0.0
hsa-miR-146b-5p:MIMAT0002809:Homo:sapiens:miR-146b-5p	119	18226	18224.5	0.0
hsa-miR-186-5p:MIMAT0000456:Homo:sapiens:miR-186-5p	103	17609	17609.0	0.0
hsa-miR-758-3p:MIMAT0003879:Homo:sapiens:miR-758-3p	93	17578	17578.0	0.0
hsa-miR-373-3p:MIMAT0000726:Homo:sapiens:miR-373-3p	148	17006	17006.0	0.0
hsa-miR-708-3p:MIMAT0004927:Homo:sapiens:miR-708-3p	90	16746	16745.5	0.0
hsa-miR-516b-5p:MIMAT0002859:Homo:sapiens:miR-516b-5p	108	16548	16547.5	0.0
hsa-miR-196b-5p:MIMAT0001080:Homo:sapiens:miR-196b-5p	131	15735	15735.0	0.0
hsa-miR-128-3p:MIMAT0000424:Homo:sapiens:miR-128-3p	75	15620	15620.0	0.0
hsa-miR-875-3p:MIMAT0004923:Homo:sapiens:miR-875-3p	63	15244	15244.0	0.0
hsa-miR-518c-5p:MIMAT0002847:Homo:sapiens:miR-518c-5p	78	15000	14994.333333333334	0.0
hsa-miR-636:MIMAT0003306:Homo:sapiens:miR-636	151	14810	14810.0	0.0
hsa-miR-142-5p:MIMAT0000433:Homo:sapiens:miR-142-5p	64	14607	14607.0	0.0
hsa-miR-489-3p:MIMAT0002805:Homo:sapiens:miR-489-3p	132	14087	14087.0	0.0
hsa-miR-421:MIMAT0003339:Homo:sapiens:miR-421	146	13777	13777.0	0.0
hsa-miR-448:MIMAT0001532:Homo:sapiens:miR-448	113	13734	13734.0	0.0
hsa-miR-26a-5p:MIMAT0000082:Homo:sapiens:miR-26a-5p	119	12985	12985.0	0.0
hsa-miR-146a-5p:MIMAT0000449:Homo:sapiens:miR-146a-5p	107	12805	12803.5	0.0
hsa-miR-449b-5p:MIMAT0003327:Homo:sapiens:miR-449b-5p	130	12752	12724.5	0.0
hsa-miR-504-5p:MIMAT0002875:Homo:sapiens:miR-504-5p	122	12636	12636.0	0.0
hsa-miR-492:MIMAT0002812:Homo:sapiens:miR-492	83	12426	12426.0	0.0
hsa-miR-511-5p:MIMAT0002808:Homo:sapiens:miR-511-5p	61	12407	12407.0	0.0
hsa-miR-584-5p:MIMAT0003249:Homo:sapiens:miR-584-5p	115	11333	11333.0	0.0
hsa-miR-153-3p:MIMAT0000439:Homo:sapiens:miR-153-3p	74	11306	11306.0	0.0
hsa-let-7i-5p:MIMAT0000415:Homo:sapiens:let-7i-5p	85	11298	11298.0	0.0
hsa-miR-134-5p:MIMAT0000447:Homo:sapiens:miR-134-5p	133	11269	11269.0	0.0
hsa-miR-155-5p:MIMAT0000646:Homo:sapiens:miR-155-5p	174	11164	11164.0	0.0
hsa-let-7e-5p:MIMAT0000066:Homo:sapiens:let-7e-5p	101	10933	10924.5	0.0
hsa-miR-637:MIMAT0003307:Homo:sapiens:miR-637	120	10700	10700.0	0.0
hsa-miR-532-5p:MIMAT0002888:Homo:sapiens:miR-532-5p	142	10309	10309.0	0.0
hsa-miR-490-3p:MIMAT0002806:Homo:sapiens:miR-490-3p	90	10242	10242.0	0.0
hsa-miR-623:MIMAT0003292:Homo:sapiens:miR-623	100	10168	10168.0	0.0
hsa-miR-520d-3p:MIMAT0002856:Homo:sapiens:miR-520d-3p	70	9841	9841.0	0.0
hsa-miR-760:MIMAT0004957:Homo:sapiens:miR-760	72	9813	9813.0	0.0
hsa-miR-372-3p:MIMAT0000724:Homo:sapiens:miR-372-3p	103	9478	9478.0	0.0
hsa-miR-31-5p:MIMAT0000089:Homo:sapiens:miR-31-5p	102	9403	9403.0	0.0
hsa-miR-432-3p:MIMAT0002815:Homo:sapiens:miR-432-3p	40	9302	9302.0	0.0
hsa-miR-105-5p:MIMAT0000102:Homo:sapiens:miR-105-5p	122	9121	9121.0	0.0
hsa-miR-576-3p:MIMAT0004796:Homo:sapiens:miR-576-3p	89	9108	9108.0	0.0
hsa-miR-202-3p:MIMAT0002811:Homo:sapiens:miR-202-3p	58	8942	8942.0	0.0
hsa-miR-562:MIMAT0003226:Homo:sapiens:miR-562	64	8791	8791.0	0.0
hsa-miR-887-3p:MIMAT0004951:Homo:sapiens:miR-887-3p	130	8742	8742.0	0.0
hsa-miR-576-5p:MIMAT0003241:Homo:sapiens:miR-576-5p	65	8690	8690.0	0.0
hsa-miR-211-5p:MIMAT0000268:Homo:sapiens:miR-211-5p	134	8620	8620.0	0.0
hsa-miR-627-5p:MIMAT0003296:Homo:sapiens:miR-627-5p	78	8500	8500.0	0.0
hsa-miR-25-3p:MIMAT0000081:Homo:sapiens:miR-25-3p	127	8438	8438.0	0.0
hsa-miR-564:MIMAT0003228:Homo:sapiens:miR-564	41	8298	8298.0	0.0
hsa-miR-581:MIMAT0003246:Homo:sapiens:miR-581	67	8198	8198.0	0.0
hsa-miR-602:MIMAT0003270:Homo:sapiens:miR-602	119	8186	8186.0	0.0
hsa-miR-650:MIMAT0003320:Homo:sapiens:miR-650	71	8026	8026.0	0.0
hsa-miR-509-3-5p:MIMAT0004975:Homo:sapiens:miR-509-3-5p	84	7978	7978.0	0.0
hsa-miR-208b-3p:MIMAT0004960:Homo:sapiens:miR-208b-3p	108	7975	7975.0	0.0
hsa-miR-520c-5p:MIMAT0005455:Homo:sapiens:miR-520c-5p|hsa-miR-518d-5p:MIMAT0005456:Homo:sapiens:miR-518d-5p|hsa-miR-526a:MIMAT0002845:Homo:sapiens:miR-526a	68	8112	7966.833333333333	0.0
hsa-miR-665:MIMAT0004952:Homo:sapiens:miR-665	27	7938	7938.0	0.0
hsa-miR-98-5p:MIMAT0000096:Homo:sapiens:miR-98-5p	132	7882	7882.0	0.0
hsa-miR-873-5p:MIMAT0004953:Homo:sapiens:miR-873-5p	86	7659	7659.0	0.0
hsa-miR-431-5p:MIMAT0001625:Homo:sapiens:miR-431-5p	87	7575	7575.0	0.0
hsa-miR-582-3p:MIMAT0004797:Homo:sapiens:miR-582-3p	152	7503	7503.0	0.0
hsa-miR-194-5p:MIMAT0000460:Homo:sapiens:miR-194-5p	73	7453	7453.0	0.0
hsa-miR-516a-5p:MIMAT0004770:Homo:sapiens:miR-516a-5p	88	7450	7450.0	0.0
hsa-miR-585-3p:MIMAT0003250:Homo:sapiens:miR-585-3p	29	7379	7379.0	0.0
hsa-miR-607:MIMAT0003275:Homo:sapiens:miR-607	61	7321	7321.0	0.0
hsa-miR-370-3p:MIMAT0000722:Homo:sapiens:miR-370-3p	83	7186	7186.0	0.0
hsa-miR-296-3p:MIMAT0004679:Homo:sapiens:miR-296-3p	150	7183	7183.0	0.0
hsa-miR-30d-5p:MIMAT0000245:Homo:sapiens:miR-30d-5p	91	7032	7031.5	0.0
hsa-miR-628-3p:MIMAT0003297:Homo:sapiens:miR-628-3p	76	6980	6980.0	0.0
hsa-miR-493-5p:MIMAT0002813:Homo:sapiens:miR-493-5p	61	6887	6887.0	0.0
hsa-miR-885-3p:MIMAT0004948:Homo:sapiens:miR-885-3p	117	6854	6854.0	0.0
hsa-miR-432-5p:MIMAT0002814:Homo:sapiens:miR-432-5p	104	6840	6840.0	0.0
hsa-miR-99a-5p:MIMAT0000097:Homo:sapiens:miR-99a-5p	130	6828	6822.5	0.0
hsa-miR-515-5p:MIMAT0002826:Homo:sapiens:miR-515-5p	62	6767	6767.0	0.0
hsa-miR-660-5p:MIMAT0003338:Homo:sapiens:miR-660-5p	134	6731	6731.0	0.0
hsa-miR-323a-5p:MIMAT0004696:Homo:sapiens:miR-323a-5p	109	6700	6700.0	0.0
hsa-miR-616-5p:MIMAT0003284:Homo:sapiens:miR-616-5p	67	6613	6613.0	0.0
hsa-miR-129-5p:MIMAT0000242:Homo:sapiens:miR-129-5p	105	6447	6447.0	0.0
hsa-miR-450a-5p:MIMAT0001545:Homo:sapiens:miR-450a-5p	80	6287	6287.0	0.0
hsa-miR-615-3p:MIMAT0003283:Homo:sapiens:miR-615-3p	63	6256	6256.0	0.0
hsa-miR-149-5p:MIMAT0000450:Homo:sapiens:miR-149-5p	137	6223	6223.0	0.0
hsa-miR-508-5p:MIMAT0004778:Homo:sapiens:miR-508-5p	119	6221	6221.0	0.0
hsa-miR-16-5p:MIMAT0000069:Homo:sapiens:miR-16-5p	106	6170	6170.0	0.0
hsa-miR-599:MIMAT0003267:Homo:sapiens:miR-599	41	6144	6144.0	0.0
hsa-miR-506-3p:MIMAT0002878:Homo:sapiens:miR-506-3p	58	6140	6140.0	0.0
hsa-miR-744-5p:MIMAT0004945:Homo:sapiens:miR-744-5p	163	6131	6131.0	0.0
hsa-miR-433-5p:MIMAT0026554:Homo:sapiens:miR-433-5p	88	5787	5787.0	0.0
hsa-miR-449a:MIMAT0001541:Homo:sapiens:miR-449a	85	5754	5726.5	0.0
hsa-miR-216b-5p:MIMAT0004959:Homo:sapiens:miR-216b-5p	58	5712	5712.0	0.0
hsa-miR-9-5p:MIMAT0000441:Homo:sapiens:miR-9-5p	118	5709	5709.0	0.0
hsa-miR-205-5p:MIMAT0000266:Homo:sapiens:miR-205-5p	96	5659	5659.0	0.0
hsa-miR-484:MIMAT0002174:Homo:sapiens:miR-484	81	5620	5620.0	0.0
hsa-miR-339-3p:MIMAT0004702:Homo:sapiens:miR-339-3p	132	5606	5606.0	0.0
hsa-miR-649:MIMAT0003319:Homo:sapiens:miR-649	64	5513	5513.0	0.0
hsa-miR-371a-3p:MIMAT0000723:Homo:sapiens:miR-371a-3p	123	5255	5255.0	0.0
hsa-miR-132-3p:MIMAT0000426:Homo:sapiens:miR-132-3p	78	5240	5240.0	0.0
hsa-miR-455-5p:MIMAT0003150:Homo:sapiens:miR-455-5p	108	5230	5230.0	0.0
hsa-miR-555:MIMAT0003219:Homo:sapiens:miR-555	46	5203	5203.0	0.0
hsa-miR-199b-5p:MIMAT0000263:Homo:sapiens:miR-199b-5p	112	5319	5200.0	0.0
hsa-miR-433-3p:MIMAT0001627:Homo:sapiens:miR-433-3p	91	5084	5084.0	0.0
hsa-miR-330-3p:MIMAT0000751:Homo:sapiens:miR-330-3p	108	5075	5075.0	0.0
hsa-miR-629-5p:MIMAT0004810:Homo:sapiens:miR-629-5p	92	5063	5063.0	0.0
hsa-miR-331-5p:MIMAT0004700:Homo:sapiens:miR-331-5p	65	5032	5032.0	0.0
hsa-miR-101-3p:MIMAT0000099:Homo:sapiens:miR-101-3p	61	4968	4968.0	0.0
hsa-miR-330-5p:MIMAT0004693:Homo:sapiens:miR-330-5p	108	4933	4933.0	0.0
hsa-miR-28-5p:MIMAT0000085:Homo:sapiens:miR-28-5p	50	4905	4905.0	0.0
hsa-miR-632:MIMAT0003302:Homo:sapiens:miR-632	30	4870	4870.0	0.0
hsa-miR-567:MIMAT0003231:Homo:sapiens:miR-567	145	4789	4789.0	0.0
hsa-miR-363-5p:MIMAT0003385:Homo:sapiens:miR-363-5p	67	4777	4777.0	0.0
hsa-miR-299-3p:MIMAT0000687:Homo:sapiens:miR-299-3p	103	4731	4731.0	0.0
hsa-let-7c-5p:MIMAT0000064:Homo:sapiens:let-7c-5p	77	4717	4702.5	0.0
hsa-miR-125b-5p:MIMAT0000423:Homo:sapiens:miR-125b-5p	77	4621	4621.0	0.0
hsa-miR-596:MIMAT0003264:Homo:sapiens:miR-596	40	4581	4581.0	0.0
hsa-miR-645:MIMAT0003315:Homo:sapiens:miR-645	24	4544	4544.0	0.0
hsa-miR-376b-5p:MIMAT0022923:Homo:sapiens:miR-376b-5p	17	8841	4421.5	0.0
hsa-miR-376c-5p:MIMAT0022861:Homo:sapiens:miR-376c-5p	16	8839	4419.5	0.0
hsa-miR-518e-3p:MIMAT0002861:Homo:sapiens:miR-518e-3p	50	4289	4289.0	0.0
hsa-miR-638:MIMAT0003308:Homo:sapiens:miR-638	153	4239	4239.0	0.0
hsa-miR-487b-3p:MIMAT0003180:Homo:sapiens:miR-487b-3p	83	4236	4236.0	0.0
hsa-miR-497-5p:MIMAT0002820:Homo:sapiens:miR-497-5p	74	4197	4197.0	0.0
hsa-miR-454-3p:MIMAT0003885:Homo:sapiens:miR-454-3p	71	4098	4098.0	0.0
hsa-miR-323a-3p:MIMAT0000755:Homo:sapiens:miR-323a-3p	65	3982	3982.0	0.0
hsa-miR-587:MIMAT0003253:Homo:sapiens:miR-587	67	3980	3980.0	0.0
hsa-miR-150-5p:MIMAT0000451:Homo:sapiens:miR-150-5p	81	3977	3977.0	0.0
hsa-miR-147b:MIMAT0004928:Homo:sapiens:miR-147b	74	3940	3938.5	0.0
hsa-miR-601:MIMAT0003269:Homo:sapiens:miR-601	89	3898	3898.0	0.0
hsa-miR-769-3p:MIMAT0003887:Homo:sapiens:miR-769-3p	75	3890	3890.0	0.0
hsa-miR-574-3p:MIMAT0003239:Homo:sapiens:miR-574-3p	53	3776	3776.0	0.0
hsa-miR-490-5p:MIMAT0004764:Homo:sapiens:miR-490-5p	45	3773	3773.0	0.0
hsa-miR-190b:MIMAT0004929:Homo:sapiens:miR-190b	59	3769	3769.0	0.0
hsa-let-7d-5p:MIMAT0000065:Homo:sapiens:let-7d-5p	74	3773	3729.0	0.0
hsa-miR-30a-5p:MIMAT0000087:Homo:sapiens:miR-30a-5p	82	3727	3726.5	0.0
hsa-miR-514a-3p:MIMAT0002883:Homo:sapiens:miR-514a-3p	40	3709	3709.0	0.0
hsa-miR-767-3p:MIMAT0003883:Homo:sapiens:miR-767-3p	49	3708	3708.0	0.0
hsa-miR-631:MIMAT0003300:Homo:sapiens:miR-631	31	3704	3704.0	0.0
hsa-miR-519b-5p:MIMAT0005454:Homo:sapiens:miR-519b-5p|hsa-miR-519c-5p:MIMAT0002831:Homo:sapiens:miR-519c-5p|hsa-miR-523-5p:MIMAT0005449:Homo:sapiens:miR-523-5p|hsa-miR-522-5p:MIMAT0005451:Homo:sapiens:miR-522-5p|hsa-miR-519a-5p:MIMAT0005452:Homo:sapiens:miR-519a-5p|hsa-miR-518e-5p:MIMAT0005450:Homo:sapiens:miR-518e-5p	65	3747	3700.333333333333	0.0
hsa-miR-148b-3p:MIMAT0000759:Homo:sapiens:miR-148b-3p	87	3671	3671.0	0.0
hsa-miR-425-3p:MIMAT0001343:Homo:sapiens:miR-425-3p	66	3575	3575.0	0.0
hsa-miR-195-5p:MIMAT0000461:Homo:sapiens:miR-195-5p	59	3567	3567.0	0.0
hsa-miR-21-5p:MIMAT0000076:Homo:sapiens:miR-21-5p	72	3482	3482.0	0.0
